轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
0.0,264,92.72,91.95,92.56,0,0,0,0.1,101.6,0.02,0.09,0,8.5,259,1,1,0,0,0,0,0,0,0,0,-16.2,-17.0,0,1.4,527.1,-448,11.75,-16.2,-12.0,-15.9,-14.9,-15.0,-12.7,-16.4,-15.7,-15.7,-14.4,-14.6,1,20,-14.8,-13.2,0,0,0,0,0,0,1,1,2,0,15,12,6,12,8,9,20,20,15,0,0,0,0,0,0,0,0,0
0.0,263,92.72,91.95,92.56,0,0,0,0.1,98.1,0.03,0.1,0,8.7,261,1,1,0,0,0,0,0,0,0,0,-16.0,-16.9,0,1.4,527.1,-448,11.75,-16.5,-12.1,-15.9,-14.9,-15.0,-12.7,-16.4,-15.7,-15.7,-14.3,-14.6,1,20,-14.9,-13.2,0,0,0,0,0,0,1,1,2,0,15,12,6,12,8,10,20,20,14,0,0,0,0,0,0,0,0,0
0.0,264,92.72,91.95,92.56,0,0,0,0.1,102.7,0.02,0.09,0,8.1,259,1,1,0,0,0,0,0,0,0,0,-16.1,-16.8,0,1.4,527.1,-448,11.75,-16.2,-11.9,-15.9,-14.9,-15.0,-12.7,-16.4,-15.7,-15.9,-14.4,-14.7,2,20,-14.8,-13.1,0,0,0,0,0,0,1,1,2,0,15,12,6,12,8,10,20,20,15,0,0,0,0,0,0,0,0,0
0.0,263,92.72,91.95,92.56,0,0,0,0.09,100.7,0.0,0.09,0,8.6,260,1,1,0,0,0,0,0,0,0,0,-16.1,-16.8,0,1.4,527.1,-448,11.75,-16.3,-12.1,-15.9,-14.9,-15.0,-12.7,-16.4,-15.7,-15.7,-14.3,-14.6,2,21,-14.8,-13.2,0,0,0,0,0,0,1,1,2,0,15,12,6,12,8,10,21,21,15,0,0,0,0,0,0,0,0,0
0.0,265,92.72,91.95,92.56,0,0,0,0.11,102.6,0.0,0.09,0,8.6,258,1,1,0,0,0,0,0,0,0,0,-16.2,-17.0,0,1.4,527.1,-448,11.75,-16.2,-11.9,-15.9,-14.9,-14.9,-12.7,-16.4,-15.7,-15.9,-14.4,-14.7,2,20,-14.8,-13.1,0,0,0,0,0,0,1,1,2,0,15,12,6,12,8,10,20,20,15,0,0,0,0,0,0,0,0,0
0.0,263,92.72,91.95,92.56,0,0,0,0.1,100.4,0.0,0.09,0,8.9,260,1,1,0,0,0,0,0,0,0,0,-16.1,-16.9,0,1.4,527.1,-448,11.75,-16.5,-12.1,-15.9,-14.9,-15.0,-12.7,-16.4,-15.7,-15.7,-14.3,-14.6,1,20,-14.8,-13.2,0,0,0,0,0,0,1,1,2,0,15,12,6,12,8,9,20,20,15,0,0,0,0,0,0,0,0,0
0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,265,92.72,91.95,92.56,0,0,0,0.1,102.7,0.08,0.09,0,8.7,258,1,1,0,0,0,0,0,0,0,0,-15.9,-16.9,0,1.4,527.1,-448,11.75,-16.2,-11.9,-15.9,-14.9,-15.0,-12.7,-16.4,-15.7,-15.9,-14.4,-14.7,2,20,-14.8,-13.1,0,0,0,0,0,0,1,1,2,0,15,12,6,12,8,9,20,20,15,0,0,0,0,0,0,0,0,0
0.0,263,92.72,91.95,92.56,0,0,0,0.09,100.1,0.04,0.09,0,9.1,261,1,1,0,0,0,0,0,0,0,0,-16.2,-17.1,0,1.4,527.1,-448,11.75,-16.3,-12.1,-15.9,-14.9,-15.0,-12.7,-16.4,-15.7,-15.7,-14.3,-14.6,2,20,-14.8,-13.2,0,0,0,0,0,0,1,1,2,0,15,12,6,12,8,9,20,20,15,0,0,0,0,0,0,0,0,0
0.0,264,92.72,91.95,92.56,0,0,0,0.1,104.8,0.07,0.1,0,8.6,257,1,1,0,0,0,0,0,0,0,0,-16.2,-16.9,0,1.4,527.1,-448,11.75,-16.2,-11.9,-15.9,-14.9,-15.0,-12.7,-16.4,-15.7,-15.9,-14.4,-14.7,2,20,-14.8,-13.1,0,0,0,0,0,0,1,1,2,0,15,12,6,12,8,9,20,20,15,0,0,0,0,0,0,0,0,0
