轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
0.0,328,92.55,91.84,92.75,0,0,0,0.11,6.7,0.03,0.11,0,0.7,26,1,1,0,0,0,0,0,0,0,0,-3.0,-5.3,0,1.7,527.1,-448,11.75,5.3,1.0,-5.5,0.7,-4.3,-1.4,-6.0,-5.3,-5.6,-6.5,-6.5,4,7,3.6,6.5,0,0,0,0,0,0,1,1,2,0,23,22,16,15,12,13,7,7,13,0,0,0,0,0,0,0,0,0
0.0,329,92.55,91.84,92.75,0,0,0,0.09,-54.8,0.03,0.11,0,0.1,37,1,1,0,0,0,0,0,0,0,0,-3.1,-5.4,0,1.7,527.1,-448,11.75,5.5,1.1,-5.3,0.8,-4.2,-1.2,-5.8,-5.2,-5.6,-6.4,-6.5,4,7,3.6,6.5,0,0,0,0,0,0,1,1,2,0,23,22,16,15,12,13,7,7,13,0,0,0,0,0,0,0,0,0
0.0,328,92.55,91.84,92.75,0,0,0,0.09,-19.3,0.03,0.11,0,0.7,46,1,1,0,0,0,0,0,0,0,0,-3.0,-5.4,0,1.7,527.1,-448,11.75,5.3,1.0,-5.5,0.7,-4.3,-1.3,-6.0,-5.3,-5.6,-6.5,-6.5,4,7,3.6,6.5,0,0,0,0,0,0,1,1,2,0,23,22,16,15,12,13,7,7,13,0,0,0,0,0,0,0,0,0
0.0,331,92.55,91.84,92.75,0,0,0,0.09,-14.6,0.03,0.11,0,1.0,39,1,1,0,0,0,0,0,0,0,0,-2.8,-5.1,0,1.7,527.1,-448,11.75,5.3,1.2,-5.2,1.0,-4.2,-1.1,-5.7,-5.1,-5.3,-6.4,-6.5,5,7,3.7,6.5,0,0,0,0,0,0,1,1,2,0,23,22,16,15,12,13,7,7,13,0,0,0,0,0,0,0,0,0
0.03,329,92.55,91.84,92.75,0,0,0,0.1,-40.0,0.03,0.11,0,0.3,56,1,1,0,0,0,0,0,0,0,0,-3.0,-5.5,0,1.7,527.1,-448,11.75,5.3,1.1,-5.5,0.8,-4.3,-1.2,-6.0,-5.3,-5.6,-6.5,-6.5,4,7,3.6,6.5,0,0,0,0,0,0,1,1,2,0,23,22,16,15,12,13,7,7,13,0,0,0,0,0,0,0,0,0
0.0,329,92.55,91.84,92.75,0,0,0,0.09,-0.6,0.03,0.11,0,0.8,27,1,1,0,0,0,0,0,0,0,0,-3.1,-5.3,0,1.7,527.1,-448,11.75,5.5,1.1,-5.3,0.8,-4.2,-1.2,-5.8,-5.2,-5.5,-6.4,-6.5,4,7,3.6,6.5,0,0,0,0,0,0,1,1,2,0,23,22,16,15,12,13,7,7,13,0,0,0,0,0,0,0,0,0
0.0,328,92.55,91.84,92.75,0,0,0,0.1,-31.6,0.04,0.11,0,0.3,47,1,1,0,0,0,0,0,0,0,0,-3.2,-5.5,0,1.7,527.1,-448,11.75,5.3,1.0,-5.5,0.7,-4.3,-1.3,-6.0,-5.3,-5.6,-6.5,-6.4,5,7,3.6,6.5,0,0,0,0,0,0,1,1,2,0,23,22,16,15,12,13,7,7,13,0,0,0,0,0,0,0,0,0
0.0,330,92.55,91.84,92.75,0,0,0,0.09,-73.1,0.03,0.11,0,1.6,69,1,1,0,0,0,0,0,0,0,0,-3.0,-5.2,0,1.7,527.1,-448,11.75,5.5,1.1,-5.3,1.0,-4.2,-1.2,-5.8,-5.1,-5.5,-6.4,-6.4,4,7,3.6,6.5,0,0,0,0,0,0,1,1,2,0,23,22,16,16,12,13,7,7,13,0,0,0,0,0,0,0,0,0
0.0,330,92.55,91.84,92.75,0,0,0,0.1,-13.6,0.03,0.11,0,2.0,49,1,1,0,0,0,0,0,0,0,0,-3.1,-5.3,0,1.7,527.1,-448,11.75,5.5,1.1,-5.3,0.8,-4.2,-1.2,-5.8,-5.2,-5.5,-6.4,-6.4,5,7,3.6,6.5,0,0,0,0,0,0,1,1,2,0,23,22,16,15,12,13,7,7,13,0,0,0,0,0,0,0,0,0
0.0,328,92.55,91.84,92.75,0,0,0,0.09,-57.0,0.03,0.11,0,0.5,45,1,1,0,0,0,0,0,0,0,0,-3.0,-5.3,0,1.7,527.1,-448,11.75,5.3,1.0,-5.5,0.7,-4.3,-1.4,-6.0,-5.3,-5.6,-6.5,-6.5,4,7,3.6,6.5,0,0,0,0,0,0,1,1,2,0,23,22,16,16,12,13,7,7,13,0,0,0,0,0,0,0,0,0
0.0,328,92.55,91.84,92.75,0,0,0,0.09,-39.9,0.03,0.11,0,1.3,51,1,1,0,0,0,0,0,0,0,0,-3.0,-5.3,0,1.7,527.1,-448,11.75,5.3,1.0,-5.5,0.8,-4.3,-1.2,-6.0,-5.3,-5.6,-6.5,-6.5,5,7,3.6,6.5,0,0,0,0,0,0,1,1,2,0,23,22,16,15,12,13,7,7,13,0,0,0,0,0,0,0,0,0
0.0,330,92.55,91.84,92.75,0,0,0,0.1,-43.6,0.03,0.11,0,1.9,70,1,1,0,0,0,0,0,0,0,0,-3.0,-5.2,0,1.7,527.1,-448,11.75,5.4,1.1,-5.3,1.0,-4.2,-1.1,-5.7,-5.1,-5.5,-6.4,-6.4,4,7,3.6,6.5,0,0,0,0,0,0,1,1,2,0,23,22,16,15,12,13,7,7,13,0,0,0,0,0,0,0,0,0
0.0,330,92.55,91.84,92.75,0,0,0,0.1,-33.1,0.03,0.11,0,1.0,46,1,1,0,0,0,0,0,0,0,0,-3.1,-5.3,0,1.7,527.1,-448,11.75,5.5,1.1,-5.3,0.8,-4.2,-1.2,-5.8,-5.2,-5.5,-6.4,-6.5,5,7,3.6,6.5,0,0,0,0,0,0,1,1,2,0,23,22,16,15,12,13,7,7,13,0,0,0,0,0,0,0,0,0
0.0,329,92.55,91.84,92.75,0,0,0,0.1,24.6,0.03,0.11,0,1.2,355,1,1,0,0,0,0,0,0,0,0,-3.1,-5.4,0,1.7,527.1,-448,11.75,5.3,1.1,-5.3,0.8,-4.2,-1.2,-5.8,-5.2,-5.6,-6.4,-6.4,5,7,3.6,6.5,0,0,0,0,0,0,1,1,2,0,23,22,16,15,12,13,7,7,13,0,0,0,0,0,0,0,0,0
0.0,329,92.55,91.84,92.75,0,0,0,0.09,23.4,0.03,0.11,0,0.8,355,1,1,0,0,0,0,0,0,0,0,-3.0,-5.3,0,1.7,527.1,-448,11.75,5.3,1.1,-5.3,0.8,-4.2,-1.2,-5.8,-5.2,-5.6,-6.4,-6.4,4,7,3.6,6.5,0,0,0,0,0,0,1,1,2,0,23,22,16,15,12,13,7,7,13,0,0,0,0,0,0,0,0,0
0.0,330,92.55,91.84,92.75,0,0,0,0.09,-15.1,0.03,0.11,0,2.7,45,1,1,0,0,0,0,0,0,0,0,-3.0,-5.3,0,1.7,527.1,-448,11.75,5.5,1.1,-5.3,0.8,-4.2,-1.2,-5.8,-5.2,-5.5,-6.4,-6.4,5,7,3.6,6.5,0,0,0,0,0,0,1,1,2,0,23,22,16,15,12,13,7,7,13,0,0,0,0,0,0,0,0,0
0.0,331,92.55,91.84,92.75,0,0,0,0.1,-24.0,0.03,0.11,0,1.9,51,1,1,0,0,0,0,0,0,0,0,-2.7,-5.1,0,1.7,527.1,-448,11.75,5.3,1.1,-5.2,1.0,-4.2,-1.1,-5.7,-5.1,-5.5,-6.4,-6.4,5,7,3.6,6.5,0,0,0,0,0,0,1,1,2,0,23,22,16,15,12,13,7,7,13,0,0,0,0,0,0,0,0,0
0.02,328,92.55,91.84,92.75,0,0,0,0.09,-49.7,0.03,0.11,0,0.6,31,1,1,0,0,0,0,0,0,0,0,-3.0,-5.3,0,1.7,527.1,-448,11.75,5.3,1.0,-5.5,0.7,-4.3,-1.4,-6.0,-5.3,-5.6,-6.5,-6.5,4,6,3.6,6.5,0,0,0,0,0,0,1,1,2,0,23,22,16,15,12,13,6,6,13,0,0,0,0,0,0,0,0,0
0.0,331,92.55,91.84,92.75,0,0,0,0.1,-12.0,0.03,0.11,0,1.8,51,1,1,0,0,0,0,0,0,0,0,-2.8,-5.0,0,1.7,527.1,-448,11.75,5.3,1.1,-5.2,1.0,-4.2,-1.1,-5.7,-5.1,-5.5,-6.4,-6.4,4,7,3.6,6.5,0,0,0,0,0,0,1,1,2,0,23,22,16,15,12,13,7,7,13,0,0,0,0,0,0,0,0,0
0.0,329,92.55,91.84,92.75,0,0,0,0.09,29.6,0.03,0.11,0,0.6,27,1,1,0,0,0,0,0,0,0,0,-2.8,-5.2,0,1.7,527.1,-448,11.75,5.5,1.1,-5.3,0.8,-4.2,-1.2,-5.8,-5.2,-5.5,-6.4,-6.4,4,7,3.6,6.5,0,0,0,0,0,0,1,1,2,0,23,22,16,15,12,13,7,7,13,0,0,0,0,0,0,0,0,0
0.0,328,92.55,91.84,92.75,0,0,0,0.1,-45.3,0.03,0.11,0,0.3,56,1,1,0,0,0,0,0,0,0,0,-3.2,-5.5,0,1.7,527.1,-448,11.75,5.3,1.1,-5.5,0.8,-4.3,-1.2,-6.0,-5.3,-5.6,-6.5,-6.5,4,7,3.6,6.5,0,0,0,0,0,0,1,1,2,0,23,22,16,15,12,13,7,7,13,0,0,0,0,0,0,0,0,0
0.0,329,92.55,91.84,92.75,0,0,0,0.09,-55.9,0.03,0.11,0,0.2,25,1,1,0,0,0,0,0,0,0,0,-2.9,-5.1,0,1.7,527.1,-448,11.75,5.4,1.1,-5.3,0.8,-4.2,-1.2,-5.8,-5.2,-5.6,-6.4,-6.4,5,7,3.6,6.5,0,0,0,0,0,0,1,1,2,0,23,22,16,15,12,13,7,7,13,0,0,0,0,0,0,0,0,0
0.0,329,92.55,91.84,92.75,0,0,0,0.1,26.7,0.03,0.11,0,0.1,22,1,1,0,0,0,0,0,0,0,0,-3.3,-5.4,0,1.7,527.1,-448,11.75,5.3,1.1,-5.5,0.8,-4.3,-1.2,-6.0,-5.2,-5.6,-6.5,-6.5,4,7,3.6,6.5,0,0,0,0,0,0,1,1,2,0,23,22,16,15,12,13,7,7,13,0,0,0,0,0,0,0,0,0
0.0,328,92.55,91.84,92.75,0,0,0,0.09,-26.3,0.03,0.11,0,0.6,47,1,1,0,0,0,0,0,0,0,0,-3.0,-5.3,0,1.7,527.1,-448,11.75,5.3,1.0,-5.5,0.7,-4.3,-1.3,-6.0,-5.3,-5.6,-6.4,-6.5,4,7,3.6,6.5,0,0,0,0,0,0,1,1,2,0,23,22,16,15,12,13,7,7,13,0,0,0,0,0,0,0,0,0
0.0,330,92.55,91.84,92.75,0,0,0,0.1,-75.5,0.04,0.11,0,1.6,68,1,1,0,0,0,0,0,0,0,0,-3.0,-5.2,0,1.7,527.1,-448,11.75,5.5,1.1,-5.3,1.0,-4.2,-1.2,-5.8,-5.2,-5.5,-6.3,-6.4,5,6,3.6,6.5,0,0,0,0,0,0,1,1,2,0,23,22,16,15,12,13,6,6,13,0,0,0,0,0,0,0,0,0
0.0,330,92.55,91.84,92.75,0,0,0,0.1,-31.5,0.03,0.11,0,1.1,49,1,1,0,0,0,0,0,0,0,0,-3.0,-5.2,0,1.7,527.1,-448,11.75,5.5,1.1,-5.3,0.8,-4.2,-1.2,-5.8,-5.2,-5.5,-6.4,-6.4,5,7,3.6,6.5,0,0,0,0,0,0,1,1,2,0,23,22,16,15,12,13,7,7,13,0,0,0,0,0,0,0,0,0
0.0,330,92.55,91.84,92.75,0,0,0,0.09,-43.8,0.03,0.1,0,0.6,53,1,1,0,0,0,0,0,0,0,0,-2.9,-5.3,0,1.7,527.1,-448,11.75,5.5,1.1,-5.3,0.8,-4.2,-1.2,-5.8,-5.2,-5.5,-6.4,-6.4,5,7,3.6,6.5,0,0,0,0,0,0,1,1,2,0,23,22,16,15,12,13,7,7,13,0,0,0,0,0,0,0,0,0
0.0,330,92.55,91.84,92.75,0,0,0,0.09,-63.8,0.04,0.11,0,1.1,52,1,1,0,0,0,0,0,0,0,0,-2.8,-5.2,0,1.7,527.1,-448,11.75,5.5,1.1,-5.3,0.9,-4.2,-1.2,-5.8,-5.2,-5.5,-6.4,-6.4,4,7,3.6,6.5,0,0,0,0,0,0,1,1,2,0,23,22,16,15,12,13,7,7,13,0,0,0,0,0,0,0,0,0
0.0,330,92.55,91.84,92.75,0,0,0,0.09,-63.6,0.03,0.1,0,1.5,76,1,1,0,0,0,0,0,0,0,0,-2.9,-5.0,0,1.7,527.1,-448,11.75,5.5,1.1,-5.3,1.0,-4.2,-1.2,-5.8,-5.1,-5.5,-6.4,-6.4,4,6,3.6,6.5,0,0,0,0,0,0,1,1,2,0,23,22,16,15,12,13,6,6,13,0,0,0,0,0,0,0,0,0
0.0,328,92.55,91.84,92.75,0,0,0,0.1,-44.9,0.03,0.1,0,0.6,55,1,1,0,0,0,0,0,0,0,0,-3.0,-5.4,0,1.7,527.1,-448,11.75,5.3,1.0,-5.5,0.8,-4.3,-1.2,-6.0,-5.3,-5.6,-6.5,-6.5,4,7,3.6,6.5,0,0,0,0,0,0,1,1,2,0,23,22,16,15,12,13,7,7,13,0,0,0,0,0,0,0,0,0
0.0,330,92.55,91.84,92.75,0,0,0,0.1,-65.2,0.03,0.1,0,1.8,74,1,1,0,0,0,0,0,0,0,0,-2.7,-4.9,0,1.7,527.1,-448,11.75,5.5,1.1,-5.3,1.0,-4.2,-1.2,-5.8,-5.1,-5.5,-6.4,-6.4,4,7,3.6,6.5,0,0,0,0,0,0,1,1,2,0,23,22,16,16,12,13,7,7,13,0,0,0,0,0,0,0,0,0
0.0,329,92.55,91.84,92.75,0,0,0,0.1,-13.8,0.03,0.11,0,0.8,44,1,1,0,0,0,0,0,0,0,0,-2.9,-5.3,0,1.7,527.1,-448,11.75,5.5,1.1,-5.3,0.8,-4.2,-1.2,-5.8,-5.2,-5.5,-6.4,-6.5,4,7,3.6,6.5,0,0,0,0,0,0,1,1,2,0,23,22,16,16,12,13,7,7,13,0,0,0,0,0,0,0,0,0
0.0,331,92.55,91.84,92.75,0,0,0,0.1,11.2,0.03,0.11,0,0.8,29,1,1,0,0,0,0,0,0,0,0,-2.9,-5.1,0,1.7,527.1,-448,11.75,5.3,1.2,-5.2,1.0,-4.0,-1.1,-5.7,-5.1,-5.3,-6.4,-6.4,5,7,3.7,6.5,0,0,0,0,0,0,1,1,2,0,23,22,16,15,12,13,7,7,13,0,0,0,0,0,0,0,0,0
0.0,330,92.55,91.84,92.75,0,0,0,0.09,-31.4,0.03,0.11,0,1.2,49,1,1,0,0,0,0,0,0,0,0,-2.9,-5.3,0,1.7,527.1,-448,11.75,5.5,1.1,-5.3,0.8,-4.2,-1.2,-5.8,-5.2,-5.5,-6.4,-6.4,4,7,3.6,6.5,0,0,0,0,0,0,1,1,2,0,23,22,16,15,12,13,7,7,13,0,0,0,0,0,0,0,0,0
0.0,329,92.55,91.84,92.75,0,0,0,0.1,-1.7,0.03,0.11,0,0.1,12,1,1,0,0,0,0,0,0,0,0,-2.9,-5.2,0,1.7,527.1,-448,11.75,5.3,1.1,-5.5,0.8,-4.3,-1.2,-6.0,-5.2,-5.6,-6.4,-6.5,4,7,3.6,6.5,0,0,0,0,0,0,1,1,2,0,23,22,16,15,12,13,7,7,13,0,0,0,0,0,0,0,0,0
0.0,328,92.55,91.84,92.75,0,0,0,0.09,3.0,0.03,0.11,0,1.1,31,1,1,0,0,0,0,0,0,0,0,-3.2,-5.4,0,1.7,527.1,-448,11.75,5.3,1.0,-5.5,0.7,-4.3,-1.4,-6.0,-5.3,-5.6,-6.5,-6.5,4,7,3.6,6.5,0,0,0,0,0,0,1,1,2,0,23,22,16,15,12,13,7,7,13,0,0,0,0,0,0,0,0,0
0.0,330,92.55,91.84,92.75,0,0,0,0.09,-67.4,0.03,0.11,0,1.4,79,1,1,0,0,0,0,0,0,0,0,-2.8,-5.2,0,1.7,527.1,-448,11.75,5.5,1.1,-5.3,1.0,-4.2,-1.1,-5.7,-5.1,-5.5,-6.4,-6.4,4,7,3.6,6.5,0,0,0,0,0,0,1,1,2,0,23,22,16,15,12,13,7,7,13,0,0,0,0,0,0,0,0,0
0.0,328,92.55,91.84,92.75,0,0,0,0.1,3.5,0.03,0.11,0,0.9,29,1,1,0,0,0,0,0,0,0,0,-3.1,-5.4,0,1.7,527.1,-448,11.75,5.3,1.0,-5.5,0.7,-4.3,-1.4,-6.0,-5.3,-5.6,-6.5,-6.5,4,7,3.6,6.5,0,0,0,0,0,0,1,1,2,0,23,22,16,15,12,13,7,7,13,0,0,0,0,0,0,0,0,0
0.0,328,92.55,91.84,92.75,0,0,0,0.09,2.2,0.03,0.11,0,0.9,30,1,1,0,0,0,0,0,0,0,0,-3.2,-5.4,0,1.7,527.1,-448,11.75,5.3,1.0,-5.5,0.7,-4.3,-1.4,-6.0,-5.3,-5.6,-6.5,-6.5,4,6,3.6,6.5,0,0,0,0,0,0,1,1,2,0,23,22,16,15,12,13,6,6,13,0,0,0,0,0,0,0,0,0
0.0,330,92.55,91.84,92.75,0,0,0,0.1,-7.5,0.03,0.11,0,2.3,59,1,1,0,0,0,0,0,0,0,0,-2.8,-5.1,0,1.7,527.1,-448,11.75,5.3,1.1,-5.2,1.0,-4.2,-1.1,-5.7,-5.1,-5.5,-6.4,-6.4,4,7,3.6,6.5,0,0,0,0,0,0,1,1,2,0,23,22,16,16,12,13,7,7,13,0,0,0,0,0,0,0,0,0
