轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
0.0,188,92.55,91.84,92.75,0,0,0,0.1,153.1,0.02,0.1,0,4.1,228,1,1,0,0,0,0,0,0,0,0,-5.7,-6.3,0,1.5,527.1,-448,11.75,-14.1,-6.8,-10.9,-10.1,-10,-7.6,-11.8,-10.9,-10.9,-7.9,-8.2,5,8,-10.3,-7.8,0,0,0,0,0,0,1,1,2,0,20,18,12,14,10,11,8,8,15,0,0,0,0,0,0,0,0,0
0.0,186,92.55,91.84,92.75,0,0,0,0.1,149.1,0.03,0.1,0,4.4,225,1,1,0,0,0,0,0,0,0,0,-5.1,-6.3,0,1.5,527.1,-448,11.75,-14.2,-6.8,-10.9,-10.1,-10,-7.6,-11.6,-10.9,-10.9,-7.8,-8.2,3,9,-9.8,-7.6,0,0,0,0,0,0,1,1,2,0,20,18,12,14,10,11,9,9,13,0,0,0,0,0,0,0,0,0
0.0,186,92.55,91.84,92.75,0,0,0,0.1,150.0,0.03,0.1,0,3.4,234,1,1,0,0,0,0,0,0,0,0,-5.2,-6.5,0,1.5,527.1,-448,11.75,-14.1,-6.8,-10.9,-10.1,-10,-7.6,-11.6,-10.9,-10.9,-7.8,-8.2,3,9,-9.8,-7.6,0,0,0,0,0,0,1,1,2,0,20,18,12,14,10,12,9,9,14,0,0,0,0,0,0,0,0,0
0.0,188,92.55,91.84,92.75,0,0,0,0.1,157.0,0.02,0.1,0,3.7,227,1,1,0,0,0,0,0,0,0,0,-5.4,-6.6,0,1.5,527.1,-448,11.75,-14.1,-6.8,-10.9,-10.1,-10,-7.6,-11.8,-10.9,-10.9,-7.9,-8.2,5,8,-10.3,-7.8,0,0,0,0,0,0,1,1,2,0,20,18,12,14,10,11,8,8,16,0,0,0,0,0,0,0,0,0
0.0,188,92.55,91.84,92.75,0,0,0,0.09,145.5,0.02,0.1,0,4.4,234,1,1,0,0,0,0,0,0,0,0,-6.1,-6.8,0,1.5,527.1,-448,11.75,-14.1,-6.8,-10.9,-10.1,-10,-7.6,-11.8,-10.9,-10.9,-7.9,-8.2,4,8,-10.1,-7.8,0,0,0,0,0,0,1,1,2,0,20,18,12,14,10,11,8,8,15,0,0,0,0,0,0,0,0,0
0.0,188,92.55,91.84,92.75,0,0,0,0.09,155.5,0.02,0.1,0,4.1,232,1,1,0,0,0,0,0,0,0,0,-5.9,-6.7,0,1.5,527.1,-448,11.75,-14.1,-6.8,-10.9,-10.1,-10,-7.6,-11.8,-10.9,-10.9,-7.9,-8.2,4,8,-10.1,-7.8,0,0,0,0,0,0,1,1,2,0,20,18,12,14,10,11,8,8,15,0,0,0,0,0,0,0,0,0
0.0,188,92.55,91.84,92.75,0,0,0,0.09,153.5,0.02,0.1,0,4.1,232,1,1,0,0,0,0,0,0,0,0,-5.3,-6.3,0,1.5,527.1,-448,11.75,-14.1,-6.8,-10.9,-10.1,-10,-7.6,-11.8,-10.9,-10.9,-7.9,-8.2,4,8,-10.1,-7.8,0,0,0,0,0,0,1,1,2,0,20,18,12,14,10,11,8,8,15,0,0,0,0,0,0,0,0,0
0.0,188,92.55,91.84,92.75,0,0,0,0.1,157.5,0.02,0.1,0,3.9,227,1,1,0,0,0,0,0,0,0,0,-6.1,-6.8,0,1.5,527.1,-448,11.75,-14.1,-6.8,-10.9,-10.1,-10,-7.6,-11.8,-10.9,-10.9,-7.9,-8.2,4,8,-10.3,-7.8,0,0,0,0,0,0,1,1,2,0,20,18,12,14,10,11,8,8,16,0,0,0,0,0,0,0,0,0
0.0,188,92.55,91.84,92.75,0,0,0,0.1,156.0,0.02,0.1,0,4.3,227,1,1,0,0,0,0,0,0,0,0,-5.7,-6.2,0,1.5,527.1,-448,11.75,-14.1,-6.8,-10.9,-10.1,-10,-7.6,-11.8,-10.9,-10.9,-7.9,-8.2,5,8,-10.3,-7.8,0,0,0,0,0,0,1,1,2,0,20,18,12,14,10,11,8,8,15,0,0,0,0,0,0,0,0,0
0.0,187,92.55,91.84,92.75,0,0,0,0.09,148.5,0.02,0.09,0,3.9,231,1,1,0,0,0,0,0,0,0,0,-6.0,-6.9,0,1.5,527.1,-448,11.75,-14.1,-6.8,-10.9,-10.1,-10,-7.6,-11.7,-10.9,-10.9,-7.9,-8.2,3,8,-10.0,-7.6,0,0,0,0,0,0,1,1,2,0,20,18,12,14,10,11,8,8,14,0,0,0,0,0,0,0,0,0
0.0,189,92.55,91.84,92.75,0,0,0,0.09,157.8,0.03,0.1,0,4.3,225,1,1,0,0,0,0,0,0,0,0,-5.9,-6.8,0,1.5,527.1,-448,11.75,-14.1,-6.8,-10.9,-10.1,-10,-7.6,-11.8,-10.9,-10.9,-7.9,-8.2,5,8,-10.3,-7.8,0,0,0,0,0,0,1,1,2,0,20,18,12,14,10,11,8,8,16,0,0,0,0,0,0,0,0,0
0.0,186,92.55,91.84,92.75,0,0,0,0.09,159.0,0.02,0.1,0,3.7,231,1,1,0,0,0,0,0,0,0,0,-5.4,-6.6,0,1.5,527.1,-448,11.75,-14.1,-6.8,-10.9,-10.1,-10,-7.6,-11.6,-10.9,-10.9,-7.9,-8.2,3,9,-9.9,-7.6,0,0,0,0,0,0,1,1,2,0,20,18,12,14,10,11,9,9,13,0,0,0,0,0,0,0,0,0
0.0,186,92.55,91.84,92.75,0,0,0,0.1,154.2,0.03,0.1,0,3.7,231,1,1,0,0,0,0,0,0,0,0,-5.8,-6.7,0,1.5,527.1,-448,11.75,-14.1,-6.8,-10.9,-10.1,-10,-7.6,-11.6,-10.9,-10.9,-7.8,-8.2,3,9,-9.9,-7.6,0,0,0,0,0,0,1,1,2,0,20,18,12,14,10,11,9,9,14,0,0,0,0,0,0,0,0,0
0.0,187,92.55,91.84,92.75,0,0,0,0.09,159.7,0.03,0.11,0,4.0,227,1,1,0,0,0,0,0,0,0,0,-5.2,-6.1,0,1.5,527.1,-448,11.75,-14.1,-6.8,-10.9,-10.1,-10,-7.6,-11.6,-10.9,-10.9,-7.9,-8.2,3,9,-9.9,-7.6,0,0,0,0,0,0,1,1,2,0,20,18,12,14,10,11,9,9,14,0,0,0,0,0,0,0,0,0
0.0,188,92.55,91.84,92.75,0,0,0,0.09,152.5,0.02,0.1,0,3.9,228,1,1,0,0,0,0,0,0,0,0,-5.4,-6.4,0,1.5,527.1,-448,11.75,-14.1,-6.8,-10.9,-10.1,-10,-7.6,-11.8,-10.9,-10.9,-7.9,-8.2,4,8,-10.1,-7.8,0,0,0,0,0,0,1,1,2,0,20,18,12,14,10,11,8,8,15,0,0,0,0,0,0,0,0,0
0.0,186,92.55,91.84,92.75,0,0,0,0.1,158.9,0.03,0.1,0,3.2,222,1,1,0,0,0,0,0,0,0,0,-5.7,-6.7,0,1.5,527.1,-448,11.75,-14.2,-6.8,-10.9,-10.1,-10,-7.6,-11.6,-10.9,-10.9,-7.8,-8.2,3,9,-9.8,-7.6,0,0,0,0,0,0,1,1,2,0,20,18,12,14,10,11,9,9,13,0,0,0,0,0,0,0,0,0
0.0,186,92.55,91.84,92.75,0,0,0,0.09,156.2,0.03,0.1,0,3.6,231,1,1,0,0,0,0,0,0,0,0,-5.7,-6.2,0,1.5,527.1,-448,11.75,-14.1,-6.8,-10.9,-10.1,-10,-7.6,-11.6,-10.9,-10.9,-7.8,-8.2,3,10,-9.9,-7.6,0,0,0,0,0,0,1,1,2,0,20,18,12,14,10,11,10,10,14,0,0,0,0,0,0,0,0,0
0.0,187,92.55,91.84,92.75,0,0,0,0.1,149.2,0.03,0.09,0,4.3,229,1,1,0,0,0,0,0,0,0,0,-5.8,-6.7,0,1.5,527.1,-448,11.75,-14.1,-6.8,-10.9,-10.1,-10,-7.6,-11.6,-10.9,-10.9,-7.9,-8.2,3,9,-9.9,-7.6,0,0,0,0,0,0,1,1,2,0,20,18,12,14,10,11,9,9,14,0,0,0,0,0,0,0,0,0
0.0,188,92.55,91.84,92.75,0,0,0,0.09,144.8,0.02,0.1,0,4.3,234,1,1,0,0,0,0,0,0,0,0,-5.3,-6.1,0,1.5,527.1,-448,11.75,-14.1,-6.8,-10.9,-10.1,-10,-7.6,-11.8,-10.9,-10.9,-7.9,-8.2,4,8,-10.1,-7.8,0,0,0,0,0,0,1,1,2,0,20,18,12,14,10,11,8,8,15,0,0,0,0,0,0,0,0,0
0.0,188,92.55,91.84,92.75,0,0,0,0.1,157.4,0.02,0.1,0,3.9,231,1,1,0,0,0,0,0,0,0,0,-5.8,-6.3,0,1.5,527.1,-448,11.75,-14.1,-6.8,-10.9,-10.1,-10,-7.6,-11.8,-10.9,-10.9,-7.9,-8.2,4,8,-10.1,-7.8,0,0,0,0,0,0,1,1,2,0,20,18,12,14,10,11,8,8,15,0,0,0,0,0,0,0,0,0
0.0,187,92.55,91.84,92.75,0,0,0,0.09,148.3,0.02,0.1,0,3.9,233,1,1,0,0,0,0,0,0,0,0,-6.1,-6.7,0,1.5,527.1,-448,11.75,-14.1,-6.8,-10.9,-10.1,-10,-7.6,-11.8,-10.9,-10.9,-7.9,-8.2,3,8,-10.1,-7.7,0,0,0,0,0,0,1,1,2,0,20,18,12,14,10,11,8,8,15,0,0,0,0,0,0,0,0,0
0.0,187,92.55,91.84,92.75,0,0,0,0.1,166.1,0.03,0.12,0,3.2,228,1,1,0,0,0,0,0,0,0,0,-6.0,-6.8,0,1.5,527.1,-448,11.75,-14.1,-6.8,-10.9,-10.1,-10,-7.6,-11.6,-10.9,-10.9,-7.9,-8.2,3,9,-9.9,-7.6,0,0,0,0,0,0,1,1,2,0,20,18,12,14,10,11,9,9,14,0,0,0,0,0,0,0,0,0
0.0,188,92.55,91.84,92.75,0,0,0,0.09,150.0,0.02,0.1,0,4.2,229,1,1,0,0,0,0,0,0,0,0,-5.2,-6.3,0,1.5,527.1,-448,11.75,-14.1,-6.8,-10.9,-10.1,-10,-7.6,-11.8,-10.9,-10.9,-7.9,-8.2,4,8,-10.1,-7.8,0,0,0,0,0,0,1,1,2,0,20,18,12,14,10,11,8,8,14,0,0,0,0,0,0,0,0,0
0.0,187,92.55,91.84,92.75,0,0,0,0.1,150.7,0.02,0.1,0,3.3,231,1,1,0,0,0,0,0,0,0,0,-5.6,-6.2,0,1.5,527.1,-448,11.75,-14.1,-6.8,-10.9,-10.1,-10,-7.6,-11.7,-10.9,-10.9,-7.9,-8.2,4,9,-10.1,-7.6,0,0,0,0,0,0,1,1,2,0,20,18,12,14,10,11,9,9,14,0,0,0,0,0,0,0,0,0
0.0,188,92.55,91.84,92.75,0,0,0,0.09,157.1,0.02,0.1,0,3.9,231,1,1,0,0,0,0,0,0,0,0,-5.7,-6.2,0,1.5,527.1,-448,11.75,-14.1,-6.8,-10.9,-10.1,-10,-7.6,-11.8,-10.9,-10.9,-7.9,-8.2,4,8,-10.1,-7.8,0,0,0,0,0,0,1,1,2,0,20,18,12,14,10,11,8,8,15,0,0,0,0,0,0,0,0,0
0.0,188,92.55,91.84,92.75,0,0,0,0.09,156.4,0.02,0.1,0,3.8,228,1,1,0,0,0,0,0,0,0,0,-6.1,-6.9,0,1.5,527.1,-448,11.75,-14.1,-6.8,-10.9,-10.1,-10,-7.6,-11.8,-10.9,-10.9,-7.9,-8.2,4,8,-10.3,-7.8,0,0,0,0,0,0,1,1,2,0,20,18,12,14,10,12,8,8,16,0,0,0,0,0,0,0,0,0
0.0,187,92.55,91.84,92.75,0,0,0,0.09,155.0,0.02,0.1,0,4.1,229,1,1,0,0,0,0,0,0,0,0,-5.8,-6.5,0,1.5,527.1,-448,11.75,-14.1,-6.8,-10.9,-10.1,-10,-7.6,-11.6,-10.9,-10.9,-7.9,-8.2,3,9,-9.9,-7.6,0,0,0,0,0,0,1,1,2,0,20,18,12,14,10,11,9,9,15,0,0,0,0,0,0,0,0,0
0.0,187,92.55,91.84,92.75,0,0,0,0.09,151.7,0.02,0.1,0,3.4,229,1,1,0,0,0,0,0,0,0,0,-5.7,-6.2,0,1.5,527.1,-448,11.75,-14.1,-6.8,-10.9,-10.1,-10,-7.6,-11.6,-10.9,-10.9,-7.9,-8.2,3,9,-9.9,-7.6,0,0,0,0,0,0,1,1,2,0,20,18,12,14,10,11,9,9,14,0,0,0,0,0,0,0,0,0
0.0,187,92.55,91.84,92.75,0,0,0,0.09,147.7,0.03,0.1,0,4.1,232,1,1,0,0,0,0,0,0,0,0,-5.8,-6.7,0,1.5,527.1,-448,11.75,-14.1,-6.8,-10.9,-10.1,-10,-7.6,-11.8,-10.9,-10.9,-7.9,-8.2,3,8,-10.1,-7.6,0,0,0,0,0,0,1,1,2,0,20,18,12,14,10,11,8,8,15,0,0,0,0,0,0,0,0,0
0.0,188,92.55,91.84,92.75,0,0,0,0.09,159.1,0.02,0.1,0,4.0,226,1,1,0,0,0,0,0,0,0,0,-5.4,-6.1,0,1.5,527.1,-448,11.75,-14.1,-6.8,-10.9,-10.1,-10,-7.6,-11.8,-10.9,-10.9,-7.9,-8.2,4,8,-10.3,-7.8,0,0,0,0,0,0,1,1,2,0,20,18,12,14,10,11,8,8,15,0,0,0,0,0,0,0,0,0
0.0,187,92.55,91.84,92.75,0,0,0,0.09,143.9,0.02,0.1,0,4.7,234,1,1,0,0,0,0,0,0,0,0,-5.8,-6.8,0,1.5,527.1,-448,11.75,-14.1,-6.8,-10.9,-10.1,-10,-7.6,-11.6,-10.9,-10.9,-7.9,-8.2,3,9,-9.9,-7.6,0,0,0,0,0,0,1,1,2,0,20,18,12,14,10,11,9,9,14,0,0,0,0,0,0,0,0,0
0.0,187,92.55,91.84,92.75,0,0,0,0.1,147.5,0.02,0.1,0,4.4,233,1,1,0,0,0,0,0,0,0,0,-5.8,-6.4,0,1.5,527.1,-448,11.75,-14.1,-6.8,-10.9,-10.1,-10,-7.6,-11.8,-10.9,-10.9,-7.9,-8.2,4,8,-10.1,-7.7,0,0,0,0,0,0,1,1,2,0,20,18,12,14,10,11,8,8,15,0,0,0,0,0,0,0,0,0
0.0,186,92.55,91.84,92.75,0,0,0,0.1,141.1,0.02,0.1,0,4.1,232,1,1,0,0,0,0,0,0,0,0,-5.5,-6.7,0,1.5,527.1,-448,11.75,-14.1,-6.8,-10.9,-10.1,-10,-7.6,-11.6,-10.9,-10.9,-7.8,-8.2,3,8,-9.8,-7.6,0,0,0,0,0,0,1,1,2,0,20,18,12,14,10,11,8,8,14,0,0,0,0,0,0,0,0,0
0.0,187,92.55,91.84,92.75,0,0,0,0.1,151.3,0.03,0.1,0,3.8,229,1,1,0,0,0,0,0,0,0,0,-5.2,-6.3,0,1.5,527.1,-448,11.75,-14.1,-6.8,-10.9,-10.1,-10,-7.6,-11.6,-10.9,-10.9,-7.9,-8.2,3,9,-9.9,-7.6,0,0,0,0,0,0,1,1,2,0,20,18,12,14,10,11,9,9,15,0,0,0,0,0,0,0,0,0
0.0,188,92.55,91.84,92.75,0,0,0,0.1,149.6,0.02,0.1,0,4.2,234,1,1,0,0,0,0,0,0,0,0,-5.8,-6.9,0,1.5,527.1,-448,11.75,-14.1,-6.8,-10.9,-10.1,-10,-7.6,-11.8,-10.9,-10.9,-7.9,-8.2,4,8,-10.1,-7.8,0,0,0,0,0,0,1,1,2,0,20,18,12,14,10,11,8,8,15,0,0,0,0,0,0,0,0,0
0.01,188,92.55,91.84,92.75,0,0,0,0.1,154.7,0.02,0.1,0,4.0,227,1,1,0,0,0,0,0,0,0,0,-5.7,-6.2,0,1.5,527.1,-448,11.75,-14.1,-6.8,-10.9,-10.1,-10,-7.6,-11.8,-10.9,-10.9,-7.9,-8.2,4,8,-10.3,-7.8,0,0,0,0,0,0,1,1,2,0,20,18,12,14,10,11,8,8,16,0,0,0,0,0,0,0,0,0
0.0,187,92.55,91.84,92.75,0,0,0,0.09,152.3,0.02,0.1,0,3.9,228,1,1,0,0,0,0,0,0,0,0,-5.7,-6.8,0,1.5,527.1,-448,11.75,-14.1,-6.8,-10.9,-10.1,-10,-7.6,-11.6,-10.9,-10.9,-7.8,-8.2,3,8,-9.9,-7.6,0,0,0,0,0,0,1,1,2,0,20,18,12,14,10,11,8,8,14,0,0,0,0,0,0,0,0,0
0.0,187,92.55,91.84,92.75,0,0,0,0.09,148.6,0.02,0.1,0,4.4,232,1,1,0,0,0,0,0,0,0,0,-5.6,-6.1,0,1.5,527.1,-448,11.75,-14.1,-6.8,-10.9,-10.1,-10,-7.6,-11.6,-10.9,-10.9,-7.9,-8.2,3,8,-9.9,-7.6,0,0,0,0,0,0,1,1,2,0,20,18,12,14,10,11,8,8,14,0,0,0,0,0,0,0,0,0
0.0,186,92.55,91.84,92.75,0,0,0,0.09,154.7,0.02,0.1,0,4.1,223,1,1,0,0,0,0,0,0,0,0,-5.3,-6.0,0,1.5,527.1,-448,11.75,-14.2,-6.8,-10.9,-10.1,-10,-7.6,-11.6,-10.9,-10.9,-7.8,-8.2,3,9,-9.8,-7.6,0,0,0,0,0,0,1,1,2,0,20,18,12,14,10,11,9,9,13,0,0,0,0,0,0,0,0,0
0.0,187,92.55,91.84,92.75,0,0,0,0.09,152.9,0.02,0.1,0,4.1,229,1,1,0,0,0,0,0,0,0,0,-5.7,-6.7,0,1.5,527.1,-448,11.75,-14.1,-6.8,-10.9,-10.1,-10,-7.6,-11.7,-10.9,-10.9,-7.9,-8.2,3,9,-9.9,-7.6,0,0,0,0,0,0,1,1,2,0,20,18,12,14,10,11,9,9,14,0,0,0,0,0,0,0,0,0
0.0,186,92.55,91.84,92.75,0,0,0,0.09,143.4,0.02,0.1,0,4.3,235,1,1,0,0,0,0,0,0,0,0,-5.8,-6.6,0,1.5,527.1,-448,11.75,-14.1,-6.8,-10.9,-10.1,-10,-7.6,-11.6,-10.9,-10.9,-7.8,-8.2,3,9,-9.8,-7.6,0,0,0,0,0,0,1,1,2,0,20,18,12,14,10,11,9,9,14,0,0,0,0,0,0,0,0,0
0.0,188,92.55,91.84,92.75,0,0,0,0.09,156.0,0.02,0.1,0,4.0,229,1,1,0,0,0,0,0,0,0,0,-5.6,-6.6,0,1.5,527.1,-448,11.75,-14.1,-6.8,-10.9,-10.1,-10,-7.6,-11.8,-10.9,-10.9,-7.9,-8.2,4,8,-10.3,-7.8,0,0,0,0,0,0,1,1,2,0,20,18,12,14,10,11,8,8,15,0,0,0,0,0,0,0,0,0
0.0,188,92.55,91.84,92.75,0,0,0,0.09,152.9,0.02,0.1,0,4.0,228,1,1,0,0,0,0,0,0,0,0,-6.0,-6.6,0,1.5,527.1,-448,11.75,-14.1,-6.8,-10.9,-10.1,-10,-7.6,-11.8,-10.9,-10.9,-7.9,-8.2,4,8,-10.1,-7.8,0,0,0,0,0,0,1,1,2,0,20,18,12,14,10,11,8,8,15,0,0,0,0,0,0,0,0,0
0.0,187,92.55,91.84,92.75,0,0,0,0.1,150.3,0.03,0.1,0,3.6,232,1,1,0,0,0,0,0,0,0,0,-5.9,-6.8,0,1.5,527.1,-448,11.75,-14.1,-6.8,-10.9,-10.1,-10,-7.6,-11.8,-10.9,-10.9,-7.9,-8.2,3,9,-10.1,-7.6,0,0,0,0,0,0,1,1,2,0,20,18,12,14,10,11,9,9,14,0,0,0,0,0,0,0,0,0
0.0,187,92.55,91.84,92.75,0,0,0,0.1,148.1,0.02,0.1,0,4.2,233,1,1,0,0,0,0,0,0,0,0,-5.7,-6.2,0,1.5,527.1,-448,11.75,-14.1,-6.8,-10.9,-10.1,-10,-7.6,-11.8,-10.9,-10.9,-7.9,-8.2,4,8,-10.1,-7.7,0,0,0,0,0,0,1,1,2,0,20,18,12,14,10,11,8,8,15,0,0,0,0,0,0,0,0,0
0.0,187,92.55,91.84,92.75,0,0,0,0.1,149.5,0.02,0.1,0,4.5,233,1,1,0,0,0,0,0,0,0,0,-5.3,-6.4,0,1.5,527.1,-448,11.75,-14.1,-6.8,-10.9,-10.1,-10,-7.6,-11.6,-10.9,-10.9,-7.8,-8.2,3,9,-9.9,-7.6,0,0,0,0,0,0,1,1,2,0,20,18,12,14,10,11,9,9,14,0,0,0,0,0,0,0,0,0
0.0,187,92.55,91.84,92.75,0,0,0,0.1,162.4,0.02,0.1,0,4.0,227,1,1,0,0,0,0,0,0,0,0,-5.9,-6.7,0,1.5,527.1,-448,11.75,-14.1,-6.8,-10.9,-10.1,-10,-7.6,-11.6,-10.9,-10.9,-7.9,-8.2,3,9,-9.9,-7.6,0,0,0,0,0,0,1,1,2,0,20,18,12,14,10,11,9,9,14,0,0,0,0,0,0,0,0,0
