轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
0.0,101,92.55,91.84,92.75,0,0,0,0.11,-75.5,0.06,0.1,0,10.7,167,1,1,0,0,0,0,0,0,0,0,5.5,4.7,0,1.7,527.1,-448,11.75,3.0,8.9,4.4,5.3,5.6,8,3.8,4.3,4.3,4.6,4.6,12,16,3.8,6.5,0,0,0,0,0,0,1,1,2,0,27,27,26,19,15,17,16,16,22,0,0,0,0,0,0,0,0,0
0.0,101,92.55,91.84,92.75,0,0,0,0.1,-76.8,0.03,0.11,0,11.5,167,1,1,0,0,0,0,0,0,0,0,5.5,4.6,0,1.7,527.1,-448,11.75,3.0,8.9,4.4,5.3,5.6,8,3.8,4.3,4.3,4.6,4.6,12,16,3.9,6.5,0,0,0,0,0,0,1,1,2,0,27,27,26,19,15,17,16,16,21,0,0,0,0,0,0,0,0,0
0.0,100,92.55,91.84,92.75,0,0,0,0.11,-75.4,0.04,0.11,0,11.8,166,1,1,0,0,0,0,0,0,0,0,5.7,4.7,0,1.7,527.1,-448,11.75,2.9,8.9,4.4,5.5,5.6,8,3.9,4.4,4.3,4.6,4.6,12,16,4.0,6.5,0,0,0,0,0,0,1,1,2,0,27,28,26,19,15,17,16,16,21,0,0,0,0,0,0,0,0,0
0.0,100,92.55,91.84,92.75,0,0,0,0.11,-73.7,0.01,0.13,0,9.4,167,1,1,0,0,0,0,0,0,0,0,5.6,4.7,0,1.7,527.1,-448,11.75,3.0,8.9,4.4,5.4,5.6,8,3.9,4.4,4.3,4.6,4.5,12,16,4.0,6.5,0,0,0,0,0,0,1,1,2,0,27,28,26,19,15,17,16,16,22,0,0,0,0,0,0,0,0,0
0.0,100,92.55,91.84,92.75,0,0,0,0.11,-74.6,0.03,0.11,0,12.1,165,1,1,0,0,0,0,0,0,0,0,5.3,4.7,0,1.7,527.1,-448,11.75,2.8,8.9,4.4,5.5,5.6,8,3.9,4.4,4.3,4.6,4.6,12,16,4.0,6.5,0,0,0,0,0,0,1,1,2,0,26,28,26,19,15,17,16,16,22,0,0,0,0,0,0,0,0,0
0.0,100,92.55,91.84,92.75,0,0,0,0.1,-72.6,0.05,0.11,0,11.5,163,1,1,0,0,0,0,0,0,0,0,5.8,4.9,0,1.7,527.1,-448,11.75,2.8,8.9,4.4,5.5,5.6,8,3.9,4.4,4.3,4.6,4.6,13,16,4.0,6.5,0,0,0,0,0,0,1,1,2,0,26,28,26,19,15,17,16,16,22,0,0,0,0,0,0,0,0,0
0.01,102,92.55,91.84,92.75,0,0,0,0.1,-74.5,0.05,0.11,0,8.5,167,1,1,0,0,0,0,0,0,0,0,5.5,4.7,0,1.7,527.1,-448,11.75,3.0,8.9,4.4,5.3,5.6,8,3.8,4.3,4.1,4.6,4.6,13,16,3.8,6.3,0,0,0,0,0,0,1,1,2,0,27,26,26,19,15,17,16,16,22,0,0,0,0,0,0,0,0,0
0.0,100,92.55,91.84,92.75,0,0,0,0.11,-69.3,0.07,0.12,0,11.3,163,1,1,0,0,0,0,0,0,0,0,5.7,4.8,0,1.7,527.1,-448,11.75,2.8,8.9,4.4,5.5,5.6,8,3.9,4.4,4.3,4.6,4.6,13,16,4.0,6.5,0,0,0,0,0,0,1,1,2,0,26,28,26,19,15,17,16,16,22,0,0,0,0,0,0,0,0,0
0.0,102,92.55,91.84,92.75,0,0,0,0.1,-76.0,0.01,0.1,0,11.5,168,1,1,0,0,0,0,0,0,0,0,5.7,4.8,0,1.7,527.1,-448,11.75,3.0,8.9,4.4,5.3,5.6,8,3.8,4.3,4.3,4.6,4.6,12,16,3.8,6.5,0,0,0,0,0,0,1,1,2,0,27,27,26,19,15,17,16,16,22,0,0,0,0,0,0,0,0,0
0.0,101,92.55,91.84,92.75,0,0,0,0.11,-76.6,0.05,0.11,0,11.3,166,1,1,0,0,0,0,0,0,0,0,5.6,4.8,0,1.7,527.1,-448,11.75,3.0,8.9,4.4,5.3,5.6,8,3.9,4.3,4.3,4.6,4.6,13,16,4.0,6.5,0,0,0,0,0,0,1,1,2,0,27,27,26,19,15,17,16,16,22,0,0,0,0,0,0,0,0,0
