轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
0.11,32.0,85.98,85.98,85.98,10.5,11.2,11.8,0.0,-46.5,0.03,0.1,209.9,1.8,131.0,1.0,1.0,379.0,686.0,0.0,-4.0,0.0,0.0,1.9,0.0,30.7,30.6,0.4,3.5,425.4,0.0,10.95,22.3,23.6,18.3,24.7,19.4,22.1,18.9,19.7,19.7,28.4,30.7,33.0,49.0,24.3,27.5,36.0,30.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,26.0,24.0,24.0,34.0,30.0,33.0,49.0,49.0,45.0,45.03,45.04,44.42,60.0,520.0,5.1,0.0,0.0,0.0
0.13,32.0,85.98,85.98,85.98,10.4,11.2,11.8,0.0,-41.1,0.04,0.11,209.8,0.9,134.0,1.0,1.0,379.0,686.0,0.0,-1.0,0.0,0.0,1.9,0.0,29.3,30.2,0.3,3.5,425.4,0.0,10.95,22.2,23.6,18.2,24.7,19.3,22.1,18.9,19.6,19.7,28.4,30.7,33.0,48.0,24.3,27.3,35.0,29.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,26.0,24.0,24.0,34.0,31.0,33.0,48.0,48.0,44.0,45.04,45.03,44.41,63.0,530.0,5.2,0.0,0.0,0.0
0.12,32.0,85.98,85.98,85.98,10.4,11.2,11.8,0.0,-41.5,0.03,0.1,209.8,1.4,122.0,1.0,1.0,376.0,686.0,0.0,-1.0,0.0,0.0,1.9,0.0,29.9,30.3,0.3,3.5,425.4,0.0,10.95,22.3,23.6,18.3,24.7,19.4,22.1,18.9,19.6,19.7,28.4,30.7,34.0,49.0,24.3,27.5,36.0,29.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,26.0,24.0,24.0,33.0,31.0,33.0,49.0,49.0,44.0,45.03,45.03,44.41,63.0,520.0,5.1,0.0,0.0,0.0
0.11,32.0,85.98,85.98,85.98,10.6,11.0,11.8,0.0,-73.3,0.03,0.11,209.8,1.9,147.0,1.0,1.0,376.0,685.0,0.0,0.0,0.0,0.0,1.9,0.0,32.4,32.4,0.4,3.6,425.4,0.0,10.95,22.2,23.6,18.2,24.6,19.2,22.1,18.9,19.6,19.7,28.5,30.8,33.0,48.0,24.3,27.3,38.0,32.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,26.0,24.0,24.0,34.0,30.0,33.0,48.0,48.0,44.0,45.03,45.03,44.42,62.0,530.0,5.1,0.0,0.0,0.0
0.13,32.0,85.98,85.98,85.98,10.5,11.0,11.8,0.0,-72.2,0.04,0.11,209.6,0.4,148.0,1.0,1.0,376.0,686.0,0.0,-2.0,0.0,0.0,1.9,0.0,30.9,31.4,0.4,3.5,425.4,0.0,10.95,22.2,23.6,18.2,24.6,19.2,22.1,18.9,19.6,19.7,28.5,30.7,33.0,48.0,24.3,27.3,37.0,30.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,26.0,24.0,24.0,34.0,31.0,33.0,48.0,48.0,44.0,45.03,45.03,44.42,62.0,520.0,5.1,0.0,0.0,0.0
0.16,32.0,85.98,85.98,85.98,10.4,11.2,11.8,0.0,-30.4,0.03,0.1,210.0,0.1,139.0,1.0,1.0,375.0,686.0,0.0,-2.0,0.0,0.0,1.9,0.0,29.8,30.7,0.3,3.5,425.4,0.0,10.95,22.2,23.6,18.2,24.6,19.2,22.1,18.9,19.6,19.7,28.4,30.7,33.0,48.0,24.3,27.3,36.0,30.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,26.0,24.0,24.0,34.0,31.0,33.0,48.0,48.0,44.0,45.03,45.03,44.42,63.0,530.0,5.1,0.0,0.0,0.0
0.12,32.0,85.98,85.98,85.98,10.6,11.0,11.8,0.0,-51.5,0.03,0.1,209.8,2.5,143.0,1.0,1.0,375.0,686.0,0.0,1.0,0.0,0.0,1.9,0.0,31.9,32.8,0.4,3.6,425.4,0.0,10.95,22.2,23.6,18.2,24.6,19.2,22.1,18.9,19.6,19.7,28.5,30.8,33.0,48.0,24.3,27.3,38.0,31.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,26.0,24.0,24.0,34.0,31.0,33.0,48.0,48.0,44.0,45.03,45.03,44.42,63.0,520.0,5.1,0.0,0.0,0.0
0.12,32.0,85.98,85.98,85.98,10.6,11.0,11.8,0.0,-56.2,0.03,0.1,209.6,1.9,148.0,1.0,1.0,375.0,685.0,0.0,0.0,0.0,0.0,1.9,0.0,33.0,33.3,0.4,3.6,425.4,0.0,10.95,22.2,23.6,18.2,24.6,19.2,22.1,18.9,19.6,19.7,28.5,30.8,33.0,48.0,24.3,27.3,38.0,32.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,26.0,24.0,24.0,34.0,31.0,33.0,48.0,48.0,44.0,45.03,45.04,44.42,62.0,520.0,5.1,0.0,0.0,0.0
0.1,32.0,85.98,85.98,85.98,10.5,11.2,11.8,0.0,-46.0,0.03,0.1,209.9,1.8,124.0,1.0,1.0,376.0,686.0,0.0,0.0,0.0,0.0,1.9,0.0,31.4,31.6,0.4,3.6,425.4,0.0,10.95,22.3,23.6,18.3,24.7,19.4,22.1,18.9,19.7,19.7,28.4,30.7,34.0,49.0,24.3,27.5,37.0,31.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,26.0,24.0,24.0,34.0,31.0,33.0,49.0,49.0,45.0,45.03,45.03,44.42,63.0,540.0,5.2,0.0,0.0,0.0
0.11,32.0,85.98,85.98,85.98,10.4,11.2,11.8,0.0,-51.6,0.04,0.1,210.0,2.0,130.0,1.0,1.0,375.0,686.0,0.0,0.0,0.0,0.0,1.9,0.0,30.7,30.7,0.4,3.5,425.4,0.0,10.95,22.3,23.6,18.3,24.7,19.4,22.1,18.9,19.6,19.7,28.4,30.7,33.0,49.0,24.3,27.5,36.0,30.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,26.0,24.0,24.0,34.0,30.0,33.0,49.0,49.0,45.0,45.03,45.03,44.42,62.0,540.0,5.1,0.0,0.0,0.0
0.12,32.0,85.98,85.98,85.98,10.6,11.0,11.8,0.0,-51.0,0.03,0.1,209.8,0.8,144.0,1.0,1.0,374.0,686.0,0.0,1.0,0.0,0.0,1.9,0.0,32.2,33.0,0.4,3.6,425.4,0.0,10.95,22.2,23.6,18.2,24.6,19.2,22.1,18.9,19.6,19.7,28.5,30.8,33.0,48.0,24.3,27.3,38.0,31.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,26.0,24.0,24.0,34.0,30.0,33.0,48.0,48.0,44.0,45.03,45.03,44.42,62.0,540.0,5.1,0.0,0.0,0.0
0.13,32.0,85.98,85.98,85.98,10.6,11.0,11.8,0.0,-69.3,0.03,0.11,209.6,2.5,145.0,1.0,1.0,378.0,685.0,0.0,1.0,0.0,0.0,1.9,0.0,32.4,32.5,0.4,3.6,425.4,0.0,10.95,22.3,23.6,18.2,24.6,19.2,22.1,18.9,19.5,19.7,28.5,30.8,33.0,48.0,24.3,27.3,38.0,31.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,26.0,24.0,24.0,34.0,30.0,33.0,48.0,48.0,44.0,45.03,45.03,44.41,62.0,520.0,5.1,0.0,0.0,0.0
0.13,32.0,85.98,85.98,85.98,10.6,11.0,11.8,0.0,-86.6,0.03,0.1,209.8,2.1,155.0,1.0,1.0,375.0,685.0,0.0,-1.0,0.0,0.0,1.9,0.0,32.6,32.5,0.4,3.6,425.4,0.0,10.95,22.2,23.6,18.2,24.6,19.2,22.1,18.9,19.6,19.7,28.5,30.8,33.0,48.0,24.3,27.3,38.0,32.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,26.0,24.0,24.0,34.0,31.0,33.0,48.0,48.0,44.0,45.03,45.03,44.42,63.0,520.0,5.1,0.0,0.0,0.0
0.15,32.0,85.98,85.98,85.98,10.4,11.2,11.8,0.0,-41.4,0.03,0.1,210.0,1.4,122.0,1.0,1.0,376.0,686.0,0.0,-1.0,0.0,0.0,1.9,0.0,30.0,30.0,0.3,3.5,425.4,0.0,10.95,22.3,23.6,18.3,24.7,19.3,22.1,18.9,19.6,19.7,28.4,30.7,34.0,49.0,24.3,27.5,36.0,29.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,26.0,24.0,24.0,33.0,31.0,33.0,49.0,49.0,44.0,45.03,45.03,44.42,63.0,520.0,5.1,0.0,0.0,0.0
0.12,32.0,85.98,85.98,85.98,10.6,11.0,11.8,0.0,-44.9,0.03,0.1,209.7,1.9,141.0,1.0,1.0,374.0,685.0,0.0,2.0,0.0,0.0,1.9,0.0,32.0,31.7,0.4,3.6,425.4,0.0,10.95,22.3,23.6,18.2,24.6,19.2,22.1,18.9,19.6,19.7,28.5,30.8,33.0,48.0,24.2,27.3,37.0,31.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,26.0,24.0,24.0,34.0,31.0,33.0,48.0,48.0,45.0,45.03,45.03,44.41,62.0,530.0,5.1,0.0,0.0,0.0
0.11,32.0,85.98,85.98,85.98,10.4,11.2,11.8,0.0,-40.3,0.03,0.1,209.9,2.0,129.0,1.0,1.0,376.0,686.0,0.0,2.0,0.0,0.0,1.9,0.0,31.0,31.0,0.4,3.5,425.4,0.0,10.95,22.3,23.6,18.3,24.7,19.4,22.1,18.9,19.7,19.7,28.4,30.7,34.0,49.0,24.3,27.5,36.0,30.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,26.0,24.0,24.0,34.0,31.0,33.0,49.0,49.0,45.0,45.03,45.03,44.42,61.0,520.0,5.2,0.0,0.0,0.0
0.12,32.0,85.98,85.98,85.98,10.6,11.0,11.8,0.0,-77.0,0.03,0.1,209.6,1.2,151.0,1.0,1.0,378.0,685.0,0.0,0.0,0.0,0.0,1.9,0.0,32.5,32.6,0.4,3.6,425.4,0.0,10.95,22.2,23.6,18.2,24.6,19.2,22.1,18.9,19.6,19.7,28.5,30.8,33.0,48.0,24.3,27.3,38.0,32.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,26.0,24.0,24.0,34.0,31.0,33.0,48.0,48.0,44.0,45.03,45.03,44.42,62.0,520.0,5.1,0.0,0.0,0.0
0.13,32.0,85.98,85.98,85.98,10.6,11.0,11.8,0.0,-74.8,0.03,0.1,209.8,0.5,161.0,1.0,1.0,375.0,685.0,0.0,1.0,0.0,0.0,1.9,0.0,31.5,31.5,0.4,3.6,425.4,0.0,10.95,22.3,23.6,18.2,24.6,19.2,22.1,18.9,19.6,19.7,28.5,30.8,33.0,48.0,24.1,27.2,37.0,31.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,26.0,24.0,24.0,34.0,31.0,33.0,48.0,48.0,45.0,45.03,45.03,44.42,63.0,530.0,5.1,0.0,0.0,0.0
0.12,32.0,85.98,85.98,85.98,10.6,11.1,11.8,0.0,-53.8,0.03,0.1,209.6,0.8,154.0,1.0,1.0,375.0,684.0,0.0,2.0,0.0,0.0,1.9,0.0,31.5,31.4,0.4,3.6,425.4,0.0,10.95,22.2,23.6,18.2,24.6,19.2,22.1,18.9,19.6,19.7,28.5,30.8,33.0,48.0,24.1,27.2,37.0,31.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,26.0,24.0,24.0,34.0,31.0,33.0,48.0,48.0,45.0,45.03,45.03,44.41,63.0,530.0,5.1,0.0,0.0,0.0
0.09,32.0,85.98,85.98,85.98,10.4,11.2,11.8,0.0,-24.8,0.03,0.1,210.1,0.9,115.0,1.0,1.0,378.0,686.0,0.0,2.0,0.0,0.0,1.9,0.0,32.6,32.5,0.4,3.6,425.4,0.0,10.95,22.3,23.6,18.3,24.7,19.4,22.1,18.9,19.6,19.7,28.3,30.6,34.0,49.0,24.4,27.5,38.0,32.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,26.0,24.0,24.0,34.0,30.0,33.0,49.0,49.0,45.0,45.03,45.03,44.41,62.0,540.0,5.2,0.0,0.0,0.0
0.13,32.0,85.98,85.98,85.98,10.4,11.2,11.8,0.0,-56.0,0.03,0.1,209.9,0.5,135.0,1.0,1.0,379.0,686.0,0.0,-1.0,0.0,0.0,1.9,0.0,28.8,29.6,0.3,3.5,425.4,0.0,10.95,22.2,23.6,18.3,24.7,19.3,22.1,18.9,19.6,19.7,28.4,30.7,33.0,48.0,24.3,27.3,35.0,29.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,26.0,24.0,24.0,34.0,30.0,33.0,48.0,48.0,44.0,45.04,45.03,44.42,61.0,540.0,5.1,0.0,0.0,0.0
0.1,32.0,85.98,85.98,85.98,10.4,11.2,11.8,0.0,-42.0,0.03,0.11,210.0,1.4,122.0,1.0,1.0,374.0,686.0,0.0,-1.0,0.0,0.0,1.9,0.0,29.7,30.1,0.3,3.5,425.4,0.0,10.95,22.3,23.6,18.3,24.7,19.4,22.1,18.9,19.6,19.7,28.4,30.7,33.0,49.0,24.3,27.5,36.0,29.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,26.0,24.0,24.0,33.0,31.0,33.0,49.0,49.0,44.0,45.03,45.03,44.42,63.0,520.0,5.1,0.0,0.0,0.0
0.14,32.0,85.98,85.98,85.98,10.4,11.2,11.8,0.0,-48.1,0.03,0.1,209.9,1.4,126.0,1.0,1.0,378.0,686.0,0.0,-3.0,0.0,0.0,1.9,0.0,31.9,31.8,0.4,3.6,425.4,0.0,10.95,22.3,23.6,18.3,24.7,19.4,22.1,18.9,19.7,19.7,28.4,30.7,33.0,49.0,24.3,27.5,37.0,31.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,26.0,24.0,24.0,34.0,31.0,33.0,49.0,49.0,45.0,45.03,45.03,44.42,63.0,540.0,5.2,0.0,0.0,0.0
0.13,32.0,85.98,85.98,85.98,10.6,11.0,11.8,0.0,-75.1,0.03,0.1,209.6,1.2,141.0,1.0,1.0,376.0,685.0,0.0,2.0,0.0,0.0,1.9,0.0,30.8,30.7,0.4,3.5,425.4,0.0,10.95,22.3,23.6,18.2,24.6,19.2,22.1,18.9,19.6,19.7,28.5,30.8,33.0,48.0,24.1,27.2,36.0,0.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,26.0,24.0,24.0,34.0,31.0,33.0,48.0,48.0,45.0,45.03,45.03,44.42,63.0,530.0,5.1,0.0,0.0,0.0
0.11,32.0,85.98,85.98,85.98,10.4,11.2,11.8,0.0,-37.8,0.03,0.1,210.1,1.6,125.0,1.0,1.0,376.0,686.0,0.0,0.0,0.0,0.0,1.9,0.0,31.7,31.6,0.4,3.6,425.4,0.0,10.95,22.3,23.6,18.3,24.7,19.4,22.1,18.9,19.6,19.7,28.4,30.7,34.0,49.0,24.3,27.5,37.0,31.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,26.0,24.0,24.0,34.0,30.0,33.0,49.0,49.0,45.0,45.03,45.03,44.42,62.0,540.0,5.2,0.0,0.0,0.0
0.13,32.0,85.98,85.98,85.98,10.4,11.2,11.8,0.0,-50.2,0.03,0.11,209.9,2.0,130.0,1.0,1.0,374.0,685.0,0.0,2.0,0.0,0.0,1.9,0.0,31.0,30.8,0.4,3.6,425.4,0.0,10.95,22.3,23.6,18.3,24.7,19.4,22.1,18.9,19.7,19.7,28.4,30.7,34.0,49.0,24.3,27.5,37.0,30.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,26.0,24.0,24.0,34.0,31.0,33.0,49.0,49.0,45.0,45.03,45.03,44.42,62.0,540.0,5.2,0.0,0.0,0.0
0.11,32.0,85.98,85.98,85.98,10.6,11.0,11.8,0.0,-41.2,0.03,0.1,209.6,1.1,142.0,1.0,1.0,374.0,684.0,0.0,2.0,0.0,0.0,1.9,0.0,32.0,31.7,0.4,3.6,425.4,0.0,10.95,22.3,23.6,18.2,24.6,19.2,22.1,18.9,19.6,19.7,28.5,30.8,33.0,48.0,24.1,27.3,37.0,31.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,26.0,24.0,24.0,34.0,30.0,33.0,48.0,48.0,45.0,45.03,45.03,44.42,63.0,530.0,5.1,0.0,0.0,0.0
0.16,32.0,85.98,85.98,85.98,10.6,11.0,11.8,0.0,-90.9,0.03,0.1,209.4,0.3,165.0,1.0,1.0,378.0,685.0,0.0,-1.0,0.0,0.0,1.9,0.0,31.1,31.4,0.4,3.6,425.4,0.0,10.95,22.3,23.6,18.2,24.6,19.2,22.1,18.9,19.6,19.7,28.5,30.8,33.0,48.0,24.1,27.2,37.0,30.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,26.0,24.0,24.0,34.0,31.0,33.0,48.0,48.0,45.0,45.03,45.03,44.42,62.0,520.0,5.1,0.0,0.0,0.0
0.12,32.0,85.98,85.98,85.98,10.6,11.0,11.8,0.0,-67.1,0.03,0.1,209.6,1.0,145.0,1.0,1.0,373.0,685.0,0.0,2.0,0.0,0.0,1.9,0.0,30.8,30.7,0.4,3.5,425.4,0.0,10.95,22.3,23.6,18.2,24.6,19.2,22.1,18.9,19.6,19.7,28.5,30.8,33.0,48.0,24.1,27.2,36.0,30.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,26.0,24.0,24.0,34.0,31.0,33.0,48.0,48.0,45.0,45.03,45.03,44.42,63.0,530.0,5.1,0.0,0.0,0.0
0.13,32.0,85.98,85.98,85.98,10.4,11.2,11.8,0.0,-35.1,0.03,0.1,209.9,1.7,121.0,1.0,1.0,377.0,686.0,0.0,-4.0,0.0,0.0,1.9,0.0,30.0,30.0,0.3,3.5,425.4,0.0,10.95,22.2,23.6,18.3,24.7,19.3,22.1,18.9,19.6,19.7,28.4,30.7,34.0,48.0,24.3,27.5,35.0,29.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,26.0,24.0,24.0,34.0,31.0,33.0,48.0,48.0,44.0,45.03,45.03,44.41,62.0,520.0,5.1,0.0,0.0,0.0
0.16,32.0,85.98,85.98,85.98,10.6,11.0,11.8,0.0,-77.4,0.03,0.1,209.6,1.4,149.0,1.0,1.0,376.0,685.0,0.0,-2.0,0.0,0.0,1.9,0.0,32.7,32.7,0.4,3.6,425.4,0.0,10.95,22.2,23.6,18.2,24.6,19.2,22.1,18.9,19.6,19.7,28.5,30.8,33.0,48.0,24.3,27.3,38.0,32.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,26.0,24.0,24.0,34.0,31.0,33.0,48.0,48.0,44.0,45.04,45.03,44.42,63.0,520.0,5.1,0.0,0.0,0.0
