轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
0.0,217,92.55,91.84,92.75,0,0,0,0.09,88.2,0.08,0.1,0,9.4,296,1,1,0,0,0,0,0,0,0,0,-7.5,-8.7,0,1.6,527.1,-448,11.75,-4.8,0.0,-6.6,-2.8,-5.3,-2.3,-7.2,-6.8,-6.8,-6.9,-7.1,4,6,-3.8,-2.3,0,0,0,0,0,0,1,1,2,0,22,20,14,15,11,12,6,6,14,0,0,0,0,0,0,0,0,0
0.0,218,92.55,91.84,92.75,0,0,0,0.09,103.1,0.08,0.1,0,10.1,281,1,1,0,0,0,0,0,0,0,0,-7.4,-8.8,0,1.6,527.1,-448,11.75,-4.7,0.0,-6.6,-2.6,-5.2,-2.3,-7.1,-6.8,-6.8,-6.9,-7.1,3,6,-3.6,-2.2,0,0,0,0,0,0,1,1,2,0,22,20,14,15,11,12,6,6,13,0,0,0,0,0,0,0,0,0
0.0,217,92.55,91.84,92.75,0,0,0,0.1,89.1,-0.04,0.11,0,8.5,295,1,1,0,0,0,0,0,0,0,0,-7.5,-8.7,0,1.6,527.1,-448,11.75,-4.8,0.0,-6.6,-2.8,-5.3,-2.3,-7.2,-6.8,-6.8,-7.0,-7.1,3,7,-3.8,-2.3,0,0,0,0,0,0,1,1,2,0,22,20,14,15,11,12,7,7,14,0,0,0,0,0,0,0,0,0
0.0,216,92.55,91.84,92.75,0,0,0,0.09,94.0,0.01,0.09,0,9.5,287,1,1,0,0,0,0,0,0,0,0,-7.5,-8.9,0,1.6,527.1,-448,11.75,-5.0,-0.2,-6.6,-2.8,-5.3,-2.3,-7.2,-6.8,-6.8,-6.9,-7.1,4,6,-3.8,-2.3,0,0,0,0,0,0,1,1,2,0,22,20,14,15,11,12,6,6,14,0,0,0,0,0,0,0,0,0
0.0,218,92.55,91.84,92.75,0,0,0,0.1,102.1,0.07,0.13,0,6.5,281,1,1,0,0,0,0,0,0,0,0,-7.6,-8.8,0,1.6,527.1,-448,11.75,-4.7,0.0,-6.6,-2.7,-5.3,-2.3,-7.2,-6.8,-6.8,-6.9,-7.1,3,6,-3.7,-2.3,0,0,0,0,0,0,1,1,2,0,22,20,14,15,11,12,6,6,13,0,0,0,0,0,0,0,0,0
0.0,217,92.55,91.84,92.75,0,0,0,0.09,77.4,-0.01,0.1,0,6.4,293,1,1,0,0,0,0,0,0,0,0,-7.5,-8.7,0,1.6,527.1,-448,11.75,-4.8,-0.1,-6.6,-2.8,-5.3,-2.3,-7.2,-6.8,-6.8,-6.9,-7.1,3,6,-3.8,-2.3,0,0,0,0,0,0,1,1,2,0,22,20,14,15,11,12,6,6,14,0,0,0,0,0,0,0,0,0
0.0,218,92.55,91.84,92.75,0,0,0,0.1,101.0,0.03,0.11,0,8.8,282,1,1,0,0,0,0,0,0,0,0,-7.4,-8.7,0,1.6,527.1,-448,11.75,-4.7,0.0,-6.6,-2.6,-5.2,-2.3,-7.1,-6.8,-6.8,-6.9,-7.1,3,6,-3.7,-2.2,0,0,0,0,0,0,1,1,2,0,22,20,14,15,11,12,6,6,14,0,0,0,0,0,0,0,0,0
0.0,218,92.55,91.84,92.75,0,0,0,0.09,99.9,0.08,0.09,0,10.2,282,1,1,0,0,0,0,0,0,0,0,-7.5,-8.8,0,1.6,527.1,-448,11.75,-4.7,0.0,-6.6,-2.6,-5.2,-2.3,-7.2,-6.8,-6.8,-6.9,-7.1,3,6,-3.6,-2.2,0,0,0,0,0,0,1,1,2,0,22,20,14,15,11,12,6,6,13,0,0,0,0,0,0,0,0,0
0.0,218,92.55,91.84,92.75,0,0,0,0.09,106.7,0.03,0.1,0,8.9,278,1,1,0,0,0,0,0,0,0,0,-7.4,-8.6,0,1.6,527.1,-448,11.75,-4.7,0.0,-6.6,-2.6,-5.2,-2.3,-7.0,-6.7,-6.8,-6.9,-7.1,3,6,-3.6,-2.2,0,0,0,0,0,0,1,1,2,0,22,20,14,15,11,12,6,6,13,0,0,0,0,0,0,0,0,0
0.0,217,92.55,91.84,92.75,0,0,0,0.09,92.2,0.05,0.11,0,9.7,290,1,1,0,0,0,0,0,0,0,0,-7.6,-8.8,0,1.6,527.1,-448,11.75,-4.8,-0.1,-6.6,-2.8,-5.3,-2.3,-7.2,-6.8,-6.8,-6.9,-7.1,3,6,-3.8,-2.3,0,0,0,0,0,0,1,1,2,0,22,20,14,15,11,12,6,6,14,0,0,0,0,0,0,0,0,0
