轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
0.0,283,92.72,91.95,92.56,0,0,0,0.09,68.8,0.02,0.09,0,2.9,289,1,1,0,0,0,0,0,0,0,0,-12.0,-12.7,0,1.5,527.1,-448,11.75,-18.1,-11.7,-15.7,-15.1,-14.4,-12.4,-16.4,-15.7,-15.7,-13.5,-13.8,-1,21,-12.5,-10.9,0,0,0,0,0,0,1,1,2,0,15,12,7,12,8,10,21,21,12,0,0,0,0,0,0,0,0,0
0.0,284,92.72,91.95,92.56,0,0,0,0.1,68.5,0.02,0.1,0,2.4,289,1,1,0,0,0,0,0,0,0,0,-11.9,-12.8,0,1.5,527.1,-448,11.75,-18.0,-11.7,-15.7,-15.1,-14.4,-12.4,-16.4,-15.7,-15.7,-13.6,-13.8,0,21,-12.5,-10.9,0,0,0,0,0,0,1,1,2,0,15,13,7,12,8,10,21,21,13,0,0,0,0,0,0,0,0,0
0.0,284,92.72,91.95,92.56,0,0,0,0.1,71.4,0.02,0.09,0,2.8,290,1,1,0,0,0,0,0,0,0,0,-12.1,-12.7,0,1.5,527.1,-448,11.75,-18.0,-11.7,-15.7,-15.1,-14.4,-12.4,-16.4,-15.7,-15.7,-13.6,-13.8,0,21,-12.5,-10.9,0,0,0,0,0,0,1,1,2,0,15,13,7,12,8,10,21,21,12,0,0,0,0,0,0,0,0,0
0.0,283,92.72,91.95,92.56,0,0,0,0.1,67.8,0.02,0.09,0,3.0,289,1,1,0,0,0,0,0,0,0,0,-12.0,-12.9,0,1.5,527.1,-448,11.75,-18.1,-11.7,-15.7,-15.1,-14.4,-12.4,-16.4,-15.7,-15.7,-13.5,-13.8,0,20,-12.5,-10.9,0,0,0,0,0,0,1,1,2,0,15,12,7,12,8,10,20,20,12,0,0,0,0,0,0,0,0,0
0.0,284,92.72,91.95,92.56,0,0,0,0.1,64.6,0.02,0.09,0,2.5,291,1,1,0,0,0,0,0,0,0,0,-12.0,-12.8,0,1.4,527.1,-448,11.75,-18.0,-11.7,-15.7,-15.1,-14.4,-12.4,-16.4,-15.7,-15.7,-13.5,-13.8,0,20,-12.5,-10.9,0,0,0,0,0,0,1,1,2,0,15,13,7,12,8,10,20,20,13,0,0,0,0,0,0,0,0,0
0.0,283,92.72,91.95,92.56,0,0,0,0.09,72.5,0.02,0.09,0,2.9,289,1,1,0,0,0,0,0,0,0,0,-11.8,-12.7,0,1.5,527.1,-448,11.75,-18.0,-11.7,-15.7,-15.1,-14.4,-12.4,-16.4,-15.7,-15.7,-13.5,-13.8,0,19,-12.5,-10.9,0,0,0,0,0,0,1,1,2,0,15,12,7,12,8,10,19,19,13,0,0,0,0,0,0,0,0,0
0.0,283,92.72,91.95,92.56,0,0,0,0.1,71.1,0.02,0.09,0,2.4,288,1,1,0,0,0,0,0,0,0,0,-12.0,-12.9,0,1.4,527.1,-448,11.75,-18.0,-11.7,-15.7,-15.1,-14.4,-12.4,-16.4,-15.7,-15.7,-13.6,-13.8,0,20,-12.5,-10.9,0,0,0,0,0,0,1,1,2,0,15,13,7,12,8,10,20,20,12,0,0,0,0,0,0,0,0,0
0.0,283,92.72,91.95,92.56,0,0,0,0.1,74.4,0.02,0.09,0,2.6,288,1,1,0,0,0,0,0,0,0,0,-12.0,-12.9,0,1.5,527.1,-448,11.75,-18.0,-11.7,-15.7,-15.1,-14.4,-12.4,-16.4,-15.7,-15.7,-13.5,-13.8,0,19,-12.5,-10.9,0,0,0,0,0,0,1,1,2,0,15,13,7,12,8,10,19,19,13,0,0,0,0,0,0,0,0,0
0.0,284,92.72,91.95,92.56,0,0,0,0.09,71.2,0.02,0.09,0,2.8,290,1,1,0,0,0,0,0,0,0,0,-12.1,-12.8,0,1.5,527.1,-448,11.75,-18.0,-11.7,-15.7,-15.1,-14.4,-12.4,-16.4,-15.7,-15.7,-13.6,-13.8,0,20,-12.5,-10.9,0,0,0,0,0,0,1,1,2,0,15,13,7,12,8,10,20,20,13,0,0,0,0,0,0,0,0,0
0.0,285,92.72,91.95,92.56,0,0,0,0.1,85.6,0.03,0.09,0,2.4,284,1,1,0,0,0,0,0,0,0,0,-12.0,-12.9,0,1.4,527.1,-448,11.75,-18.0,-11.7,-15.7,-15.1,-14.5,-12.4,-16.4,-15.9,-15.8,-13.6,-13.9,1,20,-12.5,-10.9,0,0,0,0,0,0,1,1,2,0,15,13,7,12,8,10,20,20,13,0,0,0,0,0,0,0,0,0
