轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
0.0,308.0,92.55,91.84,92.75,0.0,0.0,0.0,0.1,-121.1,0.04,0.11,0.0,1.4,216.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,2.2,0.0,1.7,527.1,-448.0,11.75,0.7,7.0,2.2,3.6,3.8,6.1,1.6,2.0,2.0,3.1,3.0,11.0,16.0,3.7,6.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,29.0,22.0,25.0,19.0,15.0,16.0,16.0,16.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,309.0,92.55,91.84,92.75,0.0,0.0,0.0,0.09,-118.9,0.03,0.1,0.0,1.4,211.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,2.2,0.0,1.7,527.1,-448.0,11.75,0.8,7.0,2.2,3.6,3.8,6.1,1.6,2.0,2.0,3.1,3.0,11.0,14.0,3.7,6.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,28.0,23.0,25.0,19.0,15.0,16.0,14.0,14.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,307.0,92.55,91.84,92.75,0.0,0.0,0.0,0.11,-96.8,0.03,0.11,0.0,0.4,191.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.2,0.0,1.7,527.1,-448.0,11.75,0.5,7.0,2.3,3.7,3.8,6.1,1.6,2.0,2.0,3.1,3.0,11.0,16.0,3.8,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,32.0,21.0,25.0,19.0,15.0,16.0,16.0,16.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,307.0,92.55,91.84,92.75,0.0,0.0,0.0,0.1,-110.0,0.03,0.1,0.0,1.2,196.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,2.2,0.0,1.7,527.1,-448.0,11.75,0.5,7.0,2.3,3.7,3.8,6.1,1.6,2.0,2.0,3.1,3.0,11.0,14.0,3.8,6.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,31.0,21.0,25.0,19.0,15.0,16.0,14.0,14.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,308.0,92.55,91.84,92.75,0.0,0.0,0.0,0.1,-119.0,0.04,0.11,0.0,1.3,214.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.2,0.0,1.7,527.1,-448.0,11.75,0.7,7.0,2.2,3.6,3.8,6.1,1.6,2.0,2.0,3.1,3.1,11.0,15.0,3.7,6.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,29.0,22.0,25.0,19.0,15.0,16.0,15.0,15.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,308.0,92.55,91.84,92.75,0.0,0.0,0.0,0.1,-120.2,0.03,0.1,0.0,1.7,212.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,2.1,0.0,1.7,527.1,-448.0,11.75,0.7,7.0,2.3,3.6,3.8,6.1,1.6,2.0,2.0,3.1,3.0,11.0,14.0,3.8,6.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,30.0,22.0,25.0,19.0,15.0,16.0,14.0,14.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,307.0,92.55,91.84,92.75,0.0,0.0,0.0,0.1,-109.9,0.03,0.11,0.0,1.2,197.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,2.2,0.0,1.7,527.1,-448.0,11.75,0.5,7.0,2.3,3.7,3.8,6.1,1.6,2.0,2.0,3.1,3.0,11.0,14.0,3.8,6.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,31.0,21.0,25.0,19.0,15.0,16.0,14.0,14.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,308.0,92.55,91.84,92.75,0.0,0.0,0.0,0.1,-119.2,0.03,0.11,0.0,1.3,215.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.1,0.0,1.7,527.1,-448.0,11.75,0.7,7.0,2.2,3.6,3.8,6.1,1.6,2.0,2.0,3.2,3.1,11.0,14.0,3.7,6.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,29.0,22.0,25.0,19.0,15.0,16.0,14.0,14.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,308.0,92.55,91.84,92.75,0.0,0.0,0.0,0.11,-124.8,0.04,0.11,0.0,1.5,217.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,2.1,0.0,1.7,527.1,-448.0,11.75,0.7,7.0,2.2,3.6,3.8,6.1,1.6,2.0,2.0,3.1,3.0,11.0,14.0,3.8,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,29.0,22.0,25.0,19.0,15.0,16.0,14.0,14.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,308.0,92.55,91.84,92.75,0.0,0.0,0.0,0.11,-124.0,0.04,0.1,0.0,1.5,216.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,1.7,527.1,-448.0,11.75,0.7,7.0,2.2,3.6,3.8,6.1,1.6,2.0,2.0,3.2,3.0,11.0,14.0,3.7,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,29.0,22.0,25.0,19.0,15.0,16.0,14.0,14.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,308.0,92.55,91.84,92.75,0.0,0.0,0.0,0.1,-119.3,0.04,0.11,0.0,1.6,206.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,2.2,0.0,1.7,527.1,-448.0,11.75,0.7,7.0,2.3,3.6,3.8,6.1,1.6,2.0,2.0,3.1,3.0,11.0,15.0,3.8,6.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,30.0,22.0,25.0,19.0,15.0,16.0,15.0,15.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,309.0,92.55,91.84,92.75,0.0,0.0,0.0,0.1,-119.4,0.04,0.1,0.0,1.5,212.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.2,0.0,1.7,527.1,-448.0,11.75,0.7,7.0,2.2,3.6,3.8,6.1,1.6,2.0,2.0,3.1,3.0,11.0,14.0,3.7,6.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,28.0,23.0,25.0,19.0,15.0,16.0,14.0,14.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,307.0,92.55,91.84,92.75,0.0,0.0,0.0,0.11,-98.8,0.03,0.11,0.0,0.4,190.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,2.2,0.0,1.7,527.1,-448.0,11.75,0.5,7.0,2.3,3.7,3.8,6.1,1.6,2.0,2.0,3.1,3.0,11.0,15.0,3.8,6.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,32.0,21.0,25.0,19.0,15.0,16.0,15.0,15.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,308.0,92.55,91.84,92.75,0.0,0.0,0.0,0.1,-121.2,0.03,0.1,0.0,1.7,212.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,2.3,0.0,1.7,527.1,-448.0,11.75,0.7,7.0,2.2,3.6,3.8,6.1,1.6,2.0,2.0,3.1,3.0,11.0,15.0,3.8,6.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,30.0,22.0,25.0,19.0,15.0,16.0,15.0,15.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,308.0,92.55,91.84,92.75,0.0,0.0,0.0,0.1,-118.1,0.03,0.1,0.0,1.5,205.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,2.2,0.0,1.7,527.1,-448.0,11.75,0.7,7.0,2.3,3.6,3.8,6.1,1.6,2.0,2.0,3.1,3.1,11.0,15.0,3.8,6.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,30.0,22.0,25.0,19.0,15.0,16.0,15.0,15.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,309.0,92.55,91.84,92.75,0.0,0.0,0.0,0.1,-119.7,0.03,0.11,0.0,1.5,212.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,2.2,0.0,1.7,527.1,-448.0,11.75,0.7,7.0,2.2,3.6,3.8,6.1,1.6,2.0,2.0,3.1,2.9,11.0,14.0,3.7,6.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,28.0,23.0,25.0,19.0,15.0,16.0,14.0,14.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,307.0,92.55,91.84,92.75,0.0,0.0,0.0,0.1,-107.3,0.04,0.11,0.0,1.2,191.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,2.3,0.0,1.7,527.1,-448.0,11.75,0.5,7.0,2.3,3.7,3.8,6.1,1.6,2.0,2.0,3.1,3.0,11.0,15.0,3.8,5.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,32.0,20.0,25.0,19.0,15.0,16.0,15.0,15.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,308.0,92.55,91.84,92.75,0.0,0.0,0.0,0.1,-125.3,0.04,0.11,0.0,1.6,216.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,2.0,0.0,1.7,527.1,-448.0,11.75,0.7,7.0,2.2,3.6,3.8,6.1,1.6,2.0,2.0,3.1,3.0,11.0,14.0,3.8,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,29.0,22.0,25.0,19.0,15.0,16.0,14.0,14.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,308.0,92.55,91.84,92.75,0.0,0.0,0.0,0.1,-122.4,0.04,0.11,0.0,1.7,210.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,2.3,0.0,1.7,527.1,-448.0,11.75,0.7,7.0,2.3,3.6,3.8,6.1,1.6,2.0,2.0,3.1,3.0,11.0,14.0,3.8,6.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,30.0,22.0,25.0,19.0,15.0,16.0,14.0,14.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,309.0,92.55,91.84,92.75,0.0,0.0,0.0,0.1,-110.9,0.03,0.1,0.0,1.0,206.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.1,0.0,1.7,527.1,-448.0,11.75,0.8,7.0,2.2,3.6,3.8,6.1,1.6,2.0,2.0,3.1,3.0,11.0,15.0,3.8,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,27.0,23.0,25.0,19.0,15.0,16.0,15.0,15.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,307.0,92.55,91.84,92.75,0.0,0.0,0.0,0.11,-103.0,0.03,0.11,0.0,1.1,192.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,1.7,527.1,-448.0,11.75,0.5,7.0,2.3,3.7,3.8,6.1,1.6,2.0,2.0,3.1,3.0,11.0,14.0,3.8,6.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,32.0,21.0,25.0,19.0,15.0,16.0,14.0,14.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,308.0,92.55,91.84,92.75,0.0,0.0,0.0,0.1,-125.5,0.03,0.11,0.0,1.6,216.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,2.3,0.0,1.7,527.1,-448.0,11.75,0.7,7.0,2.2,3.6,3.8,6.1,1.6,2.0,2.0,3.1,3.0,11.0,15.0,3.8,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,29.0,22.0,25.0,19.0,15.0,16.0,15.0,15.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,307.0,92.55,91.84,92.75,0.0,0.0,0.0,0.11,-104.4,0.03,0.1,0.0,1.0,193.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,2.1,0.0,1.7,527.1,-448.0,11.75,0.5,7.0,2.3,3.7,3.8,6.1,1.6,2.0,2.0,3.1,3.0,11.0,15.0,3.8,6.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,32.0,21.0,25.0,19.0,15.0,16.0,15.0,15.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,309.0,92.55,91.84,92.75,0.0,0.0,0.0,0.1,-118.6,0.03,0.1,0.0,1.4,211.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.2,0.0,1.7,527.1,-448.0,11.75,0.8,7.0,2.2,3.6,3.8,6.1,1.6,2.0,2.0,3.2,3.0,11.0,15.0,3.7,6.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,28.0,23.0,25.0,19.0,15.0,16.0,15.0,15.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,309.0,92.55,91.84,92.75,0.0,0.0,0.0,0.11,-119.7,0.03,0.11,0.0,1.3,213.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.2,0.0,1.7,527.1,-448.0,11.75,0.7,7.0,2.2,3.6,3.8,6.1,1.6,2.0,2.0,3.1,3.0,11.0,15.0,3.7,6.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,28.0,23.0,25.0,19.0,15.0,16.0,15.0,15.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,307.0,92.55,91.84,92.75,0.0,0.0,0.0,0.12,-110.4,0.03,0.1,0.0,1.1,198.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.2,0.0,1.7,527.1,-448.0,11.75,0.5,7.0,2.3,3.7,3.8,6.1,1.6,2.0,2.0,3.1,3.0,11.0,14.0,3.8,6.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,31.0,21.0,25.0,19.0,15.0,16.0,14.0,14.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,309.0,92.55,91.84,92.75,0.0,0.0,0.0,0.1,-119.5,0.03,0.11,0.0,1.3,214.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,2.2,0.0,1.7,527.1,-448.0,11.75,0.7,7.0,2.2,3.6,3.8,6.1,1.6,2.0,2.0,3.1,3.0,11.0,15.0,3.7,6.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,28.0,23.0,25.0,19.0,15.0,16.0,15.0,15.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,307.0,92.55,91.84,92.75,0.0,0.0,0.0,0.09,-106.4,0.03,0.11,0.0,1.1,191.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,2.3,0.0,1.7,527.1,-448.0,11.75,0.5,7.0,2.3,3.7,3.8,6.1,1.6,2.0,2.0,3.1,3.0,11.0,15.0,3.8,5.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,32.0,20.0,25.0,19.0,15.0,16.0,15.0,15.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,309.0,92.55,91.84,92.75,0.0,0.0,0.0,0.1,-110.8,0.03,0.1,0.0,1.1,207.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,1.7,527.1,-448.0,11.75,0.8,7.0,2.2,3.6,3.8,6.1,1.6,2.0,2.0,3.1,3.0,11.0,15.0,3.8,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,27.0,23.0,25.0,19.0,15.0,16.0,15.0,15.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,309.0,92.55,91.84,92.75,0.0,0.0,0.0,0.1,-116.1,0.03,0.11,0.0,1.2,210.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.2,0.0,1.7,527.1,-448.0,11.75,0.8,7.0,2.2,3.6,3.8,6.1,1.6,2.0,2.0,3.1,3.0,11.0,15.0,3.8,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,27.0,23.0,25.0,19.0,15.0,16.0,15.0,15.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
