轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
0.0,313,92.55,91.84,92.75,0,0,0,0.1,-91.5,0.09,0.13,0,5.2,189,1,1,0,0,0,0,0,0,0,0,4.5,2.8,0,1.8,527.1,-448,11.75,6.8,11.1,4.8,8.9,6.6,9.3,4.2,4.8,4.1,3.2,3.3,13,16,8.6,10.3,0,0,0,0,0,0,1,1,2,0,30,26,24,19,15,17,16,16,21,0,0,0,0,0,0,0,0,0
0.0,312,92.55,91.84,92.75,0,0,0,0.1,-101.0,-0.03,0.08,0,6.1,189,1,1,0,0,0,0,0,0,0,0,4.5,2.9,0,1.8,527.1,-448,11.75,6.8,11.1,4.8,8.8,6.4,9.3,4.2,4.6,4.1,3.2,3.3,12,16,8.6,10.1,0,0,0,0,0,0,1,1,2,0,28,27,24,19,15,17,16,16,21,0,0,0,0,0,0,0,0,0
0.0,312,92.55,91.84,92.75,0,0,0,0.1,-84.8,0.03,0.11,0,6.8,175,1,1,0,0,0,0,0,0,0,0,4.5,2.9,0,1.8,527.1,-448,11.75,6.8,11.0,4.8,8.7,6.4,9.3,4.1,4.6,4.1,3.2,3.3,13,16,8.6,10.1,0,0,0,0,0,0,1,1,2,0,28,27,24,19,15,17,16,16,21,0,0,0,0,0,0,0,0,0
0.0,313,92.55,91.84,92.75,0,0,0,0.1,-106.3,0.02,0.11,0,6.3,198,1,1,0,0,0,0,0,0,0,0,4.5,2.9,0,1.8,527.1,-448,11.75,6.8,11.1,4.8,8.8,6.6,9.3,4.2,4.8,4.1,3.2,3.2,13,15,8.6,10.2,0,0,0,0,0,0,1,1,2,0,29,26,24,19,15,17,15,15,21,0,0,0,0,0,0,0,0,0
0.0,311,92.55,91.84,92.75,0,0,0,0.09,-85.8,0.02,0.11,0,4.2,182,1,1,0,0,0,0,0,0,0,0,4.4,2.9,0,1.8,527.1,-448,11.75,6.6,11.0,4.8,8.6,6.4,9.1,4.1,4.6,4.1,3.2,3.2,12,15,8.5,10.1,0,0,0,0,0,0,1,1,2,0,27,28,24,19,15,17,15,15,21,0,0,0,0,0,0,0,0,0
0.0,311,92.55,91.84,92.75,0,0,0,0.11,-78.9,0.06,0.12,0,8.9,170,1,1,0,0,0,0,0,0,0,0,4.5,2.9,0,1.8,527.1,-448,11.75,6.6,11.0,4.6,8.6,6.4,9.1,4.1,4.6,4.1,3.2,3.2,12,16,8.5,10.1,0,0,0,0,0,0,1,1,2,0,27,28,24,19,15,17,16,16,21,0,0,0,0,0,0,0,0,0
0.0,311,92.55,91.84,92.75,0,0,0,0.1,-85.1,0.06,0.13,0,8.8,170,1,1,0,0,0,0,0,0,0,0,4.2,2.7,0,1.8,527.1,-448,11.75,6.6,11.0,4.6,8.6,6.4,9.1,4.1,4.6,4.0,3.2,3.2,13,15,8.5,10.1,0,0,0,0,0,0,1,1,2,0,27,28,24,19,15,17,15,15,21,0,0,0,0,0,0,0,0,0
0.0,312,92.55,91.84,92.75,0,0,0,0.1,-106.7,-0.02,0.1,0,6.9,193,1,1,0,0,0,0,0,0,0,0,4.5,3.0,0,1.8,527.1,-448,11.75,6.8,11.1,4.8,8.8,6.4,9.3,4.2,4.6,4.1,3.2,3.2,12,15,8.6,10.1,0,0,0,0,0,0,1,1,2,0,28,27,24,19,15,17,15,15,21,0,0,0,0,0,0,0,0,0
0.0,313,92.55,91.84,92.75,0,0,0,0.1,-91.3,0.01,0.11,0,4.4,190,1,1,0,0,0,0,0,0,0,0,4.6,2.8,0,1.8,527.1,-448,11.75,6.8,11.1,4.8,8.9,6.6,9.3,4.2,4.8,4.1,3.2,3.3,12,15,8.6,10.3,0,0,0,0,0,0,1,1,2,0,30,26,24,19,15,17,15,15,21,0,0,0,0,0,0,0,0,0
0.0,310,92.55,91.84,92.75,0,0,0,0.1,-79.2,0.04,0.1,0,7.0,166,1,1,0,0,0,0,0,0,0,0,4.2,2.6,0,1.8,527.1,-448,11.75,6.7,11.0,4.6,8.5,6.4,9.1,4.1,4.6,4.0,3.2,3.2,12,16,8.5,10.1,0,0,0,0,0,0,1,1,2,0,27,28,24,19,15,17,16,16,21,0,0,0,0,0,0,0,0,0
