轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
0.11,32,85.98,85.98,85.98,11.8,11.4,10.4,0,-70.0,0.03,0.1,203.5,1.2,149,1,1,3,696,0,0,0,0,1.9,0,31.2,29.7,0.4,3.5,425.4,0,10.95,14.4,19.1,14.4,15.3,15.2,17.9,13.9,15.1,15.4,30.8,33.6,28,40,16.8,22.2,30,30,25,0,0,0,3,4,4,0,21,21,20,32,27,30,40,40,45,45.06,45.04,44.42,61,460,4.5,0,0,0
0.12,32,85.98,85.98,85.98,11.8,11.4,10.4,0,-42.5,0.03,0.1,203.5,0.3,170,1,1,382,695,0,1,0,0,1.9,0,29.2,27.9,0.3,3.5,425.4,0,10.95,14.2,19.1,14.4,15.3,15.2,17.9,13.9,15.1,15.4,31.0,33.7,29,40,16.8,22.2,34,28,25,0,0,0,3,4,4,0,21,20,20,32,27,30,40,40,45,45.06,45.04,44.42,61,470,4.5,0,0,0
0.12,32,85.98,85.98,85.98,11.8,11.4,10.4,0,-50.7,0.03,0.1,203.5,0.9,146,1,1,382,696,0,0,0,0,1.9,0,33.0,31.1,0.4,3.6,425.4,0,10.95,14.1,19.1,14.6,15.3,15.2,17.9,13.9,15.2,15.6,31.1,33.9,29,40,16.8,22.2,38,31,25,0,0,0,3,4,4,0,21,20,19,32,27,30,40,40,45,45.06,45.05,44.41,61,460,4.5,0,0,0
0.12,32,85.98,85.98,85.98,11.8,11.4,10.4,0,-49.8,0.03,0.1,203.5,0.5,146,1,1,2,697,0,0,0,0,1.9,0,31.0,29.5,0.3,3.5,425.4,0,10.95,14.4,19.1,14.4,15.3,15.2,17.9,13.9,15.1,15.5,30.9,33.6,29,40,16.8,22.2,30,30,25,0,0,0,3,4,4,0,21,21,19,32,27,30,40,40,45,45.06,45.04,44.42,61,470,4.5,0,0,0
0.13,32,85.98,85.98,85.98,11.8,11.4,10.4,0,-65.5,0.03,0.1,203.7,0.0,156,1,1,383,696,0,0,0,0,1.9,0,30.9,31.4,0.3,3.5,425.4,0,10.95,14.3,19.1,14.5,15.3,15.2,17.9,13.9,15.3,15.6,31.1,33.8,28,40,16.8,22.2,37,30,25,0,0,0,3,4,4,0,21,20,19,32,27,30,40,40,45,45.05,45.05,44.42,61,460,4.5,0,0,0
0.13,32,85.98,85.98,85.98,11.8,11.4,10.4,0,-102.4,0.03,0.1,203.5,0.3,164,1,1,383,695,0,0,0,0,1.9,0,29.3,29.6,0.3,3.4,425.4,0,10.95,14.3,19.1,14.4,15.3,15.2,17.9,13.9,15.3,15.6,31.1,33.8,29,40,16.8,22.2,35,29,25,0,0,0,3,4,4,0,21,20,19,32,27,30,40,40,45,45.06,45.05,44.42,61,460,4.5,0,0,0
0.12,32,85.98,85.98,85.98,11.8,11.4,10.4,0,-6.5,0.03,0.1,203.5,0.7,128,1,1,379,695,0,1,0,0,1.9,0,29.5,28.5,0.3,3.5,425.4,0,10.95,14.3,19.1,14.4,15.3,15.2,17.9,13.9,15.1,15.4,31.0,33.7,28,40,16.8,22.2,35,29,25,0,0,0,3,4,4,0,21,20,19,32,27,30,40,40,45,45.06,45.04,44.42,61,470,4.5,0,0,0
0.12,32,85.98,85.98,85.98,11.8,11.4,10.4,0,-92.3,0.03,0.1,203.5,0.6,179,1,1,382,696,0,1,0,0,1.9,0,27.8,28.1,0.3,3.4,425.4,0,10.95,14.3,19.1,14.4,15.3,15.2,17.9,13.9,15.1,15.6,31.1,33.8,28,40,16.8,22.2,34,28,25,0,0,0,3,4,4,0,21,20,19,32,27,30,40,40,45,45.05,45.04,44.42,61,470,4.5,0,0,0
0.13,32,85.98,85.98,85.98,11.8,11.4,10.4,0,-90.8,0.03,0.1,203.5,0.6,179,1,1,385,696,0,0,0,0,1.9,0,27.7,27.9,0.3,3.4,425.4,0,10.95,14.3,19.1,14.4,15.3,15.2,17.9,13.9,15.1,15.6,31.1,33.8,29,40,16.8,22.2,34,27,25,0,0,0,3,4,4,0,21,20,19,32,27,30,40,40,45,45.05,45.04,44.42,61,470,4.5,0,0,0
0.12,32,85.98,85.98,85.98,11.8,11.4,10.4,0,-5.6,0.03,0.1,203.7,0.8,128,1,1,381,695,0,2,0,0,1.9,0,29.6,28.2,0.3,3.5,425.4,0,10.95,14.3,19.1,14.4,15.3,15.2,17.9,13.9,15.1,15.4,31.0,33.7,28,40,16.8,22.2,35,29,25,0,0,0,3,4,4,0,21,20,19,32,27,30,40,40,45,45.06,45.04,44.42,61,470,4.5,0,0,0
0.11,32,85.98,85.98,85.98,11.8,11.4,10.4,0,-63.5,0.03,0.1,203.5,0.3,150,1,1,2,695,0,0,0,0,1.9,0,31.3,29.7,0.3,3.5,425.4,0,10.95,14.4,19.1,14.4,15.3,15.2,17.9,13.9,15.1,15.4,30.8,33.6,28,40,16.8,22.2,30,30,25,0,0,0,3,4,4,0,21,20,19,32,27,30,40,40,45,45.06,45.04,44.42,61,470,4.5,0,0,0
