轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
0.0,76,92.55,91.84,92.75,0,0,0,0.11,-136.1,0.04,0.11,0,9.6,229,1,1,0,0,0,0,0,0,0,0,0.3,-2.7,0,1.7,527.1,-448,11.75,2.8,6.6,0.0,5.0,1.8,4.5,-1.0,-0.5,-1.4,-4.6,-4.6,6,10,7.7,8.0,0,0,0,0,0,0,1,1,2,0,26,23,18,17,13,14,10,10,15,0,0,0,0,0,0,0,0,0
0.0,78,92.55,91.84,92.75,0,0,0,0.1,-150.7,0.02,0.13,0,8.6,235,1,1,0,0,0,0,0,0,0,0,0.4,-2.5,0,1.7,527.1,-448,11.75,3.0,6.8,0.1,5.1,1.8,4.6,-0.9,-0.4,-1.2,-4.5,-4.5,7,10,7.8,8.1,0,0,0,0,0,0,1,1,2,0,26,23,18,17,13,14,10,10,15,0,0,0,0,0,0,0,0,0
0.0,77,92.55,91.84,92.75,0,0,0,0.1,-142.4,-0.03,0.11,0,8.5,231,1,1,0,0,0,0,0,0,0,0,0.4,-2.6,0,1.7,527.1,-448,11.75,2.8,6.8,0.0,5.1,1.8,4.6,-0.9,-0.5,-1.2,-4.6,-4.5,6,10,7.8,8.1,0,0,0,0,0,0,1,1,2,0,26,23,18,17,13,14,10,10,15,0,0,0,0,0,0,0,0,0
0.0,76,92.55,91.84,92.75,0,0,0,0.09,-144.0,0.01,0.13,0,9.0,233,1,1,0,0,0,0,0,0,0,0,0.1,-2.9,0,1.7,527.1,-448,11.75,2.8,6.6,-0.1,5.0,1.8,4.5,-1.0,-0.5,-1.4,-4.6,-4.6,7,9,7.7,8.0,0,0,0,0,0,0,1,1,2,0,26,23,18,17,13,14,9,9,15,0,0,0,0,0,0,0,0,0
0.0,78,92.55,91.84,92.75,0,0,0,0.1,-147.5,0.03,0.09,0,9.3,234,1,1,0,0,0,0,0,0,0,0,0.3,-2.6,0,1.7,527.1,-448,11.75,3.0,6.8,0.1,5.1,1.8,4.6,-0.9,-0.4,-1.2,-4.5,-4.5,7,9,7.8,8.1,0,0,0,0,0,0,1,1,2,0,26,23,18,17,13,14,9,9,16,0,0,0,0,0,0,0,0,0
0.0,77,92.55,91.84,92.75,0,0,0,0.1,-131.3,0.09,0.13,0,8.3,228,1,1,0,0,0,0,0,0,0,0,0.4,-2.7,0,1.7,527.1,-448,11.75,2.8,6.8,0.0,5.1,1.8,4.6,-0.9,-0.4,-1.2,-4.5,-4.5,7,10,7.8,8.1,0,0,0,0,0,0,1,1,2,0,26,23,18,17,13,14,10,10,16,0,0,0,0,0,0,0,0,0
0.0,77,92.55,91.84,92.75,0,0,0,0.09,-131.4,0.02,0.1,0,8.1,228,1,1,0,0,0,0,0,0,0,0,0.5,-2.6,0,1.7,527.1,-448,11.75,2.8,6.8,0.0,5.1,1.8,4.6,-0.9,-0.4,-1.2,-4.5,-4.5,7,9,7.8,8.1,0,0,0,0,0,0,1,1,2,0,26,23,18,17,13,14,9,9,15,0,0,0,0,0,0,0,0,0
0.0,76,92.55,91.84,92.75,0,0,0,0.1,-136.4,0.04,0.11,0,9.7,229,1,1,0,0,0,0,0,0,0,0,0.1,-2.9,0,1.7,527.1,-448,11.75,2.8,6.6,0.0,5.0,1.8,4.5,-1.0,-0.5,-1.4,-4.6,-4.6,7,9,7.7,8.0,0,0,0,0,0,0,1,1,2,0,26,23,18,17,13,14,9,9,15,0,0,0,0,0,0,0,0,0
0.0,75,92.55,91.84,92.75,0,0,0,0.09,-140.3,0.04,0.1,0,9.2,233,1,1,0,0,0,0,0,0,0,0,0.0,-3.1,0,1.7,527.1,-448,11.75,3.0,6.6,-0.2,5.0,1.8,4.5,-1.0,-0.5,-1.4,-4.6,-4.6,6,10,7.7,8.0,0,0,0,0,0,0,1,1,2,0,26,23,18,17,13,14,10,10,15,0,0,0,0,0,0,0,0,0
0.0,78,92.55,91.84,92.75,0,0,0,0.09,-146.7,0.06,0.13,0,9.9,236,1,1,0,0,0,0,0,0,0,0,0.5,-2.7,0,1.7,527.1,-448,11.75,3.0,6.8,0.1,5.1,1.8,4.6,-0.9,-0.4,-1.2,-4.5,-4.5,7,9,7.8,8.3,0,0,0,0,0,0,1,1,2,0,26,23,18,17,13,14,9,9,15,0,0,0,0,0,0,0,0,0
