轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
0.0,220.0,86.0,86.0,86.0,14.5,0.0,14.0,0.1,31.6,0.03,0.0,174.7,0.0,158.0,1.0,1.0,0.0,683.0,0.0,0.0,0.0,0.0,5.2,0.0,31.6,30.4,0.2,2.4,2067.6,0.0,16.83,20.7,25.0,24.4,25.8,25.6,28.9,26.1,26.1,25.5,31.7,31.7,33.5,37.3,26.0,25.9,28.0,28.0,25.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,32.0,32.0,31.0,121.0,102.0,64.0,37.0,37.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,220.0,86.0,86.0,86.0,14.32,0.0,14.2,0.12,31.4,0.02,0.0,174.7,0.0,161.0,1.0,1.0,0.0,682.0,0.0,0.0,0.0,0.0,2.7,0.0,31.6,30.5,0.2,2.4,2067.6,0.0,16.83,20.7,25.0,24.4,25.8,25.6,28.8,26.1,26.1,25.5,31.6,31.7,33.5,37.3,26.0,25.9,28.0,28.0,25.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,32.0,32.0,31.0,121.0,102.0,64.0,37.0,37.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,220.0,86.0,86.0,86.0,14.64,0.0,13.94,0.11,31.6,0.02,0.0,174.7,0.0,158.0,1.0,1.0,0.0,682.0,0.0,0.0,0.0,0.0,4.8,0.0,31.6,30.9,0.2,2.4,2067.6,0.0,16.83,20.7,25.0,24.4,25.8,25.6,28.9,26.1,26.1,25.5,31.7,31.7,33.5,37.3,25.9,25.9,28.0,28.0,25.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,32.0,32.0,31.0,121.0,102.0,64.0,37.0,37.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,220.0,86.0,86.0,86.0,13.88,0.0,13.88,0.11,-44.2,0.02,0.0,174.7,1.5,219.0,1.0,1.0,0.0,682.0,0.0,0.0,0.0,0.0,1.6,0.0,30.8,29.3,0.2,2.4,2067.6,0.0,16.83,21.0,25.1,24.4,25.8,25.6,29.0,26.2,26.2,25.5,31.7,31.7,33.5,37.3,26.1,25.9,27.0,27.0,25.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,32.0,32.0,31.0,121.0,102.0,64.0,37.0,37.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,220.0,86.0,86.0,86.0,14.44,0.0,13.54,0.11,29.1,0.02,0.0,174.7,0.6,150.0,1.0,1.0,0.0,683.0,0.0,0.0,0.0,0.0,2.4,0.0,31.7,30.7,0.2,2.4,2067.6,0.0,16.83,20.7,25.0,24.4,25.8,25.5,28.8,26.1,26.1,25.5,31.6,31.7,33.5,37.3,26.0,25.9,28.0,28.0,25.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,32.0,32.0,31.0,121.0,102.0,64.0,37.0,37.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,220.0,86.0,86.0,86.0,13.88,0.0,14.4,0.11,-27.9,0.02,0.0,174.7,0.8,210.0,1.0,1.0,0.0,683.0,0.0,0.0,0.0,0.0,5.6,0.0,31.2,30.6,0.2,2.4,2067.6,0.0,16.83,21.0,25.0,24.4,25.8,25.6,28.9,26.1,26.2,25.5,31.7,31.7,33.6,37.3,26.1,25.9,27.0,27.0,25.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,32.0,32.0,31.0,121.0,102.0,64.0,37.0,37.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,220.0,86.0,86.0,86.0,14.5,0.0,14.82,0.1,-42.9,0.02,0.0,174.8,1.3,219.0,1.0,1.0,0.0,682.0,0.0,0.0,0.0,0.0,2.1,0.0,30.8,29.0,0.2,2.4,2067.6,0.0,16.83,21.0,25.1,24.4,25.8,25.6,29.0,26.2,26.2,25.5,31.7,31.7,33.5,37.3,26.1,25.9,27.0,27.0,25.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,32.0,32.0,31.0,121.0,102.0,64.0,37.0,37.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,220.0,86.0,86.0,86.0,13.98,0.0,14.6,0.11,-44.2,0.02,0.0,174.8,1.5,219.0,1.0,1.0,0.0,681.0,0.0,0.0,0.0,0.0,1.4,0.0,30.7,29.4,0.2,2.4,2067.6,0.0,16.83,21.0,25.1,24.4,25.8,25.6,29.0,26.2,26.2,25.5,31.7,31.8,33.6,37.3,26.1,26.0,27.0,27.0,25.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,32.0,32.0,31.0,120.0,102.0,64.0,37.0,37.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,220.0,86.0,86.0,86.0,14.36,0.0,14.02,0.11,-23.4,0.02,0.01,174.7,0.5,206.0,1.0,1.0,0.0,682.0,0.0,0.0,0.0,0.0,5.3,0.0,31.2,30.4,0.2,2.4,2067.6,0.0,16.83,21.0,25.0,24.4,25.8,25.6,28.9,26.1,26.2,25.5,31.7,31.7,33.6,37.3,26.1,25.9,27.0,27.0,25.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,32.0,32.0,31.0,121.0,102.0,64.0,37.0,37.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,220.0,86.0,86.0,86.0,14.12,0.0,14.16,0.11,-32.5,0.03,0.0,174.7,0.4,186.0,1.0,1.0,0.0,682.0,0.0,0.0,0.0,0.0,2.0,0.0,31.3,29.8,0.2,2.4,2067.6,0.0,16.83,20.7,25.0,24.4,25.8,25.6,28.8,26.1,26.1,25.5,31.6,31.7,33.5,37.3,26.0,25.9,28.0,28.0,25.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,32.0,32.0,31.0,121.0,102.0,64.0,37.0,37.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,220.0,86.0,86.0,86.0,14.5,0.0,14.3,0.12,-30.3,0.01,0.0,174.7,0.8,211.0,1.0,1.0,0.0,683.0,0.0,0.0,0.0,0.0,2.4,0.0,31.2,29.7,0.2,2.4,2067.6,0.0,16.83,21.0,25.1,24.4,25.8,25.6,28.9,26.1,26.2,25.5,31.7,31.7,33.6,37.3,26.1,25.9,27.0,27.0,25.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,32.0,32.0,31.0,121.0,102.0,64.0,37.0,37.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,220.0,86.0,86.0,86.0,14.14,0.0,14.46,0.13,33.2,0.01,0.0,174.7,0.0,148.0,1.0,1.0,0.0,682.0,0.0,0.0,0.0,0.0,3.0,0.0,31.6,30.3,0.2,2.4,2067.6,0.0,16.83,20.7,25.0,24.4,25.8,25.6,28.8,26.1,26.1,25.5,31.6,31.7,33.5,37.3,26.0,25.9,28.0,28.0,25.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,32.0,32.0,31.0,121.0,102.0,64.0,37.0,37.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,220.0,86.0,86.0,86.0,14.16,0.0,14.18,0.11,-27.7,0.01,0.0,174.7,0.8,212.0,1.0,1.0,0.0,682.0,0.0,0.0,0.0,0.0,1.7,0.0,31.0,29.8,0.2,2.4,2067.6,0.0,16.83,21.0,25.1,24.4,25.8,25.6,28.9,26.1,26.2,25.5,31.6,31.7,33.6,37.3,26.1,25.9,27.0,27.0,25.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,32.0,32.0,31.0,121.0,102.0,64.0,37.0,37.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,220.0,86.0,86.0,86.0,14.16,0.0,14.6,0.13,-45.6,0.01,0.0,174.7,1.5,220.0,1.0,1.0,0.0,682.0,0.0,0.0,0.0,0.0,1.8,0.0,30.7,29.3,0.2,2.4,2067.6,0.0,16.83,21.0,25.1,24.4,25.8,25.6,29.0,26.2,26.3,25.5,31.7,31.8,33.6,37.2,26.1,26.0,27.0,27.0,25.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,32.0,32.0,31.0,121.0,102.0,64.0,37.0,37.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,220.0,86.0,86.0,86.0,14.24,0.0,14.46,0.11,-12.8,0.03,0.0,174.7,0.0,188.0,1.0,1.0,0.0,682.0,0.0,0.0,0.0,0.0,4.1,0.0,31.5,30.7,0.2,2.4,2067.6,0.0,16.83,20.7,25.0,24.4,25.8,25.6,28.9,26.1,26.2,25.5,31.7,31.7,33.5,37.3,26.1,25.9,28.0,28.0,25.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,32.0,32.0,31.0,121.0,102.0,64.0,37.0,37.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,220.0,86.0,86.0,86.0,14.5,0.0,14.2,0.12,14.5,0.04,0.0,174.6,0.0,151.0,1.0,1.0,0.0,681.0,0.0,0.0,0.0,0.0,2.8,0.0,31.8,30.8,0.2,2.4,2067.6,0.0,16.83,20.7,25.0,24.4,25.8,25.5,28.8,26.1,26.1,25.5,31.6,31.7,33.5,37.3,26.1,25.9,28.0,28.0,25.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,32.0,32.0,31.0,121.0,102.0,64.0,37.0,37.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,220.0,86.0,86.0,86.0,15.12,0.0,13.66,0.11,-31.5,0.02,0.0,174.7,0.9,212.0,1.0,1.0,0.0,683.0,0.0,0.0,0.0,0.0,4.4,0.0,31.3,30.6,0.2,2.4,2067.6,0.0,16.83,21.0,25.1,24.4,25.8,25.6,28.9,26.1,26.2,25.5,31.7,31.7,33.6,37.3,26.1,25.9,27.0,27.0,25.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,32.0,32.0,31.0,121.0,102.0,64.0,37.0,37.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,220.0,86.0,86.0,86.0,14.68,0.0,13.46,0.12,-45.4,0.04,0.0,174.8,1.4,220.0,1.0,1.0,0.0,682.0,0.0,0.0,0.0,0.0,4.8,0.0,30.7,29.3,0.2,2.4,2067.6,0.0,16.83,21.0,25.1,24.4,25.8,25.6,29.0,26.2,26.2,25.5,31.7,31.8,33.6,37.2,26.1,26.0,27.0,27.0,25.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,32.0,32.0,31.0,121.0,102.0,64.0,37.0,37.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,220.0,86.0,86.0,86.0,13.78,0.0,14.08,0.11,-41.4,0.03,0.0,174.7,1.1,216.0,1.0,1.0,0.0,682.0,0.0,0.0,0.0,0.0,4.0,0.0,31.1,29.6,0.2,2.4,2067.6,0.0,16.83,21.0,25.0,24.4,25.8,25.6,28.9,26.1,26.2,25.5,31.7,31.7,33.6,37.3,26.1,25.9,27.0,27.0,25.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,32.0,32.0,31.0,121.0,102.0,64.0,37.0,37.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,220.0,86.0,86.0,86.0,13.54,0.0,13.9,0.12,-42.6,0.02,0.0,174.8,1.1,219.0,1.0,1.0,0.0,682.0,0.0,0.0,0.0,0.0,2.7,0.0,30.4,29.2,0.2,2.4,2067.6,0.0,16.83,21.0,25.1,24.4,25.8,25.6,29.0,26.2,26.3,25.5,31.7,31.8,33.6,37.3,26.1,26.1,27.0,27.0,25.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,32.0,32.0,31.0,121.0,102.0,64.0,37.0,37.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,220.0,86.0,86.0,86.0,14.0,0.0,13.76,0.12,-28.0,0.02,0.0,174.7,0.7,210.0,1.0,1.0,0.0,683.0,0.0,0.0,0.0,0.0,4.1,0.0,31.2,29.8,0.2,2.4,2067.6,0.0,16.83,21.0,25.0,24.4,25.8,25.6,28.9,26.1,26.2,25.5,31.7,31.7,33.6,37.3,26.1,25.9,27.0,27.0,25.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,32.0,32.0,31.0,121.0,102.0,64.0,37.0,37.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,220.0,86.0,86.0,86.0,13.94,0.0,13.98,0.12,31.6,0.02,0.0,174.6,0.0,154.0,1.0,1.0,0.0,683.0,0.0,0.0,0.0,0.0,3.3,0.0,31.6,30.0,0.2,2.4,2067.6,0.0,16.83,20.7,25.0,24.4,25.8,25.6,28.9,26.1,26.1,25.5,31.6,31.7,33.5,37.3,25.9,25.9,28.0,28.0,25.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,32.0,32.0,31.0,121.0,102.0,64.0,37.0,37.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,220.0,86.0,86.0,86.0,14.36,0.0,14.22,0.1,-26.3,0.03,0.0,174.7,0.4,207.0,1.0,1.0,0.0,682.0,0.0,0.0,0.0,0.0,2.9,0.0,31.3,29.8,0.2,2.4,2067.6,0.0,16.83,21.0,25.1,24.4,25.8,25.6,28.9,26.1,26.2,25.5,31.7,31.7,33.6,37.3,26.1,25.9,27.0,27.0,25.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,32.0,32.0,31.0,121.0,102.0,64.0,37.0,37.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,220.0,86.0,86.0,86.0,13.58,0.0,13.94,0.09,-44.8,0.02,0.0,174.8,1.3,220.0,1.0,1.0,0.0,682.0,0.0,0.0,0.0,0.0,3.9,0.0,30.8,30.1,0.2,2.4,2067.6,0.0,16.83,21.0,25.1,24.4,25.8,25.6,29.0,26.2,26.2,25.5,31.7,31.8,33.6,37.2,26.1,26.0,27.0,27.0,25.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,32.0,32.0,31.0,121.0,102.0,64.0,37.0,37.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
