轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
0.0,114,90.97,91.43,102.69,0,0,0,0.01,-52.9,0.09,0.14,0,0.3,232,1,1,0,660,0,0,0,0,230,0,-1.2,-1.7,0.5,0.1,1514.5,-448,16,-11.1,-6.3,-7.4,-6,-5.5,-4.9,-5.8,-6.8,-7.4,-8.1,-8,10,12,-4.5,0.1,36,37.8,32.1,0,0,0,1,1,2,0,12,18,17,15,23,17,12,12,17,0,0,0,0,0,0,0,0,0
0.0,114,90.97,91.43,102.69,0,0,0,0.01,-119.9,0.09,0.13,0,0.0,250,1,1,0,660,0,0,0,0,230,0,-1.4,-1.8,0.5,0.1,1514.5,-448,16,-11.1,-6.3,-7.4,-6,-5.5,-5.0,-5.8,-6.8,-7.4,-8.0,-8,9,13,-4.5,0.1,36,37.8,32.1,0,0,0,1,1,2,0,11,18,18,15,23,17,13,13,16,0,0,0,0,0,0,0,0,0
0.0,115,90.97,91.43,102.69,0,0,0,0.01,7.0,0.09,0.14,0,0.1,235,1,1,0,660,0,0,0,0,230,0,-1.2,-1.6,0.5,0.1,1514.5,-448,16,-11.1,-6.3,-7.4,-6,-5.5,-5.0,-5.9,-6.8,-7.4,-8.0,-8,9,13,-4.5,0.0,36,37.8,32.1,0,0,0,1,1,2,0,10,19,18,15,23,17,13,13,15,0,0,0,0,0,0,0,0,0
0.0,114,90.97,91.43,102.69,0,0,0,0.02,15.2,0.09,0.13,0,0.0,196,1,1,0,660,0,0,0,0,230,0,-0.9,-1.5,0.5,0.1,1514.5,-448,16,-11.1,-6.3,-7.4,-6,-5.5,-5.0,-5.8,-6.8,-7.4,-8.1,-8,9,12,-4.5,0.1,36,37.8,32.1,0,0,0,1,1,2,0,11,18,18,15,23,17,12,12,16,0,0,0,0,0,0,0,0,0
0.0,114,90.97,91.43,102.69,0,0,0,0.01,-65.4,0.09,0.13,0,0.0,226,1,1,0,660,0,0,0,0,230,0,-1.2,-1.3,0.5,0.1,1514.5,-448,16,-11.1,-6.3,-7.4,-6,-5.5,-5.0,-5.9,-6.8,-7.4,-8.0,-8,9,12,-4.5,0.1,36,37.8,32.1,0,0,0,1,1,2,0,11,18,18,15,23,17,12,12,15,0,0,0,0,0,0,0,0,0
0.0,114,90.97,91.43,102.69,0,0,0,0.01,7.4,0.09,0.14,0,0.1,210,1,1,0,660,0,0,0,0,230,0,-1.4,-1.8,0.5,0.1,1514.5,-448,16,-11.1,-6.3,-7.4,-6,-5.5,-4.9,-5.8,-6.8,-7.4,-8.1,-8,10,12,-4.5,0.1,36,37.8,32.1,0,0,0,1,1,2,0,12,18,17,15,23,17,12,12,16,0,0,0,0,0,0,0,0,0
0.0,116,90.97,91.43,102.69,0,0,0,0.01,-59.7,0.09,0.14,0,0.0,241,1,1,0,660,0,0,0,0,230,0,-1.6,-1.9,0.5,0.1,1514.5,-448,16,-11.1,-6.3,-7.4,-6,-5.5,-5.0,-5.9,-6.8,-7.4,-8.0,-8,8,13,-4.5,0.0,36,37.8,32.1,0,0,0,1,1,2,0,10,19,19,15,23,17,13,13,14,0,0,0,0,0,0,0,0,0
0.0,114,90.97,91.43,102.69,0,0,0,0.0,15.4,0.09,0.14,0,0.0,218,1,1,0,660,0,0,0,0,230,0,-1.0,-1.1,0.5,0.1,1514.5,-448,16,-11.1,-6.3,-7.4,-6,-5.5,-4.9,-5.8,-6.8,-7.4,-8.1,-8,10,12,-4.5,0.1,36,37.8,32.1,0,0,0,1,1,2,0,12,18,17,15,23,17,12,12,16,0,0,0,0,0,0,0,0,0
0.0,115,90.97,91.43,102.69,0,0,0,0.01,-82.9,0.09,0.13,0,0.0,271,1,1,0,660,0,0,0,0,230,0,-1.3,-1.8,0.5,0.1,1514.5,-448,16,-11.1,-6.3,-7.4,-6,-5.5,-5.0,-5.8,-6.8,-7.4,-8.0,-8,9,12,-4.5,0.1,36,37.8,32.1,0,0,0,1,1,2,0,11,18,18,15,23,17,12,12,15,0,0,0,0,0,0,0,0,0
0.0,115,90.97,91.43,102.69,0,0,0,0.01,12.8,0.09,0.13,0,0.1,233,1,1,0,660,0,0,0,0,230,0,-1.1,-1.6,0.5,0.1,1514.5,-448,16,-11.1,-6.3,-7.4,-6,-5.5,-5.0,-5.9,-6.8,-7.4,-8.0,-8,9,13,-4.5,0.0,36,37.8,32.1,0,0,0,1,1,2,0,10,19,18,16,23,17,13,13,15,0,0,0,0,0,0,0,0,0
