轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
-0.02,86.0,85.98,85.98,85.98,11.2,12.3,11.0,0.16,14.3,0.09,0.16,207.4,2.1,350.0,1.0,2.0,0.0,685.0,0.0,1.0,0.0,0.01,0.0,0.0,27.4,26.7,0.0,3.0,223.0,0.0,8.82,9.7,11.6,1.4,8.1,4.4,5.3,3.8,2.3,2.2,7.3,7.1,14.0,24.0,8.8,13.5,27.0,27.0,22.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,8.0,11.0,13.0,27.0,37.0,31.0,24.0,24.0,20.0,44.82,44.88,44.85,47.0,390.0,3.9,0.0,0.0,0.0
-0.04,86.0,85.98,85.98,85.98,11.1,12.3,10.9,0.08,14.7,0.11,0.16,26.7,3.8,351.0,1.0,2.0,0.0,685.0,0.0,1.0,0.0,0.01,0.0,0.0,27.6,26.8,0.0,2.9,223.0,0.0,8.82,9.7,11.6,1.4,8.1,4.4,5.3,3.8,2.3,2.2,7.3,7.0,14.0,24.0,8.8,13.5,27.0,27.0,22.0,0.0,0.0,0.0,2.0,4.0,4.0,1.0,8.0,11.0,13.0,27.0,37.0,31.0,24.0,24.0,20.0,44.82,44.88,44.85,47.0,390.0,4.0,0.0,0.0,0.0
0.06,86.0,85.98,85.98,85.98,11.1,12.3,11.0,0.18,-13.0,0.09,0.14,27.2,2.9,22.0,1.0,2.0,0.0,686.0,0.0,1.0,0.0,0.01,0.0,0.0,28.5,27.7,0.0,2.9,223.0,0.0,8.82,9.7,11.7,1.5,8.1,4.5,5.3,3.8,2.5,2.3,7.3,7.0,14.0,24.0,9.0,13.5,28.0,28.0,22.0,0.0,0.0,0.0,2.0,4.0,4.0,2.0,8.0,11.0,13.0,27.0,37.0,31.0,24.0,24.0,20.0,44.82,44.88,44.85,47.0,390.0,3.9,0.0,0.0,0.0
-0.01,86.0,85.98,85.98,85.98,10.7,12.3,11.6,0.18,-62.0,0.08,0.18,207.5,1.9,49.0,1.0,2.0,0.0,686.0,0.0,1.0,0.0,0.01,0.0,0.0,26.0,25.2,0.0,3.0,223.0,0.0,8.82,9.4,11.6,1.4,8.0,4.4,5.1,3.8,2.2,2.0,7.4,7.1,13.0,24.0,8.8,13.3,26.0,26.0,22.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,8.0,11.0,13.0,27.0,37.0,31.0,24.0,24.0,20.0,44.82,44.88,44.85,47.0,390.0,4.0,0.0,0.0,0.0
-0.13,86.0,85.98,85.98,85.98,11.3,12.4,10.6,0.22,-56.0,0.1,0.12,27.4,2.7,55.0,1.0,2.0,0.0,685.0,0.0,1.0,0.0,0.01,0.0,0.0,25.7,24.9,0.0,3.0,223.0,0.0,8.82,9.4,11.6,1.3,8.0,4.4,5.1,3.7,2.2,2.0,7.4,7.1,15.0,24.0,8.7,13.3,25.0,26.0,22.0,0.0,0.0,0.0,2.0,4.0,4.0,2.0,8.0,11.0,13.0,27.0,37.0,31.0,24.0,24.0,20.0,44.82,44.88,44.85,47.0,390.0,3.9,0.0,0.0,0.0
-0.06,86.0,85.98,85.98,85.98,11.3,12.3,10.9,0.18,12.7,0.09,0.18,207.4,0.5,5.0,1.0,2.0,0.0,686.0,0.0,1.0,0.0,0.01,0.0,0.0,27.0,26.1,0.0,2.9,223.0,0.0,8.82,9.6,11.6,1.4,8.0,4.4,5.3,3.8,2.3,2.1,7.3,7.1,14.0,24.0,8.8,13.3,27.0,27.0,22.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,8.0,11.0,13.0,27.0,37.0,31.0,24.0,24.0,20.0,44.82,44.88,44.85,47.0,380.0,3.9,0.0,0.0,0.0
0.02,86.0,85.98,85.98,85.98,10.6,12.3,11.5,0.18,-15.1,0.11,0.14,207.5,3.7,22.0,1.0,2.0,0.0,685.0,0.0,1.0,0.0,0.01,0.0,0.0,26.3,25.5,0.0,3.0,223.0,0.0,8.82,9.6,11.6,1.4,8.0,4.4,5.2,3.8,2.3,2.0,7.3,7.1,14.0,24.0,8.8,13.3,26.0,26.0,22.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,8.0,11.0,13.0,27.0,37.0,31.0,24.0,24.0,20.0,44.82,44.88,44.85,46.0,390.0,4.0,0.0,0.0,0.0
0.01,86.0,85.98,85.98,85.98,11.1,12.3,10.9,0.25,-32.9,0.08,0.14,208.4,3.8,21.0,1.0,2.0,0.0,686.0,0.0,1.0,0.0,0.01,0.0,0.0,28.3,27.5,0.0,3.0,223.0,0.0,8.82,9.7,11.7,1.5,8.1,4.5,5.3,3.8,2.5,2.3,7.3,7.1,14.0,24.0,9.0,13.5,28.0,28.0,22.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,8.0,11.0,13.0,27.0,37.0,31.0,24.0,24.0,20.0,44.82,44.88,44.86,47.0,380.0,4.0,0.0,0.0,0.0
0.01,86.0,85.98,85.98,85.98,11.2,12.3,11.1,0.2,7.2,0.09,0.19,207.4,2.5,5.0,1.0,2.0,0.0,686.0,0.0,2.0,0.0,0.01,0.0,0.0,26.7,25.8,0.0,3.0,223.0,0.0,8.82,9.6,11.6,1.4,8.0,4.4,5.3,3.7,2.3,2.0,7.3,7.1,12.0,24.0,8.8,13.3,26.0,26.0,22.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,8.0,11.0,13.0,27.0,37.0,31.0,24.0,24.0,20.0,44.82,44.89,44.85,46.0,390.0,4.0,0.0,0.0,0.0
-0.09,86.0,85.98,85.98,85.98,10.9,12.3,10.9,0.25,7.5,0.09,0.11,141.9,1.0,49.0,1.0,2.0,0.0,686.0,0.0,1.0,0.0,0.01,0.0,0.0,25.8,24.9,0.0,3.0,223.0,0.0,8.82,9.4,11.6,1.4,8.0,4.4,5.1,3.7,2.2,2.0,7.3,7.1,14.0,24.0,8.7,13.3,26.0,26.0,22.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,8.0,11.0,13.0,28.0,37.0,31.0,24.0,24.0,20.0,44.82,44.88,44.85,48.0,380.0,3.9,0.0,0.0,0.0
