轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
0.0,130.0,85.98,85.98,85.98,10.5,12.3,11.6,0.11,-59.0,0.09,0.14,199.5,0.0,122.0,1.0,2.0,0.0,695.0,0.0,1.0,0.0,0.01,0.0,0.0,26.4,25.5,0.0,2.9,223.0,0.0,8.82,-8.3,1.3,-1.6,2.4,0.7,1.4,0.2,-0.7,-1.0,5.0,4.8,10.0,18.0,-0.2,5.3,26.0,26.0,8.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,7.0,10.0,9.0,26.0,37.0,30.0,18.0,18.0,18.0,44.82,44.89,44.86,39.0,370.0,3.6,0.0,0.0,0.0
0.0,130.0,85.98,85.98,85.98,10.5,12.3,11.6,0.12,-57.0,0.08,0.13,199.5,0.0,111.0,1.0,2.0,0.0,696.0,0.0,1.0,0.0,0.01,0.0,0.0,26.5,25.5,0.0,2.9,223.0,0.0,8.82,-8.3,1.3,-1.6,2.4,0.7,1.4,0.3,-0.7,-1.0,5.0,4.8,10.0,18.0,-0.1,5.3,26.0,26.0,8.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,7.0,10.0,9.0,26.0,37.0,30.0,18.0,18.0,18.0,44.82,44.88,44.86,37.0,370.0,3.5,0.0,0.0,0.0
0.0,130.0,85.98,85.98,85.98,10.5,12.3,11.6,0.13,-65.5,0.09,0.14,199.4,0.0,119.0,1.0,2.0,0.0,695.0,0.0,1.0,0.0,0.01,0.0,0.0,26.4,25.5,0.0,2.9,223.0,0.0,8.82,-8.3,1.3,-1.6,2.4,0.7,1.3,0.2,-0.7,-1.0,5.0,4.8,9.0,18.0,-0.3,5.3,26.0,26.0,8.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,7.0,10.0,9.0,26.0,37.0,30.0,18.0,18.0,18.0,44.82,44.88,44.86,40.0,370.0,3.6,0.0,0.0,0.0
0.0,130.0,85.98,85.98,85.98,10.4,12.3,11.7,0.12,-59.2,0.09,0.14,199.5,0.0,115.0,1.0,2.0,0.0,695.0,0.0,1.0,0.0,0.01,0.0,0.0,26.3,25.3,0.0,2.9,223.0,0.0,8.82,-8.3,1.3,-1.6,2.4,0.7,1.4,0.2,-0.7,-1.0,5.0,4.8,9.0,18.0,-0.1,5.3,26.0,26.0,8.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,7.0,10.0,9.0,26.0,37.0,31.0,18.0,18.0,18.0,44.82,44.89,44.86,37.0,370.0,3.6,0.0,0.0,0.0
0.0,130.0,85.98,85.98,85.98,10.5,12.3,11.7,0.11,-69.2,0.09,0.14,199.5,0.0,119.0,1.0,2.0,0.0,696.0,0.0,1.0,0.0,0.01,0.0,0.0,26.5,25.6,0.0,2.9,223.0,0.0,8.82,-8.3,1.3,-1.6,2.5,0.7,1.5,0.3,-0.7,-1.0,5.1,4.8,10.0,18.0,-0.1,5.3,26.0,26.0,8.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,7.0,10.0,9.0,26.0,37.0,30.0,18.0,18.0,18.0,44.82,44.89,44.86,39.0,370.0,3.5,0.0,0.0,0.0
0.0,130.0,85.98,85.98,85.98,10.5,12.3,11.6,0.08,-54.2,0.09,0.14,199.5,0.0,113.0,1.0,2.0,0.0,695.0,0.0,1.0,0.0,0.01,0.0,0.0,26.5,25.4,0.0,3.0,223.0,0.0,8.82,-8.3,1.3,-1.6,2.5,0.7,1.4,0.3,-0.7,-1.0,5.0,4.8,11.0,18.0,-0.1,5.3,26.0,26.0,8.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,7.0,10.0,9.0,26.0,37.0,30.0,18.0,18.0,18.0,44.82,44.88,44.86,39.0,370.0,3.6,0.0,0.0,0.0
0.0,130.0,85.98,85.98,85.98,10.5,12.3,11.6,0.12,-85.7,0.09,0.14,199.4,0.0,128.0,1.0,2.0,0.0,695.0,0.0,1.0,0.0,0.01,0.0,0.0,26.5,25.5,0.0,3.0,223.0,0.0,8.82,-8.3,1.3,-1.6,2.4,0.7,1.4,0.2,-0.7,-1.0,5.0,4.8,9.0,18.0,-0.3,5.3,26.0,26.0,8.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,7.0,10.0,9.0,26.0,37.0,30.0,18.0,18.0,18.0,44.82,44.89,44.86,39.0,370.0,3.5,0.0,0.0,0.0
0.0,130.0,85.98,85.98,85.98,10.5,12.3,11.6,0.11,-88.6,0.09,0.14,199.5,0.0,127.0,1.0,2.0,0.0,695.0,0.0,1.0,0.0,0.01,0.0,0.0,26.3,25.5,0.0,2.9,223.0,0.0,8.82,-8.3,1.3,-1.6,2.3,0.7,1.3,0.2,-0.7,-1.0,5.0,4.8,10.0,18.0,-0.3,5.3,26.0,26.0,8.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,7.0,10.0,9.0,26.0,37.0,30.0,18.0,18.0,18.0,44.82,44.89,44.86,38.0,370.0,3.5,0.0,0.0,0.0
0.0,130.0,85.98,85.98,85.98,10.4,12.3,11.6,0.11,-59.0,0.09,0.14,199.5,0.0,115.0,1.0,2.0,0.0,695.0,0.0,2.0,0.0,0.01,0.0,0.0,26.3,25.3,0.0,2.9,223.0,0.0,8.82,-8.3,1.3,-1.6,2.4,0.7,1.4,0.2,-0.7,-1.0,5.0,4.8,10.0,18.0,-0.1,5.3,26.0,26.0,8.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,7.0,10.0,9.0,26.0,37.0,30.0,18.0,18.0,18.0,44.82,44.89,44.86,39.0,370.0,3.6,0.0,0.0,0.0
0.0,130.0,85.98,85.98,85.98,10.5,12.3,11.6,0.08,-81.3,0.09,0.14,199.5,0.0,133.0,1.0,2.0,0.0,695.0,0.0,2.0,0.0,0.01,0.0,0.0,26.3,25.4,0.0,3.0,223.0,0.0,8.82,-8.3,1.3,-1.6,2.3,0.7,1.3,0.2,-0.7,-1.0,5.0,4.8,10.0,18.0,-0.3,5.3,26.0,26.0,8.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,7.0,10.0,9.0,26.0,37.0,30.0,18.0,18.0,18.0,44.82,44.88,44.86,39.0,370.0,3.5,0.0,0.0,0.0
