轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
0.0,357,90.97,91.43,102.69,0,0,0,0.01,53.4,0.09,0.14,0,0.6,193,1,1,0,660,0,0,0,0,230,0,-9.1,-9.9,0.5,0.1,1514.5,-448,16,-6.0,-8.9,-10.7,-8.5,-8.4,-7.6,-8.9,-10.3,-10.4,-10,-10,4,6,-0.5,1.1,36,37.8,32.1,0,0,0,1,1,2,0,19,19,23,15,23,17,6,6,8,0,0,0,0,0,0,0,0,0
0.0,359,90.97,91.43,102.69,0,0,0,0.01,19.5,0.09,0.14,0,0.6,206,1,1,0,660,0,0,0,0,230,0,-8.8,-9.4,0.5,0.1,1514.5,-448,16,-6.1,-8.8,-10.5,-8.4,-8.3,-7.4,-8.8,-10.1,-10.3,-10,-10,5,6,-0.4,1.2,36,37.8,32.1,0,0,0,1,1,2,0,20,19,24,15,23,17,6,6,12,0,0,0,0,0,0,0,0,0
0.0,359,90.97,91.43,102.69,0,0,0,0.01,25.1,0.09,0.14,0,1.4,219,1,1,0,660,0,0,0,0,230,0,-8.8,-9.4,0.5,0.1,1514.5,-448,16,-6.1,-8.8,-10.5,-8.4,-8.3,-7.4,-8.8,-10.1,-10.3,-10,-10,5,6,-0.4,1.2,36,37.8,32.1,0,0,0,1,1,2,0,20,19,24,15,23,17,6,6,11,0,0,0,0,0,0,0,0,0
0.0,359,90.97,91.43,102.69,0,0,0,0.02,53.2,0.09,0.14,0,0.9,203,1,1,0,660,0,0,0,0,230,0,-9.1,-9.6,0.5,0.1,1514.5,-448,16,-6.1,-8.8,-10.5,-8.4,-8.3,-7.4,-8.8,-10.1,-10.3,-10,-10,5,6,-0.4,1.2,36,37.8,32.1,0,0,0,1,1,2,0,20,19,24,15,23,17,6,6,11,0,0,0,0,0,0,0,0,0
0.0,357,90.97,91.43,102.69,0,0,0,0.0,28.1,0.09,0.14,0,0.6,197,1,1,0,660,0,0,0,0,230,0,-9.2,-10.0,0.5,0.1,1514.5,-448,16,-6.0,-8.9,-10.7,-8.5,-8.4,-7.6,-8.9,-10.3,-10.4,-10,-10,3,6,-0.5,1.1,36,37.8,32.1,0,0,0,1,1,2,0,19,19,23,15,23,17,6,6,9,0,0,0,0,0,0,0,0,0
0.0,359,90.97,91.43,102.69,0,0,0,0.0,5.7,0.09,0.14,0,2.7,215,1,1,0,660,0,0,0,0,230,0,-8.7,-9.5,0.5,0.1,1514.5,-448,16,-6.2,-8.8,-10.5,-8.4,-8.3,-7.4,-8.8,-10.1,-10.3,-10,-10,6,6,-0.4,1.3,36,37.8,32.1,0,0,0,1,1,2,0,20,19,24,15,23,17,6,6,13,0,0,0,0,0,0,0,0,0
0.0,358,90.97,91.43,102.69,0,0,0,0.0,3.9,0.09,0.14,0,2.1,225,1,1,0,660,0,0,0,0,230,0,-9.2,-9.9,0.5,0.1,1514.5,-448,16,-6.1,-8.8,-10.5,-8.5,-8.4,-7.4,-8.8,-10.1,-10.3,-10,-10,4,6,-0.5,1.2,36,37.8,32.1,0,0,0,1,1,2,0,20,19,23,15,23,17,6,6,10,0,0,0,0,0,0,0,0,0
0.0,357,90.97,91.43,102.69,0,0,0,0.0,13.5,0.09,0.14,0,1.3,218,1,1,0,660,0,0,0,0,230,0,-8.9,-9.8,0.5,0.1,1514.5,-448,16,-6.0,-8.8,-10.7,-8.5,-8.4,-7.5,-8.9,-10.1,-10.4,-10,-10,4,6,-0.5,1.2,36,37.8,32.1,0,0,0,1,1,2,0,19,19,23,15,23,17,6,6,10,0,0,0,0,0,0,0,0,0
0.0,358,90.97,91.43,102.69,0,0,0,0.0,39.4,0.09,0.13,0,0.2,187,1,1,0,660,0,0,0,0,230,0,-8.8,-9.8,0.5,0.1,1514.5,-448,16,-6.1,-8.8,-10.5,-8.4,-8.3,-7.4,-8.8,-10.1,-10.3,-10,-10,4,6,-0.4,1.2,36,37.8,32.1,0,0,0,1,1,2,0,20,19,24,15,23,17,6,6,11,0,0,0,0,0,0,0,0,0
0.0,359,90.97,91.43,102.69,0,0,0,0.01,1.6,0.09,0.13,0,2.3,217,1,1,0,660,0,0,0,0,230,0,-8.7,-9.6,0.5,0.1,1514.5,-448,16,-6.2,-8.8,-10.5,-8.4,-8.3,-7.4,-8.8,-10.1,-10.3,-10,-10,5,6,-0.4,1.3,36,37.8,32.1,0,0,0,1,1,2,0,20,19,24,15,23,17,6,6,12,0,0,0,0,0,0,0,0,0
0.0,359,90.97,91.43,102.69,0,0,0,0.0,29.3,0.09,0.14,0,1.7,205,1,1,0,660,0,0,0,0,230,0,-8.8,-9.4,0.5,0.1,1514.5,-448,16,-6.1,-8.8,-10.5,-8.4,-8.3,-7.4,-8.8,-10.1,-10.3,-10,-10,6,6,-0.4,1.3,36,37.8,32.1,0,0,0,1,1,2,0,20,19,24,15,23,17,6,6,12,0,0,0,0,0,0,0,0,0
0.0,358,90.97,91.43,102.69,0,0,0,0.0,-3.5,0.09,0.14,0,1.3,217,1,1,0,660,0,0,0,0,230,0,-8.8,-9.5,0.5,0.1,1514.5,-448,16,-6.1,-8.8,-10.5,-8.4,-8.3,-7.4,-8.8,-10.1,-10.3,-10,-10,5,6,-0.4,1.2,36,37.8,32.1,0,0,0,1,1,2,0,20,19,24,15,23,17,6,6,11,0,0,0,0,0,0,0,0,0
