轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
0.21,182,86.11,91.43,120.19,0,0,0,0.21,-9.7,0.04,0.05,0,6.6,183,1,1,0,0,0,0,0,0,0,0,-2.5,-2.4,1.2,1.2,527.1,-448,11.75,-9.7,-3.6,-2.6,-3.1,-2.8,-4.1,-4.6,-5.6,-5.2,-1.2,-0.8,4,-2,-1.0,1.2,14,12,25,0,0,0,1,1,1,0,5,8,9,17,19,17,-2,-2,9,0,0,0,0,0,0,0,0,0
0.07,182,86.11,91.43,120.19,0,0,0,0.11,-10.4,0.04,0.03,0,7.3,185,1,1,0,0,0,0,0,0,0,0,-2.5,-2.5,1.2,1.2,527.1,-448,11.75,-9.7,-3.5,-2.5,-3.1,-2.7,-4.1,-4.6,-5.6,-5.2,-1.2,-0.8,3,-2,-1.0,1.2,14,12,25,0,0,0,1,1,1,0,5,6,10,17,19,17,-2,-2,8,0,0,0,0,0,0,0,0,0
0.08,182,86.11,91.43,120.19,0,0,0,0.1,-22.6,0.05,0.03,0,5.9,192,1,1,0,0,0,0,0,0,0,0,-2.2,-2.4,1.2,1.2,527.1,-448,11.75,-9.7,-3.4,-2.5,-3.1,-2.7,-4.1,-4.6,-5.6,-5.2,-1.2,-0.8,2,-2,-0.9,1.2,14,12,25,0,0,0,1,1,1,0,5,7,11,17,19,17,-2,-2,6,0,0,0,0,0,0,0,0,0
0.07,182,86.11,91.43,120.19,0,0,0,0.11,-10.0,0.04,0.05,0,7.0,181,1,1,0,0,0,0,0,0,0,0,-2.4,-2.5,1.2,1.2,527.1,-448,11.75,-9.7,-3.6,-2.5,-3.1,-2.7,-4.1,-4.6,-5.6,-5.2,-1.2,-0.8,3,-2,-1.0,1.2,14,12,25,0,0,0,1,1,1,0,5,6,10,17,19,17,-2,-2,8,0,0,0,0,0,0,0,0,0
0.04,182,86.11,91.43,120.19,0,0,0,0.11,-25.9,0.04,0.05,0,4.1,195,1,1,0,0,0,0,0,0,0,0,-2.4,-2.6,1.2,1.2,527.1,-448,11.75,-9.7,-3.4,-2.5,-3.1,-2.7,-4.1,-4.6,-5.6,-5.2,-1.2,-0.8,2,-2,-1.0,1.2,14,12,25,0,0,0,1,1,1,0,5,6,11,17,19,17,-2,-2,6,0,0,0,0,0,0,0,0,0
0.07,182,86.11,91.43,120.19,0,0,0,0.21,-18.1,0.04,0.03,0,5.5,188,1,1,0,0,0,0,0,0,0,0,-2.2,-2.3,1.2,1.2,527.1,-448,11.75,-9.7,-3.4,-2.5,-3.0,-2.7,-4.1,-4.6,-5.6,-5.2,-1.1,-0.8,1,-2,-0.9,1.2,14,12,25,0,0,0,1,1,1,0,5,7,11,17,19,17,-2,-2,5,0,0,0,0,0,0,0,0,0
0.08,182,86.11,91.43,120.19,0,0,0,0.09,-22.1,0.05,0.02,0,6.3,192,1,1,0,0,0,0,0,0,0,0,-2.3,-2.4,1.2,1.2,527.1,-448,11.75,-9.7,-3.4,-2.5,-3.1,-2.7,-4.1,-4.6,-5.6,-5.2,-1.2,-0.8,2,-2,-1.0,1.2,14,12,25,0,0,0,1,1,1,0,5,6,11,17,19,17,-2,-2,6,0,0,0,0,0,0,0,0,0
0.15,182,86.11,91.43,120.19,0,0,0,0.31,-25.7,0.05,0.02,0,7.3,189,1,1,0,0,0,0,0,0,0,0,-2.4,-2.4,1.2,1.2,527.1,-448,11.75,-9.7,-3.4,-2.5,-2.9,-2.7,-4.1,-4.5,-5.5,-5.2,-1.1,-0.7,0,-2,-0.9,1.3,14,12,25,0,0,0,1,1,1,0,5,7,11,17,19,17,-2,-2,5,0,0,0,0,0,0,0,0,0
0.09,182,86.11,91.43,120.19,0,0,0,0.16,-6.4,0.04,0.01,0,7.0,181,1,1,0,0,0,0,0,0,0,0,-2.5,-2.5,1.2,1.2,527.1,-448,11.75,-9.7,-3.6,-2.6,-3.1,-2.8,-4.1,-4.6,-5.6,-5.2,-1.2,-0.8,4,-2,-1.0,1.2,14,12,25,0,0,0,1,1,1,0,5,8,9,17,19,17,-2,-2,8,0,0,0,0,0,0,0,0,0
0.14,182,86.11,91.43,120.19,0,0,0,0.1,-10.7,0.04,0.05,0,4.5,188,1,1,0,0,0,0,0,0,0,0,-2.4,-2.4,1.2,1.2,527.1,-448,11.75,-9.7,-3.4,-2.5,-3.1,-2.7,-4.1,-4.6,-5.6,-5.2,-1.2,-0.8,3,-2,-0.9,1.2,14,12,25,0,0,0,1,1,1,0,5,6,10,17,19,17,-2,-2,8,0,0,0,0,0,0,0,0,0
0.05,182,86.11,91.43,120.19,0,0,0,0.11,-15.4,0.04,0.02,0,4.5,186,1,1,0,0,0,0,0,0,0,0,-2.5,-2.5,1.2,1.2,527.1,-448,11.75,-9.7,-3.4,-2.5,-3.1,-2.7,-4.1,-4.6,-5.6,-5.2,-1.2,-0.8,2,-2,-1.0,1.2,14,12,25,0,0,0,1,1,1,0,5,6,10,17,19,17,-2,-2,7,0,0,0,0,0,0,0,0,0
0.07,182,86.11,91.43,120.19,0,0,0,0.1,-23.9,0.04,0.03,0,4.6,187,1,1,0,0,0,0,0,0,0,0,-2.4,-2.4,1.2,1.2,527.1,-448,11.75,-9.7,-3.4,-2.5,-3.1,-2.7,-4.1,-4.6,-5.6,-5.2,-1.2,-0.8,2,-2,-1.0,1.2,14,12,25,0,0,0,1,1,1,0,5,6,10,17,19,17,-2,-2,7,0,0,0,0,0,0,0,0,0
0.14,182,86.11,91.43,120.19,0,0,0,0.17,-27.9,0.04,0.02,0,6.3,193,1,1,0,0,0,0,0,0,0,0,-2.3,-2.3,1.2,1.2,527.1,-448,11.75,-9.7,-3.4,-2.5,-2.9,-2.7,-4.1,-4.5,-5.5,-5.2,-1.1,-0.7,0,-2,-0.9,1.3,14,12,25,0,0,0,1,1,1,0,5,7,11,17,19,17,-2,-2,5,0,0,0,0,0,0,0,0,0
0.05,182,86.11,91.43,120.19,0,0,0,0.11,-8.6,0.04,0.03,0,5.6,184,1,1,0,0,0,0,0,0,0,0,-2.3,-2.4,1.2,1.2,527.1,-448,11.75,-9.7,-3.5,-2.5,-3.1,-2.7,-4.1,-4.6,-5.6,-5.2,-1.2,-0.8,3,-2,-1.0,1.2,14,12,25,0,0,0,1,1,1,0,5,6,10,17,19,17,-2,-2,8,0,0,0,0,0,0,0,0,0
0.2,182,86.11,91.43,120.19,0,0,0,0.21,-28.3,0.04,0.02,0,5.1,193,1,1,0,0,0,0,0,0,0,0,-2.3,-2.4,1.2,1.2,527.1,-448,11.75,-9.7,-3.4,-2.5,-2.9,-2.7,-4.1,-4.5,-5.5,-5.2,-1.1,-0.7,1,-2,-0.9,1.2,14,12,25,0,0,0,1,1,1,0,5,7,11,17,19,17,-2,-2,5,0,0,0,0,0,0,0,0,0
0.2,182,86.11,91.43,120.19,0,0,0,0.2,-10.4,0.04,0.02,0,6.3,183,1,1,0,0,0,0,0,0,0,0,-2.4,-2.4,1.2,1.2,527.1,-448,11.75,-9.7,-3.6,-2.6,-3.1,-2.8,-4.1,-4.6,-5.6,-5.2,-1.2,-0.8,4,-2,-1.0,1.2,14,12,25,0,0,0,1,1,1,0,5,8,9,17,19,17,-2,-2,9,0,0,0,0,0,0,0,0,0
0.32,182,86.11,91.43,120.19,0,0,0,0.21,-14.8,0.05,0.05,0,5.0,182,1,1,0,0,0,0,0,0,0,0,-2.5,-2.5,1.2,1.2,527.1,-448,11.75,-9.7,-3.6,-2.6,-3.1,-2.7,-4.1,-4.6,-5.6,-5.2,-1.2,-0.8,4,-2,-1.0,1.2,14,12,25,0,0,0,1,1,1,0,5,8,9,17,19,17,-2,-2,9,0,0,0,0,0,0,0,0,0
0.04,181,86.11,91.43,120.19,0,0,0,0.21,-29.8,0.04,0.02,0,7.7,190,1,1,0,0,0,0,0,0,0,0,-2.4,-2.5,1.2,1.2,527.1,-448,11.75,-9.7,-3.4,-2.5,-2.9,-2.7,-4.0,-4.5,-5.5,-5.2,-1.1,-0.7,0,-2,-0.9,1.3,14,12,25,0,0,0,1,1,1,0,5,7,12,17,19,17,-2,-2,6,0,0,0,0,0,0,0,0,0
0.23,182,86.11,91.43,120.19,0,0,0,0.21,-19.4,0.04,0.05,0,5.7,184,1,1,0,0,0,0,0,0,0,0,-2.4,-2.6,1.2,1.2,527.1,-448,11.75,-9.7,-3.6,-2.6,-3.1,-2.7,-4.1,-4.6,-5.6,-5.2,-1.2,-0.8,4,-2,-1.0,1.2,14,12,25,0,0,0,1,1,1,0,5,8,9,17,19,17,-2,-2,9,0,0,0,0,0,0,0,0,0
0.04,182,86.11,91.43,120.19,0,0,0,0.11,-8.8,0.04,0.03,0,5.4,183,1,1,0,0,0,0,0,0,0,0,-2.4,-2.4,1.2,1.2,527.1,-448,11.75,-9.7,-3.6,-2.5,-3.1,-2.7,-4.1,-4.6,-5.6,-5.2,-1.2,-0.8,3,-2,-1.0,1.2,14,12,25,0,0,0,1,1,1,0,5,6,10,17,19,17,-2,-2,7,0,0,0,0,0,0,0,0,0
0.21,182,86.11,91.43,120.19,0,0,0,0.22,-13.5,0.05,0.03,0,5.8,188,1,1,0,0,0,0,0,0,0,0,-2.2,-2.2,1.2,1.2,527.1,-448,11.75,-9.7,-3.4,-2.5,-3.0,-2.7,-4.1,-4.6,-5.5,-5.2,-1.2,-0.7,1,-2,-0.9,1.2,14,12,25,0,0,0,1,1,1,0,5,7,11,17,19,17,-2,-2,5,0,0,0,0,0,0,0,0,0
0.28,182,86.11,91.43,120.19,0,0,0,0.31,-4.0,0.04,0.02,0,5.3,186,1,1,0,0,0,0,0,0,0,0,-2.3,-2.3,1.2,1.2,527.1,-448,11.75,-9.7,-3.4,-2.5,-2.9,-2.7,-4.1,-4.5,-5.5,-5.2,-1.1,-0.7,0,-2,-0.9,1.3,14,12,25,0,0,0,1,1,1,0,5,7,11,17,19,17,-2,-2,5,0,0,0,0,0,0,0,0,0
0.15,182,86.11,91.43,120.19,0,0,0,0.31,-20.0,0.04,0.03,0,6.0,188,1,1,0,0,0,0,0,0,0,0,-2.4,-2.5,1.2,1.2,527.1,-448,11.75,-9.7,-3.4,-2.5,-2.9,-2.7,-4.1,-4.5,-5.5,-5.2,-1.1,-0.7,0,-2,-0.9,1.3,14,12,25,0,0,0,1,1,1,0,5,7,11,17,19,17,-2,-2,6,0,0,0,0,0,0,0,0,0
0.07,182,86.11,91.43,120.19,0,0,0,0.1,-29.1,0.04,0.03,0,6.6,194,1,1,0,0,0,0,0,0,0,0,-2.3,-2.3,1.2,1.2,527.1,-448,11.75,-9.7,-3.4,-2.5,-3.1,-2.7,-4.1,-4.6,-5.6,-5.2,-1.2,-0.8,2,-2,-1.0,1.2,14,12,25,0,0,0,1,1,1,0,5,6,11,17,19,17,-2,-2,6,0,0,0,0,0,0,0,0,0
0.22,182,86.11,91.43,120.19,0,0,0,0.16,-24.9,0.04,0.03,0,5.3,180,1,1,0,0,0,0,0,0,0,0,-2.4,-2.4,1.2,1.2,527.1,-448,11.75,-9.7,-3.6,-2.6,-3.1,-2.7,-4.1,-4.6,-5.6,-5.2,-1.2,-0.8,4,-2,-1.0,1.2,14,12,25,0,0,0,1,1,1,0,5,7,10,17,19,17,-2,-2,9,0,0,0,0,0,0,0,0,0
0.17,182,86.11,91.43,120.19,0,0,0,0.21,-16.3,0.05,0.02,0,6.0,189,1,1,0,0,0,0,0,0,0,0,-2.4,-2.6,1.2,1.2,527.1,-448,11.75,-9.7,-3.4,-2.5,-3.1,-2.7,-4.1,-4.6,-5.6,-5.2,-1.1,-0.8,1,-2,-0.9,1.2,14,12,25,0,0,0,1,1,1,0,5,7,11,17,19,17,-2,-2,6,0,0,0,0,0,0,0,0,0
0.05,182,86.11,91.43,120.19,0,0,0,0.11,-17.2,0.04,0.02,0,3.6,186,1,1,0,0,0,0,0,0,0,0,-2.4,-2.5,1.2,1.2,527.1,-448,11.75,-9.7,-3.4,-2.5,-3.1,-2.7,-4.1,-4.6,-5.6,-5.2,-1.2,-0.8,3,-2,-1.0,1.2,14,12,25,0,0,0,1,1,1,0,5,6,10,17,19,17,-2,-2,7,0,0,0,0,0,0,0,0,0
0.14,181,86.11,91.43,120.19,0,0,0,0.21,-21.9,0.04,0.02,0,6.0,185,1,1,0,0,0,0,0,0,0,0,-2.2,-2.4,1.2,1.2,527.1,-448,11.75,-9.7,-3.4,-2.5,-2.9,-2.7,-4.0,-4.5,-5.5,-5.2,-1.1,-0.7,1,-2,-0.9,1.3,14,12,25,0,0,0,1,1,1,0,5,7,12,17,19,17,-2,-2,6,0,0,0,0,0,0,0,0,0
0.06,182,86.11,91.43,120.19,0,0,0,0.21,-25.8,0.05,0.04,0,5.8,183,1,1,0,0,0,0,0,0,0,0,-2.4,-2.3,1.2,1.2,527.1,-448,11.75,-9.7,-3.6,-2.6,-3.1,-2.7,-4.1,-4.6,-5.6,-5.2,-1.2,-0.8,4,-2,-1.0,1.2,14,12,25,0,0,0,1,1,1,0,5,8,10,17,19,17,-2,-2,9,0,0,0,0,0,0,0,0,0
0.27,182,86.11,91.43,120.19,0,0,0,0.11,-5.9,0.05,0.04,0,5.2,184,1,1,0,0,0,0,0,0,0,0,-2.4,-2.4,1.2,1.2,527.1,-448,11.75,-9.7,-3.6,-2.6,-3.1,-2.7,-4.1,-4.6,-5.6,-5.2,-1.2,-0.8,4,-2,-1.0,1.2,14,12,25,0,0,0,1,1,1,0,5,8,10,17,19,17,-2,-2,9,0,0,0,0,0,0,0,0,0
0.06,182,86.11,91.43,120.19,0,0,0,0.17,-25.4,0.05,0.02,0,6.2,190,1,1,0,0,0,0,0,0,0,0,-2.5,-2.4,1.2,1.2,527.1,-448,11.75,-9.7,-3.4,-2.5,-3.1,-2.7,-4.1,-4.6,-5.6,-5.2,-1.2,-0.8,2,-2,-0.9,1.2,14,12,25,0,0,0,1,1,1,0,5,7,11,17,19,17,-2,-2,6,0,0,0,0,0,0,0,0,0
0.02,182,86.11,91.43,120.19,0,0,0,0.11,-31.1,0.05,0.03,0,4.0,196,1,1,0,0,0,0,0,0,0,0,-2.4,-2.5,1.2,1.2,527.1,-448,11.75,-9.7,-3.4,-2.5,-3.1,-2.7,-4.1,-4.6,-5.6,-5.2,-1.2,-0.8,2,-2,-1.0,1.2,14,12,25,0,0,0,1,1,1,0,5,6,11,17,19,17,-2,-2,6,0,0,0,0,0,0,0,0,0
0.12,182,86.11,91.43,120.19,0,0,0,0.21,-15.6,0.05,0.03,0,6.3,188,1,1,0,0,0,0,0,0,0,0,-2.3,-2.3,1.2,1.2,527.1,-448,11.75,-9.7,-3.4,-2.5,-3.1,-2.7,-4.1,-4.6,-5.6,-5.2,-1.2,-0.8,1,-2,-0.9,1.2,14,12,25,0,0,0,1,1,1,0,5,7,11,17,19,17,-2,-2,6,0,0,0,0,0,0,0,0,0
0.24,182,86.11,91.43,120.19,0,0,0,0.21,-12.9,0.04,0.05,0,4.9,184,1,1,0,0,0,0,0,0,0,0,-2.5,-2.6,1.2,1.2,527.1,-448,11.75,-9.7,-3.6,-2.6,-3.1,-2.8,-4.1,-4.6,-5.6,-5.2,-1.2,-0.8,4,-2,-1.0,1.2,14,12,25,0,0,0,1,1,1,0,5,8,9,17,19,17,-2,-2,9,0,0,0,0,0,0,0,0,0
0.08,182,86.11,91.43,120.19,0,0,0,0.15,-19.3,0.05,0.05,0,5.3,184,1,1,0,0,0,0,0,0,0,0,-2.5,-2.6,1.2,1.2,527.1,-448,11.75,-9.7,-3.6,-2.6,-3.1,-2.7,-4.1,-4.6,-5.6,-5.2,-1.2,-0.8,4,-2,-1.0,1.2,14,12,25,0,0,0,1,1,1,0,5,8,10,17,19,17,-2,-2,9,0,0,0,0,0,0,0,0,0
0.08,182,86.11,91.43,120.19,0,0,0,0.11,-27.6,0.05,0.03,0,5.8,191,1,1,0,0,0,0,0,0,0,0,-2.3,-2.3,1.2,1.2,527.1,-448,11.75,-9.7,-3.4,-2.5,-3.1,-2.7,-4.1,-4.6,-5.6,-5.2,-1.2,-0.8,3,-2,-0.9,1.2,14,12,25,0,0,0,1,1,1,0,5,6,10,17,19,17,-2,-2,7,0,0,0,0,0,0,0,0,0
0.13,182,86.11,91.43,120.19,0,0,0,0.15,-26.7,0.05,0.03,0,6.6,193,1,1,0,0,0,0,0,0,0,0,-2.2,-2.4,1.2,1.2,527.1,-448,11.75,-9.7,-3.4,-2.5,-2.9,-2.7,-4.1,-4.5,-5.5,-5.2,-1.1,-0.7,0,-2,-0.9,1.3,14,12,25,0,0,0,1,1,1,0,5,7,11,17,19,17,-2,-2,5,0,0,0,0,0,0,0,0,0
0.2,182,86.11,91.43,120.19,0,0,0,0.21,-23.5,0.04,0.03,0,4.2,192,1,1,0,0,0,0,0,0,0,0,-2.5,-2.5,1.2,1.2,527.1,-448,11.75,-9.7,-3.4,-2.5,-2.9,-2.7,-4.1,-4.5,-5.5,-5.2,-1.1,-0.7,0,-2,-0.9,1.2,14,12,25,0,0,0,1,1,1,0,5,7,11,17,19,17,-2,-2,5,0,0,0,0,0,0,0,0,0
0.1,182,86.11,91.43,120.19,0,0,0,0.17,-23.1,0.04,0.05,0,6.0,189,1,1,0,0,0,0,0,0,0,0,-2.2,-2.3,1.2,1.2,527.1,-448,11.75,-9.7,-3.4,-2.5,-3.1,-2.7,-4.1,-4.6,-5.6,-5.2,-1.2,-0.8,1,-2,-0.9,1.2,14,12,25,0,0,0,1,1,1,0,5,7,11,17,19,17,-2,-2,6,0,0,0,0,0,0,0,0,0
0.21,182,86.11,91.43,120.19,0,0,0,0.16,-25.8,0.04,0.03,0,6.3,192,1,1,0,0,0,0,0,0,0,0,-2.2,-2.4,1.2,1.2,527.1,-448,11.75,-9.7,-3.4,-2.5,-2.9,-2.7,-4.1,-4.5,-5.5,-5.2,-1.1,-0.7,1,-2,-0.9,1.2,14,12,25,0,0,0,1,1,1,0,5,7,11,17,19,17,-2,-2,5,0,0,0,0,0,0,0,0,0
0.06,182,86.11,91.43,120.19,0,0,0,0.16,-26.0,0.05,0.03,0,5.4,191,1,1,0,0,0,0,0,0,0,0,-2.4,-2.5,1.2,1.2,527.1,-448,11.75,-9.7,-3.4,-2.5,-3.1,-2.7,-4.1,-4.6,-5.6,-5.2,-1.1,-0.8,2,-2,-0.9,1.2,14,12,25,0,0,0,1,1,1,0,5,7,11,17,19,17,-2,-2,6,0,0,0,0,0,0,0,0,0
0.14,181,86.11,91.43,120.19,0,0,0,0.21,-37.3,0.04,0.03,0,7.7,190,1,1,0,0,0,0,0,0,0,0,-2.2,-2.4,1.2,1.2,527.1,-448,11.75,-9.7,-3.4,-2.5,-2.9,-2.7,-4.0,-4.5,-5.5,-5.2,-1.1,-0.7,0,-2,-0.9,1.3,14,12,25,0,0,0,1,1,1,0,5,7,12,17,19,17,-2,-2,6,0,0,0,0,0,0,0,0,0
0.07,182,86.11,91.43,120.19,0,0,0,0.16,-20.7,0.05,0.03,0,5.2,181,1,1,0,0,0,0,0,0,0,0,-2.4,-2.5,1.2,1.2,527.1,-448,11.75,-9.7,-3.6,-2.6,-3.1,-2.7,-4.1,-4.6,-5.6,-5.2,-1.2,-0.8,4,-2,-1.0,1.2,14,12,25,0,0,0,1,1,1,0,5,7,10,17,19,17,-2,-2,9,0,0,0,0,0,0,0,0,0
0.2,182,86.11,91.43,120.19,0,0,0,0.21,-15.8,0.04,0.03,0,5.4,184,1,1,0,0,0,0,0,0,0,0,-2.5,-2.4,1.2,1.2,527.1,-448,11.75,-9.7,-3.6,-2.6,-3.1,-2.7,-4.1,-4.6,-5.6,-5.2,-1.2,-0.8,4,-2,-1.0,1.2,14,12,25,0,0,0,1,1,1,0,5,8,9,17,19,17,-2,-2,8,0,0,0,0,0,0,0,0,0
0.07,182,86.11,91.43,120.19,0,0,0,0.11,-11.2,0.04,0.05,0,6.6,180,1,1,0,0,0,0,0,0,0,0,-2.3,-2.4,1.2,1.2,527.1,-448,11.75,-9.7,-3.6,-2.5,-3.1,-2.7,-4.1,-4.6,-5.6,-5.2,-1.2,-0.8,3,-2,-1.0,1.2,14,12,25,0,0,0,1,1,1,0,5,6,10,17,19,17,-2,-2,8,0,0,0,0,0,0,0,0,0
