轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
0,0,0,0,0,0,0,0,0,19.9,0.04,0.02,0,5.8,144,1,1,0,0,0,0,0,0,0,0,-8.8,-7.3,0,0,500,-448,11.75,-13.4,-7.6,-6.4,-7.2,-6.6,-8.2,-8.9,-10.3,-9.7,-9.7,-9.6,0,0,-10.4,-8.9,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,18.8,0.03,0.0,0,5.3,139,1,1,0,0,0,0,0,0,0,0,-8.9,-7.3,0,0,500,-448,11.75,-13.4,-7.4,-6.4,-7.2,-6.6,-8.2,-8.9,-10.3,-9.7,-9.7,-9.6,0,0,-10.4,-8.9,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,42.8,0.04,0.03,0,6.4,128,1,1,0,0,0,0,0,0,0,0,-8.7,-7.4,0,0,500,-448,11.75,-13.4,-7.4,-6.4,-7.2,-6.6,-8.2,-8.7,-10.3,-9.7,-9.7,-9.6,0,0,-10.4,-8.9,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,47.3,0.04,0.03,0,3.1,129,1,1,0,0,0,0,0,0,0,0,-9.0,-7.3,0,0,500,-448,11.75,-13.4,-7.6,-6.4,-7.2,-6.6,-8.2,-8.9,-10.5,-9.9,-9.7,-9.6,0,0,-10.4,-8.9,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,32.2,0.05,0.05,0,5.7,142,1,1,0,0,0,0,0,0,0,0,-9.0,-7.4,0,0,500,-448,11.75,-13.4,-7.6,-6.4,-7.2,-6.6,-8.2,-8.9,-10.3,-9.7,-9.7,-9.6,0,0,-10.4,-8.9,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,28.8,0.04,0.02,0,3.6,137,1,1,0,0,0,0,0,0,0,0,-8.7,-7.3,0,0,500,-448,11.75,-13.4,-7.6,-6.4,-7.2,-6.6,-8.2,-8.9,-10.5,-9.9,-9.7,-9.6,0,0,-10.4,-9.1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,30.4,0.03,0.02,0,5.5,146,1,1,0,0,0,0,0,0,0,0,-8.8,-7.4,0,0,500,-448,11.75,-13.4,-7.6,-6.4,-7.2,-6.6,-8.2,-8.9,-10.5,-9.9,-9.7,-9.6,0,0,-10.4,-8.9,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,36.2,0.04,0.04,0,5.8,135,1,1,0,0,0,0,0,0,0,0,-8.8,-7.3,0,0,500,-448,11.75,-13.4,-7.6,-6.6,-7.2,-6.8,-8.2,-8.9,-10.5,-9.9,-9.7,-9.6,0,0,-10.5,-9.1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,36.1,0.04,0.02,0,8.1,132,1,1,0,0,0,0,0,0,0,0,-8.8,-7.2,0,0,500,-448,11.75,-13.4,-7.4,-6.4,-7.2,-6.6,-8.2,-8.7,-10.3,-9.7,-9.7,-9.6,0,0,-10.4,-8.9,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,45.9,0.05,0.02,0,3.4,128,1,1,0,0,0,0,0,0,0,0,-8.8,-7.3,0,0,500,-448,11.75,-13.4,-7.6,-6.4,-7.2,-6.6,-8.2,-8.9,-10.5,-9.9,-9.7,-9.6,0,0,-10.4,-9.0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,52.1,0.04,0.02,0,3.6,131,1,1,0,0,0,0,0,0,0,0,-8.8,-7.4,0,0,500,-448,11.75,-13.4,-7.6,-6.4,-7.2,-6.6,-8.2,-8.9,-10.5,-9.9,-9.7,-9.6,0,0,-10.4,-8.9,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,30.8,0.04,0.03,0,7.7,135,1,1,0,0,0,0,0,0,0,0,-8.9,-7.4,0,0,500,-448,11.75,-13.4,-7.6,-6.6,-7.2,-6.8,-8.2,-8.9,-10.5,-9.9,-9.7,-9.6,0,0,-10.5,-9.1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,20.3,0.03,0.02,0,6.5,147,1,1,0,0,0,0,0,0,0,0,-8.9,-7.4,0,0,500,-448,11.75,-13.4,-7.6,-6.4,-7.2,-6.6,-8.2,-8.9,-10.3,-9.7,-9.7,-9.6,0,0,-10.4,-8.9,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,39.7,0.04,0.05,0,4.2,135,1,1,0,0,0,0,0,0,0,0,-8.9,-7.2,0,0,500,-448,11.75,-13.4,-7.6,-6.4,-7.2,-6.6,-8.2,-8.9,-10.5,-9.9,-9.7,-9.6,0,0,-10.4,-9.1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,36.3,0.03,0.03,0,6.0,135,1,1,0,0,0,0,0,0,0,0,-8.8,-7.5,0,0,500,-448,11.75,-13.4,-7.6,-6.6,-7.2,-6.8,-8.2,-8.9,-10.5,-9.9,-9.7,-9.6,0,0,-10.5,-9.1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,33.9,0.04,0.02,0,3.9,136,1,1,0,0,0,0,0,0,0,0,-8.9,-7.5,0,0,500,-448,11.75,-13.4,-7.6,-6.4,-7.2,-6.6,-8.2,-8.9,-10.5,-9.9,-9.7,-9.6,0,0,-10.4,-9.1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,31.5,0.05,0.03,0,5.8,146,1,1,0,0,0,0,0,0,0,0,-8.7,-7.4,0,0,500,-448,11.75,-13.4,-7.6,-6.4,-7.2,-6.6,-8.2,-8.9,-10.5,-9.9,-9.7,-9.6,0,0,-10.4,-8.9,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,32.3,0.04,0.02,0,3.8,133,1,1,0,0,0,0,0,0,0,0,-8.7,-7.4,0,0,500,-448,11.75,-13.4,-7.6,-6.4,-7.2,-6.6,-8.2,-8.9,-10.5,-9.9,-9.7,-9.6,0,0,-10.4,-9.0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,26.4,0.04,0.06,0,5.5,147,1,1,0,0,0,0,0,0,0,0,-8.9,-7.4,0,0,500,-448,11.75,-13.4,-7.6,-6.4,-7.2,-6.6,-8.2,-8.9,-10.4,-9.8,-9.7,-9.6,0,0,-10.4,-8.9,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,44.4,0.04,0.02,0,4.8,127,1,1,0,0,0,0,0,0,0,0,-8.8,-7.2,0,0,500,-448,11.75,-13.4,-7.4,-6.4,-7.2,-6.6,-8.2,-8.8,-10.3,-9.7,-9.7,-9.6,0,0,-10.4,-8.9,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,49.5,0.06,0.02,0,3.9,130,1,1,0,0,0,0,0,0,0,0,-8.8,-7.5,0,0,500,-448,11.75,-13.4,-7.6,-6.4,-7.2,-6.6,-8.2,-8.9,-10.5,-9.9,-9.7,-9.6,0,0,-10.4,-8.9,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,30.0,0.03,0.02,0,3.8,132,1,1,0,0,0,0,0,0,0,0,-8.6,-7.2,0,0,500,-448,11.75,-13.4,-7.6,-6.4,-7.2,-6.6,-8.2,-8.9,-10.5,-9.9,-9.7,-9.6,0,0,-10.4,-8.9,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,28.7,0.04,0.02,0,8.2,136,1,1,0,0,0,0,0,0,0,0,-8.8,-7.4,0,0,500,-448,11.75,-13.4,-7.6,-6.6,-7.2,-6.8,-8.2,-8.9,-10.5,-9.9,-9.7,-9.6,0,0,-10.5,-9.1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
