轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
0.24,16,86.11,91.43,120.19,0,0,0,0.3,-25.3,0.04,0.01,0,7.6,191,1,1,0,0,0,0,0,0,0,0,5.9,4.9,1.3,1.3,527.1,-448,11.75,-1.5,2.9,3.9,3.4,3.8,2.0,1.8,1.9,2.6,1.9,2.2,5,4,6.1,8.3,14,12,25,0,0,0,1,1,1,0,5,4,5,18,21,18,4,4,7,0,0,0,0,0,0,0,0,0
0.01,16,86.11,91.43,120.19,0,0,0,0.1,-39.4,0.04,0.02,0,8.7,208,1,1,0,0,0,0,0,0,0,0,5.7,4.8,1.3,1.3,527.1,-448,11.75,-1.6,2.9,3.9,3.4,3.8,2.0,1.8,1.7,2.6,1.9,2.2,4,4,6.1,8.3,14,12,25,0,0,0,1,1,1,0,5,5,5,18,21,18,4,4,8,0,0,0,0,0,0,0,0,0
0.22,3,86.11,91.43,120.19,0,0,0,0.22,-23.1,0.05,0.03,0,8.6,194,1,1,0,0,0,0,0,0,0,0,5.7,4.8,1.3,1.3,527.1,-448,11.75,-1.0,2.9,4.0,3.5,3.9,2.2,1.8,1.9,2.7,1.9,2.2,5,5,6.3,8.4,14,12,25,0,0,0,1,1,1,0,5,5,5,18,21,18,5,5,8,0,0,0,0,0,0,0,0,0
0.22,8,86.11,91.43,120.19,0,0,0,0.32,-18.0,0.06,0.0,0,6.1,192,1,1,0,0,0,0,0,0,0,0,5.9,4.9,1.3,1.3,527.1,-448,11.75,-1.1,2.9,4.0,3.5,3.9,2.2,1.8,1.9,2.7,1.9,2.2,5,5,6.3,8.4,14,12,25,0,0,0,1,1,1,0,5,5,5,18,21,18,5,5,8,0,0,0,0,0,0,0,0,0
0.06,11,86.11,91.43,120.19,0,0,0,0.12,-56.3,0.06,0.02,0,4.6,212,1,1,0,0,0,0,0,0,0,0,5.8,4.9,1.3,1.3,527.1,-448,11.75,-1.3,2.9,4.0,3.5,3.8,2.0,1.8,1.9,2.6,1.9,2.2,5,5,6.1,8.3,14,12,25,0,0,0,1,1,1,0,5,5,5,18,21,18,5,5,8,0,0,0,0,0,0,0,0,0
0.41,11,86.11,91.43,120.19,0,0,0,0.22,-24.1,0.06,0.03,0,6.7,198,1,1,0,0,0,0,0,0,0,0,5.9,4.9,1.3,1.3,527.1,-448,11.75,-1.2,2.9,4.0,3.5,3.8,2.0,1.8,1.9,2.6,1.9,2.2,4,4,6.3,8.3,14,12,25,0,0,0,1,1,1,0,5,5,5,18,21,18,4,4,9,0,0,0,0,0,0,0,0,0
0.33,15,86.11,91.43,120.19,0,0,0,0.11,-6.3,0.05,0.03,0,3.9,193,1,1,0,0,0,0,0,0,0,0,5.8,5.0,1.3,1.3,527.1,-448,11.75,-1.5,2.9,3.9,3.4,3.8,2.0,1.8,1.9,2.6,1.9,2.2,4,4,6.1,8.3,14,12,25,0,0,0,1,1,1,0,5,5,5,18,21,18,4,4,8,0,0,0,0,0,0,0,0,0
0.29,3,86.11,91.43,120.19,0,0,0,0.16,-23.2,0.06,0.03,0,6.9,194,1,1,0,0,0,0,0,0,0,0,5.9,5.0,1.3,1.3,527.1,-448,11.75,-1.0,2.9,4.0,3.5,3.9,2.2,1.8,1.9,2.7,1.9,2.2,5,5,6.3,8.4,14,12,25,0,0,0,1,1,1,0,5,5,5,18,21,18,5,5,8,0,0,0,0,0,0,0,0,0
0.08,16,86.11,91.43,120.19,0,0,0,0.12,-26.1,0.05,0.03,0,4.1,196,1,1,0,0,0,0,0,0,0,0,5.7,4.8,1.3,1.3,527.1,-448,11.75,-1.6,2.9,3.9,3.4,3.8,2.0,1.8,1.9,2.6,1.9,2.2,4,5,6.1,8.3,14,12,25,0,0,0,1,1,1,0,5,5,5,18,21,18,5,5,9,0,0,0,0,0,0,0,0,0
0.01,16,86.11,91.43,120.19,0,0,0,0.1,-47.8,0.04,0.03,0,6.7,213,1,1,0,0,0,0,0,0,0,0,5.8,4.8,1.3,1.3,527.1,-448,11.75,-1.6,2.9,3.9,3.4,3.8,2.0,1.8,1.8,2.6,1.9,2.2,4,4,6.1,8.3,14,12,25,0,0,0,1,1,1,0,5,5,5,18,21,18,4,4,8,0,0,0,0,0,0,0,0,0
