轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
0.47,4,85.98,85.98,85.98,11.0,11.0,11.1,0.52,13.5,0.05,0.02,0,3.2,158,1,1,3,673,0,0,0,0.0,1.9,0,3.5,3.7,0.1,2.2,527.1,-448,11.75,-4.5,0.4,1.4,0.8,1.2,-0.3,-0.9,-1.9,-1.6,9.2,9.6,6,11,2.7,4.6,7,5,25,0,0,0,2,4,4,0,11,12,4,19,23,17,11,11,16,0,0,0,0,0,0,0,0,0
0.73,320,85.98,85.98,85.98,10.4,11.0,10.9,0.75,-3.6,0.04,0.03,0,6.7,164,1,1,3,674,0,0,0,1.0,1.9,0,3.4,3.6,0.1,2.2,527.1,-448,11.75,-4.6,0.4,1.4,0.8,1.2,-0.3,-0.9,-2.1,-1.6,9.2,9.6,6,12,2.7,4.6,7,5,25,0,0,0,2,4,4,0,11,11,4,19,23,17,12,12,16,0,0,0,0,0,0,0,0,0
0.42,146,85.98,85.98,85.98,10.8,11.0,10.9,0.43,10.9,0.04,0.03,0,3.2,163,1,1,3,673,0,0,0,0.0,1.9,0,3.8,3.9,0.1,2.2,527.1,-448,11.75,-4.5,0.4,1.4,0.7,1.2,-0.3,-0.9,-2.0,-1.6,9.3,9.7,6,12,2.7,4.7,7,5,25,0,0,0,2,4,4,0,12,13,4,19,23,17,12,12,16,0,0,0,0,0,0,0,0,0
0.55,308,85.98,85.98,85.98,10.5,11.8,10.5,0.51,-19.9,0.06,0.01,0,6.0,169,1,1,3,673,0,0,0,0.0,1.9,0,3.7,3.9,0.1,2.2,527.1,-448,11.75,-4.5,0.4,1.4,0.7,1.2,-0.3,-0.9,-2.0,-1.6,9.3,9.7,6,11,2.7,4.8,7,5,25,0,0,0,2,4,4,0,12,13,4,19,23,18,11,11,16,0,0,0,0,0,0,0,0,0
0.81,289,85.98,85.98,85.98,10.6,10.8,10.7,0.72,-5.9,0.04,0.08,0,7.6,161,1,1,2,674,0,0,0,0.8,1.9,0,3.7,3.6,0.1,2.2,527.1,-448,11.75,-4.6,0.4,1.4,0.8,1.2,-0.3,-0.9,-2.1,-1.6,9.2,9.5,6,11,2.7,4.6,7,5,25,0,0,0,2,4,4,0,10,11,4,19,23,18,11,11,16,0,0,0,0,0,0,0,0,0
0.33,170,85.98,85.98,85.98,10.6,11.1,10.5,0.45,-1.8,0.04,0.03,0,7.0,162,1,1,3,673,0,0,0,0.0,1.9,0,3.6,3.8,0.1,2.2,527.1,-448,11.75,-4.5,0.4,1.4,0.8,1.2,-0.3,-0.9,-1.9,-1.6,9.3,9.6,6,12,2.7,4.6,7,5,25,0,0,0,2,4,4,0,11,12,4,19,23,18,12,12,16,0,0,0,0,0,0,0,0,0
0.65,79,85.98,85.98,85.98,11.0,11.0,10.9,0.62,2.5,0.04,0.03,0,6.3,163,1,1,2,675,0,0,0,0.3,1.9,0,3.8,4.0,0.1,2.2,527.1,-448,11.75,-4.5,0.4,1.4,0.7,1.1,-0.3,-0.9,-2.1,-1.6,9.3,9.7,6,11,2.7,4.8,8,5,25,0,0,0,2,4,4,0,12,13,4,19,23,17,11,11,16,0,0,0,0,0,0,0,0,0
0.48,76,85.98,85.98,85.98,11.2,10.7,10.4,0.49,-4.3,0.05,0.02,0,4.9,161,1,1,2,675,0,0,0,0.2,1.9,0,3.5,3.6,0.1,2.2,527.1,-448,11.75,-4.5,0.4,1.4,0.8,1.2,-0.3,-0.9,-2.0,-1.6,9.2,9.6,6,12,2.7,4.6,7,5,25,0,0,0,2,4,4,0,11,12,4,19,22,16,12,12,16,0,0,0,0,0,0,0,0,0
0.75,38,85.98,85.98,85.98,10.6,10.4,10.9,0.68,0.2,0.07,0.03,0,7.6,167,1,1,2,674,0,0,0,0.8,1.9,0,3.8,3.8,0.1,2.2,527.1,-448,11.75,-4.5,0.4,1.4,0.7,1.2,-0.3,-0.9,-2.0,-1.6,9.3,9.7,6,12,2.7,4.8,7,5,25,0,0,0,2,4,4,0,12,13,4,19,23,17,12,12,15,0,0,0,0,0,0,0,0,0
0.45,36,85.98,85.98,85.98,10.8,12.4,10.4,0.41,0.3,0.04,-0.02,0,4.6,158,1,1,2,673,0,0,0,0.0,1.9,0,3.6,3.8,0.1,2.2,527.1,-448,11.75,-4.5,0.4,1.4,0.8,1.2,-0.3,-0.9,-1.9,-1.6,9.3,9.6,6,11,2.7,4.6,7,5,25,0,0,0,2,4,4,0,11,12,4,19,23,18,11,11,16,0,0,0,0,0,0,0,0,0
