轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
0.0,70,90.89,90.96,62.5,0,0,0,0.0,77.3,-0.07,0.0,0,16.0,92,1,1,0,0,0,0,0,0,0,0,1.6,2.7,0,0,500,-448,11.75,-0.5,3.4,4.4,3.9,4.2,2.9,2.2,0.4,1.1,-0.3,0,4,3,-0.8,0.8,0,0,0,0,0,0,1,1,1,0,0,24,22,18,21,18,3,3,7,0,0,0,0,0,0,0,0,0
0.0,71,90.89,90.96,62.5,0,0,0,0.0,72.2,0.22,0.1,0,16.4,95,1,1,0,0,0,0,0,0,0,0,1.4,2.7,0,0,500,-448,11.75,-0.5,3.4,4.4,3.9,4.2,2.9,2.2,0.4,1.1,-0.3,0,4,3,-0.8,0.8,0,0,0,0,0,0,1,1,1,0,0,24,22,18,21,18,3,3,7,0,0,0,0,0,0,0,0,0
0.0,69,90.89,90.96,62.5,0,0,0,-0.01,77.7,0.14,0.05,0,16.6,93,1,1,0,0,0,0,0,0,0,0,1.4,2.7,0,0,500,-448,11.75,-0.5,3.4,4.4,3.9,4.2,2.8,2.2,0.4,1.1,-0.3,0,4,3,-0.8,0.8,0,0,0,0,0,0,1,1,1,0,0,24,22,18,21,18,3,3,7,0,0,0,0,0,0,0,0,0
0.0,70,90.89,90.96,62.5,0,0,0,-0.01,79.5,-0.02,0.03,0,16.4,92,1,1,0,0,0,0,0,0,0,0,1.5,2.8,0,0,500,-448,11.75,-0.5,3.4,4.4,3.9,4.2,2.9,2.2,0.4,1.1,-0.3,0,4,3,-0.8,0.8,0,0,0,0,0,0,1,1,1,0,0,24,22,18,21,18,3,3,7,0,0,0,0,0,0,0,0,0
0.0,69,90.89,90.96,62.5,0,0,0,0.0,74.1,0.03,0.03,0,18.1,95,1,1,0,0,0,0,0,0,0,0,1.4,2.8,0,0,500,-448,11.75,-0.5,3.4,4.4,3.9,4.2,2.9,2.2,0.4,1.1,-0.3,0,4,3,-0.7,0.8,0,0,0,0,0,0,1,1,1,0,0,24,22,18,21,18,3,3,8,0,0,0,0,0,0,0,0,0
0.0,71,90.89,90.96,62.5,0,0,0,0.0,81.1,0.16,0.01,0,16.7,92,1,1,0,0,0,0,0,0,0,0,1.4,2.7,0,0,500,-448,11.75,-0.5,3.4,4.4,3.9,4.2,2.9,2.2,0.5,1.1,-0.3,0,4,3,-0.6,0.8,0,0,0,0,0,0,1,1,1,0,0,24,22,18,21,18,3,3,8,0,0,0,0,0,0,0,0,0
0.01,69,90.89,90.96,62.5,0,0,0,-0.01,75.8,0.04,-0.01,0,14.1,95,1,1,0,0,0,0,0,0,0,0,1.6,2.7,0,0,500,-448,11.75,-0.5,3.4,4.4,3.9,4.2,2.9,2.2,0.4,1.1,-0.3,0,4,3,-0.7,0.8,0,0,0,0,0,0,1,1,1,0,0,24,22,18,21,18,3,3,7,0,0,0,0,0,0,0,0,0
0.0,69,90.89,90.96,62.5,0,0,0,-0.01,76.7,-0.07,-0.02,0,12.3,95,1,1,0,0,0,0,0,0,0,0,1.5,2.8,0,0,500,-448,11.75,-0.5,3.4,4.4,3.9,4.2,2.9,2.2,0.4,1.1,-0.3,0,4,3,-0.7,0.8,0,0,0,0,0,0,1,1,1,0,0,24,22,18,21,18,3,3,7,0,0,0,0,0,0,0,0,0
0.0,69,90.89,90.96,62.5,0,0,0,0.0,81.1,-0.08,-0.08,0,16.2,92,1,1,0,0,0,0,0,0,0,0,1.5,2.7,0,0,500,-448,11.75,-0.5,3.4,4.4,3.9,4.2,2.9,2.2,0.4,1.1,-0.3,0,4,3,-0.6,0.8,0,0,0,0,0,0,1,1,1,0,0,24,22,18,21,18,3,3,8,0,0,0,0,0,0,0,0,0
0.0,69,90.89,90.96,62.5,0,0,0,0.0,73.3,0.03,0.05,0,16.1,94,1,1,0,0,0,0,0,0,0,0,1.5,2.9,0,0,500,-448,11.75,-0.5,3.4,4.4,3.9,4.2,2.8,2.2,0.4,1.1,-0.3,0,4,3,-0.8,0.8,0,0,0,0,0,0,1,1,1,0,0,24,22,18,21,18,3,3,7,0,0,0,0,0,0,0,0,0
0.0,71,90.89,90.96,62.5,0,0,0,0.0,71.8,0.11,0.1,0,23.1,94,1,1,0,0,0,0,0,0,0,0,1.6,2.7,0,0,500,-448,11.75,-0.4,3.4,4.4,3.9,4.2,2.9,2.2,0.5,1.1,-0.3,0,4,3,-0.6,0.8,0,0,0,0,0,0,1,1,1,0,0,24,22,18,21,18,3,3,7,0,0,0,0,0,0,0,0,0
