轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
-0.01,168,85.98,85.98,85.98,12,12,10,0,-59.7,0.03,0.08,201.3,0,325,1,2,0,694,0,1,0,0.01,0,0,26.5,27.0,0,2.7,2067.6,0,16.83,-16.3,-7.4,-5.4,-7.4,-4.3,-5.7,-6.6,-4.5,-5.3,13.6,13.0,-1,13,-6.6,-3.6,27,28,29,0,0,0,3,4,4,0,2,0,3,28,26,25,13,13,7,45.05,44.93,45.03,27,230,2.1,0,0,0
-0.02,168,85.98,85.98,85.98,12,12,10,0,-58.2,0.03,0.08,201.3,0,326,1,2,0,694,0,1,0,0.01,0,0,26.6,27.2,0,2.7,2067.6,0,16.83,-16.3,-7.3,-5.3,-7.3,-4.2,-5.7,-6.4,-4.3,-5.3,13.9,13.3,-1,13,-6.8,-3.6,28,28,29,0,0,0,3,4,4,0,3,0,3,28,26,25,13,13,7,45.04,44.93,45.02,28,240,2.0,0,0,0
0.0,168,85.98,85.98,85.98,12,12,10,0,-58.4,0.03,0.08,201.2,0,326,1,2,0,694,0,1,0,0.01,0,0,26.7,27.0,0,2.7,2067.6,0,16.83,-16.3,-7.3,-5.3,-7.3,-4.2,-5.7,-6.4,-4.3,-5.3,13.9,13.3,-1,13,-6.8,-3.6,27,28,29,0,0,0,3,4,4,0,3,0,3,28,26,25,13,13,7,45.04,44.92,45.02,27,230,2.1,0,0,0
-0.01,168,85.98,85.98,85.98,12,12,10,0,-50.5,0.03,0.08,201.2,0,319,1,2,0,694,0,1,0,0.01,0,0,26.7,27.1,0,2.7,2067.6,0,16.83,-16.3,-7.3,-5.3,-7.3,-4.3,-5.7,-6.5,-4.5,-5.3,13.8,13.2,-1,13,-6.9,-3.6,27,28,29,0,0,0,3,4,4,0,3,0,3,28,26,25,13,13,7,45.04,44.93,45.02,27,240,1.9,0,0,0
-0.03,168,85.98,85.98,85.98,12,12,10,0,-53.6,0.03,0.08,201.1,0,321,1,2,0,695,0,1,0,0.01,0,0,26.5,26.9,0,2.7,2067.6,0,16.83,-16.3,-7.4,-5.4,-7.4,-4.3,-5.7,-6.6,-4.5,-5.3,13.6,13.0,-1,13,-6.8,-3.6,27,28,29,0,0,0,3,4,4,0,2,0,3,28,26,25,13,13,7,45.04,44.92,45.03,27,230,2.0,0,0,0
0.0,168,85.98,85.98,85.98,12,12,10,0,-53.0,0.03,0.08,201.1,0,321,1,2,0,695,0,1,0,0.01,0,0,26.6,27.0,0,2.7,2067.6,0,16.83,-16.3,-7.4,-5.4,-7.4,-4.3,-5.7,-6.6,-4.5,-5.3,13.7,13.1,-1,13,-6.8,-3.6,27,28,29,0,0,0,3,4,4,0,3,0,3,28,26,25,13,13,7,45.04,44.93,45.03,27,230,2.0,0,0,0
-0.03,168,85.98,85.98,85.98,12,12,10,0,-53.2,0.03,0.08,201.4,0,322,1,2,0,695,0,1,0,0.01,0,0,26.5,27.2,0,2.7,2067.6,0,16.83,-16.3,-7.3,-5.3,-7.3,-4.3,-5.7,-6.4,-4.3,-5.3,13.8,13.2,-1,13,-6.8,-3.6,27,28,29,0,0,0,3,4,4,0,3,0,3,28,26,25,13,13,7,45.04,44.92,45.03,27,230,2.0,0,0,0
0.0,168,85.98,85.98,85.98,12,12,10,0,-53.3,0.03,0.08,201.3,0,322,1,2,0,695,0,1,0,0.01,0,0,26.6,27.1,0,2.7,2067.6,0,16.83,-16.3,-7.3,-5.3,-7.3,-4.3,-5.7,-6.4,-4.4,-5.3,13.8,13.2,-1,13,-6.9,-3.6,27,28,29,0,0,0,3,4,4,0,3,0,3,28,26,25,13,13,7,45.04,44.92,45.03,27,230,2.0,0,0,0
-0.05,168,85.98,85.98,85.98,12,12,10,0,-51.2,0.03,0.08,201.2,0,319,1,2,0,695,0,2,0,0.01,0,0,26.6,27.2,0,2.7,2067.6,0,16.83,-16.3,-7.3,-5.3,-7.3,-4.3,-5.7,-6.5,-4.5,-5.3,13.8,13.2,0,13,-6.9,-3.6,27,28,29,0,0,0,3,4,4,0,3,0,3,28,26,25,13,13,7,45.05,44.93,45.02,26,240,2.0,0,0,0
0.0,168,85.98,85.98,85.98,12,12,10,0,-50.2,0.03,0.08,201.2,0,319,1,2,0,695,0,1,0,0.01,0,0,26.5,27.1,0,2.7,2067.6,0,16.83,-16.3,-7.4,-5.3,-7.3,-4.3,-5.7,-6.6,-4.5,-5.3,13.7,13.1,-1,13,-6.9,-3.6,27,28,29,0,0,0,3,4,4,0,3,0,3,28,26,25,13,13,7,45.04,44.93,45.03,27,230,2.1,0,0,0
