轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
0.35,106.0,85.98,85.98,85.98,11.0,11.0,12.0,0.0,0.5,0.03,0.07,210.4,11.0,136.0,1.0,3.0,2.0,694.0,0.0,3.0,0.0,0.01,0.0,0.0,32.2,33.0,0.0,2.8,2067.6,0.0,16.83,-12.3,7.1,4.7,6.5,7.2,8.8,7.6,8.4,7.3,29.4,29.0,4.0,11.0,-0.1,3.7,33.0,35.0,34.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,6.0,5.0,5.0,30.0,26.0,27.0,11.0,11.0,12.0,45.03,44.9,45.02,23.0,230.0,2.3,0.0,0.0,0.0
0.27,106.0,85.98,85.98,85.98,10.0,12.0,12.0,0.0,3.5,0.02,0.06,210.2,8.4,134.0,1.0,3.0,4.0,693.0,0.0,5.0,0.0,0.01,0.0,0.0,32.2,33.0,0.0,2.8,2067.6,0.0,16.83,-12.3,7.1,4.6,6.5,7.2,8.8,7.6,8.3,7.3,29.4,28.9,2.0,11.0,-0.1,3.7,33.0,35.0,34.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,6.0,5.0,5.0,30.0,27.0,27.0,11.0,11.0,12.0,45.03,44.9,45.02,23.0,230.0,2.3,0.0,0.0,0.0
0.5,106.0,85.98,85.98,85.98,10.0,12.0,11.0,0.0,-4.9,0.04,0.07,208.6,11.2,135.0,1.0,3.0,0.0,695.0,0.0,0.0,0.0,0.01,0.0,0.0,32.3,32.8,0.0,2.8,2067.6,0.0,16.83,-12.2,7.7,5.3,7.1,7.8,9.5,8.2,9.0,7.9,29.8,29.3,3.0,11.0,0.0,3.8,33.0,35.0,34.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,6.0,5.0,5.0,30.0,27.0,27.0,11.0,11.0,12.0,45.02,44.9,45.02,24.0,230.0,2.1,0.0,0.0,0.0
0.3,106.0,85.98,85.98,85.98,12.0,11.0,11.0,0.0,-7.0,0.03,0.13,210.4,8.0,132.0,1.0,3.0,2.0,695.0,0.0,4.0,0.0,0.01,0.0,0.0,32.2,33.0,0.0,2.8,2067.6,0.0,16.83,-12.3,7.4,5.0,6.7,7.3,9.1,7.9,8.6,7.6,29.6,29.1,4.0,11.0,0.0,3.7,33.0,35.0,34.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,6.0,5.0,5.0,30.0,26.0,27.0,11.0,11.0,12.0,45.03,44.9,45.02,23.0,230.0,2.1,0.0,0.0,0.0
0.29,106.0,85.98,85.98,85.98,11.0,10.0,12.0,0.0,4.6,0.03,0.08,209.9,11.0,128.0,1.0,3.0,1.0,694.0,0.0,-2.0,0.0,0.01,0.0,0.0,32.3,33.0,0.0,2.8,2067.6,0.0,16.83,-12.3,6.9,4.5,6.3,7.0,8.7,7.4,8.2,7.2,29.3,28.8,4.0,11.0,-0.1,3.7,33.0,35.0,34.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,6.0,5.0,5.0,30.0,26.0,27.0,11.0,11.0,12.0,45.02,44.9,45.02,23.0,210.0,2.2,0.0,0.0,0.0
0.39,106.0,85.98,85.98,85.98,11.0,11.0,12.0,0.0,-16.2,0.06,0.11,208.6,11.6,140.0,1.0,3.0,2.0,694.0,0.0,4.0,0.0,0.01,0.0,0.0,32.2,33.0,0.0,2.8,2067.6,0.0,16.83,-12.2,7.7,5.3,7.1,7.9,9.6,8.2,9.0,8.0,29.8,29.4,3.0,11.0,0.0,3.8,33.0,35.0,34.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,6.0,5.0,5.0,30.0,26.0,27.0,11.0,11.0,12.0,45.03,44.91,45.02,23.0,220.0,2.2,0.0,0.0,0.0
0.28,106.0,85.98,85.98,85.98,11.0,10.0,12.0,0.0,1.4,0.03,0.06,209.7,9.6,129.0,1.0,3.0,0.0,695.0,0.0,0.0,0.0,0.01,0.0,0.0,32.3,33.0,0.0,2.8,2067.6,0.0,16.83,-12.3,6.9,4.5,6.3,7.0,8.7,7.4,8.2,7.2,29.3,28.9,3.0,11.0,-0.1,3.7,33.0,35.0,34.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,6.0,5.0,5.0,30.0,26.0,27.0,11.0,11.0,12.0,45.02,44.91,45.02,23.0,210.0,2.3,0.0,0.0,0.0
0.35,106.0,85.98,85.98,85.98,11.0,12.0,10.0,0.0,2.5,0.03,0.08,209.9,5.7,132.0,1.0,3.0,0.0,695.0,0.0,0.0,0.0,0.01,0.0,0.0,32.2,32.9,0.0,2.8,2067.6,0.0,16.83,-12.3,7.0,4.6,6.5,7.1,8.8,7.6,8.3,7.2,29.4,28.9,4.0,11.0,-0.1,3.7,33.0,35.0,34.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,6.0,5.0,5.0,30.0,27.0,27.0,11.0,11.0,12.0,45.03,44.9,45.02,23.0,230.0,2.2,0.0,0.0,0.0
0.48,106.0,85.98,85.98,85.98,11.0,10.0,12.0,0.0,-10.8,0.04,0.08,210.2,8.6,133.0,1.0,3.0,1.0,695.0,0.0,2.0,0.0,0.01,0.0,0.0,32.3,33.0,0.0,2.8,2067.6,0.0,16.83,-12.3,7.3,5.0,6.6,7.3,9.1,7.9,8.6,7.5,29.5,29.1,3.0,11.0,0.0,3.7,33.0,35.0,34.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,6.0,5.0,5.0,30.0,26.0,27.0,11.0,11.0,12.0,45.02,44.9,45.02,23.0,230.0,2.1,0.0,0.0,0.0
0.42,106.0,85.98,85.98,85.98,12.0,11.0,10.0,0.0,-10.3,0.03,0.08,208.7,13.0,137.0,1.0,3.0,0.0,695.0,0.0,1.0,0.0,0.01,0.0,0.0,32.2,33.0,0.0,2.8,2067.6,0.0,16.83,-12.2,7.8,5.4,7.3,7.9,9.7,8.4,9.1,8.0,29.9,29.4,3.0,11.0,0.0,3.8,33.0,35.0,34.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,6.0,5.0,5.0,30.0,26.0,26.0,11.0,11.0,12.0,45.02,44.9,45.02,23.0,230.0,2.1,0.0,0.0,0.0
0.27,106.0,85.98,85.98,85.98,10.0,12.0,12.0,0.0,-2.8,0.03,0.1,209.7,9.7,126.0,1.0,3.0,0.0,694.0,0.0,0.0,0.0,0.01,0.0,0.0,32.2,33.0,0.0,2.8,2067.6,0.0,16.83,-12.3,6.8,4.4,6.1,6.8,8.5,7.2,7.9,7.0,29.1,28.7,3.0,11.0,-0.1,3.7,33.0,35.0,34.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,5.0,5.0,5.0,30.0,27.0,27.0,11.0,11.0,12.0,45.04,44.9,45.02,23.0,230.0,2.3,0.0,0.0,0.0
0.4,106.0,85.98,85.98,85.98,12.0,11.0,10.0,0.0,-9.3,0.04,0.07,208.7,11.4,136.0,1.0,3.0,0.0,695.0,0.0,0.0,0.0,0.01,0.0,0.0,32.2,32.8,0.0,2.8,2067.6,0.0,16.83,-12.2,7.8,5.4,7.3,7.9,9.7,8.4,9.1,8.0,29.9,29.4,3.0,11.0,0.0,3.8,33.0,35.0,34.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,6.0,5.0,5.0,30.0,26.0,26.0,11.0,11.0,12.0,45.02,44.9,45.02,23.0,230.0,2.1,0.0,0.0,0.0
0.41,106.0,85.98,85.98,85.98,11.0,12.0,10.0,0.0,-2.8,0.03,0.08,209.7,10.7,129.0,1.0,3.0,2.0,693.0,0.0,4.0,0.0,0.01,0.0,0.0,32.3,33.0,0.0,2.8,2067.6,0.0,16.83,-12.3,6.8,4.3,6.1,6.7,8.5,7.2,7.9,7.0,29.1,28.7,3.0,11.0,-0.1,3.7,33.0,35.0,34.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,5.0,5.0,5.0,30.0,27.0,26.0,11.0,11.0,12.0,45.03,44.9,45.02,23.0,240.0,2.1,0.0,0.0,0.0
0.4,106.0,85.98,85.98,85.98,10.0,12.0,11.0,0.0,-2.4,0.04,0.08,210.2,13.2,134.0,1.0,3.0,0.0,695.0,0.0,0.0,0.0,0.01,0.0,0.0,32.3,32.8,0.0,2.8,2067.6,0.0,16.83,-12.3,7.0,4.6,6.5,7.1,8.8,7.6,8.3,7.2,29.4,28.9,3.0,11.0,-0.1,3.7,33.0,35.0,34.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,6.0,5.0,5.0,30.0,27.0,27.0,11.0,11.0,12.0,45.03,44.9,45.02,24.0,240.0,2.2,0.0,0.0,0.0
0.42,106.0,85.98,85.98,85.98,12.0,10.0,10.0,0.0,-24.3,0.03,0.03,210.2,5.6,139.0,1.0,3.0,2.0,695.0,0.0,3.0,0.0,0.01,0.0,0.0,32.3,33.0,0.0,2.8,2067.6,0.0,16.83,-12.3,7.1,4.8,6.6,7.2,9.0,7.7,8.5,7.3,29.4,29.0,4.0,11.0,0.0,3.7,33.0,35.0,34.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,6.0,5.0,5.0,30.0,26.0,27.0,11.0,11.0,12.0,45.03,44.9,45.02,24.0,230.0,2.1,0.0,0.0,0.0
0.31,106.0,85.98,85.98,85.98,12.0,11.0,10.0,0.0,-7.6,0.04,0.02,210.2,8.4,135.0,1.0,3.0,1.0,695.0,0.0,2.0,0.0,0.01,0.0,0.0,32.2,33.0,0.0,2.8,2067.6,0.0,16.83,-12.3,7.2,4.8,6.6,7.3,9.0,7.7,8.5,7.5,29.5,29.1,3.0,11.0,0.0,3.7,33.0,35.0,34.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,6.0,5.0,5.0,30.0,27.0,27.0,11.0,11.0,12.0,45.03,44.9,45.02,23.0,230.0,2.2,0.0,0.0,0.0
0.41,106.0,85.98,85.98,85.98,12.0,11.0,10.0,0.0,-6.3,0.03,0.16,210.2,6.9,134.0,1.0,3.0,1.0,694.0,0.0,-2.0,0.0,0.01,0.0,0.0,32.2,33.0,0.0,2.8,2067.6,0.0,16.83,-12.3,7.2,4.8,6.6,7.2,9.0,7.7,8.5,7.4,29.5,29.0,3.0,11.0,0.0,3.7,33.0,35.0,34.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,6.0,5.0,5.0,30.0,26.0,27.0,11.0,11.0,12.0,45.02,44.9,45.02,23.0,230.0,2.1,0.0,0.0,0.0
0.27,106.0,85.98,85.98,85.98,12.0,10.0,12.0,0.0,-4.4,0.03,0.12,210.3,10.5,131.0,1.0,3.0,2.0,694.0,0.0,-4.0,0.0,0.01,0.0,0.0,32.3,32.9,0.0,2.8,2067.6,0.0,16.83,-12.3,7.4,5.0,6.6,7.3,9.1,7.9,8.6,7.5,29.5,29.1,3.0,11.0,0.0,3.7,33.0,35.0,34.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,6.0,5.0,5.0,30.0,26.0,27.0,11.0,11.0,12.0,45.02,44.91,45.02,23.0,230.0,2.2,0.0,0.0,0.0
