轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
0.09,16,85.98,85.98,85.98,11.8,10.7,11.2,0,-48.5,0.09,0.09,207.9,0.3,269,1,3,389,700,0,2,0,0,1.9,0,30.3,30.8,0.0,2.9,374.4,0,10.49,8.6,20.3,19.8,20.6,19.4,21.3,20.3,19.2,19.6,38.0,37.7,21,30,17.6,22.1,33,27,25,0,0,0,3,4,4,0,22,23,22,33,31,33,30,30,35,45.13,44.95,45.13,39,350,3.6,0,0,0
0.11,16,85.98,85.98,85.98,11.8,10.7,11.1,0,-41.2,0.09,0.09,207.9,0.8,263,1,3,392,700,0,-2,0,0,1.9,0,33.0,33.1,0.0,2.9,374.4,0,10.49,8.4,20.1,19.6,20.5,19.3,21.1,20.1,19.1,19.4,37.7,37.4,22,30,17.5,21.9,35,30,25,0,0,0,3,4,4,0,22,23,22,34,31,33,30,30,35,45.13,44.95,45.13,39,350,3.6,0,0,0
0.11,16,85.98,85.98,85.98,11.8,10.8,11.1,0,-39.2,0.09,0.08,207.7,1.1,265,1,3,389,700,0,1,0,0,1.9,0,32.6,31.9,0.0,3.0,374.4,0,10.49,8.4,20.1,19.6,20.6,19.4,21.1,20.3,19.2,19.4,37.8,37.5,22,30,17.6,22.0,34,29,25,0,0,0,3,4,4,0,22,23,22,34,31,32,30,30,35,45.13,44.95,45.13,39,350,3.7,0,0,0
0.1,16,85.98,85.98,85.98,11.8,10.8,11.1,0,-31.0,0.09,0.09,207.8,1.4,256,1,3,387,699,0,1,0,0,1.9,0,27.3,28.2,0.0,2.8,374.4,0,10.49,8.3,20.1,19.5,20.5,19.3,21.1,20.1,19.1,19.4,37.6,37.3,21,30,17.5,21.9,31,25,25,0,0,0,3,4,4,0,22,23,22,33,31,33,30,30,35,45.13,44.95,45.12,40,350,3.6,0,0,0
0.11,16,85.98,85.98,85.98,11.8,10.8,11.1,0,-39.6,0.09,0.08,207.8,0.5,263,1,3,387,700,0,1,0,0,1.9,0,33.0,32.8,0.0,3.0,374.4,0,10.49,8.4,20.1,19.6,20.5,19.4,21.1,20.1,19.1,19.4,37.7,37.4,21,30,17.5,21.9,35,30,25,0,0,0,3,4,4,0,22,23,22,34,31,33,30,30,35,45.13,44.95,45.13,40,350,3.6,0,0,0
0.1,16,85.98,85.98,85.98,11.8,10.8,11.1,0,-39.1,0.09,0.09,207.8,0.1,266,1,3,387,700,0,3,0,0,1.9,0,30.3,30.9,0.0,2.9,374.4,0,10.49,8.6,20.3,19.8,20.6,19.4,21.3,20.3,19.2,19.6,38.0,37.7,22,30,17.6,22.1,33,27,25,0,0,0,3,4,4,0,22,23,22,33,31,33,30,30,36,45.13,44.95,45.13,40,360,3.6,0,0,0
0.12,16,85.98,85.98,85.98,11.8,10.7,11.1,0,-42.0,0.09,0.09,207.7,1.8,263,1,3,387,700,0,0,0,0,1.9,0,28.3,29.1,0.0,2.9,374.4,0,10.49,8.3,20.0,19.4,20.5,19.3,21.1,20.1,19.1,19.3,37.5,37.2,22,30,17.5,21.9,31,25,25,0,0,0,3,4,4,0,22,23,22,34,31,33,30,30,33,45.13,44.95,45.13,40,330,3.6,0,0,0
0.1,16,85.98,85.98,85.98,11.8,10.8,11.2,0,-35.9,0.09,0.08,207.7,1.1,261,1,3,388,700,0,1,0,0,1.9,0,28.5,30.2,0.0,2.8,374.4,0,10.49,8.3,20.1,19.6,20.5,19.3,21.1,20.1,19.1,19.4,37.6,37.3,22,30,17.5,21.9,32,26,25,0,0,0,3,4,4,0,22,23,22,34,31,33,30,30,33,45.13,44.95,45.13,40,330,3.6,0,0,0
0.09,16,85.98,85.98,85.98,11.8,10.8,11.2,0,-45.1,0.09,0.09,208.0,0.8,269,1,3,389,700,0,1,0,0,1.9,0,30.2,29.8,0.0,2.9,374.4,0,10.49,8.6,20.3,19.8,20.6,19.6,21.3,20.3,19.3,19.6,38.1,37.7,21,30,17.6,22.1,33,26,25,0,0,0,3,4,4,0,22,23,22,33,31,33,30,30,36,45.13,44.95,45.13,40,360,3.8,0,0,0
0.1,16,85.98,85.98,85.98,11.8,10.8,11.1,0,-43.8,0.09,0.08,208.0,0.9,269,1,3,387,700,0,0,0,0,1.9,0,30.1,30.0,0.0,2.9,374.4,0,10.49,8.6,20.3,19.8,20.6,19.5,21.3,20.3,19.3,19.6,38.1,37.7,22,30,17.6,22.1,33,27,25,0,0,0,3,4,4,0,22,23,22,33,31,33,30,30,35,45.13,44.95,45.13,40,350,3.7,0,0,0
0.1,16,85.98,85.98,85.98,11.8,10.8,11.1,0,-48.7,0.09,0.09,207.8,0.3,270,1,3,387,700,0,2,0,0,1.9,0,31.1,30.7,0.0,2.9,374.4,0,10.49,8.5,20.3,19.8,20.6,19.4,21.3,20.3,19.2,19.6,38.0,37.7,22,30,17.6,22.1,33,27,25,0,0,0,3,4,4,0,22,23,22,33,31,32,30,30,35,45.13,44.95,45.12,40,350,3.7,0,0,0
0.09,16,85.98,85.98,85.98,11.8,10.7,11.1,0,-42.3,0.09,0.09,207.5,1.1,263,1,3,390,700,0,-1,0,0,1.9,0,33.0,32.5,0.0,3.0,374.4,0,10.49,8.4,20.1,19.6,20.5,19.3,21.1,20.1,19.1,19.4,37.7,37.4,22,30,17.5,21.9,35,30,25,0,0,0,3,4,4,0,22,23,22,34,31,32,30,30,35,45.13,44.95,45.12,40,350,3.7,0,0,0
0.11,16,85.98,85.98,85.98,11.8,10.8,11.1,0,-40.4,0.09,0.08,207.9,0.2,267,1,3,391,700,0,2,0,0,1.9,0,30.8,30.4,0.0,2.9,374.4,0,10.49,8.6,20.3,19.8,20.6,19.4,21.3,20.3,19.2,19.6,38.0,37.7,22,30,17.6,22.1,33,27,25,0,0,0,3,4,4,0,22,23,22,34,31,33,30,30,35,45.13,44.95,45.13,40,350,3.7,0,0,0
0.1,16,85.98,85.98,85.98,11.8,10.8,11.1,0,-30.3,0.09,0.09,207.7,1.1,256,1,3,387,700,0,1,0,0,1.9,0,27.8,28.4,0.0,2.8,374.4,0,10.49,8.3,20.1,19.5,20.5,19.3,21.1,20.1,19.1,19.4,37.6,37.3,21,30,17.5,21.9,31,25,25,0,0,0,3,4,4,0,22,23,21,34,31,33,30,30,35,45.13,44.95,45.13,40,350,3.6,0,0,0
0.1,16,85.98,85.98,85.98,11.8,10.7,11.1,0,-38.8,0.09,0.09,207.7,1.2,266,1,3,391,700,0,0,0,0,1.9,0,32.0,32.1,0.0,3.0,374.4,0,10.49,8.4,20.1,19.6,20.6,19.4,21.1,20.3,19.2,19.4,37.8,37.5,23,30,17.6,22.0,34,29,25,0,0,0,3,4,4,0,22,23,22,34,31,33,30,30,34,45.13,44.95,45.13,39,340,3.6,0,0,0
0.1,16,85.98,85.98,85.98,11.8,10.8,11.1,0,-37.3,0.08,0.09,207.7,0.5,262,1,3,387,700,0,1,0,0,1.9,0,30.9,31.9,0.0,2.9,374.4,0,10.49,8.4,20.1,19.6,20.5,19.3,21.1,20.1,19.1,19.4,37.7,37.3,22,30,17.5,21.9,33,27,25,0,0,0,3,4,4,0,22,23,22,34,31,32,30,30,34,45.14,44.95,45.13,39,340,3.7,0,0,0
0.1,16,85.98,85.98,85.98,11.8,10.7,11.1,0,-37.0,0.08,0.09,207.7,1.7,263,1,3,386,700,0,1,0,0,1.9,0,33.3,33.1,0.0,2.9,374.4,0,10.49,8.4,20.1,19.6,20.5,19.3,21.1,20.1,19.1,19.4,37.7,37.4,21,30,17.5,21.9,35,30,25,0,0,0,3,4,4,0,22,23,22,34,31,33,30,30,35,45.13,44.95,45.13,39,350,3.6,0,0,0
0.1,16,85.98,85.98,85.98,11.8,10.8,11.1,0,-38.2,0.09,0.09,207.8,1.3,266,1,3,390,700,0,1,0,0,1.9,0,32.1,31.6,0.0,3.0,374.4,0,10.49,8.4,20.1,19.6,20.6,19.4,21.1,20.3,19.2,19.4,37.8,37.5,22,30,17.6,22.0,34,28,25,0,0,0,3,4,4,0,22,23,22,34,31,33,30,30,36,45.13,44.95,45.13,39,360,3.7,0,0,0
0.11,16,85.98,85.98,85.98,11.8,10.7,11.1,0,-42.8,0.08,0.09,207.7,2.0,266,1,3,388,700,0,-3,0,0,1.9,0,29.6,28.9,0.0,2.9,374.4,0,10.49,8.3,20.0,19.4,20.5,19.3,21.0,20.1,19.0,19.3,37.5,37.2,21,30,17.5,21.9,32,26,25,0,0,0,3,4,4,0,22,23,21,34,31,32,30,30,35,45.13,44.95,45.13,39,350,3.7,0,0,0
0.11,16,85.98,85.98,85.98,11.8,10.8,11.1,0,-37.9,0.08,0.08,207.7,1.0,257,1,3,388,699,0,1,0,0,1.9,0,27.6,28.4,0.0,2.9,374.4,0,10.49,8.3,20.0,19.5,20.5,19.3,21.1,20.1,19.1,19.4,37.6,37.3,21,30,17.5,21.9,31,25,25,0,0,0,3,4,4,0,22,23,22,34,31,33,30,30,35,45.13,44.95,45.13,40,350,3.6,0,0,0
0.11,16,85.98,85.98,85.98,11.8,10.7,11.1,0,-41.9,0.09,0.08,207.9,1.4,264,1,3,391,700,0,-1,0,0,1.9,0,32.8,32.7,0.1,3.0,374.4,0,10.49,8.4,20.1,19.6,20.5,19.4,21.1,20.3,19.2,19.4,37.8,37.5,22,30,17.6,21.9,35,29,25,0,0,0,3,4,4,0,22,23,22,34,31,33,30,30,35,45.13,44.95,45.13,39,350,3.7,0,0,0
0.1,16,85.98,85.98,85.98,11.8,10.8,11.1,0,-37.2,0.08,0.09,207.9,0.8,262,1,3,387,700,0,1,0,0,1.9,0,29.9,31.5,0.0,2.8,374.4,0,10.49,8.4,20.1,19.6,20.5,19.3,21.1,20.1,19.1,19.4,37.7,37.3,22,30,17.5,21.9,33,27,25,0,0,0,3,4,4,0,22,23,22,34,31,33,30,30,34,45.14,44.95,45.13,40,340,3.6,0,0,0
0.1,16,85.98,85.98,85.98,11.8,10.8,11.1,0,-47.2,0.09,0.09,207.8,0.3,270,1,3,389,700,0,-1,0,0,1.9,0,31.1,31.3,0.0,3.0,374.4,0,10.49,8.4,20.1,19.6,20.6,19.4,21.3,20.3,19.2,19.6,37.9,37.6,22,30,17.6,22.1,34,28,25,0,0,0,3,4,4,0,22,23,22,33,31,33,30,30,34,45.13,44.95,45.13,40,340,3.7,0,0,0
0.1,16,85.98,85.98,85.98,11.8,10.7,11.1,0,-39.7,0.08,0.09,207.8,0.7,263,1,3,387,700,0,1,0,0,1.9,0,33.2,33.0,0.0,3.0,374.4,0,10.49,8.4,20.1,19.6,20.5,19.3,21.1,20.1,19.1,19.4,37.7,37.4,21,30,17.5,21.9,35,30,25,0,0,0,3,4,4,0,22,23,22,34,31,33,30,30,34,45.13,44.95,45.13,40,340,3.7,0,0,0
0.11,16,85.98,85.98,85.98,11.8,10.8,11.1,0,-44.5,0.08,0.08,207.9,0.2,270,1,3,388,699,0,0,0,0,1.9,0,30.9,30.9,0.0,3.0,374.4,0,10.49,8.4,20.2,19.6,20.6,19.4,21.3,20.3,19.2,19.6,38.0,37.6,22,30,17.6,22.1,34,28,25,0,0,0,3,4,4,0,22,23,22,34,31,33,30,30,34,45.13,44.95,45.13,40,340,3.7,0,0,0
0.1,16,85.98,85.98,85.98,11.8,10.8,11.1,0,-40.9,0.09,0.08,207.9,1.3,268,1,3,386,700,0,1,0,0,1.9,0,31.7,31.7,0.0,3.0,374.4,0,10.49,8.4,20.1,19.6,20.6,19.4,21.2,20.3,19.2,19.4,37.9,37.5,21,30,17.6,22.0,34,28,25,0,0,0,3,4,4,0,22,23,22,33,31,33,30,30,34,45.13,44.95,45.13,40,340,3.7,0,0,0
0.1,16,85.98,85.98,85.98,11.8,10.7,11.2,0,-38.7,0.08,0.09,207.8,0.2,263,1,3,390,700,0,0,0,0,1.9,0,32.8,33.1,0.1,3.0,374.4,0,10.49,8.4,20.1,19.6,20.5,19.4,21.1,20.1,19.2,19.4,37.7,37.4,22,30,17.6,21.9,35,29,25,0,0,0,3,4,4,0,22,23,22,34,31,33,30,30,35,45.13,44.95,45.13,39,350,3.7,0,0,0
0.11,16,85.98,85.98,85.98,11.8,10.7,11.1,0,-36.6,0.09,0.09,207.7,0.8,261,1,3,388,700,0,0,0,0,1.9,0,29.5,30.8,0.0,2.8,374.4,0,10.49,8.3,20.1,19.6,20.5,19.3,21.1,20.1,19.1,19.4,37.7,37.3,21,30,17.5,21.9,33,27,25,0,0,0,3,4,4,0,22,23,22,34,31,33,30,30,35,45.13,44.95,45.13,39,350,3.7,0,0,0
0.1,16,85.98,85.98,85.98,11.8,10.7,11.2,0,-43.9,0.08,0.09,207.7,1.9,266,1,3,387,700,0,1,0,0,1.9,0,28.9,29.0,0.0,2.9,374.4,0,10.49,8.3,20.0,19.4,20.5,19.3,21.0,20.1,19.0,19.3,37.5,37.2,22,30,17.5,21.9,32,26,25,0,0,0,3,4,4,0,22,23,21,34,31,33,30,30,34,45.13,44.95,45.13,39,340,3.6,0,0,0
