轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
0.15,96,85.98,85.98,85.98,11.0,11.4,10.8,0.03,23.4,0.09,0.08,208.3,2.6,62,1,1,388,697,0,1,0,0,1.9,0,31.8,31.7,0,2.9,990.2,0,14.51,12.4,23.6,23.2,24.1,22.9,24.6,23.8,22.6,23.1,39.7,39.4,26,36,21.6,26.1,34,28,25,0,0,0,3,4,4,0,26,26,26,35,33,36,36,36,39,45.14,44.95,45.13,42,390,4.3,0,0,0
0.15,96,85.98,85.98,85.98,11.3,10.5,11.8,0.08,20.2,0.08,0.09,208.3,2.0,63,1,1,387,698,0,0,0,0,1.9,0,29.6,29.8,0,2.9,990.2,0,14.51,12.4,23.6,23.3,24.1,23.1,24.8,23.9,22.6,23.1,39.9,39.6,26,36,21.6,26.3,32,26,25,0,0,0,3,4,4,0,26,26,26,35,34,35,36,36,40,45.13,44.95,45.13,42,400,4.3,0,0,0
0.2,96,85.98,85.98,85.98,11.3,10.5,12.0,0.08,14.1,0.09,0.09,208.2,2.9,64,1,1,388,698,0,0,0,0,1.9,0,30.2,30.2,0,2.9,990.2,0,14.51,12.4,23.6,23.2,24.1,22.9,24.8,23.9,22.6,23.1,39.8,39.5,26,36,21.6,26.3,33,27,25,0,0,0,3,4,4,0,26,26,26,35,34,35,36,36,39,45.13,44.95,45.13,42,390,4.3,0,0,0
0.21,96,85.98,85.98,85.98,11.4,10.4,11.6,0.09,3.4,0.08,0.1,208.3,1.6,84,1,1,386,697,0,0,0,0,1.9,0,29.2,29.6,0,2.9,990.2,0,14.51,12.4,23.5,23.2,23.9,22.8,24.4,23.7,22.5,22.9,39.4,39.2,27,36,21.6,26.1,32,26,25,0,0,0,3,4,4,0,26,26,26,35,34,35,36,36,37,45.14,44.95,45.13,43,370,4.2,0,0,0
0.21,96,85.98,85.98,85.98,11.2,11.4,10.6,0.05,0.0,0.08,0.08,208.3,2.7,74,1,1,388,698,0,0,0,0,1.9,0,33.1,33.0,0,3.0,990.2,0,14.51,12.4,23.8,23.3,24.2,23.1,24.8,23.9,22.8,23.2,40.0,39.7,26,36,21.7,26.3,35,30,25,0,0,0,3,4,4,0,26,26,26,35,34,36,36,36,40,45.13,44.95,45.13,42,400,4.3,0,0,0
0.22,96,85.98,85.98,85.98,11.9,10.6,11.4,0.07,-7.9,0.08,0.1,208.2,2.3,78,1,1,389,698,0,0,0,0,1.9,0,28.1,28.9,0,2.9,990.2,0,14.51,12.4,23.5,23.2,23.9,22.8,24.5,23.8,22.5,22.9,39.5,39.2,26,36,21.6,26.1,31,25,25,0,0,0,3,4,4,0,26,26,26,35,34,35,36,36,39,45.14,44.95,45.13,42,390,4.2,0,0,0
0.11,96,85.98,85.98,85.98,11.3,11.1,10.8,0.08,34.5,0.09,0.09,208.2,1.3,68,1,1,386,697,0,1,0,0,1.9,0,29.0,30.3,0,2.8,990.2,0,14.51,12.4,23.6,23.3,24.1,23.1,24.8,23.9,22.7,23.1,39.9,39.7,26,36,21.6,26.3,32,26,25,0,0,0,3,4,4,0,26,26,26,35,34,35,36,36,39,45.13,44.95,45.13,43,390,4.3,0,0,0
0.21,96,85.98,85.98,85.98,11.9,10.6,11.4,0.08,-9.7,0.09,0.09,208.3,2.6,79,1,1,390,698,0,-1,0,0,1.9,0,28.5,29.0,0,2.8,990.2,0,14.51,12.4,23.5,23.2,23.9,22.8,24.5,23.8,22.5,22.9,39.4,39.2,27,36,21.6,26.1,31,25,25,0,0,0,3,4,4,0,26,26,26,35,34,35,36,36,39,45.14,44.94,45.13,43,390,4.3,0,0,0
0.2,96,85.98,85.98,85.98,10.6,11.4,11.5,0.08,13.6,0.08,0.08,208.0,1.8,79,1,1,386,697,0,0,0,0,1.9,0,31.1,31.2,0,2.9,990.2,0,14.51,12.4,23.6,23.2,24.1,22.9,24.6,23.8,22.6,23.1,39.7,39.5,25,36,21.6,26.1,34,28,25,0,0,0,3,4,4,0,26,26,26,35,33,35,36,36,40,45.13,44.95,45.13,43,400,4.2,0,0,0
0.18,96,85.98,85.98,85.98,12.0,10.7,11.2,0.08,13.1,0.09,0.09,208.4,1.9,77,1,1,388,697,0,2,0,0,1.9,0,28.8,29.6,0,2.8,990.2,0,14.51,12.4,23.5,23.2,23.9,22.8,24.6,23.8,22.5,22.9,39.5,39.2,26,36,21.6,26.1,32,26,25,0,0,0,3,4,4,0,26,26,26,35,34,35,36,36,39,45.14,44.94,45.13,42,390,4.2,0,0,0
