轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
0,350.14,92.24,93.64,92.56,0.0,0,0,0.05,-76.5,0.06,0.01,0,13.2,78,1,2,0,672,0,0,0,0,1.2,0,24.4,21.9,0.2,0.2,2120.7,0,16.91,25.9,25.9,24.1,23.8,24.7,27.1,26.4,24.4,25.5,19.9,20,23.1,21.3,25.6,25.2,27,25,25,0,0,0,1,8,3,0,20,20,21,31,19,20,21,21,300,0,0,0,0,0,0,0,0,0
0,350.14,92.24,93.64,92.56,0.0,0,0,0.03,-79.4,0.03,0.02,0,10.0,82,1,2,0,674,0,0,0,0,0.4,0,23.8,21.3,0.2,0.2,2120.7,0,16.91,25.7,25.7,23.9,23.7,24.5,26.9,26.1,24.2,25.5,19.9,20,22.5,21.3,25.4,25.0,27,25,25,0,0,0,1,8,3,0,20,20,21,32,19,20,21,21,300,0,0,0,0,0,0,0,0,0
0,350.14,92.24,93.64,92.56,0.0,0,0,0.03,-73.3,0.02,-0.01,0,11.4,76,1,2,0,672,0,0,0,0,1.0,0,24.1,21.6,0.2,0.2,2120.7,0,16.91,25.2,25.9,24.1,23.7,24.6,27.1,26.2,24.3,25.5,19.9,20,23.0,21.3,25.7,25.2,27,25,25,0,0,0,1,8,3,0,20,20,21,31,19,20,21,21,300,0,0,0,0,0,0,0,0,0
0,350.14,92.24,93.64,92.56,0.0,0,0,0.04,-71.6,-0.1,0.01,0,13.2,76,1,2,0,672,0,0,0,0,1.9,0,23.7,21.1,0.2,0.2,2120.7,0,16.91,25.4,25.7,24.1,23.7,24.5,26.9,26.2,24.2,25.5,19.9,20,22.8,21.3,25.4,25.0,27,25,25,0,0,0,1,8,3,0,20,20,21,32,19,20,21,21,300,0,0,0,0,0,0,0,0,0
0,350.14,92.24,93.64,92.56,0.0,0,0,0.04,-79.2,-0.04,0.0,0,10.0,82,1,2,0,674,0,0,0,0,2.0,0,23.8,21.4,0.2,0.2,2120.7,0,16.91,25.7,25.7,23.9,23.7,24.5,26.9,26.1,24.2,25.5,19.9,20,22.5,21.3,25.4,25.0,27,25,25,0,0,0,1,8,3,0,20,20,21,32,19,20,21,21,300,0,0,0,0,0,0,0,0,0
0,350.14,92.24,93.64,92.56,0.0,0,0,0.05,-76.9,0.04,0.01,0,10.6,78,1,2,0,673,0,0,0,0,1.7,0,24.1,21.5,0.2,0.2,2120.7,0,16.91,25.4,26.0,24.2,23.8,24.7,27.1,26.4,24.4,25.7,19.9,20,22.7,21.5,25.7,25.2,27,25,25,0,0,0,1,8,3,0,20,20,21,32,19,20,21,21,300,0,0,0,0,0,0,0,0,0
0,350.14,92.24,93.64,92.56,0.0,0,0,0.04,-72.9,0.01,-0.02,0,11.8,77,1,2,0,673,0,0,0,0,0.0,0,24.4,21.9,0.2,0.2,2120.7,0,16.91,25.8,25.9,24.1,23.8,24.7,27.1,26.3,24.4,25.5,19.9,20,23.0,21.3,25.6,25.2,27,25,25,0,0,0,1,8,3,0,20,20,21,32,19,20,21,21,300,0,0,0,0,0,0,0,0,0
0,350.14,92.24,93.64,92.56,0.0,0,0,0.03,-71.8,-0.05,0.0,0,10.6,75,1,2,0,672,0,0,0,0,1.8,0,24.2,21.7,0.2,0.2,2120.7,0,16.91,25.1,25.8,24.1,23.7,24.5,27.0,26.2,24.2,25.5,19.9,20,22.8,21.3,25.5,25.0,27,25,25,0,0,0,1,8,3,0,20,20,21,31,19,20,21,21,300,0,0,0,0,0,0,0,0,0
0,350.14,92.24,93.64,92.56,0.0,0,0,0.04,-76.0,0.06,0.0,0,10.4,79,1,2,0,672,0,0,0,0,0.5,0,24.6,21.9,0.2,0.2,2120.7,0,16.91,25.1,25.9,24.1,23.8,24.7,27.1,26.4,24.4,25.5,19.9,20,23.1,21.3,25.7,25.2,27,25,25,0,0,0,1,8,3,0,20,20,21,32,19,20,21,21,300,0,0,0,0,0,0,0,0,0
0,350.14,92.24,93.64,92.56,0.0,0,0,0.04,-74.4,-0.05,0.0,0,12.6,78,1,2,0,672,0,0,0,0,1.3,0,24.1,21.5,0.2,0.2,2120.7,0,16.91,25.3,26.0,24.1,23.8,24.7,27.1,26.4,24.4,25.6,19.9,20,23.1,21.3,25.7,25.2,27,25,25,0,0,0,1,8,3,0,20,20,21,32,19,20,21,21,300,0,0,0,0,0,0,0,0,0
