轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
0.36,6.77,92.1,93.64,92.56,0.0,0.0,0.0,0.37,141.0,0.02,0.04,0.0,11.9,82.0,1.0,2.0,0.0,682.0,0.0,0.0,0.0,0.0,3.6,0.0,14.5,12.8,0.1,0.1,2120.7,0.0,16.91,14.7,14.3,14.0,13.6,14.7,17.2,14.5,13.5,14.7,14.6,14.5,14.3,16.6,15.4,23.3,25.0,26.0,25.0,0.0,0.0,0.0,1.0,8.0,1.0,0.0,15.0,18.0,16.0,23.0,12.0,12.0,16.0,16.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.52,8.75,92.1,93.64,92.56,0.0,0.0,0.0,0.41,141.8,-0.02,0.02,0.0,12.7,77.0,1.0,2.0,0.0,682.0,0.0,0.0,0.0,0.0,1.3,0.0,14.7,12.8,0.1,0.1,2120.7,0.0,16.91,14.6,14.3,13.9,13.6,14.6,17.2,14.4,13.5,14.6,14.6,14.5,14.3,16.7,15.2,23.2,25.0,26.0,25.0,0.0,0.0,0.0,1.0,8.0,1.0,0.0,16.0,18.0,16.0,23.0,12.0,12.0,16.0,16.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.47,113.62,92.1,93.64,92.56,0.0,0.0,0.0,0.63,144.9,0.0,0.05,0.0,10.9,77.0,1.0,2.0,0.0,683.0,0.0,0.0,0.0,0.0,1.4,0.0,14.3,12.7,0.1,0.1,2120.7,0.0,16.91,14.7,14.3,13.9,13.6,14.6,17.2,14.4,13.5,14.7,14.6,14.5,14.5,16.5,15.3,23.2,25.0,26.0,25.0,0.0,0.0,0.0,1.0,8.0,1.0,0.0,16.0,18.0,16.0,23.0,12.0,12.0,16.0,16.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.56,107.24,92.1,93.64,92.56,0.0,0.0,0.0,0.66,145.1,-0.03,-0.03,0.0,11.0,77.0,1.0,2.0,0.0,683.0,0.0,0.0,0.0,0.0,3.1,0.0,14.5,12.7,0.1,0.1,2120.7,0.0,16.91,14.7,14.3,13.9,13.6,14.6,17.2,14.4,13.5,14.6,14.6,14.5,14.5,16.5,15.3,23.2,25.0,26.0,25.0,0.0,0.0,0.0,1.0,8.0,1.0,0.0,16.0,18.0,16.0,23.0,12.0,12.0,16.0,16.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.48,332.14,92.1,93.64,92.56,0.0,0.0,0.0,0.54,147.0,0.01,-0.03,0.0,11.4,74.0,1.0,2.0,0.0,682.0,0.0,0.0,0.0,0.0,2.2,0.0,14.3,12.6,0.1,0.1,2120.7,0.0,16.91,14.4,14.3,13.9,13.4,14.5,17.0,14.4,13.5,14.5,14.6,14.5,14.1,16.9,15.3,22.9,25.0,26.0,25.0,0.0,0.0,0.0,1.0,8.0,1.0,0.0,16.0,18.0,16.0,23.0,12.0,12.0,16.0,16.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.24,212.51,92.1,93.64,92.56,0.0,0.0,0.0,0.49,140.4,-0.03,0.04,0.0,13.8,81.0,1.0,2.0,0.0,682.0,0.0,0.0,0.0,0.0,1.0,0.0,14.5,12.8,0.1,0.1,2120.7,0.0,16.91,14.7,14.3,14.0,13.6,14.7,17.2,14.5,13.5,14.7,14.6,14.5,14.5,16.8,15.4,23.3,25.0,26.0,25.0,0.0,0.0,0.0,1.0,8.0,1.0,0.0,15.0,18.0,16.0,23.0,12.0,12.0,16.0,16.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.63,313.99,92.1,93.64,92.56,0.0,0.0,0.0,0.74,140.2,0.01,0.03,0.0,12.1,75.0,1.0,2.0,0.0,682.0,0.0,0.0,0.0,0.0,2.2,0.0,14.6,12.8,0.1,0.1,2120.7,0.0,16.91,14.6,14.3,13.9,13.6,14.6,17.2,14.4,13.5,14.6,14.6,14.5,14.3,17.0,15.2,23.2,25.0,26.0,25.0,0.0,0.0,0.0,1.0,8.0,1.0,0.0,16.0,18.0,16.0,23.0,12.0,12.0,17.0,17.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.45,201.74,92.1,93.64,92.56,0.0,0.0,0.0,0.58,139.2,0.0,0.04,0.0,14.7,82.0,1.0,2.0,0.0,682.0,0.0,0.0,0.0,0.0,0.3,0.0,14.4,12.6,0.1,0.1,2120.7,0.0,16.91,14.7,14.3,14.0,13.6,14.7,17.2,14.5,13.5,14.7,14.6,14.5,14.5,16.7,15.4,23.3,25.0,26.0,25.0,0.0,0.0,0.0,1.0,8.0,1.0,0.0,15.0,18.0,16.0,23.0,12.0,12.0,16.0,16.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.52,227.74,92.1,93.64,92.56,0.0,0.0,0.0,0.63,146.3,-0.02,0.01,0.0,13.5,72.0,1.0,2.0,0.0,682.0,0.0,0.0,0.0,0.0,0.9,0.0,14.4,12.7,0.1,0.1,2120.7,0.0,16.91,14.6,14.3,13.9,13.6,14.5,17.1,14.4,13.5,14.6,14.6,14.5,14.5,16.9,15.2,23.2,25.0,26.0,25.0,0.0,0.0,0.0,1.0,8.0,1.0,0.0,16.0,18.0,16.0,23.0,12.0,12.0,16.0,16.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.34,124.49,92.1,93.64,92.56,0.08,0.0,0.0,0.47,142.4,0.03,0.03,0.0,11.8,77.0,1.0,2.0,0.0,683.0,0.0,0.0,0.0,0.0,1.0,0.0,14.4,12.6,0.1,0.1,2120.7,0.0,16.91,14.7,14.3,13.9,13.6,14.6,17.2,14.4,13.5,14.7,14.6,14.5,14.5,16.6,15.3,23.2,25.0,26.0,25.0,0.0,0.0,0.0,1.0,8.0,1.0,0.0,16.0,18.0,16.0,23.0,12.0,12.0,16.0,16.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,215.39,92.1,93.64,92.56,0.06,0.0,0.0,0.21,134.5,0.0,-0.02,0.0,14.4,82.0,1.0,2.0,0.0,682.0,0.0,0.0,0.0,0.0,1.3,0.0,14.5,12.7,0.1,0.1,2120.7,0.0,16.91,14.7,14.3,14.0,13.6,14.7,17.2,14.5,13.5,14.7,14.6,14.5,14.5,16.9,15.4,23.3,25.0,26.0,25.0,0.0,0.0,0.0,1.0,8.0,1.0,0.0,15.0,18.0,16.0,23.0,12.0,12.0,16.0,16.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.62,69.88,92.1,93.64,92.56,0.0,0.0,0.0,0.72,144.4,-0.02,0.07,0.0,12.0,75.0,1.0,2.0,0.0,682.0,0.0,0.0,0.0,0.0,1.2,0.0,14.3,12.5,0.1,0.1,2120.7,0.0,16.91,14.5,14.3,13.9,13.5,14.5,17.0,14.4,13.5,14.5,14.6,14.5,14.5,16.5,15.3,22.8,25.0,26.0,25.0,0.0,0.0,0.0,1.0,8.0,1.0,0.0,16.0,18.0,16.0,23.0,12.0,12.0,16.0,16.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.69,148.86,92.1,93.64,92.56,0.0,0.0,0.0,0.76,145.0,-0.03,0.0,0.0,12.7,74.0,1.0,2.0,0.0,682.0,0.0,0.0,0.0,0.0,2.7,0.0,14.4,12.6,0.1,0.1,2120.7,0.0,16.91,14.4,14.3,13.9,13.5,14.5,17.0,14.4,13.5,14.5,14.6,14.5,14.5,16.6,15.3,22.9,25.0,26.0,25.0,0.0,0.0,0.0,1.0,8.0,1.0,0.0,16.0,18.0,16.0,23.0,12.0,12.0,16.0,16.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,215.39,92.1,93.64,92.56,0.0,0.0,0.0,0.17,134.0,-0.02,0.03,0.0,14.3,83.0,1.0,2.0,0.0,682.0,0.0,0.0,0.0,0.0,3.1,0.0,14.2,12.7,0.1,0.1,2120.7,0.0,16.91,14.7,14.3,14.0,13.6,14.7,17.2,14.5,13.5,14.7,14.6,14.5,14.5,16.9,15.4,23.3,25.0,26.0,25.0,0.0,0.0,0.0,1.0,8.0,1.0,0.0,15.0,18.0,16.0,23.0,12.0,12.0,16.0,16.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6,288.76,92.1,93.64,92.56,0.02,0.0,0.0,0.73,144.4,0.01,0.01,0.0,12.8,72.0,1.0,2.0,0.0,682.0,0.0,0.0,0.0,0.0,2.4,0.0,14.5,12.8,0.1,0.1,2120.7,0.0,16.91,14.4,14.3,13.9,13.5,14.5,17.0,14.4,13.5,14.5,14.6,14.5,14.3,17.0,15.4,23.0,25.0,26.0,25.0,0.0,0.0,0.0,1.0,8.0,1.0,0.0,16.0,18.0,16.0,23.0,12.0,12.0,17.0,17.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.57,143.14,92.1,93.64,92.56,0.0,0.0,0.0,0.52,141.9,0.01,0.07,0.0,11.9,77.0,1.0,2.0,0.0,683.0,0.0,0.0,0.0,0.0,2.4,0.0,14.4,12.6,0.1,0.1,2120.7,0.0,16.91,14.7,14.3,13.9,13.6,14.6,17.2,14.4,13.5,14.7,14.6,14.5,14.5,16.6,15.4,23.2,25.0,26.0,25.0,0.0,0.0,0.0,1.0,8.0,1.0,0.0,16.0,18.0,16.0,23.0,12.0,12.0,16.0,16.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.64,37.37,92.1,93.64,92.56,0.0,0.0,0.0,0.68,141.2,0.02,0.04,0.0,13.4,77.0,1.0,2.0,0.0,682.0,0.0,0.0,0.0,0.0,2.8,0.0,14.5,12.7,0.1,0.1,2120.7,0.0,16.91,14.6,14.3,13.9,13.6,14.6,17.2,14.4,13.5,14.6,14.6,14.5,14.4,16.6,15.2,23.2,25.0,26.0,25.0,0.0,0.0,0.0,1.0,8.0,1.0,0.0,16.0,18.0,16.0,23.0,12.0,12.0,16.0,16.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6,67.25,92.1,93.64,92.56,0.0,0.0,0.0,0.7,142.1,-0.02,-0.01,0.0,13.0,75.0,1.0,2.0,0.0,682.0,0.0,0.0,0.0,0.0,0.8,0.0,14.4,12.6,0.1,0.1,2120.7,0.0,16.91,14.4,14.2,13.9,13.4,14.5,17.0,14.4,13.4,14.5,14.6,14.5,14.3,16.6,15.4,22.9,25.0,26.0,25.0,0.0,0.0,0.0,1.0,8.0,1.0,0.0,16.0,19.0,15.0,23.0,12.0,12.0,16.0,16.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.62,68.11,92.1,93.64,92.56,0.0,0.0,0.0,0.67,140.7,0.02,-0.04,0.0,11.4,78.0,1.0,2.0,0.0,682.0,0.0,0.0,0.0,0.0,0.4,0.0,14.4,12.6,0.1,0.1,2120.7,0.0,16.91,14.6,14.3,13.9,13.6,14.6,17.2,14.4,13.5,14.6,14.6,14.5,14.5,16.6,15.2,23.2,25.0,26.0,25.0,0.0,0.0,0.0,1.0,8.0,1.0,0.0,16.0,18.0,16.0,23.0,12.0,12.0,16.0,16.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,215.24,92.1,93.64,92.56,0.0,0.0,0.0,0.38,136.7,0.03,-0.01,0.0,14.2,82.0,1.0,2.0,0.0,682.0,0.0,0.0,0.0,0.0,0.3,0.0,14.5,12.7,0.1,0.1,2120.7,0.0,16.91,14.7,14.3,14.0,13.6,14.7,17.2,14.5,13.5,14.7,14.6,14.5,14.5,16.8,15.4,23.3,25.0,26.0,25.0,0.0,0.0,0.0,1.0,8.0,1.0,0.0,15.0,18.0,16.0,23.0,12.0,12.0,16.0,16.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,191.12,92.1,93.64,92.56,0.0,0.0,0.0,0.64,143.1,-0.03,-0.02,0.0,12.7,75.0,1.0,2.0,0.0,682.0,0.0,0.0,0.0,0.0,3.6,0.0,14.6,12.7,0.1,0.1,2120.7,0.0,16.91,14.4,14.2,13.9,13.4,14.5,17.0,14.4,13.4,14.5,14.6,14.5,14.3,16.8,15.4,22.9,25.0,26.0,25.0,0.0,0.0,0.0,1.0,8.0,1.0,0.0,16.0,18.0,16.0,23.0,12.0,12.0,16.0,16.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.48,244.87,92.1,93.64,92.56,0.0,0.0,0.0,0.5,147.4,-0.05,-0.04,0.0,12.8,72.0,1.0,2.0,0.0,682.0,0.0,0.0,0.0,0.0,1.5,0.0,14.4,12.7,0.1,0.1,2120.7,0.0,16.91,14.6,14.3,13.9,13.6,14.5,17.2,14.4,13.5,14.6,14.6,14.5,14.5,16.9,15.2,23.2,25.0,26.0,25.0,0.0,0.0,0.0,1.0,8.0,1.0,0.0,16.0,18.0,16.0,23.0,12.0,12.0,16.0,16.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.38,110.88,92.1,93.64,92.56,0.0,0.0,0.0,0.47,137.3,-0.02,0.05,0.0,12.1,83.0,1.0,2.0,0.0,682.0,0.0,0.0,0.0,0.0,0.4,0.0,14.3,12.5,0.1,0.1,2120.7,0.0,16.91,14.7,14.3,14.0,13.6,14.7,17.2,14.5,13.5,14.7,14.6,14.5,14.5,16.5,15.4,23.3,25.0,26.0,25.0,0.0,0.0,0.0,1.0,8.0,1.0,0.0,15.0,18.0,16.0,23.0,12.0,12.0,16.0,16.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.62,43.74,92.1,93.64,92.56,0.0,0.0,0.0,0.66,145.2,-0.02,0.0,0.0,11.6,74.0,1.0,2.0,0.0,683.0,0.0,0.0,0.0,0.0,3.7,0.0,14.6,12.7,0.1,0.1,2120.7,0.0,16.91,14.4,14.3,13.9,13.5,14.5,17.0,14.4,13.5,14.5,14.6,14.5,14.4,16.6,15.3,22.8,25.0,26.0,25.0,0.0,0.0,0.0,1.0,8.0,1.0,0.0,16.0,18.0,16.0,23.0,12.0,12.0,16.0,16.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.54,323.89,92.1,93.64,92.56,0.02,0.0,0.0,0.68,133.4,-0.02,0.02,0.0,12.5,84.0,1.0,2.0,0.0,682.0,0.0,0.0,0.0,0.0,1.5,0.0,14.5,12.8,0.1,0.1,2120.7,0.0,16.91,14.7,14.3,13.9,13.6,14.7,17.2,14.5,13.5,14.7,14.6,14.5,14.1,16.9,15.4,23.3,25.0,26.0,25.0,0.0,0.0,0.0,1.0,8.0,1.0,0.0,15.0,18.0,16.0,23.0,12.0,12.0,16.0,16.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.21,245.74,92.1,93.64,92.56,0.26,0.0,0.0,0.22,139.1,0.01,0.01,0.0,14.4,81.0,1.0,2.0,0.0,682.0,0.0,0.0,0.0,0.0,0.2,0.0,14.6,12.8,0.1,0.1,2120.7,0.0,16.91,14.6,14.3,13.9,13.6,14.6,17.2,14.4,13.5,14.7,14.6,14.5,14.5,17.2,15.4,23.2,25.0,26.0,25.0,0.0,0.0,0.0,1.0,8.0,1.0,0.0,15.0,18.0,16.0,23.0,12.0,12.0,17.0,17.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.51,353.88,92.1,93.64,92.56,0.0,0.0,0.0,0.63,146.5,-0.02,-0.03,0.0,11.9,75.0,1.0,2.0,0.0,683.0,0.0,0.0,0.0,0.0,2.5,0.0,14.5,12.6,0.1,0.1,2120.7,0.0,16.91,14.4,14.2,13.9,13.4,14.5,17.0,14.4,13.4,14.5,14.6,14.5,14.1,16.8,15.4,23.0,25.0,26.0,25.0,0.0,0.0,0.0,1.0,8.0,1.0,0.0,16.0,19.0,15.0,23.0,12.0,12.0,16.0,16.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.57,321.01,92.1,93.64,92.56,0.0,0.0,0.0,0.65,139.6,0.0,-0.02,0.0,12.1,76.0,1.0,2.0,0.0,682.0,0.0,0.0,0.0,0.0,2.3,0.0,14.3,12.5,0.1,0.1,2120.7,0.0,16.91,14.6,14.3,13.9,13.6,14.6,17.2,14.4,13.5,14.6,14.6,14.5,14.3,16.9,15.2,23.2,25.0,26.0,25.0,0.0,0.0,0.0,1.0,8.0,1.0,0.0,16.0,18.0,16.0,23.0,12.0,12.0,16.0,16.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
