轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
0,349.63,92.13,93.64,92.56,0.0,0.0,0.0,0.06,-173.9,0.0,0.02,0,8.1,195,1,2,0,683,0,0,0,0,1.9,0,14.8,12.8,0,0,2120.7,0,16.91,1.6,6.3,6.2,5.6,6.5,9.2,6.7,6.8,7.5,13.2,13.3,13.1,9.8,9.4,18.8,25,26,25,0,0,0,1,8,3,0,18,16,16,22,11,12,9,9,300,0,0,0,0,0,0,0,0,0
0,349.63,92.13,93.64,92.56,0.0,0.0,0.0,0.06,-172.2,0.0,-0.06,0,9.3,192,1,2,0,683,0,0,0,0,0.9,0,14.7,12.8,0,0,2120.7,0,16.91,1.6,6.3,6.2,5.6,6.7,9.4,6.7,7.0,7.6,13.2,13.3,13.3,9.8,9.4,18.8,25,26,25,0,0,0,1,8,3,0,17,16,16,22,11,12,9,9,300,0,0,0,0,0,0,0,0,0
0,349.63,92.13,93.64,92.56,0.28,0.02,0.18,0.09,-166.2,-0.02,0.04,0,7.2,191,1,2,0,683,0,0,0,0,0.6,0,14.9,12.8,0,0,2120.7,0,16.91,1.7,6.5,6.4,5.8,6.7,9.4,6.8,7.0,7.6,13.3,13.4,13.2,10.0,9.4,19.1,25,26,25,0,0,0,1,8,3,0,18,16,16,22,11,12,10,10,300,0,0,0,0,0,0,0,0,0
0,349.63,92.13,93.64,92.56,0.0,0.0,0.0,0.06,-172.8,0.04,0.0,0,8.1,192,1,2,0,682,0,0,0,0,0.6,0,14.5,12.6,0,0,2120.7,0,16.91,1.8,6.5,6.4,5.8,6.7,9.4,6.8,7.0,7.6,13.3,13.4,13.2,10.0,9.5,19.1,25,26,25,0,0,0,1,8,3,0,18,16,16,22,11,12,10,10,300,0,0,0,0,0,0,0,0,0
0,349.63,92.13,93.64,92.56,0.34,0.1,0.22,0.1,-169.1,0.01,-0.03,0,8.3,192,1,2,0,683,0,0,0,0,0.8,0,14.4,12.4,0,0,2120.7,0,16.91,1.6,6.3,6.1,5.6,6.5,9.2,6.7,6.8,7.5,13.2,13.3,13.2,9.8,9.6,18.8,25,26,25,0,0,0,1,8,3,0,18,16,16,22,11,12,9,9,300,0,0,0,0,0,0,0,0,0
0,349.63,92.13,93.64,92.56,0.0,0.0,0.0,0.07,-168.1,0.01,0.03,0,7.6,192,1,2,0,682,0,0,0,0,2.7,0,14.4,12.5,0,0,2120.7,0,16.91,1.6,6.3,6.2,5.6,6.6,9.2,6.7,6.8,7.5,13.2,13.3,13.0,9.8,9.4,18.8,25,26,25,0,0,0,1,8,3,0,17,16,16,22,11,12,9,9,300,0,0,0,0,0,0,0,0,0
0,349.63,92.13,93.64,92.56,0.0,0.0,0.0,0.07,-170.9,-0.01,0.01,0,8.1,191,1,2,0,682,0,0,0,0,2.1,0,14.8,12.8,0,0,2120.7,0,16.91,1.7,6.5,6.4,5.8,6.7,9.4,6.8,7.1,7.6,13.3,13.4,13.0,10.0,9.4,19.1,25,26,25,0,0,0,1,8,3,0,18,16,16,22,11,12,10,10,300,0,0,0,0,0,0,0,0,0
0,349.63,92.13,93.64,92.56,0.0,0.0,0.0,0.1,-167.7,0.01,-0.02,0,9.2,192,1,2,0,683,0,0,0,0,0.3,0,15.0,12.9,0,0,2120.7,0,16.91,1.6,6.3,6.2,5.6,6.7,9.4,6.7,6.9,7.5,13.2,13.3,13.3,9.8,9.4,18.8,25,26,25,0,0,0,1,8,3,0,17,16,16,22,11,12,9,9,300,0,0,0,0,0,0,0,0,0
0,349.63,92.13,93.64,92.56,0.0,0.0,0.0,0.02,-168.8,0.0,-0.03,0,8.5,191,1,2,0,682,0,0,0,0,2.4,0,14.8,12.8,0,0,2120.7,0,16.91,1.6,6.3,6.1,5.6,6.5,9.2,6.6,6.8,7.5,13.1,13.3,13.2,9.8,9.5,18.8,25,26,25,0,0,0,1,8,3,0,18,16,16,22,11,12,9,9,300,0,0,0,0,0,0,0,0,0
0,349.63,92.13,93.64,92.56,0.5,0.34,0.28,0.1,-174.6,0.02,-0.04,0,9.2,194,1,2,0,682,0,0,0,0,2.0,0,14.5,12.5,0,0,2120.7,0,16.91,1.6,6.3,6.2,5.7,6.7,9.4,6.7,7.0,7.6,13.2,13.4,13.2,9.8,9.4,19.0,25,26,25,0,0,0,1,8,3,0,17,16,16,22,11,12,9,9,300,0,0,0,0,0,0,0,0,0
