轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
0.0,304.0,85.98,85.98,85.98,10.6,10.9,12.0,0.16,25.4,0.07,0.0,209.0,1.1,255.0,1.0,3.0,387.0,700.0,0.0,1.0,0.0,0.0,1.9,0.0,29.6,30.0,0.2,2.1,425.4,0.0,10.95,0.4,11.9,11.2,14.6,14.7,15.5,12.1,13.4,12.4,31.5,32.6,15.0,19.0,10.1,13.0,36.0,29.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,16.0,15.0,15.0,27.0,24.0,31.0,19.0,19.0,20.0,45.13,45.03,45.12,28.0,270.0,3.1,0.0,0.0,0.0
0.0,304.0,85.98,85.98,85.98,10.6,10.9,12.0,0.16,17.2,0.07,0.0,208.9,1.3,259.0,1.0,3.0,387.0,700.0,0.0,1.0,0.0,0.0,1.9,0.0,29.5,28.9,0.2,3.4,425.4,0.0,10.95,0.4,12.0,11.2,14.7,14.7,15.5,12.1,13.4,12.4,31.5,32.7,15.0,20.0,10.1,13.2,36.0,28.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,16.0,15.0,15.0,27.0,24.0,31.0,20.0,20.0,21.0,45.13,45.03,45.12,28.0,270.0,3.1,0.0,0.0,0.0
0.0,304.0,85.98,85.98,85.98,10.6,10.9,12.0,0.16,20.3,0.08,0.0,209.1,0.5,266.0,1.0,3.0,387.0,701.0,0.0,2.0,0.0,0.0,1.9,0.0,30.3,30.2,0.2,3.1,425.4,0.0,10.95,0.6,12.3,11.5,14.7,14.9,15.7,12.3,13.6,12.6,32.2,33.4,15.0,20.0,10.2,13.2,37.0,29.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,16.0,15.0,15.0,28.0,24.0,31.0,20.0,20.0,21.0,45.13,45.03,45.12,28.0,280.0,3.1,0.0,0.0,0.0
0.0,304.0,85.98,85.98,85.98,10.6,10.9,12.0,0.17,-33.6,0.07,0.0,209.1,1.2,309.0,1.0,3.0,387.0,701.0,0.0,1.0,0.0,0.0,1.9,0.0,31.7,31.9,0.2,2.6,425.4,0.0,10.95,0.6,12.2,11.3,14.7,14.9,15.7,12.2,13.4,12.4,31.9,33.1,15.0,20.0,10.1,13.2,39.0,31.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,16.0,15.0,15.0,27.0,24.0,31.0,20.0,20.0,21.0,45.13,45.03,45.12,28.0,270.0,3.1,0.0,0.0,0.0
0.0,304.0,85.98,85.98,85.98,10.6,10.9,12.0,0.16,22.5,0.08,0.0,209.0,1.5,269.0,1.0,3.0,388.0,701.0,0.0,0.0,0.0,0.0,1.9,0.0,33.0,32.9,0.2,2.1,425.4,0.0,10.95,0.6,12.0,11.2,14.7,14.7,15.5,12.1,13.4,12.4,31.6,32.8,15.0,20.0,10.1,13.2,41.0,32.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,16.0,15.0,15.0,28.0,24.0,31.0,20.0,20.0,21.0,45.13,45.03,45.12,27.0,280.0,3.1,0.0,0.0,0.0
0.0,304.0,85.98,85.98,85.98,10.6,10.9,12.0,0.17,20.1,0.08,0.0,209.1,0.4,267.0,1.0,3.0,389.0,700.0,0.0,0.0,0.0,0.0,1.9,0.0,30.3,30.3,0.2,3.1,425.4,0.0,10.95,0.6,12.3,11.5,14.7,14.9,15.7,12.4,13.5,12.6,32.2,33.4,15.0,20.0,10.2,13.2,37.0,29.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,16.0,15.0,15.0,27.0,24.0,31.0,20.0,20.0,21.0,45.13,45.03,45.12,29.0,290.0,3.1,0.0,0.0,0.0
0.0,304.0,85.98,85.98,85.98,10.6,10.9,12.0,0.16,28.5,0.07,0.0,209.1,1.9,260.0,1.0,3.0,386.0,700.0,0.0,0.0,0.0,0.0,1.9,0.0,30.4,29.5,0.2,3.2,425.4,0.0,10.95,0.4,12.0,11.2,14.7,14.7,15.5,12.1,13.4,12.4,31.5,32.6,15.0,20.0,10.1,13.1,36.0,29.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,16.0,15.0,15.0,27.0,24.0,31.0,20.0,20.0,21.0,45.13,45.03,45.12,29.0,280.0,3.1,0.0,0.0,0.0
0.0,304.0,85.98,85.98,85.98,10.6,10.9,12.0,0.16,12.5,0.07,0.0,209.1,2.0,271.0,1.0,3.0,388.0,701.0,0.0,0.0,0.0,0.0,1.9,0.0,33.0,32.7,0.2,2.0,425.4,0.0,10.95,0.6,12.0,11.2,14.7,14.7,15.5,12.1,13.4,12.4,31.6,32.8,14.0,20.0,10.1,13.2,41.0,32.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,16.0,15.0,15.0,28.0,24.0,31.0,20.0,20.0,21.0,45.13,45.03,45.12,29.0,290.0,3.1,0.0,0.0,0.0
0.0,304.0,85.98,85.98,85.98,10.6,10.9,12.0,0.16,16.0,0.07,0.0,209.0,2.2,266.0,1.0,3.0,388.0,700.0,0.0,1.0,0.0,0.0,1.9,0.0,30.5,30.2,0.2,3.4,425.4,0.0,10.95,0.4,11.9,11.2,14.5,14.7,15.5,12.1,13.4,12.4,31.4,32.6,15.0,19.0,10.1,13.0,37.0,29.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,16.0,15.0,15.0,28.0,24.0,31.0,19.0,19.0,20.0,45.13,45.03,45.12,27.0,280.0,3.1,0.0,0.0,0.0
0.0,304.0,85.98,85.98,85.98,10.6,10.9,12.0,0.17,-32.2,0.08,0.0,209.1,1.1,310.0,1.0,3.0,388.0,700.0,0.0,1.0,0.0,0.0,1.9,0.0,31.9,31.7,0.2,2.7,425.4,0.0,10.95,0.6,12.2,11.3,14.7,14.9,15.7,12.2,13.4,12.4,31.9,33.1,15.0,20.0,10.1,13.2,39.0,31.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,16.0,15.0,15.0,27.0,24.0,31.0,20.0,20.0,21.0,45.13,45.03,45.12,28.0,280.0,3.1,0.0,0.0,0.0
0.0,304.0,85.98,85.98,85.98,10.6,10.9,12.0,0.16,37.2,0.07,0.0,209.0,1.8,255.0,1.0,3.0,387.0,700.0,0.0,-1.0,0.0,0.0,1.9,0.0,28.3,28.0,0.2,3.0,425.4,0.0,10.95,0.5,12.0,11.2,14.7,14.7,15.5,12.1,13.4,12.4,31.5,32.7,14.0,20.0,10.1,13.2,35.0,27.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,16.0,15.0,15.0,28.0,24.0,31.0,20.0,20.0,21.0,45.13,45.03,45.12,29.0,280.0,3.1,0.0,0.0,0.0
0.0,304.0,85.98,85.98,85.98,10.6,10.9,12.0,0.17,49.7,0.07,0.0,209.0,1.2,259.0,1.0,3.0,386.0,701.0,0.0,1.0,0.0,0.0,1.9,0.0,26.9,28.5,0.2,2.1,425.4,0.0,10.95,0.5,12.0,11.2,14.7,14.7,15.5,12.1,13.4,12.4,31.6,32.7,15.0,20.0,10.1,13.2,35.0,27.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,16.0,15.0,15.0,28.0,24.0,31.0,20.0,20.0,21.0,45.13,45.03,45.12,29.0,280.0,3.1,0.0,0.0,0.0
0.0,304.0,85.98,85.98,85.98,10.6,10.9,12.0,0.16,-17.8,0.08,0.0,209.1,1.5,294.0,1.0,3.0,387.0,701.0,0.0,1.0,0.0,0.0,1.9,0.0,31.1,31.1,0.2,3.4,425.4,0.0,10.95,0.6,12.2,11.4,14.7,14.9,15.7,12.2,13.4,12.4,32.1,33.2,15.0,20.0,10.2,13.2,37.0,30.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,16.0,15.0,15.0,27.0,24.0,31.0,20.0,20.0,21.0,45.13,45.03,45.12,29.0,290.0,3.1,0.0,0.0,0.0
0.0,304.0,85.98,85.98,85.98,10.6,10.9,12.0,0.17,-31.0,0.08,0.0,209.1,2.0,310.0,1.0,3.0,387.0,701.0,0.0,2.0,0.0,0.0,1.9,0.0,32.1,31.8,0.2,2.1,425.4,0.0,10.95,0.6,12.2,11.3,14.7,14.9,15.7,12.2,13.4,12.3,31.9,33.0,14.0,20.0,10.1,13.2,38.0,31.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,16.0,15.0,15.0,27.0,24.0,31.0,20.0,20.0,21.0,45.13,45.03,45.12,29.0,280.0,3.1,0.0,0.0,0.0
0.0,304.0,85.98,85.98,85.98,10.6,10.9,12.0,0.16,-19.0,0.08,0.0,209.3,2.3,306.0,1.0,3.0,385.0,701.0,0.0,1.0,0.0,0.0,1.9,0.0,31.6,31.7,0.2,2.3,425.4,0.0,10.95,0.6,12.2,11.3,14.7,14.9,15.7,12.2,13.4,12.4,31.9,33.1,14.0,20.0,10.1,13.2,40.0,30.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,16.0,15.0,15.0,27.0,24.0,31.0,20.0,20.0,21.0,45.13,45.03,45.12,29.0,290.0,3.1,0.0,0.0,0.0
0.0,304.0,85.98,85.98,85.98,10.6,10.9,12.0,0.16,-26.7,0.08,0.0,209.1,1.9,307.0,1.0,3.0,387.0,701.0,0.0,2.0,0.0,0.0,1.9,0.0,31.7,31.7,0.2,2.2,425.4,0.0,10.95,0.6,12.2,11.3,14.7,14.9,15.7,12.2,13.4,12.4,31.9,33.1,15.0,20.0,10.1,13.2,40.0,30.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,16.0,15.0,15.0,27.0,24.0,31.0,20.0,20.0,21.0,45.13,45.03,45.12,29.0,280.0,3.1,0.0,0.0,0.0
0.0,304.0,85.98,85.98,85.98,10.6,10.9,12.0,0.16,-25.1,0.08,0.0,209.1,1.2,300.0,1.0,3.0,385.0,701.0,0.0,-1.0,0.0,0.0,1.9,0.0,31.2,31.1,0.2,2.2,425.4,0.0,10.95,0.6,12.2,11.3,14.7,14.9,15.7,12.2,13.4,12.4,32.0,33.2,15.0,20.0,10.1,13.2,39.0,30.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,16.0,15.0,15.0,27.0,24.0,31.0,20.0,20.0,21.0,45.13,45.03,45.12,28.0,280.0,3.1,0.0,0.0,0.0
0.0,304.0,85.98,85.98,85.98,10.6,10.9,12.0,0.17,6.8,0.08,0.0,209.2,0.6,268.0,1.0,3.0,387.0,700.0,0.0,0.0,0.0,0.0,1.9,0.0,30.3,30.2,0.2,3.5,425.4,0.0,10.95,0.6,12.2,11.5,14.7,14.9,15.7,12.4,13.6,12.6,32.2,33.4,15.0,20.0,10.2,13.2,36.0,29.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,16.0,15.0,15.0,27.0,24.0,31.0,20.0,20.0,21.0,45.13,45.03,45.12,28.0,290.0,3.1,0.0,0.0,0.0
0.0,304.0,85.98,85.98,85.98,10.6,10.9,12.0,0.16,-12.8,0.07,0.0,209.1,1.8,298.0,1.0,3.0,386.0,701.0,0.0,1.0,0.0,0.0,1.9,0.0,31.4,31.3,0.2,2.1,425.4,0.0,10.95,0.6,12.2,11.3,14.7,14.9,15.7,12.2,13.4,12.4,32.0,33.2,14.0,20.0,10.1,13.2,39.0,30.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,16.0,15.0,15.0,28.0,24.0,31.0,20.0,20.0,21.0,45.13,45.03,45.12,29.0,280.0,3.1,0.0,0.0,0.0
0.0,304.0,85.98,85.98,85.98,10.6,10.9,12.0,0.17,22.1,0.08,0.0,209.0,1.8,257.0,1.0,3.0,387.0,700.0,0.0,-1.0,0.0,0.0,1.9,0.0,29.1,28.5,0.2,3.2,425.4,0.0,10.95,0.5,12.0,11.2,14.7,14.7,15.5,12.1,13.4,12.4,31.5,32.7,15.0,20.0,10.1,13.2,36.0,28.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,16.0,15.0,15.0,27.0,24.0,31.0,20.0,20.0,21.0,45.13,45.03,45.12,28.0,280.0,3.1,0.0,0.0,0.0
0.0,304.0,85.98,85.98,85.98,10.6,10.9,12.0,0.16,7.6,0.07,0.0,208.8,0.8,263.0,1.0,3.0,388.0,700.0,0.0,-1.0,0.0,0.0,1.9,0.0,30.0,30.0,0.2,2.5,425.4,0.0,10.95,0.4,11.9,11.2,14.6,14.7,15.5,12.1,13.4,12.4,31.4,32.6,14.0,19.0,10.1,13.0,38.0,29.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,16.0,15.0,15.0,27.0,24.0,31.0,19.0,19.0,21.0,45.13,45.03,45.12,28.0,280.0,3.1,0.0,0.0,0.0
0.0,304.0,85.98,85.98,85.98,10.6,10.9,12.0,0.17,23.6,0.07,0.0,209.1,0.7,266.0,1.0,3.0,388.0,701.0,0.0,2.0,0.0,0.0,1.9,0.0,30.2,30.1,0.2,2.7,425.4,0.0,10.95,0.6,12.3,11.5,14.7,14.9,15.7,12.4,13.6,12.6,32.2,33.4,15.0,20.0,10.2,13.2,37.0,29.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,16.0,15.0,15.0,27.0,24.0,31.0,20.0,20.0,21.0,45.13,45.03,45.12,29.0,280.0,3.1,0.0,0.0,0.0
0.0,304.0,85.98,85.98,85.98,10.6,10.9,12.0,0.16,4.2,0.07,0.0,209.1,2.2,278.0,1.0,3.0,386.0,700.0,0.0,0.0,0.0,0.0,1.9,0.0,30.5,30.6,0.2,3.3,425.4,0.0,10.95,0.6,12.2,11.5,14.7,14.9,15.7,12.3,13.4,12.5,32.1,33.3,15.0,20.0,10.2,13.2,37.0,30.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,16.0,15.0,15.0,27.0,24.0,31.0,20.0,20.0,21.0,45.13,45.03,45.12,29.0,270.0,3.1,0.0,0.0,0.0
0.0,304.0,85.98,85.98,85.98,10.6,10.9,12.0,0.17,11.1,0.07,0.0,208.9,1.1,267.0,1.0,3.0,388.0,700.0,0.0,0.0,0.0,0.0,1.9,0.0,30.5,30.3,0.2,2.5,425.4,0.0,10.95,0.4,11.9,11.2,14.5,14.7,15.5,12.1,13.4,12.3,31.4,32.5,15.0,20.0,10.1,13.0,37.0,30.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,16.0,15.0,15.0,27.0,24.0,31.0,20.0,20.0,20.0,45.13,45.03,45.12,28.0,280.0,3.1,0.0,0.0,0.0
0.0,304.0,85.98,85.98,85.98,10.6,10.9,12.0,0.17,20.5,0.07,0.0,209.2,0.5,266.0,1.0,3.0,387.0,701.0,0.0,1.0,0.0,0.0,1.9,0.0,30.2,30.1,0.2,2.8,425.4,0.0,10.95,0.6,12.3,11.5,14.7,14.9,15.7,12.4,13.6,12.6,32.2,33.4,15.0,20.0,10.2,13.2,37.0,29.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,16.0,15.0,15.0,28.0,24.0,31.0,20.0,20.0,21.0,45.13,45.03,45.12,29.0,290.0,3.1,0.0,0.0,0.0
0.0,304.0,85.98,85.98,85.98,10.6,10.8,12.0,0.15,9.5,0.07,0.0,209.2,0.7,267.0,1.0,3.0,385.0,700.0,0.0,1.0,0.0,0.0,1.9,0.0,30.4,30.2,0.2,3.5,425.4,0.0,10.95,0.6,12.3,11.5,14.7,14.9,15.7,12.4,13.6,12.6,32.2,33.4,15.0,20.0,10.2,13.2,36.0,29.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,16.0,15.0,15.0,27.0,24.0,31.0,20.0,20.0,21.0,45.13,45.03,45.12,28.0,290.0,3.1,0.0,0.0,0.0
0.0,304.0,85.98,85.98,85.98,10.6,10.9,12.0,0.16,15.5,0.07,0.0,208.9,2.1,266.0,1.0,3.0,386.0,700.0,0.0,2.0,0.0,0.0,1.9,0.0,30.6,30.2,0.2,3.7,425.4,0.0,10.95,0.4,11.9,11.2,14.5,14.7,15.5,12.1,13.4,12.4,31.4,32.6,15.0,19.0,10.1,13.0,37.0,29.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,16.0,15.0,15.0,28.0,24.0,31.0,19.0,19.0,20.0,45.13,45.03,45.12,27.0,280.0,3.1,0.0,0.0,0.0
0.0,304.0,85.98,85.98,85.98,10.6,10.9,12.0,0.17,24.8,0.08,0.0,208.9,1.2,258.0,1.0,3.0,388.0,700.0,0.0,1.0,0.0,0.0,1.9,0.0,29.8,29.7,0.2,2.1,425.4,0.0,10.95,0.4,11.9,11.2,14.6,14.7,15.5,12.1,13.4,12.4,31.5,32.6,15.0,19.0,10.1,13.0,37.0,29.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,16.0,15.0,15.0,27.0,24.0,31.0,19.0,19.0,20.0,45.13,45.03,45.12,28.0,280.0,3.1,0.0,0.0,0.0
