轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
0.07,136,85.98,85.98,85.98,12,10.5,11.3,0,136.8,-0.02,0.01,207.6,0.6,121,1,1,0,677,0,1,0,0.01,0,0,30.5,30.8,1.8,3.0,425.4,0,10.95,24.2,23.7,22.6,24.0,22.5,22.8,23.7,22.8,22,27.8,29.6,31,49,24.9,28.3,31,31,37,0,0,0,3,4,4,0,28,29,30,48,40,34,49,49,44,45.06,44.99,45.0,56,510,5.7,0,0,0
0.08,136,85.98,85.98,85.98,12,10.5,11.4,0,45.3,-0.02,0.01,207.6,0.9,209,1,1,0,675,0,1,0,0.01,0,0,32.8,32.9,1.8,3.0,425.4,0,10.95,24.0,23.7,22.5,23.9,22.4,22.8,23.7,22.8,22,27.8,29.6,31,49,24.9,28.1,33,33,36,0,0,0,3,4,4,0,28,29,30,47,40,34,49,49,44,45.06,44.99,45.0,57,530,5.7,0,0,0
0.08,136,85.98,85.98,85.98,12,10.5,11.3,0,-5.4,-0.02,0.01,207.6,0.5,237,1,1,0,676,0,1,0,0.01,0,0,31.5,31.6,1.8,3.0,425.4,0,10.95,24.0,23.7,22.5,24.0,22.4,22.8,23.7,22.8,22,27.8,29.6,30,49,24.9,28.2,32,32,36,0,0,0,3,4,4,0,28,29,30,47,40,34,49,49,44,45.06,44.99,45.0,56,530,5.6,0,0,0
0.07,136,85.98,85.98,85.98,12,10.5,11.4,0,115.1,-0.02,0.01,207.7,0.0,161,1,1,0,676,0,1,0,0.01,0,0,30.7,31.0,1.8,3.0,425.4,0,10.95,24.1,23.7,22.6,24.0,22.5,22.8,23.7,22.8,22,27.8,29.6,30,49,24.9,28.3,32,31,37,0,0,0,3,4,4,0,28,29,30,47,39,34,49,49,44,45.06,44.98,45.0,57,520,5.5,0,0,0
0.09,136,85.98,85.98,85.98,12,10.5,11.3,0,37.0,-0.02,0.01,207.5,1.6,219,1,1,0,677,0,1,0,0.01,0,0,32.1,32.0,1.8,3.0,425.4,0,10.95,23.7,23.7,22.5,23.8,22.3,22.8,23.7,22.8,22,27.9,29.7,30,49,24.7,28.1,33,33,36,0,0,0,3,4,4,0,28,29,30,47,41,34,49,49,44,45.06,44.98,45.0,56,510,5.6,0,0,0
0.08,136,85.98,85.98,85.98,12,10.5,11.4,0,43.8,-0.02,0.01,207.6,1.0,215,1,1,0,676,0,2,0,0.01,0,0,33.3,33.1,1.8,3.1,425.4,0,10.95,23.9,23.7,22.5,23.8,22.3,22.8,23.7,22.8,22,27.8,29.6,31,49,24.8,28.1,34,33,36,0,0,0,3,4,4,0,28,29,30,47,40,34,49,49,44,45.06,44.99,44.99,56,520,5.5,0,0,0
0.08,136,85.98,85.98,85.98,12,10.5,11.3,0,114.9,-0.02,0.01,207.6,0.0,168,1,1,0,676,0,1,0,0.01,0,0,30.9,31.2,1.8,3.0,425.4,0,10.95,24.1,23.7,22.6,24.0,22.5,22.8,23.7,22.8,22,27.8,29.6,31,49,24.9,28.3,32,31,36,0,0,0,3,4,4,0,28,29,30,47,40,34,49,49,44,45.06,44.99,45.0,56,530,5.6,0,0,0
0.1,136,85.98,85.98,85.98,12,10.5,11.3,0,67.3,-0.02,0.01,207.3,1.2,191,1,1,0,676,0,2,0,0.01,0,0,32.8,32.6,1.8,3.1,425.4,0,10.95,23.8,23.7,22.5,23.8,22.3,22.8,23.7,22.8,22,27.8,29.6,31,49,24.7,28.1,33,33,36,0,0,0,3,4,4,0,28,29,30,47,40,34,49,49,44,45.06,44.99,45.0,56,520,5.6,0,0,0
0.08,136,85.98,85.98,85.98,12,10.5,11.3,0,35.9,-0.02,0.01,207.6,0.8,208,1,1,0,676,0,2,0,0.01,0,0,32.3,32.4,1.8,3.1,425.4,0,10.95,24.0,23.7,22.5,23.9,22.5,22.8,23.7,22.8,22,27.8,29.6,31,49,24.9,28.1,33,33,36,0,0,0,3,4,4,0,28,29,30,47,40,34,49,49,44,45.06,44.98,44.99,56,510,5.6,0,0,0
0.09,136,85.98,85.98,85.98,12,10.5,11.4,0,8.9,-0.02,0.01,207.6,1.2,228,1,1,0,677,0,1,0,0.01,0,0,32.2,32.0,1.8,3.0,425.4,0,10.95,23.7,23.6,22.5,23.8,22.3,22.8,23.7,22.8,22,27.9,29.7,31,49,24.7,28.1,33,32,36,0,0,0,3,4,4,0,28,29,30,47,40,33,49,49,44,45.06,44.99,45.0,57,520,5.6,0,0,0
