轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
0.08,25.0,85.98,85.98,85.98,11.4,10.5,11.6,0.0,20.0,-0.01,0.02,205.6,1.7,75.0,1.0,1.0,2.0,690.0,0.0,-3.0,0.0,0.01,0.0,0.0,30.5,30.2,1.7,3.0,471.1,0.0,11.32,8.3,17.8,16.2,18.5,17.0,17.8,19.0,17.3,16.8,36.4,38.3,26.0,45.0,19.5,27.3,32.0,33.0,33.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,25.0,24.0,25.0,43.0,37.0,31.0,45.0,45.0,40.0,45.07,45.0,45.02,50.0,480.0,4.8,0.0,0.0,0.0
0.08,25.0,85.98,85.98,85.98,11.4,10.5,11.6,0.0,5.3,-0.02,0.01,205.6,0.7,90.0,1.0,1.0,0.0,689.0,0.0,1.0,0.0,0.01,0.0,0.0,32.5,32.1,1.7,2.9,471.1,0.0,11.32,8.4,17.8,16.3,18.7,17.0,18.5,19.1,17.3,17.0,36.6,38.6,27.0,45.0,19.8,27.6,33.0,35.0,33.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,25.0,25.0,25.0,43.0,38.0,31.0,45.0,45.0,40.0,45.07,45.0,45.02,50.0,480.0,4.8,0.0,0.0,0.0
0.07,25.0,85.98,85.98,85.98,11.4,10.5,11.6,0.0,17.2,-0.02,0.02,205.8,1.5,79.0,1.0,1.0,2.0,689.0,0.0,-4.0,0.0,0.01,0.0,0.0,30.8,31.6,1.7,2.9,471.1,0.0,11.32,8.4,17.8,16.3,18.6,17.0,18.3,19.0,17.3,16.9,36.5,38.5,26.0,45.0,19.7,27.6,31.0,33.0,33.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,25.0,25.0,25.0,43.0,38.0,31.0,45.0,45.0,40.0,45.07,45.0,45.02,50.0,480.0,4.8,0.0,0.0,0.0
0.07,25.0,85.98,85.98,85.98,11.4,10.5,11.6,0.0,32.9,-0.01,0.02,205.5,1.2,74.0,1.0,1.0,0.0,689.0,0.0,1.0,0.0,0.01,0.0,0.0,29.4,29.4,1.7,2.9,471.1,0.0,11.32,8.4,17.8,16.2,18.6,17.0,17.9,19.0,17.3,16.9,36.4,38.4,26.0,45.0,19.7,27.4,30.0,32.0,33.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,25.0,24.0,25.0,43.0,38.0,31.0,45.0,45.0,40.0,45.07,45.0,45.02,50.0,480.0,4.8,0.0,0.0,0.0
0.07,25.0,85.98,85.98,85.98,11.4,10.5,11.6,0.0,22.7,-0.01,0.02,205.6,1.5,77.0,1.0,1.0,2.0,689.0,0.0,-4.0,0.0,0.01,0.0,0.0,29.8,29.7,1.7,2.9,471.1,0.0,11.32,8.3,17.8,16.2,18.6,17.0,18.3,19.0,17.3,16.9,36.4,38.3,27.0,45.0,19.7,27.3,31.0,32.0,33.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,25.0,25.0,25.0,43.0,38.0,31.0,45.0,45.0,40.0,45.06,45.0,45.02,50.0,480.0,4.8,0.0,0.0,0.0
0.06,25.0,85.98,85.98,85.98,11.4,10.5,11.6,0.0,20.1,-0.01,0.02,205.6,1.7,77.0,1.0,1.0,1.0,689.0,0.0,-2.0,0.0,0.01,0.0,0.0,29.8,29.7,1.7,2.9,471.1,0.0,11.32,8.3,17.8,16.2,18.6,17.0,18.2,19.0,17.3,16.9,36.4,38.3,26.0,45.0,19.7,27.3,31.0,32.0,33.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,25.0,25.0,25.0,43.0,37.0,31.0,45.0,45.0,40.0,45.07,45.0,45.02,51.0,480.0,4.8,0.0,0.0,0.0
0.07,25.0,85.98,85.98,85.98,11.4,10.5,11.6,0.0,14.9,-0.01,0.02,205.6,1.4,80.0,1.0,1.0,2.0,689.0,0.0,3.0,0.0,0.01,0.0,0.0,28.4,29.3,1.7,3.0,471.1,0.0,11.32,8.3,17.8,16.3,18.6,17.0,18.0,19.0,17.3,16.9,36.5,38.4,26.0,45.0,19.7,27.5,29.0,30.0,33.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,25.0,25.0,25.0,43.0,38.0,31.0,45.0,45.0,40.0,45.07,45.0,45.02,51.0,480.0,4.8,0.0,0.0,0.0
0.09,25.0,85.98,85.98,85.98,11.4,10.5,11.6,0.0,20.1,-0.01,0.02,205.6,1.6,82.0,1.0,1.0,0.0,689.0,0.0,1.0,0.0,0.01,0.0,0.0,29.0,29.0,1.7,2.9,471.1,0.0,11.32,8.3,17.8,16.3,18.6,17.0,18.1,19.0,17.3,16.9,36.4,38.4,27.0,45.0,19.7,27.4,30.0,31.0,33.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,25.0,25.0,25.0,43.0,38.0,31.0,45.0,45.0,40.0,45.07,45.0,45.02,50.0,480.0,4.8,0.0,0.0,0.0
0.05,25.0,85.98,85.98,85.98,11.4,10.5,11.6,0.0,8.4,-0.01,0.02,205.9,0.9,92.0,1.0,1.0,1.0,689.0,0.0,2.0,0.0,0.01,0.0,0.0,32.1,31.8,1.7,3.0,471.1,0.0,11.32,8.5,17.8,16.3,18.7,17.0,18.3,19.1,17.5,17.0,36.7,38.6,27.0,45.0,19.9,27.8,33.0,34.0,33.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,25.0,25.0,25.0,43.0,38.0,31.0,45.0,45.0,40.0,45.07,45.0,45.02,51.0,480.0,4.8,0.0,0.0,0.0
0.07,25.0,85.98,85.98,85.98,11.4,10.5,11.6,0.0,31.0,-0.02,0.02,205.6,1.4,74.0,1.0,1.0,4.0,689.0,0.0,6.0,0.0,0.01,0.0,0.0,30.6,30.3,1.7,2.9,471.1,0.0,11.32,8.3,17.8,16.2,18.6,17.0,18.2,19.0,17.3,16.8,36.4,38.3,27.0,45.0,19.5,27.3,32.0,33.0,33.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,25.0,24.0,25.0,43.0,38.0,31.0,45.0,45.0,40.0,45.06,45.0,45.02,49.0,470.0,4.8,0.0,0.0,0.0
