轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
0.1,216,85.98,85.98,85.98,11.8,11.3,10.5,0.0,-30.7,0.06,0.03,205.1,1.1,210,1,3,385,694,0,0,0,0,1.9,0,32.3,31.9,0.6,3.9,425.4,0,10.95,-20.6,-13.2,-8.9,-9.2,-12.4,-12.2,-12.7,-12.5,-13,13.5,13.3,5,20,-9.1,-7.5,37,31,25,0,0,0,3,4,4,0,8,10,12,25,18,19,20,20,15,45.2,45.05,45.14,25,190,2.2,0,0,0
0.1,216,85.98,85.98,85.98,11.8,11.3,10.5,0.0,-33.7,0.06,0.04,205.2,1.5,205,1,3,385,694,0,1,0,0,1.9,0,32.3,31.6,0.6,3.9,425.4,0,10.95,-20.5,-13.2,-8.9,-9.2,-12.3,-12.2,-12.7,-12.4,-13,13.7,13.5,5,20,-9.1,-7.4,37,31,25,0,0,0,3,4,4,0,6,11,13,25,18,19,20,20,15,45.2,45.05,45.14,25,190,2.1,0,0,0
0.1,216,85.98,85.98,85.98,11.9,11.3,10.5,0.01,-26.9,0.05,0.03,205.1,1.0,208,1,3,387,695,0,2,0,0,1.9,0,32.3,31.9,0.6,3.9,425.4,0,10.95,-20.6,-13.2,-8.9,-9.2,-12.4,-12.2,-12.8,-12.5,-13,13.3,13.1,5,21,-9.2,-7.6,37,31,25,0,0,0,3,4,4,0,10,9,11,25,18,18,21,21,14,45.2,45.06,45.15,26,190,2.3,0,0,0
0.1,216,85.98,85.98,85.98,11.8,11.3,10.4,0.0,1.0,0.06,0.03,205.2,0.7,197,1,3,386,694,0,1,0,0,1.9,0,32.2,31.8,0.6,3.9,425.4,0,10.95,-20.4,-13.2,-8.8,-9.1,-12.2,-12.2,-12.7,-12.4,-13,13.7,13.6,5,20,-9.1,-7.4,37,31,25,0,0,0,3,4,4,0,6,11,13,25,18,19,20,20,15,45.21,45.05,45.14,24,190,2.1,0,0,0
0.09,216,85.98,85.98,85.98,11.8,11.3,10.5,0.0,-5.8,0.06,0.03,205.0,0.8,195,1,3,387,694,0,0,0,0,1.9,0,32.1,31.7,0.6,3.9,425.4,0,10.95,-20.4,-13.2,-8.9,-9.2,-12.2,-12.2,-12.7,-12.4,-13,13.7,13.5,5,20,-9.1,-7.4,37,31,25,0,0,0,3,4,4,0,6,11,13,25,17,19,20,20,15,45.2,45.05,45.15,26,200,2.0,0,0,0
0.09,216,85.98,85.98,85.98,11.8,11.3,10.4,0.0,-35.3,0.06,0.03,205.2,0.1,208,1,3,388,695,0,1,0,0,1.9,0,32.3,32.0,0.6,3.9,425.4,0,10.95,-20.6,-13.2,-8.9,-9.2,-12.4,-12.2,-12.7,-12.4,-13,13.6,13.4,5,20,-9.1,-7.4,37,31,25,0,0,0,3,4,4,0,7,10,12,25,18,19,20,20,15,45.2,45.05,45.14,26,190,2.3,0,0,0
0.09,216,85.98,85.98,85.98,11.8,11.3,10.5,0.0,-8.3,0.06,0.03,205.2,0.6,204,1,3,387,695,0,-1,0,0,1.9,0,32.2,31.8,0.6,3.9,425.4,0,10.95,-20.6,-13.2,-8.9,-9.2,-12.4,-12.2,-12.7,-12.4,-13,13.7,13.5,5,20,-9.1,-7.4,37,31,25,0,0,0,3,4,4,0,7,10,12,25,18,19,20,20,15,45.2,45.06,45.14,26,190,2.0,0,0,0
0.09,216,85.98,85.98,85.98,11.8,11.3,10.5,0.0,-21.3,0.06,0.03,205.1,0.7,208,1,3,387,695,0,2,0,0,1.9,0,32.1,31.8,0.6,3.9,425.4,0,10.95,-20.5,-13.2,-8.9,-9.2,-12.3,-12.2,-12.7,-12.4,-13,13.7,13.5,5,20,-9.1,-7.4,37,31,25,0,0,0,3,4,4,0,7,11,13,25,18,19,20,20,15,45.21,45.05,45.14,25,190,2.3,0,0,0
0.09,216,85.98,85.98,85.98,11.9,11.4,10.5,0.0,-27.0,0.06,0.03,205.1,1.4,210,1,3,386,694,0,3,0,0,1.9,0,32.2,31.8,0.6,3.9,425.4,0,10.95,-20.6,-13.2,-8.9,-9.2,-12.4,-12.2,-12.7,-12.5,-13,13.6,13.4,5,20,-9.1,-7.4,37,31,25,0,0,0,3,4,4,0,8,10,12,25,17,19,20,20,15,45.2,45.05,45.14,25,200,2.3,0,0,0
0.09,216,85.98,85.98,85.98,11.8,11.3,10.5,0.0,-26.8,0.06,0.03,205.2,0.7,206,1,3,386,695,0,2,0,0,1.9,0,32.1,31.8,0.6,3.9,425.4,0,10.95,-20.6,-13.2,-8.9,-9.2,-12.4,-12.2,-12.7,-12.4,-13,13.7,13.4,5,20,-9.1,-7.4,37,31,25,0,0,0,3,4,4,0,7,10,12,25,17,19,20,20,15,45.2,45.05,45.14,25,200,2.1,0,0,0
0.09,216,85.98,85.98,85.98,11.9,11.3,10.5,0.0,-2.9,0.06,0.03,205.1,0.6,205,1,3,386,696,0,2,0,0,1.9,0,32.3,32.1,0.6,3.9,425.4,0,10.95,-20.6,-13.2,-9.0,-9.3,-12.4,-12.2,-12.8,-12.5,-13,13.3,13.1,5,21,-9.2,-7.6,37,31,25,0,0,0,3,4,4,0,10,9,11,25,18,19,21,21,14,45.19,45.05,45.14,26,190,2.0,0,0,0
