轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
0.25,296,91.61,91.44,91.79,0,0,0,-0.05,-8.1,0.06,-0.01,27.3,9.3,72,1,2,0,0,0,0,0,0,0,0,-5.4,-4.2,0,0.1,2120.7,0,16.91,-12.5,-9.6,-9.7,-10.4,-12.2,-12.8,-10.5,-9.5,-9.4,-6.6,-6.9,11,15,-6.4,-4.2,2,1,25,0,0,0,1,1,3,0,6,7,13,19,11,13,15,15,-1,45.19,45.08,45.16,0,65526,0.2,0,0,0
0.15,296,91.61,91.45,91.79,0,0,0,-0.07,8.7,0.04,0.0,26.8,9.5,62,1,2,0,0,0,0,0,0,0,0,-5.3,-4.2,0,0.1,2120.7,0,16.91,-12.5,-9.6,-9.7,-10.4,-12.2,-12.8,-10.6,-9.5,-9.4,-6.5,-6.8,11,15,-6.5,-4.2,2,1,25,0,0,0,1,1,3,0,7,7,11,19,11,13,15,15,-1,45.19,45.09,45.16,0,65526,0.2,0,0,0
0.15,296,91.61,91.44,91.79,0,0,0,-0.03,-12.1,0.06,0.05,27.1,8.1,71,1,2,0,0,0,0,0,0,0,0,-5.5,-4.3,0,0.1,2120.7,0,16.91,-12.5,-9.6,-9.7,-10.4,-12.2,-12.8,-10.5,-9.5,-9.4,-6.5,-6.8,9,15,-6.4,-4.2,2,1,25,0,0,0,1,1,3,0,6,7,12,19,11,13,15,15,-1,45.19,45.09,45.16,0,65526,0.2,0,0,0
0.19,296,91.61,91.45,91.79,0,0,0,-0.11,9.3,0.05,0.02,26.8,4.6,65,1,2,0,0,0,0,0,0,0,0,-5.4,-4.1,0,0.1,2120.7,0,16.91,-12.5,-9.6,-9.7,-10.4,-12.2,-12.8,-10.6,-9.5,-9.4,-6.5,-6.8,9,15,-6.5,-4.3,2,1,25,0,0,0,1,1,3,0,7,6,11,19,11,13,15,15,-1,45.18,45.08,45.17,0,65526,0.2,0,0,0
0.2,296,91.61,91.44,91.79,0,0,0,-0.08,4.0,0.06,0.06,27.1,5.9,70,1,2,0,0,0,0,0,0,0,0,-5.5,-4.3,0,0.1,2120.7,0,16.91,-12.5,-9.6,-9.7,-10.4,-12.2,-12.8,-10.5,-9.5,-9.4,-6.5,-6.8,10,15,-6.4,-4.2,2,1,25,0,0,0,1,1,3,0,6,7,12,19,11,13,15,15,-1,45.19,45.08,45.16,0,65526,0.2,0,0,0
0.15,296,91.61,91.45,91.79,0,0,0,-0.03,-1.5,0.06,0.06,27.0,7.9,66,1,2,0,0,0,0,0,0,0,0,-5.3,-4.2,0,0.1,2120.7,0,16.91,-12.5,-9.6,-9.7,-10.4,-12.2,-12.8,-10.5,-9.5,-9.4,-6.5,-6.8,10,15,-6.4,-4.2,2,1,25,0,0,0,1,1,3,0,7,7,12,19,11,13,15,15,-1,45.19,45.08,45.16,0,65526,0.2,0,0,0
0.36,296,91.61,91.45,91.79,0,0,0,-0.15,8.1,0.01,0.04,26.6,9.5,67,1,2,0,0,0,0,0,0,0,0,-5.4,-4.1,0,0.1,2120.7,0,16.91,-12.5,-9.7,-9.7,-10.5,-12.2,-12.8,-10.6,-9.5,-9.4,-6.5,-6.8,11,15,-6.5,-4.3,2,1,25,0,0,0,1,1,3,0,7,5,11,19,11,13,15,15,-1,45.19,45.09,45.17,1,65526,0.2,0,0,0
0.3,296,91.61,91.44,91.79,0,0,0,-0.13,-12.7,0.06,0.02,27.3,11.2,70,1,2,0,0,0,0,0,0,0,0,-5.5,-4.3,0,0.1,2120.7,0,16.91,-12.5,-9.6,-9.7,-10.4,-12.2,-12.8,-10.5,-9.5,-9.4,-6.6,-6.8,11,15,-6.4,-4.2,2,1,25,0,0,0,1,1,3,0,6,7,13,19,11,13,15,15,-1,45.19,45.08,45.16,0,65526,0.2,0,0,0
0.26,296,91.61,91.45,91.79,0,0,0,-0.06,9.3,0.06,0.09,26.8,9.9,65,1,2,0,0,0,0,0,0,0,0,-5.5,-4.2,0,0.1,2120.7,0,16.91,-12.5,-9.6,-9.7,-10.4,-12.2,-12.8,-10.6,-9.5,-9.4,-6.5,-6.8,9,15,-6.5,-4.3,2,1,25,0,0,0,1,1,3,0,7,6,11,19,11,13,15,15,-1,45.18,45.08,45.16,0,65526,0.2,0,0,0
0.16,296,91.61,91.44,91.79,0,0,0,0.18,-0.8,0.06,0.05,27.0,10.5,66,1,2,0,0,0,0,0,0,0,0,-5.3,-4.2,0,0.1,2120.7,0,16.91,-12.5,-9.6,-9.7,-10.4,-12.2,-12.8,-10.5,-9.5,-9.4,-6.5,-6.8,10,15,-6.4,-4.2,2,1,25,0,0,0,1,1,3,0,6,7,12,19,11,13,15,15,-1,45.19,45.08,45.16,0,65526,0.2,0,0,0
0.25,296,91.61,91.45,91.79,0,0,0,-0.1,11.8,0.04,0.06,26.8,6.5,62,1,2,0,0,0,0,0,0,0,0,-5.5,-4.1,0,0.1,2120.7,0,16.91,-12.5,-9.6,-9.7,-10.4,-12.2,-12.8,-10.6,-9.5,-9.4,-6.5,-6.8,10,15,-6.5,-4.3,2,1,25,0,0,0,1,1,3,0,7,6,11,19,11,13,15,15,-1,45.19,45.08,45.17,0,65526,0.2,0,0,0
0.16,296,91.61,91.44,91.79,0,0,0,0.18,0.9,0.07,0.04,27.1,10.6,66,1,2,0,0,0,0,0,0,0,0,-5.4,-4.2,0,0.1,2120.7,0,16.91,-12.5,-9.6,-9.7,-10.4,-12.2,-12.8,-10.5,-9.5,-9.4,-6.5,-6.8,11,15,-6.4,-4.2,2,1,25,0,0,0,1,1,3,0,6,7,12,19,11,13,15,15,-1,45.19,45.08,45.16,0,65526,0.2,0,0,0
0.24,296,91.61,91.44,91.79,0,0,0,-0.06,-8.3,0.06,0.02,26.6,5.9,71,1,2,0,0,0,0,0,0,0,0,-5.3,-4.1,0,0.1,2120.7,0,16.91,-12.5,-9.7,-9.8,-10.5,-12.2,-12.8,-10.6,-9.5,-9.4,-6.4,-6.7,10,15,-6.5,-4.3,2,1,25,0,0,0,1,1,3,0,8,4,11,19,11,13,15,15,-1,45.18,45.08,45.17,1,65526,0.2,0,0,0
0.2,296,91.61,91.45,91.79,0,0,0,0.02,-2.5,0.06,0.03,26.6,5.9,68,1,2,0,0,0,0,0,0,0,0,-5.5,-4.2,0,0.1,2120.7,0,16.91,-12.5,-9.7,-9.7,-10.5,-12.2,-12.8,-10.6,-9.5,-9.4,-6.5,-6.8,10,15,-6.5,-4.3,2,1,25,0,0,0,1,1,3,0,7,5,11,19,11,13,15,15,-1,45.18,45.08,45.17,1,65526,0.2,0,0,0
0.15,296,91.61,91.44,91.79,0,0,0,0.0,-7.6,0.06,0.08,27.3,10.3,72,1,2,0,0,0,0,0,0,0,0,-5.4,-4.2,0,0.1,2120.7,0,16.91,-12.5,-9.6,-9.7,-10.4,-12.2,-12.8,-10.5,-9.5,-9.4,-6.6,-6.8,11,15,-6.4,-4.2,2,1,25,0,0,0,1,1,3,0,6,7,13,19,11,13,15,15,-1,45.19,45.08,45.16,0,65526,0.2,0,0,0
0.21,296,91.61,91.44,91.79,0,0,0,-0.18,-3.9,0.06,0.04,27.1,8.6,72,1,2,0,0,0,0,0,0,0,0,-5.4,-4.2,0,0.1,2120.7,0,16.91,-12.5,-9.6,-9.7,-10.4,-12.2,-12.8,-10.5,-9.5,-9.4,-6.5,-6.8,10,15,-6.4,-4.2,2,1,25,0,0,0,1,1,3,0,6,7,12,19,11,13,15,15,-1,45.19,45.08,45.16,0,65526,0.2,0,0,0
0.15,296,91.61,91.44,91.79,0,0,0,-0.05,2.7,0.07,0.03,27.4,7.6,68,1,2,0,0,0,0,0,0,0,0,-5.4,-4.1,0,0.1,2120.7,0,16.91,-12.4,-9.6,-9.7,-10.4,-12.2,-12.8,-10.5,-9.4,-9.2,-6.6,-6.8,11,15,-6.4,-4.2,2,1,25,0,0,0,1,1,3,0,6,6,14,19,11,13,15,15,-1,45.19,45.08,45.16,0,65526,0.2,0,0,0
0.15,296,91.61,91.45,91.79,0,0,0,-0.03,-0.7,0.06,0.05,27.1,8.0,66,1,2,0,0,0,0,0,0,0,0,-5.4,-4.1,0,0.1,2120.7,0,16.91,-12.5,-9.6,-9.7,-10.4,-12.2,-12.8,-10.5,-9.5,-9.4,-6.5,-6.8,10,15,-6.4,-4.2,2,1,25,0,0,0,1,1,3,0,7,7,12,19,11,13,15,15,-1,45.19,45.08,45.16,0,65526,0.2,0,0,0
0.15,296,91.61,91.45,91.79,0,0,0,-0.27,-0.9,0.09,0.06,26.6,5.8,68,1,2,0,0,0,0,0,0,0,0,-5.4,-4.2,0,0.1,2120.7,0,16.91,-12.5,-9.7,-9.7,-10.5,-12.2,-12.8,-10.6,-9.5,-9.4,-6.5,-6.8,10,15,-6.5,-4.3,2,1,25,0,0,0,1,1,3,0,7,5,11,19,11,13,15,15,-1,45.18,45.08,45.17,1,65526,0.2,0,0,0
0.31,296,91.61,91.45,91.79,0,0,0,-0.08,9.1,0.01,0.04,26.6,9.4,70,1,2,0,0,0,0,0,0,0,0,-5.4,-4.3,0,0.1,2120.7,0,16.91,-12.5,-9.7,-9.8,-10.5,-12.2,-12.8,-10.6,-9.5,-9.4,-6.5,-6.8,9,15,-6.5,-4.3,2,1,25,0,0,0,1,1,3,0,8,5,11,19,11,13,15,15,-1,45.18,45.09,45.17,1,65526,0.2,0,0,0
0.15,296,91.61,91.45,91.79,0,0,0,0.0,-0.8,0.08,0.08,27.1,5.9,67,1,2,0,0,0,0,0,0,0,0,-5.4,-4.1,0,0.1,2120.7,0,16.91,-12.5,-9.6,-9.7,-10.4,-12.2,-12.8,-10.6,-9.5,-9.4,-6.5,-6.8,11,15,-6.4,-4.2,2,1,25,0,0,0,1,1,3,0,7,7,11,19,11,13,15,15,-1,45.19,45.08,45.16,0,65526,0.2,0,0,0
0.21,296,91.61,91.45,91.79,0,0,0,-0.15,2.4,0.13,0.04,26.8,7.3,68,1,2,0,0,0,0,0,0,0,0,-5.3,-4.1,0,0.1,2120.7,0,16.91,-12.5,-9.7,-9.7,-10.5,-12.2,-12.8,-10.6,-9.5,-9.4,-6.5,-6.8,10,15,-6.5,-4.3,2,1,25,0,0,0,1,1,3,0,8,5,11,19,11,13,15,15,-1,45.18,45.09,45.17,0,65526,0.2,0,0,0
0.25,296,91.61,91.45,91.79,0,0,0,-0.08,3.0,0.03,0.04,26.8,5.4,63,1,2,0,0,0,0,0,0,0,0,-5.3,-4.1,0,0.1,2120.7,0,16.91,-12.5,-9.6,-9.7,-10.4,-12.2,-12.8,-10.6,-9.5,-9.4,-6.5,-6.8,9,15,-6.5,-4.3,2,1,25,0,0,0,1,1,3,0,7,6,11,19,11,13,15,15,-1,45.18,45.09,45.17,1,65526,0.2,0,0,0
0.2,296,91.61,91.45,91.79,0,0,0,-0.17,1.5,0.06,0.03,26.6,4.9,68,1,2,0,0,0,0,0,0,0,0,-5.4,-4.1,0,0.1,2120.7,0,16.91,-12.5,-9.7,-9.7,-10.5,-12.2,-12.8,-10.6,-9.5,-9.4,-6.5,-6.8,9,15,-6.5,-4.3,2,1,25,0,0,0,1,1,3,0,8,5,11,19,11,13,15,15,-1,45.18,45.09,45.17,1,65526,0.2,0,0,0
0.16,296,91.61,91.44,91.79,0,0,0,-0.05,-11.2,0.06,0.07,27.6,7.0,70,1,2,0,0,0,0,0,0,0,0,-5.4,-4.4,0,0.1,2120.7,0,16.91,-12.4,-9.6,-9.7,-10.4,-12.2,-12.7,-10.5,-9.4,-9.2,-6.6,-6.8,11,15,-6.4,-4.2,2,1,25,0,0,0,1,1,3,0,6,6,14,19,11,13,15,15,-1,45.19,45.08,45.16,0,65526,0.2,0,0,0
0.26,296,91.61,91.45,91.79,0,0,0,-0.11,-5.7,0.01,0.02,26.4,8.0,73,1,2,0,0,0,0,0,0,0,0,-5.5,-4.2,0,0.1,2120.7,0,16.91,-12.5,-9.7,-9.8,-10.5,-12.2,-12.8,-10.6,-9.5,-9.4,-6.5,-6.8,10,15,-6.5,-4.3,2,1,25,0,0,0,1,1,3,0,8,5,11,19,11,13,15,15,-1,45.18,45.09,45.17,1,65526,0.2,0,0,0
0.24,296,91.61,91.44,91.79,0,0,0,-0.1,-6.3,0.06,0.06,26.5,9.3,69,1,2,0,0,0,0,0,0,0,0,-5.5,-4.2,0,0.1,2120.7,0,16.91,-12.5,-9.7,-9.8,-10.5,-12.2,-12.8,-10.6,-9.5,-9.4,-6.4,-6.8,10,15,-6.5,-4.3,2,1,25,0,0,0,1,1,3,0,8,4,11,19,11,13,15,15,-1,45.18,45.09,45.17,1,65526,0.2,0,0,0
0.15,296,91.61,91.44,91.79,0,0,0,0.15,0.6,0.06,0.04,27.0,4.2,66,1,2,0,0,0,0,0,0,0,0,-5.4,-4.2,0,0.1,2120.7,0,16.91,-12.5,-9.6,-9.7,-10.4,-12.2,-12.8,-10.5,-9.5,-9.4,-6.5,-6.8,10,15,-6.4,-4.2,2,1,25,0,0,0,1,1,3,0,6,7,12,19,11,13,15,15,-1,45.19,45.08,45.16,0,65526,0.2,0,0,0
0.16,296,91.61,91.44,91.79,0,0,0,-0.03,-1.4,0.05,0.05,27.4,9.3,71,1,2,0,0,0,0,0,0,0,0,-5.5,-4.4,0,0.1,2120.7,0,16.91,-12.5,-9.6,-9.7,-10.4,-12.2,-12.8,-10.5,-9.4,-9.3,-6.6,-6.9,11,15,-6.4,-4.2,2,1,25,0,0,0,1,1,3,0,6,7,13,19,11,13,15,15,-1,45.19,45.08,45.16,0,65526,0.2,0,0,0
0.15,296,91.61,91.45,91.79,0,0,0,-0.11,7.4,0.08,0.03,26.8,10.4,62,1,2,0,0,0,0,0,0,0,0,-5.4,-4.2,0,0.1,2120.7,0,16.91,-12.5,-9.6,-9.7,-10.4,-12.2,-12.8,-10.6,-9.5,-9.4,-6.5,-6.8,10,15,-6.5,-4.2,2,1,25,0,0,0,1,1,3,0,7,7,11,19,11,13,15,15,-1,45.19,45.08,45.16,0,65526,0.2,0,0,0
0.25,296,91.61,91.45,91.79,0,0,0,-0.24,-11.2,0.1,0.05,26.8,9.6,69,1,2,0,0,0,0,0,0,0,0,-5.4,-4.2,0,0.1,2120.7,0,16.91,-12.5,-9.6,-9.7,-10.4,-12.2,-12.8,-10.6,-9.5,-9.4,-6.5,-6.8,10,15,-6.5,-4.3,2,1,25,0,0,0,1,1,3,0,7,6,11,19,11,13,15,15,-1,45.18,45.08,45.16,1,65526,0.2,0,0,0
0.15,296,91.61,91.45,91.79,0,0,0,-0.12,-2.9,0.03,0.03,26.6,6.7,68,1,2,0,0,0,0,0,0,0,0,-5.4,-4.1,0,0.1,2120.7,0,16.91,-12.5,-9.7,-9.7,-10.5,-12.2,-12.8,-10.6,-9.5,-9.4,-6.5,-6.8,11,15,-6.5,-4.3,2,1,25,0,0,0,1,1,3,0,7,5,11,19,11,13,15,15,-1,45.18,45.08,45.16,0,65526,0.2,0,0,0
0.16,296,91.61,91.44,91.79,0,0,0,0.19,-1.1,0.06,0.04,27.1,8.9,66,1,2,0,0,0,0,0,0,0,0,-5.3,-4.1,0,0.1,2120.7,0,16.91,-12.5,-9.6,-9.7,-10.4,-12.2,-12.8,-10.5,-9.5,-9.4,-6.5,-6.8,11,15,-6.4,-4.2,2,1,25,0,0,0,1,1,3,0,6,7,12,19,11,13,15,15,-1,45.19,45.08,45.16,1,65526,0.2,0,0,0
0.16,296,91.61,91.45,91.79,0,0,0,-0.01,-1.7,0.06,0.03,27.0,4.6,66,1,2,0,0,0,0,0,0,0,0,-5.5,-4.2,0,0.1,2120.7,0,16.91,-12.5,-9.6,-9.7,-10.4,-12.2,-12.8,-10.6,-9.5,-9.4,-6.5,-6.8,10,15,-6.4,-4.2,2,1,25,0,0,0,1,1,3,0,7,7,11,19,11,13,15,15,-1,45.19,45.08,45.16,0,65526,0.2,0,0,0
0.31,296,91.61,91.44,91.79,0,0,0,-0.16,-11.8,0.06,0.03,27.3,6.4,69,1,2,0,0,0,0,0,0,0,0,-5.5,-4.4,0,0.1,2120.7,0,16.91,-12.5,-9.6,-9.7,-10.4,-12.2,-12.8,-10.5,-9.5,-9.4,-6.5,-6.8,11,15,-6.4,-4.2,2,1,25,0,0,0,1,1,3,0,6,7,13,19,11,13,15,15,-1,45.2,45.08,45.16,0,65526,0.2,0,0,0
0.15,296,91.61,91.44,91.79,0,0,0,-0.05,-9.7,0.04,0.04,27.4,9.8,71,1,2,0,0,0,0,0,0,0,0,-5.5,-4.2,0,0.1,2120.7,0,16.91,-12.4,-9.6,-9.7,-10.4,-12.2,-12.8,-10.5,-9.4,-9.2,-6.6,-6.9,11,15,-6.4,-4.2,2,1,25,0,0,0,1,1,3,0,6,6,13,19,11,13,15,15,-1,45.19,45.08,45.16,0,65526,0.2,0,0,0
0.25,296,91.61,91.44,91.79,0,0,0,-0.09,7.1,0.08,0.05,27.2,7.1,65,1,2,0,0,0,0,0,0,0,0,-5.4,-4.3,0,0.1,2120.7,0,16.91,-12.4,-9.6,-9.7,-10.4,-12.2,-12.8,-10.5,-9.4,-9.2,-6.6,-6.9,11,15,-6.4,-4.2,2,1,25,0,0,0,1,1,3,0,6,6,13,19,11,13,15,15,-1,45.19,45.08,45.16,0,65526,0.2,0,0,0
0.25,296,91.61,91.44,91.79,0,0,0,-0.19,1.0,0.06,0.04,27.3,8.5,67,1,2,0,0,0,0,0,0,0,0,-5.4,-4.3,0,0.1,2120.7,0,16.91,-12.5,-9.6,-9.7,-10.4,-12.2,-12.8,-10.5,-9.5,-9.4,-6.5,-6.8,10,15,-6.4,-4.2,2,1,25,0,0,0,1,1,3,0,6,7,12,19,11,13,15,15,-1,45.19,45.08,45.16,0,65526,0.2,0,0,0
0.2,296,91.61,91.45,91.79,0,0,0,-0.06,-6.3,0.05,0.05,26.8,8.4,67,1,2,0,0,0,0,0,0,0,0,-5.4,-4.1,0,0.1,2120.7,0,16.91,-12.5,-9.6,-9.7,-10.4,-12.2,-12.8,-10.6,-9.5,-9.4,-6.5,-6.8,10,15,-6.5,-4.3,2,1,25,0,0,0,1,1,3,0,7,6,11,19,11,13,15,15,-1,45.18,45.08,45.16,0,65526,0.2,0,0,0
0.46,296,91.61,91.45,91.79,0,0,0,-0.02,0.5,0.06,0.01,27.1,4.1,67,1,2,0,0,0,0,0,0,0,0,-5.4,-4.2,0,0.1,2120.7,0,16.91,-12.5,-9.6,-9.7,-10.4,-12.2,-12.8,-10.6,-9.5,-9.4,-6.5,-6.8,10,15,-6.4,-4.2,2,1,25,0,0,0,1,1,3,0,7,7,11,19,11,13,15,15,-1,45.19,45.08,45.16,0,65526,0.2,0,0,0
0.16,296,91.61,91.45,91.79,0,0,0,-0.05,6.7,0.05,0.03,26.9,9.4,62,1,2,0,0,0,0,0,0,0,0,-5.4,-4.2,0,0.1,2120.7,0,16.91,-12.5,-9.6,-9.7,-10.4,-12.2,-12.8,-10.6,-9.5,-9.4,-6.5,-6.8,9,15,-6.5,-4.2,2,1,25,0,0,0,1,1,3,0,7,7,11,19,11,13,15,15,-1,45.19,45.08,45.16,0,65526,0.2,0,0,0
0.16,296,91.61,91.45,91.79,0,0,0,-0.07,4.6,0.08,0.07,27.1,10.6,63,1,2,0,0,0,0,0,0,0,0,-5.4,-4.1,0,0.1,2120.7,0,16.91,-12.5,-9.6,-9.7,-10.4,-12.2,-12.8,-10.6,-9.5,-9.4,-6.5,-6.8,9,15,-6.5,-4.2,2,1,25,0,0,0,1,1,3,0,7,7,11,19,11,13,15,15,-1,45.19,45.09,45.16,0,65526,0.2,0,0,0
0.31,296,91.61,91.44,91.79,0,0,0,-0.15,-11.6,0.05,0.03,27.3,7.5,69,1,2,0,0,0,0,0,0,0,0,-5.4,-4.1,0,0.1,2120.7,0,16.91,-12.5,-9.6,-9.7,-10.4,-12.2,-12.8,-10.5,-9.5,-9.4,-6.5,-6.8,11,15,-6.4,-4.2,2,1,25,0,0,0,1,1,3,0,6,7,13,19,11,13,15,15,-1,45.19,45.08,45.16,0,65526,0.2,0,0,0
