轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
0.15,296,91.61,91.44,91.79,0,0,0,-0.03,7.8,0.06,0.05,18.0,4.6,63,1,2,0,0,0,0,0,0,0,0,-9.5,-9.0,0,0.1,2120.7,0,16.91,-15.4,-12.9,-9.1,-9.7,-11.8,-12.5,-12.4,-13,-12.8,-9.5,-9.8,10,15,-9.9,-6.5,2,1,25,0,0,0,1,1,3,0,4,11,1,18,11,13,15,15,-2,45.2,45.05,45.18,-1,65516,0.0,0,0,0
0.16,296,91.61,91.44,91.79,0,0,0,-0.01,-1.0,0.06,0.03,18.1,8.2,68,1,2,0,0,0,0,0,0,0,0,-9.6,-9.2,0,0.1,2120.7,0,16.91,-15.4,-12.9,-9.1,-9.7,-11.8,-12.5,-12.4,-13,-12.8,-9.5,-9.8,10,15,-9.9,-6.5,2,1,25,0,0,0,1,1,3,0,4,11,3,18,11,13,15,15,-2,45.2,45.05,45.18,-1,65516,0.0,0,0,0
0.16,296,91.61,91.44,91.79,0,0,0,-0.02,4.1,0.05,0.03,18.1,8.2,61,1,2,0,0,0,0,0,0,0,0,-9.3,-9.2,0,0.1,2120.7,0,16.91,-15.4,-12.9,-9.1,-9.7,-11.8,-12.4,-12.4,-13,-12.8,-9.5,-9.7,11,15,-9.8,-6.5,2,1,25,0,0,0,1,1,3,0,4,11,0,18,11,13,15,15,-2,45.2,45.05,45.18,-1,65516,0.0,0,0,0
0.2,296,91.61,91.44,91.79,0,0,0,-0.06,-4.8,0.06,0.03,18.1,5.8,70,1,2,0,0,0,0,0,0,0,0,-9.5,-8.9,0,0.1,2120.7,0,16.91,-15.5,-12.9,-9.1,-9.7,-11.8,-12.5,-12.4,-13,-12.8,-9.5,-9.8,9,15,-9.9,-6.6,2,1,25,0,0,0,1,1,3,0,4,11,5,18,11,13,15,15,-2,45.2,45.05,45.18,-1,65516,0.0,0,0,0
0.15,296,91.61,91.44,91.79,0,0,0,-0.09,-3.5,0.06,0.03,17.9,9.0,69,1,2,0,0,0,0,0,0,0,0,-9.6,-8.9,0,0.1,2120.7,0,16.91,-15.5,-12.9,-9.1,-9.7,-11.8,-12.5,-12.4,-13,-12.8,-9.5,-9.8,10,15,-9.9,-6.6,2,1,25,0,0,0,1,1,3,0,4,11,4,18,11,13,15,15,-2,45.2,45.05,45.18,-1,65516,0.0,0,0,0
0.15,296,91.61,91.44,91.79,0,0,0,-0.01,10.3,0.06,0.03,18.1,8.0,60,1,2,0,0,0,0,0,0,0,0,-9.6,-9.1,0,0.1,2120.7,0,16.91,-15.4,-12.9,-9.1,-9.7,-11.8,-12.4,-12.4,-13,-12.8,-9.5,-9.7,11,15,-9.8,-6.5,2,1,25,0,0,0,1,1,3,0,4,11,0,18,11,13,15,15,-2,45.2,45.05,45.18,-1,65516,0.0,0,0,0
0.16,296,91.61,91.44,91.79,0,0,0,-0.03,-1.1,0.06,0.03,18.1,9.7,69,1,2,0,0,0,0,0,0,0,0,-9.3,-9.1,0,0.1,2120.7,0,16.91,-15.4,-12.9,-9.1,-9.7,-11.8,-12.4,-12.4,-13,-12.8,-9.5,-9.7,11,15,-9.8,-6.5,2,1,25,0,0,0,1,1,3,0,5,11,0,18,11,13,15,15,-2,45.2,45.05,45.18,-1,65516,0.0,0,0,0
0.16,296,91.61,91.44,91.79,0,0,0,-0.04,-0.2,0.06,0.02,18.2,5.8,68,1,2,0,0,0,0,0,0,0,0,-9.3,-8.8,0,0.1,2120.7,0,16.91,-15.4,-12.9,-9.1,-9.7,-11.8,-12.5,-12.4,-13,-12.8,-9.5,-9.8,11,15,-9.9,-6.6,2,1,25,0,0,0,1,1,3,0,4,11,4,18,11,13,15,15,-2,45.2,45.05,45.18,-1,65516,0.1,0,0,0
0.15,296,91.61,91.44,91.79,0,0,0,-0.02,-4.0,0.06,0.03,18.1,10.1,68,1,2,0,0,0,0,0,0,0,0,-9.2,-8.9,0,0.1,2120.7,0,16.91,-15.4,-12.9,-9.1,-9.7,-11.8,-12.5,-12.4,-13,-12.8,-9.5,-9.8,10,15,-9.9,-6.5,2,1,25,0,0,0,1,1,3,0,4,11,3,18,11,13,15,15,-2,45.2,45.05,45.18,-1,65516,0.0,0,0,0
0.15,296,91.61,91.44,91.79,0,0,0,-0.01,6.5,0.06,0.03,18.1,10.4,60,1,2,0,0,0,0,0,0,0,0,-9.4,-9.2,0,0.1,2120.7,0,16.91,-15.4,-12.9,-9.1,-9.7,-11.8,-12.4,-12.4,-13,-12.8,-9.5,-9.7,10,15,-9.8,-6.5,2,1,25,0,0,0,1,1,3,0,4,11,0,18,11,13,15,15,-2,45.2,45.05,45.18,-1,65516,0.0,0,0,0
0.2,296,91.61,91.44,91.79,0,0,0,-0.06,-2.7,0.06,0.04,17.9,6.7,70,1,2,0,0,0,0,0,0,0,0,-9.6,-9.2,0,0.1,2120.7,0,16.91,-15.5,-12.9,-9.1,-9.7,-11.8,-12.5,-12.4,-13,-12.8,-9.5,-9.8,9,15,-9.9,-6.6,2,1,25,0,0,0,1,1,3,0,4,11,5,18,11,13,15,15,-2,45.2,45.05,45.18,-1,65516,0.1,0,0,0
0.15,296,91.61,91.44,91.79,0,0,0,-0.03,-4.1,0.06,0.01,17.9,10.3,67,1,2,0,0,0,0,0,0,0,0,-9.2,-8.8,0,0.1,2120.7,0,16.91,-15.4,-12.9,-9.1,-9.7,-11.8,-12.5,-12.4,-13,-12.8,-9.5,-9.8,10,15,-9.9,-6.5,2,1,25,0,0,0,1,1,3,0,4,11,2,18,11,13,15,15,-2,45.2,45.05,45.18,-1,65516,0.0,0,0,0
0.15,296,91.61,91.44,91.79,0,0,0,-0.02,7.3,0.06,0.05,17.9,7.6,63,1,2,0,0,0,0,0,0,0,0,-9.2,-8.9,0,0.1,2120.7,0,16.91,-15.4,-12.9,-9.1,-9.7,-11.8,-12.4,-12.4,-13,-12.8,-9.5,-9.7,11,15,-9.8,-6.5,2,1,25,0,0,0,1,1,3,0,4,11,0,18,11,13,15,15,-2,45.2,45.05,45.18,-1,65516,0.0,0,0,0
