轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
0.1,216,85.98,85.98,85.98,10.9,11.6,10.9,0.03,-39.0,0.05,0.03,205.5,1.3,222,1,3,386,694,0,2,0,0,1.9,0,32.6,32.1,0.6,3.9,425.4,0,10.95,-20.3,-13.0,-8.6,-9.0,-12.2,-12.0,-12.5,-12.4,-12.8,14.2,14.0,5,19,-9.1,-7.4,37,31,25,0,0,0,3,4,4,0,3,13,14,25,18,19,19,19,16,45.2,45.05,45.15,23,200,2.2,0,0,0
0.15,216,85.98,85.98,85.98,11.8,11.3,10.5,0.0,-24.0,0.05,0.03,205.2,1.3,210,1,3,385,694,0,0,0,0,1.9,0,32.3,31.9,0.6,3.9,425.4,0,10.95,-20.4,-13.2,-8.7,-9.1,-12.2,-12.0,-12.6,-12.4,-12.8,13.9,13.7,4,20,-9.1,-7.4,37,31,25,0,0,0,3,4,4,0,4,13,13,25,18,19,20,20,15,45.2,45.05,45.15,25,190,2.2,0,0,0
0.13,216,85.98,85.98,85.98,11.8,11.3,10.5,0.0,-29.7,0.06,0.03,205.2,1.7,211,1,3,387,694,0,1,0,0,1.9,0,32.4,32.0,0.6,3.9,425.4,0,10.95,-20.4,-13.2,-8.7,-9.1,-12.2,-12.2,-12.7,-12.4,-13.0,13.9,13.7,4,20,-9.1,-7.4,37,31,25,0,0,0,3,4,4,0,4,12,13,25,18,19,20,20,15,45.21,45.05,45.15,25,190,2.1,0,0,0
0.1,216,85.98,85.98,85.98,10.9,11.6,10.9,0.03,-36.1,0.06,0.03,205.2,1.5,222,1,3,388,695,0,0,0,0,1.9,0,32.5,32.1,0.6,3.9,425.4,0,10.95,-20.3,-13.0,-8.6,-9.0,-12.2,-12.0,-12.5,-12.4,-12.8,14.2,14.0,5,19,-9.1,-7.4,37,31,25,0,0,0,3,4,4,0,3,13,14,25,17,19,19,19,16,45.2,45.05,45.16,24,200,2.2,0,0,0
0.08,216,85.98,85.98,85.98,11.8,11.3,10.5,0.0,-35.2,0.06,0.03,205.2,1.7,213,1,3,387,695,0,0,0,0,1.9,0,32.4,31.9,0.6,3.9,425.4,0,10.95,-20.4,-13.2,-8.7,-9.1,-12.2,-12.2,-12.7,-12.4,-13.0,13.8,13.7,5,20,-9.1,-7.4,37,31,25,0,0,0,3,4,4,0,5,12,13,25,18,19,20,20,15,45.2,45.05,45.14,25,200,2.3,0,0,0
0.09,216,85.98,85.98,85.98,11.8,11.3,10.5,0.0,-11.8,0.06,0.03,205.1,0.5,211,1,3,387,695,0,2,0,0,1.9,0,32.2,31.9,0.6,3.9,425.4,0,10.95,-20.4,-13.2,-8.7,-9.1,-12.2,-12.2,-12.7,-12.4,-13.0,13.8,13.7,5,20,-9.1,-7.4,37,31,25,0,0,0,3,4,4,0,5,12,13,25,17,19,20,20,15,45.2,45.05,45.14,25,200,2.2,0,0,0
0.14,216,85.98,85.98,85.98,11.3,11.6,10.7,0.03,-53.3,0.06,0.03,205.5,0.8,239,1,3,385,694,0,2,0,0,1.9,0,32.4,32.1,0.6,3.9,425.4,0,10.95,-20.4,-13.0,-8.7,-9.1,-12.2,-12.0,-12.5,-12.4,-12.8,14.1,14.0,5,19,-9.1,-7.4,37,31,25,0,0,0,3,4,4,0,3,13,15,25,18,19,19,19,16,45.2,45.05,45.15,24,200,2.1,0,0,0
0.14,216,85.98,85.98,85.98,11.8,11.3,10.5,0.0,-13.9,0.06,0.03,205.2,0.9,212,1,3,387,694,0,1,0,0,1.9,0,32.3,32.0,0.6,3.9,425.4,0,10.95,-20.4,-13.2,-8.7,-9.1,-12.2,-12.0,-12.6,-12.4,-12.8,13.9,13.8,4,20,-9.1,-7.4,37,31,25,0,0,0,3,4,4,0,4,13,14,25,18,19,20,20,16,45.2,45.05,45.15,24,200,2.3,0,0,0
0.1,216,85.98,85.98,85.98,10.9,11.6,11.0,0.0,-40.1,0.06,0.03,205.5,1.6,225,1,3,385,695,0,1,0,0,1.9,0,32.4,32.1,0.6,3.9,425.4,0,10.95,-20.3,-13.0,-8.6,-9.0,-12.2,-12.0,-12.5,-12.4,-12.8,14.3,14.1,6,19,-9.1,-7.4,37,31,25,0,0,0,3,4,4,0,3,13,14,25,18,19,19,19,16,45.2,45.06,45.16,23,200,2.2,0,0,0
0.1,216,85.98,85.98,85.98,10.8,11.6,11.0,0.0,-45.9,0.06,0.03,205.2,1.6,223,1,3,387,695,0,1,0,0,1.9,0,32.4,32.1,0.6,3.9,425.4,0,10.95,-20.3,-13.0,-8.6,-9.0,-12.2,-12.0,-12.5,-12.3,-12.8,14.3,14.1,5,19,-9.1,-7.4,37,31,25,0,0,0,3,4,4,0,4,13,14,25,18,19,19,19,16,45.2,45.05,45.16,23,200,2.1,0,0,0
0.15,216,85.98,85.98,85.98,11.6,11.4,10.5,0.04,-38.2,0.06,0.03,205.2,0.6,220,1,3,387,694,0,1,0,0,1.9,0,32.2,31.9,0.6,3.9,425.4,0,10.95,-20.4,-13.0,-8.7,-9.1,-12.2,-12.0,-12.5,-12.4,-12.8,14.0,13.8,5,20,-9.1,-7.4,37,31,25,0,0,0,3,4,4,0,3,13,14,25,18,19,20,20,16,45.2,45.05,45.15,25,200,2.1,0,0,0
0.1,216,85.98,85.98,85.98,10.9,11.6,11.0,0.0,-44.8,0.06,0.04,205.2,1.6,218,1,3,386,695,0,2,0,0,1.9,0,32.4,32.0,0.6,3.9,425.4,0,10.95,-20.3,-13.0,-8.6,-9.0,-12.2,-12.0,-12.5,-12.2,-12.8,14.3,14.1,6,19,-9.1,-7.4,37,31,25,0,0,0,3,4,4,0,4,13,14,25,18,19,19,19,16,45.2,45.05,45.16,24,190,2.2,0,0,0
0.15,216,85.98,85.98,85.98,11.8,11.4,10.5,0.0,-14.7,0.06,0.03,205.2,1.2,211,1,3,386,694,0,1,0,0,1.9,0,32.1,32.0,0.6,3.9,425.4,0,10.95,-20.4,-13.2,-8.7,-9.1,-12.2,-12.0,-12.6,-12.4,-12.8,13.9,13.8,5,20,-9.1,-7.4,37,31,25,0,0,0,3,4,4,0,4,13,14,25,18,20,20,20,15,45.2,45.05,45.15,25,200,2.3,0,0,0
0.1,216,85.98,85.98,85.98,11.0,11.6,10.9,0.03,-44.5,0.06,0.03,205.5,0.8,226,1,3,387,694,0,2,0,0,1.9,0,32.5,32.1,0.6,3.9,425.4,0,10.95,-20.3,-13.0,-8.7,-9.0,-12.2,-12.0,-12.5,-12.4,-12.8,14.2,14.0,5,19,-9.1,-7.4,37,31,25,0,0,0,3,4,4,0,3,13,14,25,17,19,19,19,16,45.2,45.05,45.16,23,200,2.1,0,0,0
0.09,216,85.98,85.98,85.98,10.8,11.6,10.9,0.0,-24.9,0.06,0.03,205.5,1.9,210,1,3,388,695,0,-1,0,0,1.9,0,32.3,32.0,0.6,3.9,425.4,0,10.95,-20.3,-13.0,-8.6,-9.0,-12.2,-12.0,-12.5,-12.2,-12.8,14.3,14.2,4,19,-9.1,-7.4,37,31,25,0,0,0,3,4,4,0,4,12,13,25,18,19,19,19,17,45.2,45.05,45.16,25,190,2.3,0,0,0
0.15,216,85.98,85.98,85.98,11.3,11.6,10.6,0.04,-60.4,0.06,0.03,205.2,1.2,240,1,3,388,695,0,2,0,0,1.9,0,32.3,32.1,0.6,3.9,425.4,0,10.95,-20.4,-13.0,-8.7,-9.1,-12.2,-12.0,-12.5,-12.4,-12.8,14.1,14.0,5,19,-9.1,-7.4,37,31,25,0,0,0,3,4,4,0,3,13,15,25,17,19,19,19,16,45.2,45.05,45.16,24,200,2.2,0,0,0
0.09,216,85.98,85.98,85.98,11.8,11.3,10.5,0.0,-19.3,0.06,0.03,205.2,0.6,213,1,3,389,695,0,2,0,0,1.9,0,32.5,31.9,0.6,3.9,425.4,0,10.95,-20.4,-13.2,-8.7,-9.1,-12.2,-12.2,-12.7,-12.4,-13.0,13.8,13.7,5,20,-9.1,-7.4,37,31,25,0,0,0,3,4,4,0,5,12,13,25,18,19,20,20,15,45.21,45.05,45.14,25,190,2.2,0,0,0
0.1,216,85.98,85.98,85.98,10.9,11.6,11.0,0.0,-36.8,0.06,0.03,205.2,1.3,225,1,3,388,695,0,1,0,0,1.9,0,32.4,32.1,0.6,3.9,425.4,0,10.95,-20.3,-13.0,-8.6,-9.0,-12.2,-12.0,-12.5,-12.4,-12.8,14.2,14.1,5,19,-9.1,-7.4,37,31,25,0,0,0,3,4,4,0,3,13,14,25,18,19,19,19,16,45.2,45.05,45.16,25,200,2.2,0,0,0
0.08,216,85.98,85.98,85.98,10.9,11.6,11.0,0.0,-26.2,0.06,0.03,205.5,1.8,211,1,3,386,695,0,1,0,0,1.9,0,32.6,32.1,0.6,3.9,425.4,0,10.95,-20.3,-13.0,-8.6,-9.0,-12.2,-12.0,-12.5,-12.3,-12.8,14.3,14.2,5,19,-9.1,-7.4,37,31,25,0,0,0,3,4,4,0,4,12,13,25,18,19,19,19,17,45.2,45.05,45.16,23,200,2.1,0,0,0
0.14,216,85.98,85.98,85.98,11.7,11.3,10.5,0.03,-22.2,0.06,0.03,205.2,1.0,216,1,3,385,693,0,-1,0,0,1.9,0,32.4,32.0,0.6,3.9,425.4,0,10.95,-20.4,-13.0,-8.7,-9.1,-12.2,-12.0,-12.5,-12.4,-12.8,14.0,13.8,5,20,-9.1,-7.4,37,31,25,0,0,0,3,4,4,0,3,13,14,25,18,19,20,20,16,45.2,45.05,45.15,25,190,2.1,0,0,0
0.14,216,85.98,85.98,85.98,11.7,11.3,10.5,0.03,-27.0,0.05,0.03,205.2,1.0,217,1,3,387,694,0,-1,0,0,1.9,0,32.5,32.0,0.6,3.9,425.4,0,10.95,-20.4,-13.0,-8.7,-9.1,-12.2,-12.0,-12.5,-12.4,-12.8,14.0,13.8,5,20,-9.1,-7.4,37,31,25,0,0,0,3,4,4,0,3,13,14,25,18,19,20,20,16,45.2,45.05,45.15,24,200,2.1,0,0,0
0.09,216,85.98,85.98,85.98,11.8,11.3,10.5,0.0,-32.8,0.06,0.03,205.2,1.2,214,1,3,386,695,0,2,0,0,1.9,0,32.3,31.9,0.6,3.9,425.4,0,10.95,-20.4,-13.2,-8.7,-9.1,-12.2,-12.2,-12.7,-12.4,-13.0,13.8,13.7,5,20,-9.1,-7.4,37,31,25,0,0,0,3,4,4,0,5,12,13,25,18,19,20,20,15,45.2,45.05,45.15,24,200,2.3,0,0,0
0.14,216,85.98,85.98,85.98,11.8,11.4,10.5,0.0,-14.3,0.06,0.03,205.2,1.0,209,1,3,386,694,0,2,0,0,1.9,0,32.3,32.0,0.6,3.9,425.4,0,10.95,-20.4,-13.2,-8.7,-9.1,-12.2,-12.2,-12.7,-12.4,-13.0,13.9,13.7,5,20,-9.1,-7.4,37,31,25,0,0,0,3,4,4,0,4,12,13,25,18,19,20,20,15,45.21,45.05,45.15,25,190,2.1,0,0,0
0.14,216,85.98,85.98,85.98,11.8,11.4,10.5,0.02,-28.3,0.06,0.03,205.2,1.1,216,1,3,386,694,0,1,0,0,1.9,0,32.3,31.9,0.6,3.9,425.4,0,10.95,-20.4,-13.0,-8.7,-9.1,-12.2,-12.0,-12.5,-12.4,-12.8,14.0,13.8,4,20,-9.1,-7.4,37,31,25,0,0,0,3,4,4,0,4,13,14,25,18,19,20,20,16,45.2,45.05,45.15,25,200,2.1,0,0,0
0.16,216,85.98,85.98,85.98,11.8,11.4,10.5,0.01,-28.6,0.06,0.03,205.2,1.6,211,1,3,386,695,0,0,0,0,1.9,0,32.3,32.0,0.6,3.9,425.4,0,10.95,-20.4,-13.2,-8.7,-9.1,-12.2,-12.1,-12.6,-12.4,-12.9,13.9,13.7,5,20,-9.1,-7.4,37,31,25,0,0,0,3,4,4,0,4,13,13,25,17,19,20,20,15,45.2,45.05,45.15,25,200,2.1,0,0,0
0.09,216,85.98,85.98,85.98,10.8,11.6,11.0,0.01,-39.4,0.05,0.03,205.2,1.6,216,1,3,387,695,0,1,0,0,1.9,0,32.6,32.1,0.6,3.9,425.4,0,10.95,-20.3,-13.0,-8.6,-9.0,-12.2,-12.0,-12.5,-12.2,-12.8,14.3,14.1,5,19,-9.1,-7.4,37,31,25,0,0,0,3,4,4,0,4,12,13,25,18,19,19,19,16,45.2,45.05,45.16,25,200,2.3,0,0,0
0.15,216,85.98,85.98,85.98,11.8,11.3,10.5,0.0,-17.0,0.06,0.03,205.2,1.3,210,1,3,389,695,0,0,0,0,1.9,0,32.3,32.0,0.6,3.9,425.4,0,10.95,-20.4,-13.2,-8.7,-9.1,-12.2,-12.0,-12.6,-12.4,-12.8,13.9,13.8,4,20,-9.1,-7.4,37,31,25,0,0,0,3,4,4,0,4,13,14,25,18,19,20,20,15,45.2,45.05,45.15,25,190,2.3,0,0,0
0.09,216,85.98,85.98,85.98,11.8,11.3,10.5,0.0,-1.5,0.06,0.03,205.2,0.6,198,1,3,386,694,0,1,0,0,1.9,0,32.2,31.8,0.6,3.9,425.4,0,10.95,-20.4,-13.2,-8.7,-9.1,-12.2,-12.2,-12.7,-12.4,-13.0,13.8,13.6,5,20,-9.1,-7.4,37,31,25,0,0,0,3,4,4,0,5,11,13,25,18,19,20,20,15,45.2,45.05,45.14,25,190,2.0,0,0,0
0.1,216,85.98,85.98,85.98,11.0,11.6,10.9,0.03,-44.8,0.06,0.03,205.2,1.4,227,1,3,387,694,0,2,0,0,1.9,0,32.5,32.1,0.6,3.9,425.4,0,10.95,-20.3,-13.0,-8.7,-9.0,-12.2,-12.0,-12.5,-12.4,-12.8,14.2,14.0,5,19,-9.1,-7.4,37,31,25,0,0,0,3,4,4,0,3,13,14,25,18,19,19,19,16,45.2,45.05,45.15,25,200,2.2,0,0,0
0.15,216,85.98,85.98,85.98,11.6,11.5,10.5,0.02,-33.7,0.06,0.03,205.2,1.0,221,1,3,387,694,0,-1,0,0,1.9,0,32.5,32.0,0.6,3.9,425.4,0,10.95,-20.4,-13.0,-8.7,-9.1,-12.2,-12.0,-12.5,-12.4,-12.8,14.0,13.9,5,20,-9.1,-7.4,37,31,25,0,0,0,3,4,4,0,3,13,15,25,18,19,20,20,16,45.21,45.05,45.15,25,200,2.0,0,0,0
0.1,216,85.98,85.98,85.98,11.1,11.6,10.8,0.03,-45.3,0.06,0.04,205.2,1.3,227,1,3,385,694,0,1,0,0,1.9,0,32.4,32.1,0.6,3.9,425.4,0,10.95,-20.4,-13.0,-8.7,-9.0,-12.2,-12.0,-12.5,-12.4,-12.8,14.2,14.0,5,19,-9.1,-7.4,37,31,25,0,0,0,3,4,4,0,3,13,15,25,17,19,19,19,16,45.2,45.05,45.16,24,200,2.1,0,0,0
0.08,216,85.98,85.98,85.98,11.8,11.3,10.5,0.0,-27.8,0.06,0.03,205.2,1.0,214,1,3,387,695,0,0,0,0,1.9,0,32.4,32.0,0.6,3.9,425.4,0,10.95,-20.4,-13.2,-8.7,-9.1,-12.2,-12.2,-12.7,-12.4,-13.0,13.8,13.7,4,20,-9.1,-7.4,37,31,25,0,0,0,3,4,4,0,5,12,13,25,18,19,20,20,15,45.2,45.05,45.15,25,200,2.3,0,0,0
0.14,216,85.98,85.98,85.98,11.8,11.3,10.5,0.01,-34.6,0.06,0.03,205.2,0.9,217,1,3,388,694,0,-1,0,0,1.9,0,32.4,32.0,0.6,3.9,425.4,0,10.95,-20.4,-13.1,-8.7,-9.1,-12.2,-12.0,-12.5,-12.4,-12.8,14.0,13.8,5,20,-9.1,-7.4,37,31,25,0,0,0,3,4,4,0,4,13,14,25,17,19,20,20,16,45.2,45.05,45.15,24,200,2.0,0,0,0
0.1,216,85.98,85.98,85.98,11.1,11.6,10.8,0.03,-44.9,0.06,0.04,205.2,1.3,227,1,3,387,695,0,1,0,0,1.9,0,32.5,32.1,0.6,3.9,425.4,0,10.95,-20.4,-13.0,-8.7,-9.0,-12.2,-12.0,-12.5,-12.4,-12.8,14.2,14.0,5,19,-9.1,-7.4,37,31,25,0,0,0,3,4,4,0,3,13,15,25,18,19,19,19,16,45.2,45.05,45.16,23,200,2.1,0,0,0
0.14,216,85.98,85.98,85.98,11.8,11.3,10.5,0.0,-27.1,0.06,0.04,205.1,1.7,211,1,3,387,694,0,1,0,0,1.9,0,32.4,31.9,0.6,3.9,425.4,0,10.95,-20.4,-13.2,-8.7,-9.1,-12.2,-12.2,-12.6,-12.4,-13.0,13.9,13.7,4,20,-9.1,-7.4,37,31,25,0,0,0,3,4,4,0,4,12,13,25,18,19,20,20,15,45.2,45.05,45.15,25,200,2.1,0,0,0
0.14,216,85.98,85.98,85.98,11.6,11.5,10.5,0.04,-41.1,0.06,0.03,205.2,0.8,219,1,3,384,694,0,1,0,0,1.9,0,32.4,32.0,0.6,3.9,425.4,0,10.95,-20.4,-13.0,-8.7,-9.1,-12.2,-12.0,-12.5,-12.4,-12.8,14.0,13.8,4,20,-9.1,-7.4,37,31,25,0,0,0,3,4,4,0,3,13,14,25,18,19,20,20,16,45.2,45.05,45.15,24,190,2.1,0,0,0
0.15,216,85.98,85.98,85.98,11.8,11.3,10.5,0.0,-14.8,0.06,0.03,205.3,0.9,209,1,3,387,694,0,0,0,0,1.9,0,32.2,31.9,0.6,3.9,425.4,0,10.95,-20.4,-13.2,-8.7,-9.1,-12.2,-12.2,-12.6,-12.4,-13.0,13.9,13.7,5,20,-9.1,-7.4,37,31,25,0,0,0,3,4,4,0,4,12,13,25,17,19,20,20,15,45.2,45.05,45.15,25,200,2.0,0,0,0
0.09,216,85.98,85.98,85.98,10.9,11.6,11.0,0.0,-33.2,0.06,0.03,205.2,1.5,213,1,3,385,696,0,3,0,0,1.9,0,32.4,32.0,0.6,3.9,425.4,0,10.95,-20.3,-13.0,-8.6,-9.0,-12.2,-12.0,-12.5,-12.3,-12.8,14.3,14.2,5,19,-9.1,-7.4,37,31,25,0,0,0,3,4,4,0,4,12,13,25,18,19,19,19,16,45.2,45.05,45.16,25,200,2.2,0,0,0
0.1,216,85.98,85.98,85.98,11.8,11.4,10.5,0.0,-6.3,0.06,0.03,205.2,0.8,203,1,3,387,694,0,0,0,0,1.9,0,32.1,31.8,0.6,3.9,425.4,0,10.95,-20.4,-13.2,-8.7,-9.1,-12.2,-12.2,-12.7,-12.4,-13.0,13.8,13.6,5,20,-9.1,-7.4,37,31,25,0,0,0,3,4,4,0,5,12,13,25,18,19,20,20,15,45.2,45.05,45.15,25,200,2.1,0,0,0
0.1,216,85.98,85.98,85.98,10.8,11.6,11.0,0.01,-40.4,0.05,0.03,205.2,1.3,225,1,3,386,695,0,2,0,0,1.9,0,32.5,32.2,0.6,4.0,425.4,0,10.95,-20.3,-13.0,-8.6,-9.0,-12.2,-12.0,-12.5,-12.4,-12.8,14.2,14.1,5,19,-9.1,-7.4,37,31,25,0,0,0,3,4,4,0,3,13,14,25,17,19,19,19,16,45.2,45.05,45.16,25,200,2.3,0,0,0
0.1,216,85.98,85.98,85.98,10.9,11.6,10.9,0.03,-31.3,0.06,0.03,205.2,1.4,221,1,3,387,694,0,0,0,0,1.9,0,32.5,32.2,0.6,3.9,425.4,0,10.95,-20.3,-13.0,-8.6,-9.0,-12.2,-12.0,-12.5,-12.4,-12.8,14.2,14.0,5,19,-9.1,-7.4,37,31,25,0,0,0,3,4,4,0,3,13,14,25,18,19,19,19,16,45.2,45.06,45.16,24,200,2.1,0,0,0
0.16,216,85.98,85.98,85.98,11.6,11.4,10.4,0.04,-24.9,0.06,0.03,205.2,1.2,220,1,3,384,694,0,0,0,0,1.9,0,32.2,32.0,0.6,3.9,425.4,0,10.95,-20.4,-13.0,-8.7,-9.1,-12.2,-12.0,-12.5,-12.4,-12.8,14.0,13.8,5,20,-9.1,-7.4,37,31,25,0,0,0,3,4,4,0,3,13,14,25,17,19,20,20,16,45.2,45.05,45.15,24,200,2.1,0,0,0
0.09,216,85.98,85.98,85.98,10.8,11.6,11.0,0.0,-21.5,0.06,0.03,205.5,1.8,210,1,3,387,695,0,0,0,0,1.9,0,32.5,32.1,0.6,3.9,425.4,0,10.95,-20.3,-13.0,-8.6,-9.0,-12.2,-12.0,-12.5,-12.2,-12.8,14.3,14.2,5,19,-9.1,-7.4,37,31,25,0,0,0,3,4,4,0,4,12,13,25,18,19,19,19,17,45.2,45.05,45.16,24,200,2.2,0,0,0
