轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
0.33,161,85.98,85.98,85.98,11.5,10.6,10.5,0.36,14.5,0.02,-0.03,0,8.7,251,1,1,3,670,0,0,0,0,1.9,0,23.1,23.3,0,3.5,527.1,-448,11.75,-8.7,-1.7,-6.4,-5.0,-5,-2.0,-3.1,-5.4,-5.1,-4.2,-3.8,7,17,-6,-3.8,24,24,25,0,0,0,2,4,4,0,9,7,1,20,18,15,17,17,22,0,0,0,0,0,0,0,0,0
0.19,94,85.98,85.98,85.98,10.8,10.8,11.0,0.35,11.5,0.81,0.54,0,7.8,245,1,1,3,674,0,0,0,0,1.9,0,20.4,20.7,0,3.5,527.1,-448,11.75,-8.7,-1.8,-6.4,-5.0,-5,-2.0,-3.1,-5.4,-5.1,-4.3,-3.8,5,17,-6,-3.8,21,22,25,0,0,0,2,4,4,0,10,7,1,20,19,15,17,17,22,0,0,0,0,0,0,0,0,0
0.28,1,85.98,85.98,85.98,10.6,10.5,10.7,0.38,8.0,0.04,0.03,0,7.8,252,1,1,2,671,0,0,0,0,1.9,0,22.7,22.9,0,3.5,527.1,-448,11.75,-8.7,-1.7,-6.4,-5.0,-5,-2.0,-3.1,-5.4,-5.1,-4.2,-3.8,6,16,-6,-3.8,24,24,25,0,0,0,2,4,4,0,8,7,1,20,19,15,16,16,22,0,0,0,0,0,0,0,0,0
0.21,45,85.98,85.98,85.98,10.7,10.5,11.0,0.36,-5.1,0.01,0.0,0,9.0,255,1,1,2,675,0,0,0,0,1.9,0,21.3,21.4,0,3.5,527.1,-448,11.75,-8.7,-1.8,-6.4,-5.0,-5,-2.0,-3.1,-5.4,-5.1,-4.3,-3.8,5,17,-6,-3.9,22,23,25,0,0,0,2,4,4,0,11,7,1,20,18,15,17,17,22,0,0,0,0,0,0,0,0,0
0.19,324,85.98,85.98,85.98,10.5,10.9,10.4,0.24,-0.9,0.1,0.03,0,7.5,258,1,1,2,674,0,0,0,0,1.9,0,19.6,20.0,0,3.6,527.1,-448,11.75,-8.7,-1.8,-6.4,-5.0,-5,-2.0,-3.1,-5.4,-5.1,-4.3,-3.8,5,17,-6,-3.8,21,22,25,0,0,0,2,4,4,0,10,7,1,20,19,15,17,17,22,0,0,0,0,0,0,0,0,0
0.3,120,85.98,85.98,85.98,11.3,10.7,10.9,0.24,7.1,0.1,0.06,0,6.7,249,1,1,2,673,0,0,0,0,1.9,0,20.5,20.7,0,3.5,527.1,-448,11.75,-8.7,-1.8,-6.4,-5.0,-5,-2.0,-3.1,-5.4,-5.1,-4.3,-3.8,7,17,-6,-3.8,22,22,25,0,0,0,2,4,4,0,10,7,1,20,19,15,17,17,22,0,0,0,0,0,0,0,0,0
0.25,277,85.98,85.98,85.98,10.4,11.4,10.4,0.31,1.9,0.03,0.0,0,7.5,253,1,1,3,673,0,0,0,0,1.9,0,19.4,19.9,0,3.5,527.1,-448,11.75,-8.7,-1.8,-6.4,-5.0,-5,-2.0,-3.1,-5.4,-5.1,-4.2,-3.8,7,17,-6,-3.8,21,21,25,0,0,0,2,4,4,0,9,7,1,19,18,15,17,17,22,0,0,0,0,0,0,0,0,0
0.17,323,85.98,85.98,85.98,10.5,11.0,10.4,0.26,1.0,0.04,0.0,0,5.1,257,1,1,3,674,0,0,0,0,1.9,0,19.8,20.0,0,3.6,527.1,-448,11.75,-8.7,-1.8,-6.4,-5.0,-5,-2.0,-3.1,-5.4,-5.1,-4.3,-3.8,6,17,-6,-3.8,21,22,25,0,0,0,2,4,4,0,10,7,1,20,19,15,17,17,22,0,0,0,0,0,0,0,0,0
0.23,67,85.98,85.98,85.98,10.4,10.7,10.9,0.34,-3.5,0.03,-0.01,0,5.1,251,1,1,3,670,0,0,0,0,1.9,0,22.7,22.9,0,3.5,527.1,-448,11.75,-8.7,-1.7,-6.4,-5.0,-5,-2.0,-3.1,-5.4,-5.1,-4.2,-3.8,6,17,-6,-3.8,24,24,25,0,0,0,2,4,4,0,8,7,1,19,19,15,17,17,22,0,0,0,0,0,0,0,0,0
0.33,111,85.98,85.98,85.98,11.1,10.6,11.2,0.27,-4.8,0.03,-0.02,0,3.1,262,1,1,3,673,0,0,0,0,1.9,0,21.5,21.7,0,3.6,527.1,-448,11.75,-8.7,-1.8,-6.4,-5.1,-5,-2.0,-3.2,-5.4,-5.1,-4.3,-3.8,6,17,-6,-3.9,22,23,25,0,0,0,2,4,4,0,11,7,1,20,19,15,17,17,22,0,0,0,0,0,0,0,0,0
