轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
0,0,90.91,90.45,90.86,0,0,0,0.11,65.6,0.01,0.01,0,11.0,215,1,1,0,0,0,0,0,0,0,0,-0.3,-3.3,0,1.4,527.1,-448,11.75,2.5,2.3,3.1,-0.2,0.5,2.8,2.3,2.5,3.0,-6.2,-6.3,6,11,1.2,1.2,0,0,0,0,0,0,1,1,2,0,7,3,0,15,14,13,11,11,13,0,0,0,0,0,0,0,0,0
0,0,90.91,90.45,90.86,0,0,0,0.16,64.5,0.0,-0.01,0,13.0,215,1,1,0,0,0,0,0,0,0,0,-0.6,-3.3,0,1.4,527.1,-448,11.75,2.5,2.2,3.0,-0.3,0.5,2.8,2.3,2.4,3.0,-6.3,-6.3,6,11,1.2,1.2,0,0,0,0,0,0,1,1,2,0,7,3,0,15,14,13,11,11,13,0,0,0,0,0,0,0,0,0
0,0,90.91,90.45,90.86,0,0,0,0.17,66.4,0.01,0.0,0,11.6,215,1,1,0,0,0,0,0,0,0,0,-0.4,-3.2,0,1.3,527.1,-448,11.75,2.5,2.2,3.0,-0.3,0.5,2.8,2.3,2.4,3.0,-6.3,-6.3,6,11,1.2,1.2,0,0,0,0,0,0,1,1,2,0,7,3,0,15,14,13,11,11,13,0,0,0,0,0,0,0,0,0
0,0,90.91,90.45,90.86,0,0,0,0.12,65.7,0.15,0.04,0,13.0,214,1,1,0,0,0,0,0,0,0,0,-0.5,-3.2,0,1.4,527.1,-448,11.75,2.5,2.3,3.2,-0.2,0.5,2.8,2.3,2.5,3.0,-6.2,-6.3,5,11,1.2,1.3,0,0,0,0,0,0,1,1,2,0,7,3,0,15,14,13,11,11,13,0,0,0,0,0,0,0,0,0
0,0,90.91,90.45,90.86,0,0,0,0.12,65.3,0.03,-0.01,0,11.5,214,1,1,0,0,0,0,0,0,0,0,-0.3,-3.3,0,1.4,527.1,-448,11.75,2.5,2.3,3.2,-0.2,0.5,2.8,2.3,2.5,3.1,-6.2,-6.3,6,10,1.2,1.4,0,0,0,0,0,0,1,1,2,0,7,3,0,15,14,13,10,10,13,0,0,0,0,0,0,0,0,0
0,0,90.91,90.45,90.86,0,0,0,0.12,64.7,0.01,0.0,0,12.1,215,1,1,0,0,0,0,0,0,0,0,-0.2,-3.1,0,1.4,527.1,-448,11.75,2.7,2.5,3.3,0.0,0.7,3.1,2.5,2.7,3.3,-6.2,-6.2,5,10,1.4,1.4,0,0,0,0,0,0,1,1,2,0,8,3,0,15,14,13,10,10,13,0,0,0,0,0,0,0,0,0
0,0,90.91,90.45,90.86,0,0,0,0.1,64.5,0.0,0.0,0,13.0,216,1,1,0,0,0,0,0,0,0,0,-0.3,-3.2,0,1.4,527.1,-448,11.75,2.7,2.3,3.2,0.0,0.7,3.0,2.5,2.5,3.2,-6.2,-6.3,5,11,1.4,1.4,0,0,0,0,0,0,1,1,2,0,7,3,0,15,14,13,11,11,13,0,0,0,0,0,0,0,0,0
0,0,90.91,90.45,90.86,0,0,0,0.11,64.8,0.82,0.57,0,10.9,214,1,1,0,0,0,0,0,0,0,0,-0.1,-3.1,0,1.4,527.1,-448,11.75,2.7,2.5,3.3,0.0,0.8,3.2,2.5,2.7,3.3,-6.2,-6.2,5,9,1.4,1.5,0,0,0,0,0,0,1,1,2,0,8,3,0,15,14,13,9,9,13,0,0,0,0,0,0,0,0,0
0,0,90.91,90.45,90.86,0,0,0,0.17,63.1,0.09,0.05,0,11.8,215,1,1,0,0,0,0,0,0,0,0,-0.4,-3.3,0,1.4,527.1,-448,11.75,2.5,2.2,3.0,-0.3,0.4,2.8,2.3,2.4,3.0,-6.3,-6.3,6,11,1.1,1.2,0,0,0,0,0,0,1,1,2,0,7,3,0,15,14,13,11,11,13,0,0,0,0,0,0,0,0,0
0,0,90.91,90.45,90.86,0,0,0,0.17,66.9,0.1,0.04,0,11.9,214,1,1,0,0,0,0,0,0,0,0,-0.4,-3.3,0,1.4,527.1,-448,11.75,2.5,2.2,3.0,-0.3,0.5,2.8,2.3,2.4,3.0,-6.3,-6.3,6,11,1.2,1.2,0,0,0,0,0,0,1,1,2,0,7,3,0,15,14,13,11,11,13,0,0,0,0,0,0,0,0,0
