轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
0.0,331.0,91.14,90.67,94.3,0.0,0.0,0.0,0.1,-32.6,0.03,0.0,0.0,4.6,342.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.1,-4.3,0.0,1.3,527.1,-448.0,11.75,-8.5,-4.7,-1.5,-7.9,-7.2,-4.7,-5.9,-1.9,-1.5,-8.5,-8.4,2.0,18.0,-3.1,-1.6,21.0,22.0,25.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,14.0,2.0,-3.0,14.0,13.0,11.0,18.0,18.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.01,338.0,91.14,90.67,94.3,0.0,0.0,0.0,0.06,-39.7,0.03,-0.01,0.0,4.8,348.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.1,-4.1,0.0,1.3,527.1,-448.0,11.75,-8.5,-4.7,-1.5,-7.9,-7.2,-4.8,-5.9,-1.9,-1.6,-8.5,-8.4,5.0,17.0,-3.3,-1.6,21.0,22.0,25.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,14.0,2.0,-3.0,14.0,13.0,11.0,17.0,17.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.01,332.0,91.14,90.67,94.3,0.0,0.0,0.0,0.1,-38.0,0.79,0.54,0.0,3.3,345.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.2,-4.1,0.0,1.3,527.1,-448.0,11.75,-8.5,-4.7,-1.5,-7.9,-7.2,-4.8,-5.9,-1.9,-1.7,-8.5,-8.4,2.0,19.0,-3.1,-1.6,21.0,22.0,25.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,14.0,2.0,-3.0,14.0,13.0,11.0,19.0,19.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,331.0,91.14,90.67,94.3,0.0,0.0,0.0,0.06,-36.3,0.03,-0.01,0.0,5.6,344.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.1,-4.4,0.0,1.3,527.1,-448.0,11.75,-8.5,-4.7,-1.5,-7.9,-7.2,-4.7,-5.9,-1.9,-1.6,-8.5,-8.4,1.0,18.0,-3.0,-1.6,21.0,22.0,25.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,14.0,2.0,-3.0,14.0,13.0,11.0,18.0,18.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,332.0,91.14,90.67,94.3,0.0,0.0,0.0,0.12,-49.2,0.01,-0.01,0.0,5.4,348.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.1,-4.2,0.0,1.3,527.1,-448.0,11.75,-8.5,-4.7,-1.5,-7.9,-7.2,-4.8,-5.9,-1.9,-1.7,-8.5,-8.4,2.0,18.0,-3.1,-1.6,21.0,22.0,25.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,14.0,2.0,-3.0,14.0,13.0,11.0,18.0,18.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04,336.0,91.14,90.67,94.3,0.0,0.0,0.0,0.06,-49.5,0.79,0.55,0.0,1.2,348.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-4.2,0.0,1.3,527.1,-448.0,11.75,-8.5,-4.7,-1.5,-7.9,-7.2,-4.8,-5.9,-1.9,-1.5,-8.5,-8.4,4.0,17.0,-3.2,-1.6,21.0,22.0,25.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,14.0,2.0,-3.0,14.0,13.0,11.0,17.0,17.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,331.0,91.14,90.67,94.3,0.0,0.0,0.0,0.06,-36.2,0.09,0.03,0.0,5.2,342.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.1,-4.2,0.0,1.3,527.1,-448.0,11.75,-8.5,-4.7,-1.5,-7.9,-7.2,-4.7,-5.9,-1.9,-1.6,-8.5,-8.4,1.0,18.0,-3.1,-1.6,21.0,22.0,25.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,14.0,2.0,-3.0,14.0,13.0,11.0,18.0,18.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,336.0,91.14,90.67,94.3,0.0,0.0,0.0,0.06,-26.6,0.01,0.01,0.0,3.8,342.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.1,-4.3,0.0,1.3,527.1,-448.0,11.75,-8.5,-4.7,-1.5,-7.9,-7.2,-4.7,-5.9,-1.9,-1.5,-8.5,-8.4,1.0,18.0,-3.0,-1.6,21.0,22.0,25.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,14.0,2.0,-3.0,14.0,13.0,11.0,18.0,18.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,331.0,91.14,90.67,94.3,0.0,0.0,0.0,0.06,-37.8,0.02,0.01,0.0,5.9,345.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.2,-4.3,0.0,1.3,527.1,-448.0,11.75,-8.5,-4.7,-1.5,-7.9,-7.2,-4.7,-5.9,-1.9,-1.6,-8.5,-8.4,1.0,19.0,-3.0,-1.6,21.0,22.0,25.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,14.0,2.0,-3.0,14.0,13.0,11.0,19.0,19.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,331.0,91.14,90.67,94.3,0.0,0.0,0.0,0.06,-28.0,0.01,-0.01,0.0,5.7,342.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.1,-4.3,0.0,1.3,527.1,-448.0,11.75,-8.5,-4.7,-1.5,-7.9,-7.2,-4.7,-5.9,-1.9,-1.6,-8.5,-8.4,1.0,18.0,-3.1,-1.6,21.0,22.0,25.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,14.0,2.0,-3.0,14.0,13.0,11.0,18.0,18.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.01,332.0,91.14,90.67,94.3,0.0,0.0,0.0,0.1,-37.7,0.01,-0.01,0.0,3.1,345.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.1,-4.2,0.0,1.3,527.1,-448.0,11.75,-8.5,-4.7,-1.5,-7.9,-7.2,-4.8,-5.9,-1.9,-1.7,-8.5,-8.4,2.0,18.0,-3.1,-1.6,21.0,22.0,25.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,14.0,2.0,-3.0,14.0,13.0,11.0,18.0,18.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,331.0,91.14,90.67,94.3,0.0,0.0,0.0,0.12,-36.1,0.02,0.0,0.0,4.4,344.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.1,-4.3,0.0,1.3,527.1,-448.0,11.75,-8.5,-4.7,-1.5,-7.9,-7.2,-4.7,-5.9,-1.9,-1.6,-8.5,-8.4,2.0,18.0,-3.1,-1.6,21.0,22.0,25.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,14.0,2.0,-3.0,14.0,13.0,11.0,18.0,18.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,331.0,91.14,90.67,94.3,0.0,0.0,0.0,0.06,-35.4,0.02,0.0,0.0,5.6,343.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.1,-4.2,0.0,1.3,527.1,-448.0,11.75,-8.5,-4.7,-1.5,-7.9,-7.2,-4.7,-5.9,-1.9,-1.7,-8.5,-8.4,1.0,18.0,-3.1,-1.6,21.0,22.0,25.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,14.0,2.0,-3.0,14.0,13.0,11.0,18.0,18.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,336.0,91.14,90.67,94.3,0.0,0.0,0.0,0.06,-14.1,0.02,0.02,0.0,3.4,342.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.2,-4.3,0.0,1.3,527.1,-448.0,11.75,-8.5,-4.7,-1.5,-7.9,-7.2,-4.7,-5.9,-1.9,-1.5,-8.5,-8.4,1.0,18.0,-3.0,-1.6,21.0,22.0,25.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,14.0,2.0,-3.0,14.0,13.0,11.0,18.0,18.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.03,331.0,91.14,90.67,94.3,0.0,0.0,0.0,0.06,-36.0,0.03,-0.02,0.0,5.6,344.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.2,-4.2,0.0,1.3,527.1,-448.0,11.75,-8.5,-4.7,-1.5,-7.9,-7.2,-4.7,-5.9,-1.9,-1.6,-8.5,-8.4,1.0,18.0,-3.0,-1.6,21.0,22.0,25.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,14.0,2.0,-3.0,14.0,13.0,11.0,18.0,18.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,335.0,91.14,90.67,94.3,0.0,0.0,0.0,0.06,-32.8,0.01,-0.01,0.0,3.8,348.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.1,-4.1,0.0,1.3,527.1,-448.0,11.75,-8.5,-4.7,-1.5,-7.9,-7.2,-4.8,-5.9,-1.9,-1.7,-8.5,-8.4,3.0,18.0,-3.1,-1.6,21.0,22.0,25.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,14.0,2.0,-3.0,14.0,13.0,11.0,18.0,18.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
