轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
0,0,90.91,90.45,90.86,0,0,0,0.23,11.5,0.01,0.0,0,8.8,266,1,1,0,0,0,0,0,0,0,0,8.4,5.1,0,1.4,527.1,-448,11.75,7,10.3,8.6,7,8,10.6,9.7,8.0,9.0,-1.4,-1.5,10,13,5.2,6.8,0,0,0,0,0,0,1,1,2,0,8,7,6,18,17,15,13,13,18,0,0,0,0,0,0,0,0,0
0,0,90.91,90.45,90.86,0,0,0,0.36,19.4,0.01,-0.03,0,13.0,263,1,1,0,0,0,0,0,0,0,0,8.5,5.3,0,1.4,527.1,-448,11.75,7,10.3,8.5,7,8,10.6,9.8,8.0,9.0,-1.3,-1.3,10,13,5.2,6.8,0,0,0,0,0,0,1,1,2,0,8,8,6,18,17,15,13,13,18,0,0,0,0,0,0,0,0,0
0,0,90.91,90.45,90.86,0,0,0,0.23,11.6,0.01,0.02,0,11.2,259,1,1,0,0,0,0,0,0,0,0,8.6,5.3,0,1.4,527.1,-448,11.75,7,10.3,8.6,7,8,10.6,9.7,8.0,9.0,-1.4,-1.5,11,13,5.2,6.8,0,0,0,0,0,0,1,1,2,0,8,7,6,18,17,15,13,13,18,0,0,0,0,0,0,0,0,0
0,0,90.91,90.45,90.86,0,0,0,0.16,6.2,0.03,0.03,0,12.3,266,1,1,0,0,0,0,0,0,0,0,8.1,5.2,0,1.4,527.1,-448,11.75,7,10.3,8.5,7,8,10.6,9.7,8.0,9.0,-1.4,-1.4,11,13,5.2,6.8,0,0,0,0,0,0,1,1,2,0,8,7,6,18,17,15,13,13,19,0,0,0,0,0,0,0,0,0
0,0,90.91,90.45,90.86,0,0,0,0.28,7.3,0.01,-0.05,0,12.8,266,1,1,0,0,0,0,0,0,0,0,8.0,5.1,0,1.4,527.1,-448,11.75,7,10.3,8.5,7,8,10.6,9.7,7.9,9.0,-1.4,-1.4,11,12,5.2,6.8,0,0,0,0,0,0,1,1,2,0,8,8,6,18,17,15,12,12,18,0,0,0,0,0,0,0,0,0
0,0,90.91,90.45,90.86,0,0,0,0.17,17.1,0.0,-0.02,0,7.4,260,1,1,0,0,0,0,0,0,0,0,8.1,5.2,0,1.4,527.1,-448,11.75,7,10.3,8.5,7,8,10.6,9.8,8.0,9.0,-1.4,-1.4,12,13,5.2,6.8,0,0,0,0,0,0,1,1,2,0,8,8,6,18,17,15,13,13,18,0,0,0,0,0,0,0,0,0
0,0,90.91,90.45,90.86,0,0,0,0.38,11.0,0.08,0.07,0,10.1,262,1,1,0,0,0,0,0,0,0,0,8.2,5.0,0,1.4,527.1,-448,11.75,7,10.3,8.5,7,8,10.6,9.8,7.9,9.0,-1.4,-1.4,11,13,5.2,6.8,0,0,0,0,0,0,1,1,2,0,8,8,6,18,17,15,13,13,19,0,0,0,0,0,0,0,0,0
0,0,90.91,90.45,90.86,0,0,0,0.28,23.2,0.03,0.01,0,9.4,261,1,1,0,0,0,0,0,0,0,0,8.1,5.1,0,1.4,527.1,-448,11.75,7,10.3,8.5,7,8,10.6,9.8,7.9,9.0,-1.4,-1.4,10,13,5.2,6.8,0,0,0,0,0,0,1,1,2,0,8,8,6,18,17,15,13,13,18,0,0,0,0,0,0,0,0,0
0,0,90.91,90.45,90.86,0,0,0,0.32,20.6,0.0,0.01,0,10.7,257,1,1,0,0,0,0,0,0,0,0,8.0,5.2,0,1.4,527.1,-448,11.75,7,10.3,8.5,7,8,10.6,9.8,7.9,9.0,-1.4,-1.4,12,13,5.2,6.8,0,0,0,0,0,0,1,1,2,0,8,8,6,18,17,15,13,13,18,0,0,0,0,0,0,0,0,0
0,0,90.91,90.45,90.86,0,0,0,0.17,31.8,0.02,0.05,0,10.9,250,1,1,0,0,0,0,0,0,0,0,8.4,5.6,0,1.4,527.1,-448,11.75,7,10.3,8.5,7,8,10.6,9.8,8.0,9.1,-1.3,-1.4,10,13,5.2,6.8,0,0,0,0,0,0,1,1,2,0,8,8,6,18,17,15,13,13,18,0,0,0,0,0,0,0,0,0
0,0,90.91,90.45,90.86,0,0,0,0.26,25.9,0.04,0.0,0,9.8,260,1,1,0,0,0,0,0,0,0,0,8.1,5.3,0,1.4,527.1,-448,11.75,7,10.3,8.5,7,8,10.6,9.8,7.9,9.0,-1.4,-1.4,11,13,5.2,6.8,0,0,0,0,0,0,1,1,2,0,8,8,6,18,17,15,13,13,18,0,0,0,0,0,0,0,0,0
0,0,90.91,90.45,90.86,0,0,0,0.17,19.6,0.02,0.01,0,6.1,259,1,1,0,0,0,0,0,0,0,0,8.7,5.7,0,1.4,527.1,-448,11.75,7,10.3,8.5,7,8,10.6,9.8,8.0,9.0,-1.4,-1.4,12,13,5.2,6.8,0,0,0,0,0,0,1,1,2,0,8,8,6,18,17,15,13,13,18,0,0,0,0,0,0,0,0,0
0,0,90.91,90.45,90.86,0,0,0,0.31,23.9,0.8,0.56,0,8.7,256,1,1,0,0,0,0,0,0,0,0,8.5,5.2,0,1.4,527.1,-448,11.75,7,10.3,8.5,7,8,10.6,9.8,7.9,9.0,-1.4,-1.4,12,13,5.2,6.8,0,0,0,0,0,0,1,1,2,0,8,8,6,18,17,15,13,13,18,0,0,0,0,0,0,0,0,0
