轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
0,0,90.91,90.45,90.86,0,0,0,0.17,80.0,0.04,0.02,0,11.0,202,1,1,0,0,0,0,0,0,0,0,7.3,5.6,0,1.4,527.1,-448,11.75,-1.3,7.0,3.5,3.7,4.2,7.1,5.8,4.3,4.3,-2.2,-2,9,11,1.5,4.4,0,0,0,0,0,0,1,1,2,0,7,7,6,18,17,15,11,11,18,0,0,0,0,0,0,0,0,0
0,0,90.91,90.45,90.86,0,0,0,0.37,73.0,0.03,-0.01,0,14.1,208,1,1,0,0,0,0,0,0,0,0,7.2,5.3,0,1.4,527.1,-448,11.75,-1.2,7.1,3.8,3.8,4.3,7.1,5.8,4.4,4.5,-2.3,-2,9,11,1.7,4.4,0,0,0,0,0,0,1,1,2,0,7,7,6,18,17,15,11,11,16,0,0,0,0,0,0,0,0,0
0,0,90.91,90.45,90.86,0,0,0,0.37,73.9,0.07,0.0,0,14.3,208,1,1,0,0,0,0,0,0,0,0,7.2,5.6,0,1.4,527.1,-448,11.75,-1.2,7.1,3.8,3.8,4.3,7.1,5.8,4.4,4.5,-2.3,-2,8,11,1.7,4.4,0,0,0,0,0,0,1,1,2,0,7,7,6,18,17,15,11,11,16,0,0,0,0,0,0,0,0,0
0,0,90.91,90.45,90.86,0,0,0,0.67,74.1,0.0,0.0,0,13.8,208,1,1,0,0,0,0,0,0,0,0,7.3,5.5,0,1.4,527.1,-448,11.75,-1.5,7.0,3.4,3.7,4.1,7.0,5.8,4.2,4.2,-2.2,-2,8,11,1.4,4.3,0,0,0,0,0,0,1,1,2,0,7,6,6,18,17,15,11,11,16,0,0,0,0,0,0,0,0,0
0,0,90.91,90.45,90.86,0,0,0,0.52,74.9,0.0,0.0,0,12.2,206,1,1,0,0,0,0,0,0,0,0,7.3,5.6,0,1.4,527.1,-448,11.75,-1.3,7.0,3.7,3.8,4.2,7.1,5.8,4.3,4.5,-2.2,-2,8,11,1.5,4.4,0,0,0,0,0,0,1,1,2,0,7,7,6,18,17,15,11,11,17,0,0,0,0,0,0,0,0,0
0,0,90.91,90.45,90.86,0,0,0,0.27,73.3,0.03,0.05,0,12.8,205,1,1,0,0,0,0,0,0,0,0,7.1,5.6,0,1.4,527.1,-448,11.75,-1.3,7.0,3.5,3.7,4.2,7.0,5.8,4.3,4.3,-2.2,-2,10,12,1.5,4.4,0,0,0,0,0,0,1,1,2,0,7,7,6,18,17,15,12,12,17,0,0,0,0,0,0,0,0,0
0,0,90.91,90.45,90.86,0,0,0,0.17,79.4,0.18,0.07,0,10.6,202,1,1,0,0,0,0,0,0,0,0,7.3,5.3,0,1.4,527.1,-448,11.75,-1.5,7.0,3.4,3.7,4.1,7.0,5.8,4.2,4.3,-2.2,-2,8,12,1.4,4.3,0,0,0,0,0,0,1,1,2,0,7,7,6,18,17,15,12,12,16,0,0,0,0,0,0,0,0,0
0,0,90.91,90.45,90.86,0,0,0,0.17,77.0,0.1,0.08,0,13.0,205,1,1,0,0,0,0,0,0,0,0,7.3,5.4,0,1.4,527.1,-448,11.75,-1.5,7.0,3.5,3.7,4.1,7.0,5.8,4.2,4.3,-2.2,-2,8,11,1.5,4.3,0,0,0,0,0,0,1,1,2,0,7,7,6,18,17,15,11,11,18,0,0,0,0,0,0,0,0,0
0,0,90.91,90.45,90.86,0,0,0,0.32,75.1,0.75,-0.02,0,13.7,205,1,1,0,0,0,0,0,0,0,0,7.2,5.5,0,1.4,527.1,-448,11.75,-1.3,7.0,3.5,3.7,4.1,7.0,5.8,4.3,4.3,-2.2,-2,9,11,1.5,4.4,0,0,0,0,0,0,1,1,2,0,7,7,6,18,17,15,11,11,17,0,0,0,0,0,0,0,0,0
0,0,90.91,90.45,90.86,0,0,0,0.28,76.7,0.05,-0.01,0,12.7,206,1,1,0,0,0,0,0,0,0,0,7.1,5.3,0,1.4,527.1,-448,11.75,-1.5,7.0,3.4,3.5,4.1,7.0,5.8,4.2,4.2,-2.2,-2,8,11,1.4,4.3,0,0,0,0,0,0,1,1,2,0,7,7,6,18,17,15,11,11,17,0,0,0,0,0,0,0,0,0
0,0,90.91,90.45,90.86,0,0,0,0.12,71.6,0.15,0.03,0,13.4,209,1,1,0,0,0,0,0,0,0,0,7.2,5.5,0,1.4,527.1,-448,11.75,-1.2,7.1,3.8,3.8,4.3,7.1,5.9,4.4,4.5,-2.2,-2,8,11,1.7,4.4,0,0,0,0,0,0,1,1,2,0,7,6,6,18,17,15,11,11,17,0,0,0,0,0,0,0,0,0
0,0,90.91,90.45,90.86,0,0,0,0.12,77.6,0.1,0.02,0,13.2,203,1,1,0,0,0,0,0,0,0,0,7.2,5.3,0,1.4,527.1,-448,11.75,-1.5,7.0,3.5,3.7,4.1,7.0,5.8,4.2,4.3,-2.2,-2,8,12,1.5,4.3,0,0,0,0,0,0,1,1,2,0,7,6,6,18,17,15,12,12,17,0,0,0,0,0,0,0,0,0
