轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
0,0,-322.22,90.61,91.08,0,0,0,0.06,171.9,0.01,-0.02,0,4.8,64,1,1,0,0,0,0,0,0,0,0,9.4,8.2,0,1.1,527.1,-448,11.75,1.7,9.9,7.4,6.5,7.0,9.8,8.5,7.7,7.8,1.3,1.4,16,15,5.4,8.3,0,0,0,0,0,0,1,1,2,0,10,10,10,19,18,17,15,15,22,0,0,0,0,0,0,0,0,0
0,0,-322.22,90.61,91.08,0,0,0,0.07,169.1,0.01,-0.01,0,5.2,66,1,1,0,0,0,0,0,0,0,0,9.7,8.0,0,1.1,527.1,-448,11.75,1.7,9.9,7.4,6.5,7.0,9.8,8.5,7.7,8.0,1.3,1.3,15,15,5.4,8.3,0,0,0,0,0,0,1,1,2,0,10,10,10,19,18,17,15,15,22,0,0,0,0,0,0,0,0,0
0,0,-322.22,90.61,91.08,0,0,0,0.07,171.2,0.01,-0.01,0,5.1,64,1,1,0,0,0,0,0,0,0,0,9.5,8.3,0,1.1,527.1,-448,11.75,1.7,9.9,7.4,6.5,7.0,9.8,8.5,7.7,8.0,1.3,1.4,15,16,5.4,8.3,0,0,0,0,0,0,1,1,2,0,10,10,10,19,18,17,16,16,21,0,0,0,0,0,0,0,0,0
0,0,-322.22,90.61,91.08,0,0,0,0.07,167.6,0.0,-0.02,0,5.0,67,1,1,0,0,0,0,0,0,0,0,9.3,8.0,0,1.1,527.1,-448,11.75,1.9,9.9,7.5,6.6,7.0,9.8,8.6,7.8,8.1,1.3,1.3,14,15,5.5,8.4,0,0,0,0,0,0,1,1,2,0,10,10,10,19,18,16,15,15,21,0,0,0,0,0,0,0,0,0
0,0,-322.22,90.61,91.08,0,0,0,0.06,171.5,0.0,-0.02,0,5.3,64,1,1,0,0,0,0,0,0,0,0,9.4,8.0,0,1.1,527.1,-448,11.75,1.7,9.9,7.4,6.5,7.0,9.8,8.5,7.6,7.8,1.3,1.4,16,16,5.4,8.3,0,0,0,0,0,0,1,1,2,0,10,10,10,19,18,17,16,16,23,0,0,0,0,0,0,0,0,0
0,0,-322.22,90.61,91.08,0,0,0,0.07,169.9,0.01,-0.02,0,5.1,66,1,1,0,0,0,0,0,0,0,0,9.8,8.1,0,1.1,527.1,-448,11.75,1.7,9.9,7.4,6.5,7.0,9.8,8.5,7.7,8.0,1.3,1.4,15,15,5.4,8.3,0,0,0,0,0,0,1,1,2,0,10,10,10,19,18,17,15,15,22,0,0,0,0,0,0,0,0,0
0,0,-322.22,90.61,91.08,0,0,0,0.07,168.2,0.02,0.0,0,5.2,67,1,1,0,0,0,0,0,0,0,0,9.8,8.1,0,1.1,527.1,-448,11.75,1.7,9.9,7.5,6.6,7.0,9.8,8.6,7.7,8.0,1.3,1.3,15,15,5.5,8.4,0,0,0,0,0,0,1,1,2,0,10,10,10,19,18,16,15,15,21,0,0,0,0,0,0,0,0,0
0,0,-322.22,90.61,91.08,0,0,0,0.06,169.5,0.01,-0.01,0,5.2,67,1,1,0,0,0,0,0,0,0,0,9.5,7.9,0,1.1,527.1,-448,11.75,1.8,9.9,7.5,6.6,7.0,9.8,8.6,7.8,8.1,1.3,1.3,14,15,5.5,8.4,0,0,0,0,0,0,1,1,2,0,10,10,10,19,18,17,15,15,22,0,0,0,0,0,0,0,0,0
0,0,-322.22,90.61,91.08,0,0,0,0.06,168.1,0.78,0.54,0,4.9,67,1,1,0,0,0,0,0,0,0,0,9.3,7.9,0,1.1,527.1,-448,11.75,1.9,9.9,7.5,6.6,7.0,9.8,8.6,7.8,8.1,1.3,1.3,14,15,5.5,8.4,0,0,0,0,0,0,1,1,2,0,10,10,10,19,18,17,15,15,21,0,0,0,0,0,0,0,0,0
0,0,-322.22,90.61,91.08,0,0,0,0.07,170.6,0.01,-0.01,0,5.2,64,1,1,0,0,0,0,0,0,0,0,9.8,8.3,0,1.1,527.1,-448,11.75,1.7,9.9,7.3,6.5,6.8,9.6,8.5,7.6,7.8,1.3,1.4,16,15,5.4,8.3,0,0,0,0,0,0,1,1,2,0,10,10,10,19,18,17,15,15,22,0,0,0,0,0,0,0,0,0
