轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
0,0,90.91,90.45,90.86,0,0,0,0.07,-37.4,0.0,-0.02,0,5.7,320,1,1,0,0,0,0,0,0,0,0,9.1,7.7,0,1.4,527.1,-448,11.75,5.2,10.3,9.0,6.7,8.1,10.5,9.4,8.8,9.3,2.3,2.5,13,17,6.7,9.0,0,0,0,0,0,0,1,1,2,0,10,9,10,19,18,17,17,17,18,0,0,0,0,0,0,0,0,0
0,0,90.91,90.45,90.86,0,0,0,0.06,-35.5,0.01,-0.01,0,4.2,324,1,1,0,0,0,0,0,0,0,0,9.2,7.6,0,1.4,527.1,-448,11.75,5.4,10.4,9.0,6.7,8.1,10.5,9.4,8.9,9.4,2.3,2.4,13,16,6.8,9.2,0,0,0,0,0,0,1,1,2,0,10,9,9,19,18,16,16,16,18,0,0,0,0,0,0,0,0,0
0,0,90.91,90.45,90.86,0,0,0,0.06,-39.0,0.02,-0.01,0,4.6,323,1,1,0,0,0,0,0,0,0,0,9.4,8.3,0,1.4,527.1,-448,11.75,5.2,10.4,9.0,6.7,8.1,10.5,9.4,8.8,9.3,2.3,2.4,13,17,6.7,9.2,0,0,0,0,0,0,1,1,2,0,10,9,10,19,18,17,17,17,19,0,0,0,0,0,0,0,0,0
0,0,90.91,90.45,90.86,0,0,0,0.06,-45.1,0.01,-0.01,0,4.1,324,1,1,0,0,0,0,0,0,0,0,9.3,8.3,0,1.4,527.1,-448,11.75,5.4,10.4,9.0,6.7,8.1,10.5,9.5,8.9,9.3,2.3,2.4,13,16,6.8,9.2,0,0,0,0,0,0,1,1,2,0,10,9,9,19,18,17,16,16,19,0,0,0,0,0,0,0,0,0
0,0,90.91,90.45,90.86,0,0,0,0.06,-40.9,0.02,0.0,0,5.1,320,1,1,0,0,0,0,0,0,0,0,9.3,7.6,0,1.4,527.1,-448,11.75,5.0,10.3,9.0,6.7,8.1,10.5,9.3,8.8,9.3,2.3,2.5,13,16,6.7,9.0,0,0,0,0,0,0,1,1,2,0,10,9,9,19,18,17,16,16,19,0,0,0,0,0,0,0,0,0
0,0,90.91,90.45,90.86,0,0,0,0.07,-47.4,0.01,-0.02,0,4.3,328,1,1,0,0,0,0,0,0,0,0,9.5,7.8,0,1.4,527.1,-448,11.75,5.4,10.4,9.0,6.7,8.1,10.5,9.5,9.0,9.5,2.3,2.4,13,17,6.8,9.2,0,0,0,0,0,0,1,1,2,0,10,9,9,19,18,16,17,17,19,0,0,0,0,0,0,0,0,0
0,0,90.91,90.45,90.86,0,0,0,0.06,-46.5,0.03,0.0,0,4.4,329,1,1,0,0,0,0,0,0,0,0,9.3,8.0,0,1.4,527.1,-448,11.75,5.7,10.4,9.0,6.7,8.1,10.5,9.5,9.0,9.5,2.3,2.4,13,16,6.8,9.2,0,0,0,0,0,0,1,1,2,0,10,9,9,19,18,16,16,16,19,0,0,0,0,0,0,0,0,0
0,0,90.91,90.45,90.86,0,0,0,0.06,-42.4,0.01,-0.01,0,6.3,320,1,1,0,0,0,0,0,0,0,0,9.7,7.9,0,1.4,527.1,-448,11.75,5.0,10.3,9.0,6.7,8.1,10.5,9.3,8.8,9.3,2.3,2.5,13,17,6.7,9.0,0,0,0,0,0,0,1,1,2,0,10,9,9,19,18,17,17,17,18,0,0,0,0,0,0,0,0,0
0,0,90.91,90.45,90.86,0,0,0,0.06,-38.0,0.01,-0.01,0,4.4,324,1,1,0,0,0,0,0,0,0,0,9.1,7.6,0,1.4,527.1,-448,11.75,5.4,10.4,9.0,6.7,8.1,10.5,9.4,8.9,9.4,2.3,2.4,13,16,6.8,9.2,0,0,0,0,0,0,1,1,2,0,10,9,9,19,18,17,16,16,18,0,0,0,0,0,0,0,0,0
0,0,90.91,90.45,90.86,0,0,0,0.06,-43.2,0.02,0.0,0,4.9,323,1,1,0,0,0,0,0,0,0,0,9.2,7.8,0,1.4,527.1,-448,11.75,5.2,10.4,9.0,6.7,8.1,10.5,9.4,8.8,9.3,2.3,2.5,13,16,6.7,9.1,0,0,0,0,0,0,1,1,2,0,10,9,10,19,18,17,16,16,18,0,0,0,0,0,0,0,0,0
0,0,90.91,90.45,90.86,0,0,0,0.07,-47.0,0.02,0.0,0,4.4,325,1,1,0,0,0,0,0,0,0,0,9.5,7.8,0,1.4,527.1,-448,11.75,5.5,10.4,9.0,6.7,8.1,10.5,9.5,9.0,9.5,2.3,2.4,13,16,6.8,9.2,0,0,0,0,0,0,1,1,2,0,10,9,9,19,18,17,16,16,19,0,0,0,0,0,0,0,0,0
0,0,90.91,90.45,90.86,0,0,0,0.07,-37.9,0.01,-0.01,0,4.6,324,1,1,0,0,0,0,0,0,0,0,9.4,7.8,0,1.4,527.1,-448,11.75,5.4,10.4,9.0,6.7,8.1,10.5,9.4,8.9,9.4,2.3,2.4,13,17,6.8,9.2,0,0,0,0,0,0,1,1,2,0,10,9,9,19,18,16,17,17,18,0,0,0,0,0,0,0,0,0
