轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
0.0,154.0,90.91,90.45,94.02,0.0,0.0,0.0,0.06,-12.0,0.02,0.0,0.0,5.5,291.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.2,-5.9,0.0,1.3,527.1,-448.0,11.75,-3.6,-3.8,-4.6,-7.2,-5.6,-3.8,-4.6,-1.8,-1.4,-11.7,-11.7,6.0,17.0,-2.3,-1.8,21.0,22.0,25.0,0.0,0.0,0.0,1.0,8.0,3.0,0.0,11.0,19.0,-1.0,14.0,13.0,11.0,17.0,17.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,154.0,90.91,90.45,94.02,0.0,0.0,0.0,0.06,-11.0,0.02,-0.01,0.0,5.8,292.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.3,-5.9,0.0,1.3,527.1,-448.0,11.75,-3.6,-3.8,-4.6,-7.2,-5.6,-3.8,-4.6,-1.8,-1.4,-11.7,-11.7,6.0,17.0,-2.3,-1.9,21.0,22.0,25.0,0.0,0.0,0.0,1.0,8.0,3.0,0.0,11.0,19.0,-1.0,14.0,13.0,11.0,17.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,154.0,90.91,90.45,94.02,0.0,0.0,0.0,0.07,-19.2,0.01,-0.01,0.0,4.6,301.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.3,-5.9,0.0,1.3,527.1,-448.0,11.75,-3.7,-3.8,-4.6,-7.2,-5.7,-3.8,-4.7,-1.8,-1.4,-11.7,-11.7,6.0,16.0,-2.3,-1.9,21.0,22.0,25.0,0.0,0.0,0.0,1.0,8.0,3.0,0.0,10.0,19.0,-1.0,14.0,13.0,11.0,16.0,16.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,154.0,90.91,90.45,94.02,0.0,0.0,0.0,0.06,-5.2,0.79,0.55,0.0,6.3,283.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.1,-5.7,0.0,1.3,527.1,-448.0,11.75,-3.6,-3.8,-4.6,-7.2,-5.6,-3.8,-4.6,-1.8,-1.4,-11.7,-11.6,6.0,17.0,-2.3,-1.8,21.0,22.0,25.0,0.0,0.0,0.0,1.0,8.0,3.0,0.0,12.0,19.0,-1.0,14.0,13.0,11.0,17.0,17.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,154.0,90.91,90.45,94.02,0.0,0.0,0.0,0.07,-16.6,0.79,0.55,0.0,4.7,299.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.2,-5.9,0.0,1.3,527.1,-448.0,11.75,-3.7,-3.8,-4.6,-7.2,-5.6,-3.8,-4.7,-1.8,-1.4,-11.7,-11.7,6.0,16.0,-2.3,-1.9,21.0,22.0,25.0,0.0,0.0,0.0,1.0,8.0,3.0,0.0,10.0,19.0,-1.0,14.0,13.0,11.0,16.0,16.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,154.0,90.91,90.45,94.02,0.0,0.0,0.0,0.06,-19.5,0.09,0.04,0.0,5.2,296.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.2,-5.9,0.0,1.3,527.1,-448.0,11.75,-3.7,-3.8,-4.6,-7.2,-5.6,-3.8,-4.7,-1.8,-1.4,-11.7,-11.7,6.0,17.0,-2.3,-1.9,21.0,22.0,25.0,0.0,0.0,0.0,1.0,8.0,3.0,0.0,10.0,19.0,-1.0,14.0,13.0,11.0,17.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,154.0,90.91,90.45,94.02,0.0,0.0,0.0,0.06,-8.7,0.02,0.0,0.0,5.7,282.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.1,-5.8,0.0,1.3,527.1,-448.0,11.75,-3.6,-3.8,-4.6,-7.2,-5.6,-3.8,-4.6,-1.8,-1.4,-11.7,-11.6,6.0,18.0,-2.3,-1.8,21.0,22.0,25.0,0.0,0.0,0.0,1.0,8.0,3.0,0.0,12.0,19.0,-1.0,14.0,13.0,11.0,18.0,18.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,154.0,90.91,90.45,94.02,0.0,0.0,0.0,0.07,11.9,0.02,0.0,0.0,4.1,270.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.1,-5.8,0.0,1.3,527.1,-448.0,11.75,-3.6,-3.8,-4.6,-7.2,-5.6,-3.8,-4.6,-1.8,-1.4,-11.7,-11.7,6.0,17.0,-2.3,-1.8,21.0,22.0,25.0,0.0,0.0,0.0,1.0,8.0,3.0,0.0,11.0,19.0,-1.0,14.0,13.0,11.0,17.0,17.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,154.0,90.91,90.45,94.02,0.0,0.0,0.0,0.07,7.7,0.02,-0.01,0.0,4.8,279.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.2,-5.8,0.0,1.3,527.1,-448.0,11.75,-3.6,-3.8,-4.6,-7.2,-5.6,-3.8,-4.6,-1.8,-1.4,-11.7,-11.7,5.0,17.0,-2.3,-1.8,21.0,22.0,25.0,0.0,0.0,0.0,1.0,8.0,3.0,0.0,11.0,19.0,-1.0,14.0,13.0,11.0,17.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,154.0,90.91,90.45,94.02,0.0,0.0,0.0,0.06,-0.1,0.02,0.0,0.0,5.2,281.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.1,-5.7,0.0,1.3,527.1,-448.0,11.75,-3.6,-3.8,-4.6,-7.2,-5.6,-3.8,-4.6,-1.8,-1.4,-11.7,-11.6,5.0,17.0,-2.3,-1.8,21.0,22.0,25.0,0.0,0.0,0.0,1.0,8.0,3.0,0.0,12.0,19.0,-1.0,14.0,13.0,11.0,17.0,17.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.02,154.0,90.91,90.45,94.02,0.0,0.0,0.0,0.06,-4.1,0.03,0.0,0.0,6.2,283.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.1,-5.7,0.0,1.3,527.1,-448.0,11.75,-3.6,-3.8,-4.6,-7.2,-5.6,-3.8,-4.6,-1.8,-1.4,-11.7,-11.6,6.0,18.0,-2.3,-1.8,21.0,22.0,25.0,0.0,0.0,0.0,1.0,8.0,3.0,0.0,12.0,19.0,-1.0,14.0,13.0,11.0,18.0,18.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,154.0,90.91,90.45,94.02,0.0,0.0,0.0,0.07,-12.3,0.01,-0.01,0.0,5.8,291.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.2,-5.9,0.0,1.3,527.1,-448.0,11.75,-3.6,-3.8,-4.6,-7.2,-5.6,-3.8,-4.6,-1.8,-1.4,-11.7,-11.7,6.0,17.0,-2.3,-1.8,21.0,22.0,25.0,0.0,0.0,0.0,1.0,8.0,3.0,0.0,11.0,19.0,-1.0,14.0,13.0,11.0,17.0,17.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,154.0,90.91,90.45,94.02,0.0,0.0,0.0,0.06,-14.3,0.09,0.03,0.0,3.9,299.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.3,-5.9,0.0,1.3,527.1,-448.0,11.75,-3.7,-3.8,-4.6,-7.2,-5.6,-3.8,-4.7,-1.8,-1.4,-11.7,-11.7,6.0,17.0,-2.3,-1.9,21.0,22.0,25.0,0.0,0.0,0.0,1.0,8.0,3.0,0.0,10.0,19.0,-1.0,14.0,13.0,11.0,17.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,154.0,90.91,90.45,94.02,0.0,0.0,0.0,0.06,2.0,0.09,0.04,0.0,5.4,281.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.1,-5.7,0.0,1.3,527.1,-448.0,11.75,-3.6,-3.8,-4.6,-7.2,-5.6,-3.8,-4.6,-1.8,-1.4,-11.7,-11.7,6.0,17.0,-2.3,-1.8,21.0,22.0,25.0,0.0,0.0,0.0,1.0,8.0,3.0,0.0,12.0,19.0,-1.0,14.0,13.0,11.0,17.0,17.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,154.0,90.91,90.45,94.02,0.0,0.0,0.0,0.06,4.0,0.02,0.01,0.0,5.3,276.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.1,-5.7,0.0,1.3,527.1,-448.0,11.75,-3.6,-3.8,-4.6,-7.2,-5.6,-3.7,-4.6,-1.8,-1.4,-11.7,-11.6,6.0,16.0,-2.4,-1.8,21.0,22.0,25.0,0.0,0.0,0.0,1.0,8.0,3.0,0.0,12.0,19.0,-1.0,14.0,13.0,11.0,16.0,16.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,154.0,90.91,90.45,94.02,0.0,0.0,0.0,0.06,6.0,0.02,-0.01,0.0,4.7,281.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.2,-5.8,0.0,1.3,527.1,-448.0,11.75,-3.6,-3.8,-4.6,-7.2,-5.6,-3.8,-4.6,-1.8,-1.4,-11.7,-11.7,6.0,17.0,-2.3,-1.8,21.0,22.0,25.0,0.0,0.0,0.0,1.0,8.0,3.0,0.0,11.0,19.0,-1.0,14.0,13.0,11.0,17.0,17.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,154.0,90.91,90.45,94.02,0.0,0.0,0.0,0.06,2.2,0.02,0.01,0.0,5.7,281.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.1,-5.7,0.0,1.3,527.1,-448.0,11.75,-3.6,-3.8,-4.6,-7.2,-5.6,-3.8,-4.6,-1.8,-1.4,-11.7,-11.7,6.0,17.0,-2.3,-1.8,21.0,22.0,25.0,0.0,0.0,0.0,1.0,8.0,3.0,0.0,12.0,19.0,-1.0,14.0,13.0,11.0,17.0,17.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,154.0,90.91,90.45,94.02,0.0,0.0,0.0,0.07,-10.1,0.01,-0.01,0.0,6.6,290.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.3,-5.8,0.0,1.3,527.1,-448.0,11.75,-3.6,-3.8,-4.6,-7.2,-5.6,-3.8,-4.6,-1.8,-1.4,-11.7,-11.7,6.0,17.0,-2.3,-1.8,21.0,22.0,25.0,0.0,0.0,0.0,1.0,8.0,3.0,0.0,11.0,19.0,-1.0,14.0,13.0,11.0,17.0,17.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
