轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
0,0,-322.22,90.61,91.08,0,0,0,0.07,48.4,0.0,-0.02,0,6.7,190,1,1,0,0,0,0,0,0,0,0,9.8,8.9,0,1.1,527.1,-448,11.75,3.7,11,6.3,7.7,7.5,10.7,9.3,7.2,7.5,3.7,3.6,13,18,5.5,8.1,0,0,0,0,0,0,1,1,2,0,11,11,11,19,19,17,18,18,20,0,0,0,0,0,0,0,0,0
0,0,-322.22,90.61,91.08,0,0,0,0.07,41.4,0.01,-0.01,0,7.5,193,1,1,0,0,0,0,0,0,0,0,9.8,9.2,0,1.1,527.1,-448,11.75,3.9,11,6.5,7.7,7.5,10.8,9.4,7.3,7.5,3.7,3.6,13,18,5.5,8.2,0,0,0,0,0,0,1,1,2,0,11,11,11,19,19,17,18,18,20,0,0,0,0,0,0,0,0,0
0,0,-322.22,90.61,91.08,0,0,0,0.07,43.2,0.0,-0.02,0,7.7,191,1,1,0,0,0,0,0,0,0,0,9.8,9.1,0,1.1,527.1,-448,11.75,3.7,11,6.3,7.7,7.5,10.7,9.3,7.2,7.5,3.7,3.6,13,18,5.5,8.2,0,0,0,0,0,0,1,1,2,0,11,11,11,19,19,17,18,18,20,0,0,0,0,0,0,0,0,0
0,0,-322.22,90.61,91.08,0,0,0,0.07,41.2,0.0,-0.01,0,7.9,193,1,1,0,0,0,0,0,0,0,0,9.7,8.8,0,1.1,527.1,-448,11.75,3.8,11,6.4,7.7,7.5,10.7,9.3,7.2,7.5,3.7,3.6,13,18,5.5,8.2,0,0,0,0,0,0,1,1,2,0,11,11,11,19,19,17,18,18,21,0,0,0,0,0,0,0,0,0
0,0,-322.22,90.61,91.08,0,0,0,0.07,43.4,0.02,0.0,0,7.6,192,1,1,0,0,0,0,0,0,0,0,9.6,8.8,0,1.1,527.1,-448,11.75,3.7,11,6.3,7.7,7.5,10.7,9.3,7.2,7.5,3.7,3.7,13,18,5.5,8.2,0,0,0,0,0,0,1,1,2,0,11,11,11,19,19,17,18,18,21,0,0,0,0,0,0,0,0,0
0,0,-322.22,90.61,91.08,0,0,0,0.06,44.6,0.08,0.03,0,7.4,192,1,1,0,0,0,0,0,0,0,0,9.8,8.8,0,1.1,527.1,-448,11.75,3.7,11,6.3,7.7,7.5,10.7,9.3,7.2,7.5,3.7,3.6,13,18,5.5,8.2,0,0,0,0,0,0,1,1,2,0,11,11,11,19,18,17,18,18,20,0,0,0,0,0,0,0,0,0
0,0,-322.22,90.61,91.08,0,0,0,0.11,44.9,0.09,0.05,0,7.6,192,1,1,0,0,0,0,0,0,0,0,9.7,9.1,0,1.1,527.1,-448,11.75,3.9,11,6.5,7.7,7.5,10.7,9.3,7.2,7.5,3.7,3.7,13,17,5.5,8.2,0,0,0,0,0,0,1,1,2,0,11,11,11,19,19,17,17,17,20,0,0,0,0,0,0,0,0,0
0,0,-322.22,90.61,91.08,0,0,0,0.12,43.5,0.08,0.02,0,7.8,192,1,1,0,0,0,0,0,0,0,0,9.7,8.7,0,1.1,527.1,-448,11.75,3.9,11,6.5,7.7,7.5,10.7,9.3,7.2,7.5,3.7,3.6,13,18,5.5,8.2,0,0,0,0,0,0,1,1,2,0,11,11,11,19,19,17,18,18,20,0,0,0,0,0,0,0,0,0
0,0,-322.22,90.61,91.08,0,0,0,0.11,43.4,0.02,0.0,0,8.0,192,1,1,0,0,0,0,0,0,0,0,9.7,8.8,0,1.1,527.1,-448,11.75,3.9,11,6.5,7.7,7.5,10.7,9.3,7.2,7.5,3.7,3.6,13,18,5.5,8.2,0,0,0,0,0,0,1,1,2,0,11,11,11,19,19,17,18,18,21,0,0,0,0,0,0,0,0,0
0,0,-322.22,90.61,91.08,0,0,0,0.06,48.7,0.02,-0.01,0,7.3,190,1,1,0,0,0,0,0,0,0,0,9.7,8.9,0,1.1,527.1,-448,11.75,3.7,11,6.3,7.7,7.5,10.7,9.3,7.2,7.4,3.7,3.6,13,17,5.5,8.1,0,0,0,0,0,0,1,1,2,0,11,11,11,19,19,17,17,17,21,0,0,0,0,0,0,0,0,0
