轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
0.0,20.74,86.0,86.0,86.0,1.72,13.6,14.94,0.08,145.5,-0.01,0.0,172.9,1.8,342.0,1.0,1.0,0.0,681.0,0.0,0.0,0.0,0.0,1.5,0.0,32.1,31.1,0.5,2.6,2067.6,0.0,16.83,10.8,24.0,22.6,22.2,23.0,23.1,25.1,22.2,23.2,28.7,31.4,21.9,21.1,18.0,20.9,27.0,27.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,21.0,22.0,21.0,58.0,58.0,58.0,21.0,21.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,20.74,86.0,86.0,86.0,1.38,13.66,15.06,0.06,145.5,-0.01,0.0,173.0,1.4,0.0,1.0,1.0,0.0,682.0,0.0,0.0,0.0,0.0,2.0,0.0,31.9,31.0,0.5,2.6,2067.6,0.0,16.83,10.8,24.2,22.6,22.3,23.0,23.2,25.1,22.3,23.3,28.7,31.4,21.6,21.0,18.2,21.1,27.0,27.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,21.0,22.0,21.0,56.0,60.0,58.0,21.0,21.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,20.74,86.0,86.0,86.0,1.36,13.44,14.74,0.08,145.1,-0.03,0.0,173.0,1.5,2.0,1.0,1.0,0.0,682.0,0.0,0.0,0.0,0.0,1.2,0.0,31.6,30.8,0.5,2.6,2067.6,0.0,16.83,10.8,24.2,22.6,22.3,23.0,23.2,25.1,22.3,23.3,28.7,31.3,21.6,21.0,18.2,21.1,27.0,27.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,21.0,22.0,21.0,56.0,60.0,58.0,21.0,21.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,20.74,86.0,86.0,86.0,1.4,13.48,14.8,0.06,147.3,0.0,0.0,172.9,1.8,343.0,1.0,1.0,0.0,682.0,0.0,0.0,0.0,0.0,1.0,0.0,32.2,31.1,0.5,2.6,2067.6,0.0,16.83,10.9,24.0,22.6,22.2,23.0,23.1,25.1,22.2,23.2,28.7,31.4,21.9,21.1,18.0,20.9,27.0,27.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,21.0,22.0,21.0,58.0,58.0,59.0,21.0,21.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,20.74,86.0,86.0,86.0,1.42,13.58,14.96,0.07,147.2,0.0,0.0,172.9,1.8,343.0,1.0,1.0,0.0,682.0,0.0,0.0,0.0,0.0,1.7,0.0,31.6,31.1,0.5,2.6,2067.6,0.0,16.83,10.8,24.0,22.6,22.2,23.0,23.1,25.1,22.2,23.2,28.7,31.4,21.9,21.1,17.9,20.9,27.0,27.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,21.0,22.0,21.0,58.0,58.0,58.0,21.0,21.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,20.74,86.0,86.0,86.0,1.44,13.46,14.94,0.06,147.3,0.0,0.0,172.9,1.8,342.0,1.0,1.0,0.0,682.0,0.0,0.0,0.0,0.0,1.1,0.0,31.9,31.1,0.5,2.6,2067.6,0.0,16.83,10.8,24.0,22.6,22.2,23.0,23.1,25.1,22.2,23.2,28.7,31.4,21.9,21.1,18.0,20.9,27.0,27.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,21.0,22.0,21.0,58.0,58.0,58.0,21.0,21.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,20.74,86.0,86.0,86.0,1.42,13.46,14.96,0.06,145.5,0.0,0.0,172.9,1.7,356.0,1.0,1.0,0.0,682.0,0.0,0.0,0.0,0.0,1.4,0.0,31.6,31.1,0.5,2.6,2067.6,0.0,16.83,10.8,24.0,22.6,22.2,23.0,23.1,25.1,22.2,23.2,28.8,31.4,21.9,21.1,17.9,20.9,27.0,27.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,21.0,22.0,21.0,58.0,58.0,58.0,21.0,21.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,20.74,86.0,86.0,86.0,1.5,13.52,14.9,0.08,136.6,0.0,0.0,173.0,1.5,358.0,1.0,1.0,0.0,682.0,0.0,0.0,0.0,0.0,1.2,0.0,31.3,30.6,0.5,2.6,2067.6,0.0,16.83,10.8,24.2,22.6,22.3,23.1,23.2,25.1,22.3,23.3,28.7,31.3,21.4,21.0,18.2,21.1,27.0,27.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,21.0,21.0,21.0,56.0,60.0,58.0,21.0,21.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,20.74,86.0,86.0,86.0,1.36,13.46,14.78,0.07,145.5,-0.01,0.0,172.9,1.7,342.0,1.0,1.0,0.0,681.0,0.0,0.0,0.0,0.0,1.2,0.0,32.1,31.1,0.5,2.6,2067.6,0.0,16.83,10.8,24.0,22.6,22.2,23.0,23.1,25.1,22.2,23.2,28.7,31.4,21.8,21.0,17.9,20.9,27.0,27.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,21.0,22.0,21.0,58.0,58.0,58.0,21.0,21.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,20.74,86.0,86.0,86.0,1.38,13.58,15.04,0.07,145.5,0.0,0.0,172.9,1.7,344.0,1.0,1.0,0.0,681.0,0.0,0.0,0.0,0.0,1.3,0.0,31.4,30.9,0.5,2.6,2067.6,0.0,16.83,10.8,24.0,22.6,22.2,23.0,23.1,25.1,22.2,23.2,28.7,31.4,21.8,21.0,17.9,20.9,27.0,27.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,21.0,22.0,21.0,58.0,58.0,58.0,21.0,21.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
